simulation_number,mutual_information,entropy,conditional_entropy,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.032399946128404356,1.6930478970080434,1.660647950879639,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bɨ'gɨ,bẽ'kõ,bẽ'kɨ̃,bɨ'go,pa'ko,bẽ'kɨ̃,bẽ'kɨ̃,bɨ'go,pa'kɨ,bɨ'go,bɨ'go,bẽ'kõ,bẽ'kõ,bɨ'gɨ,bɨ'gɨ,bɨ'gɨ,bẽ'kõ,bẽ'kõ,bẽ'kɨ̃,bɨ'gɨ,bɨ'go,bẽ'kɨ̃,bɨ'gɨ,bẽ'kɨ̃,bẽ'kõ,bɨ'go,pa'ko,pa'kɨ
1,0.07411659032620865,1.6721855814271378,1.5980689911009291,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bẽ'kõ,bẽ'kɨ̃,pa'kɨ,bẽ'kɨ̃,bɨ'go,bẽ'kɨ̃,bɨ'gɨ,bɨ'go,pa'ko,bẽ'kõ,bẽ'kõ,bɨ'go,bɨ'gɨ,bɨ'gɨ,bẽ'kɨ̃,pa'kɨ,bɨ'go,bɨ'gɨ,bẽ'kɨ̃,bɨ'go,bɨ'gɨ,bẽ'kõ,pa'ko,bẽ'kõ,bẽ'kɨ̃,bẽ'kõ,bɨ'gɨ,bɨ'go
2,0.05481742376459242,1.642476021890268,1.5876585981256757,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bẽ'kõ,bẽ'kõ,bɨ'go,bɨ'gɨ,bɨ'gɨ,bɨ'gɨ,bẽ'kõ,bẽ'kɨ̃,pa'kɨ,bɨ'go,bẽ'kõ,bɨ'go,bẽ'kõ,bẽ'kɨ̃,pa'ko,bẽ'kɨ̃,bɨ'gɨ,bɨ'go,bẽ'kɨ̃,bẽ'kõ,bɨ'go,bɨ'gɨ,bɨ'gɨ,bɨ'go,pa'kɨ,bẽ'kɨ̃,bẽ'kɨ̃,pa'ko
3,0.058023376540935256,1.711764574587724,1.6537411980467887,tẽ'yõ,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,bẽ'kɨ̃,bɨ'go,bɨ'gɨ,bɨ'gɨ,pa'kɨ,bɨ'gɨ,bɨ'gɨ,bẽ'kõ,pa'ko,bɨ'go,bẽ'kõ,bɨ'go,bẽ'kɨ̃,bẽ'kɨ̃,pa'kɨ,bɨ'gɨ,pa'ko,bɨ'go,bẽ'kõ,bẽ'kõ,bẽ'kɨ̃,bẽ'kõ,bẽ'kɨ̃,bɨ'go,bɨ'go,bɨ'gɨ,bẽ'kõ,bẽ'kɨ̃
4,0.128169659156816,1.6511687337392147,1.5229990745823987,tẽ'yõ,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bẽ'kɨ̃,bẽ'kɨ̃,bɨ'gɨ,bẽ'kɨ̃,bɨ'go,bẽ'kɨ̃,bɨ'gɨ,pa'ko,bɨ'go,bɨ'go,bɨ'go,bɨ'gɨ,bẽ'kɨ̃,bẽ'kõ,pa'ko,bẽ'kõ,bɨ'go,bɨ'gɨ,bẽ'kõ,bẽ'kõ,pa'kɨ,bɨ'go,pa'kɨ,bɨ'gɨ,bẽ'kɨ̃,bɨ'gɨ,bẽ'kõ,bẽ'kõ
5,0.042155089847113913,1.63498492735176,1.5928298375046461,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,bayi'o,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bẽ'kɨ̃,bẽ'kɨ̃,bɨ'go,bẽ'kɨ̃,bɨ'gɨ,bẽ'kɨ̃,pa'ko,bẽ'kõ,bẽ'kõ,bẽ'kõ,pa'kɨ,pa'ko,bɨ'gɨ,bẽ'kõ,pa'kɨ,bɨ'go,bɨ'go,bɨ'gɨ,bɨ'go,bɨ'gɨ,bɨ'gɨ,bẽ'kõ,bẽ'kɨ̃,bẽ'kɨ̃,bẽ'kõ,bɨ'go,bɨ'go,bɨ'gɨ
6,0.09068307914301443,1.6825374191615792,1.5918543400185647,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bẽ'kɨ̃,pa'ko,bɨ'gɨ,bɨ'go,pa'ko,bẽ'kɨ̃,bɨ'gɨ,bẽ'kɨ̃,pa'kɨ,bẽ'kõ,bɨ'go,bẽ'kõ,bɨ'gɨ,pa'kɨ,bɨ'gɨ,bɨ'go,bẽ'kõ,bẽ'kõ,bɨ'gɨ,bẽ'kɨ̃,bɨ'go,bɨ'go,bẽ'kõ,bɨ'gɨ,bẽ'kɨ̃,bɨ'go,bẽ'kɨ̃,bẽ'kõ
7,0.09154319394052224,1.7264896180484748,1.6349464241079525,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,pa'ko,bẽ'kɨ̃,bẽ'kõ,bẽ'kɨ̃,bɨ'gɨ,bɨ'go,bɨ'go,bɨ'go,bẽ'kɨ̃,bẽ'kõ,bẽ'kõ,bɨ'gɨ,bɨ'go,bɨ'go,bẽ'kɨ̃,bɨ'gɨ,bẽ'kɨ̃,pa'kɨ,pa'ko,bɨ'gɨ,bɨ'go,bẽ'kõ,bẽ'kɨ̃,pa'kɨ,bɨ'gɨ,bɨ'gɨ,bẽ'kõ,bẽ'kõ
8,0.10411050426421098,1.653574886548276,1.549464382284065,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bẽ'kɨ̃,bɨ'go,pa'ko,bɨ'go,bẽ'kɨ̃,bẽ'kɨ̃,bɨ'gɨ,bẽ'kõ,bẽ'kɨ̃,pa'kɨ,bɨ'go,bɨ'go,bɨ'go,bẽ'kɨ̃,bẽ'kõ,bẽ'kõ,bɨ'gɨ,bɨ'gɨ,bɨ'gɨ,bɨ'go,bɨ'gɨ,pa'kɨ,bẽ'kõ,pa'ko,bẽ'kõ,bɨ'gɨ,bẽ'kõ,bẽ'kɨ̃
9,0.04806751204704662,1.644265341853993,1.5961978298069464,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,bayi'o,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,tẽ'yõ,ba'i,bẽ'kõ,bẽ'kɨ̃,bɨ'gɨ,bɨ'go,bɨ'gɨ,bẽ'kõ,bɨ'gɨ,pa'kɨ,bẽ'kɨ̃,pa'ko,bɨ'gɨ,bɨ'go,bẽ'kõ,pa'ko,bɨ'go,bẽ'kɨ̃,bẽ'kõ,bɨ'gɨ,bɨ'go,bɨ'gɨ,bẽ'kɨ̃,bẽ'kõ,bẽ'kõ,bẽ'kɨ̃,pa'kɨ,bẽ'kɨ̃,bɨ'go,bɨ'go
