simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.03707459747507669,0.7129615658799713,0.6758869684048946,wai,ur,,,ur,,,,,,,,ur,,,,,,,,,wai,,,,,wai,,,,,,,,,,,,,,,,,,,,,,,,wai,,,,,,,,,,,,,,,,,,,,,,,,ifar,,,,,,,ur,,,,,,,fatnime,,,ame,,,,,,,,,,abe,,ene,,,,,,,ame,,,,memi,,ene,
1,0.05570673476955834,0.9131378713971887,0.8574311366276304,,,,,,,,,,,,,,,,,,,,ifar,,,,wai,,,,,,,,,,wai,,ur,,,ur,,,,,,,,,,,,,,,,wai,,,,,,ur,,,ur,,,,,wai,,,,,,,,,,,,,,,,,,fatnime,,,,,,,,ame,,,,,,,,ene,,,,,ene,abe,ame,,,,,,memi,,
2,0.054282583082678526,0.871630922385024,0.8173483393023455,,,,fatnime,,,,,,,,,,,,,,,,,,,ifar,,,,,,,,,,,wai,,,,,wai,,,,,,ur,,,,,,,,wai,wai,,,,,,,,,ur,,,,,,ur,,,,,,,,,,,,,,ur,,,,,,,,,ene,memi,,,,ene,,,,,,,,,,abe,,,,,,,,ame,ame,,
3,0.05196589704440613,0.9131378713971887,0.8611719743527826,,,,,,,,,,,,,,,fatnime,,,,,,,,,ur,,,,,,wai,,,,,,,,,,wai,,,,,,,,,,,,,,,,wai,,,,,,,ur,,wai,,,,ur,,,,,,,,,,,,,,,,,,,ur,ifar,,,,ene,ame,,ame,,,,,,,,,,,memi,,,,ene,,abe,,,,,
4,0.02453663257855887,0.8351494918292374,0.8106128592506785,,ur,,,ifar,,,,wai,,,,,ur,,,,,,,,,,wai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fatnime,,,,,,,ur,,,,,,wai,,,,,,,ur,,,,,,,,,wai,,,,,,,,ene,,ame,,,,,,,,ene,,,,ame,,,,,,,abe,,,memi,
5,0.030324546967117172,0.8489191798230413,0.8185946328559242,,,,,,,,,,,,,ur,,,,,,,ur,,,,,,,,,wai,,,,,,,ur,fatnime,wai,,ifar,,,,,,,,wai,,,,,,wai,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ame,ame,,,,memi,,,,,,abe,,,,,,,,,,,ene,,ene,,,
6,0.054779637784934776,0.871630922385024,0.8168512846000893,,ur,,,,,ur,,,,,,,ur,,,,,,,,wai,,,,,,,ur,,,,,,,,,,,,,,,,,,,,fatnime,,,,,,,,,,,,,,,,wai,,,,,,,,,,wai,wai,,,,,,,,ifar,,,,,,,,,ame,memi,,,,,ene,,,ene,ame,,,,,,,abe,,,,,,,,
7,0.10763989890555448,0.8716325536574997,0.7639926547519452,,wai,,,,,,,,,,ur,,,,wai,,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,,,ifar,,,,,,,,,,,ur,,,wai,,,,,,,,,,,,ur,wai,,fatnime,,,,,,,,,,ene,,,,,,,,,,,,,ene,ame,abe,,ame,,,memi,,,
8,0.05896651160297495,0.9358496139591714,0.8768831023561965,,,,,,,ur,,,,fatnime,,wai,,ur,wai,,,,,,,,,,,ifar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ur,,,ur,,wai,,,,,,,,,,,,,,,,,,,,,,wai,ene,,memi,,,ame,,ame,,ene,,,,,,,abe,,,,,,,,,,,
9,0.03144205229643282,0.6461088541518851,0.6146668018554523,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ur,,,,,,,,,ur,,,,,,,fatnime,,,,,wai,,,,wai,wai,,,ifar,,,,,,,,ur,,,,,,,wai,,,,,,,,,,ene,ame,ame,,,,memi,,,,,,,,,,,abe,,ene,
