simulation_number,mutual_information,entropy,conditional_entropy,fyB,mFByS,fFByS,fFZyS,mMByS,fMByS,mMZyS,fMZyS,mFZyS,mFBeS,fFBeS,mFZeS,fFZeS,mMBeS,fMBeS,mMZeS,meB,feB,mMByD,mMBeD,fMBeD,mFZyD,fyZ,fFByD,fFZyD,fMByD,mMZyD,fMZyD,meZ,feZ,mFBeD,fFBeD,mFZeD,fFZeD,mMZeD,fMZeD,mFByD,myZ,mF,fF,mFeB,mFyB,fFeB,fFyB,mMeB,mMyB,fMeB,fMyB,mMeZ,mMyZ,fMeZ,fMyZ,mM,fM,mFeZ,mFyZ,fFeZ,fFyZ
0,0.6829081047004718,1.0789922078775833,0.3960841031771115,naʼ-be,naʼ-be-ä,naʼ-be,taʼ-yä,taʼ-yä,taʼ-yä,naʼ-thǎ-hǎ,nǎʼ-thǎ-hǎ,naʼ-be-ǎ,nǎʼ-thǎ-hǎ,nǎʼ-thǎ-hǎ,naʼ-he,naʼ-be,taʼ-yä,nǎʼ-thǎ-hǎ,naʼ-be,nǎʼ-thǎ-hǎ,naʼ-be-ǎ,naʼ-be-ǎ,naʼ-be-ǎ,nǎʼ-thǎ-hǎ,naʼ-thǎ-hǎ,taʼ-yä,naʼ-be-ǎ,naʼ-be,taʼ-yä,taʼ-yǎ,naʼ-he-ǎ,na-be-ǎ,taʼ-yä,naʼ-be,naʼ-he,taʼ-yä,naʼ-be,naʼ-be-ǎ,nǎʼ-thǎ-hǎ,naʼ-be,na-be-ǎʼ,naʼ-see,na-ke-͡ahʼ,na-haʼ,ne-thaʼ-na,naʼ-nä,na-ke-͡ahʼ,ne-thaʼ-na,ne-thaʼ-na,na-haʼ,ne-thaʼ-na,naʼ-nä,ne-thaʼ-na,na-haʼ,naʼ-nä,naʼ-see,ne-thaʼ-na,naʼ-see,na-haʼ,naʼ-nä,naʼ-see
1,0.34145405235023607,1.0346012329101812,0.6931471805599452,nǎʼ-thǎ-hǎ,taʼ-yä,taʼ-yä,naʼ-be,naʼ-be,naʼ-he,na-be-ǎ,taʼ-yä,naʼ-be,naʼ-be,naʼ-be,naʼ-be-ǎ,naʼ-be,nǎʼ-thǎ-hǎ,nǎʼ-thǎ-hǎ,naʼ-be-ǎ,naʼ-thǎ-hǎ,nǎʼ-thǎ-hǎ,naʼ-he-ǎ,nǎʼ-thǎ-hǎ,taʼ-yä,naʼ-be,taʼ-yǎ,taʼ-yä,nǎʼ-thǎ-hǎ,naʼ-be-ǎ,taʼ-yä,taʼ-yä,taʼ-yä,naʼ-he,naʼ-thǎ-hǎ,na-be-ǎʼ,naʼ-be,naʼ-be-ǎ,nǎʼ-thǎ-hǎ,naʼ-be-ä,naʼ-be-ǎ,naʼ-be-ǎ,naʼ-see,naʼ-nä,ne-thaʼ-na,na-haʼ,ne-thaʼ-na,naʼ-nä,ne-thaʼ-na,ne-thaʼ-na,na-ke-͡ahʼ,ne-thaʼ-na,naʼ-see,naʼ-nä,naʼ-nä,na-ke-͡ahʼ,na-haʼ,naʼ-see,ne-thaʼ-na,naʼ-see,na-haʼ,na-haʼ
2,0.20218548540814574,0.5982695885852573,0.3960841031771115,nǎʼ-thǎ-hǎ,nǎʼ-thǎ-hǎ,taʼ-yǎ,naʼ-be,taʼ-yä,naʼ-be,naʼ-be-ǎ,naʼ-thǎ-hǎ,taʼ-yä,naʼ-be-ǎ,taʼ-yä,nǎʼ-thǎ-hǎ,na-be-ǎʼ,naʼ-be-ǎ,naʼ-he,naʼ-be-ǎ,naʼ-be,taʼ-yä,naʼ-be-ǎ,naʼ-be,naʼ-be,nǎʼ-thǎ-hǎ,taʼ-yä,nǎʼ-thǎ-hǎ,na-be-ǎ,taʼ-yä,naʼ-be,naʼ-be,naʼ-thǎ-hǎ,naʼ-he,nǎʼ-thǎ-hǎ,nǎʼ-thǎ-hǎ,naʼ-be-ǎ,naʼ-he-ǎ,taʼ-yä,naʼ-be,taʼ-yä,naʼ-be-ä,ne-thaʼ-na,na-ke-͡ahʼ,ne-thaʼ-na,naʼ-see,naʼ-see,naʼ-see,na-haʼ,naʼ-nä,na-haʼ,ne-thaʼ-na,naʼ-nä,na-ke-͡ahʼ,naʼ-see,naʼ-nä,ne-thaʼ-na,ne-thaʼ-na,na-haʼ,na-haʼ,naʼ-nä,ne-thaʼ-na
3,0.6829081047004717,0.9799711820833054,0.29706307738283366,naʼ-be-ǎ,taʼ-yä,naʼ-be,naʼ-he-ǎ,taʼ-yä,na-be-ǎʼ,naʼ-be-ǎ,naʼ-be-ä,naʼ-be-ǎ,naʼ-be-ǎ,taʼ-yä,nǎʼ-thǎ-hǎ,taʼ-yä,naʼ-be,naʼ-be-ǎ,taʼ-yä,nǎʼ-thǎ-hǎ,naʼ-be,nǎʼ-thǎ-hǎ,naʼ-he,naʼ-be,na-be-ǎ,naʼ-he,nǎʼ-thǎ-hǎ,taʼ-yǎ,naʼ-be,taʼ-yä,naʼ-be-ǎ,taʼ-yä,naʼ-be,naʼ-be,nǎʼ-thǎ-hǎ,nǎʼ-thǎ-hǎ,naʼ-be,naʼ-thǎ-hǎ,naʼ-thǎ-hǎ,nǎʼ-thǎ-hǎ,taʼ-yä,na-haʼ,ne-thaʼ-na,na-ke-͡ahʼ,na-haʼ,ne-thaʼ-na,naʼ-nä,ne-thaʼ-na,naʼ-see,naʼ-see,ne-thaʼ-na,ne-thaʼ-na,na-haʼ,naʼ-nä,na-haʼ,na-ke-͡ahʼ,ne-thaʼ-na,naʼ-nä,naʼ-see,naʼ-see,naʼ-nä
4,0.2120742666998534,1.0789922078775833,0.8669179411777299,naʼ-he,naʼ-be,taʼ-yä,nǎʼ-thǎ-hǎ,naʼ-be-ǎ,naʼ-be,naʼ-be-ǎ,naʼ-be,naʼ-be-ǎ,naʼ-be,na-be-ǎʼ,taʼ-yä,nǎʼ-thǎ-hǎ,nǎʼ-thǎ-hǎ,na-be-ǎ,nǎʼ-thǎ-hǎ,naʼ-he,taʼ-yä,taʼ-yǎ,nǎʼ-thǎ-hǎ,naʼ-be-ǎ,nǎʼ-thǎ-hǎ,naʼ-be-ǎ,naʼ-thǎ-hǎ,naʼ-thǎ-hǎ,naʼ-he-ǎ,nǎʼ-thǎ-hǎ,taʼ-yä,taʼ-yä,taʼ-yä,taʼ-yä,naʼ-be-ǎ,naʼ-be-ä,naʼ-be,taʼ-yä,naʼ-be,naʼ-be,naʼ-be,naʼ-nä,na-ke-͡ahʼ,naʼ-see,na-haʼ,na-haʼ,naʼ-see,ne-thaʼ-na,naʼ-see,ne-thaʼ-na,ne-thaʼ-na,ne-thaʼ-na,naʼ-nä,naʼ-nä,ne-thaʼ-na,naʼ-nä,naʼ-see,ne-thaʼ-na,na-haʼ,na-ke-͡ahʼ,na-haʼ
5,0.2050581591442049,1.0346012329101812,0.8295430737659764,nǎʼ-thǎ-hǎ,naʼ-he,naʼ-be-ǎ,naʼ-be-ǎ,nǎʼ-thǎ-hǎ,naʼ-thǎ-hǎ,naʼ-be-ǎ,nǎʼ-thǎ-hǎ,naʼ-be-ǎ,naʼ-thǎ-hǎ,na-be-ǎʼ,naʼ-be,naʼ-be,naʼ-be-ä,naʼ-he-ǎ,taʼ-yǎ,naʼ-be-ǎ,naʼ-he,na-be-ǎ,naʼ-be,nǎʼ-thǎ-hǎ,naʼ-be,taʼ-yä,nǎʼ-thǎ-hǎ,taʼ-yä,naʼ-be,naʼ-be,taʼ-yä,taʼ-yä,naʼ-be,taʼ-yä,taʼ-yä,nǎʼ-thǎ-hǎ,taʼ-yä,nǎʼ-thǎ-hǎ,naʼ-be-ǎ,naʼ-be,taʼ-yä,na-haʼ,naʼ-nä,na-haʼ,naʼ-see,naʼ-see,ne-thaʼ-na,ne-thaʼ-na,naʼ-see,ne-thaʼ-na,na-ke-͡ahʼ,na-haʼ,naʼ-nä,naʼ-nä,naʼ-see,ne-thaʼ-na,na-haʼ,naʼ-nä,ne-thaʼ-na,ne-thaʼ-na,na-ke-͡ahʼ
6,0.14341200076168037,1.0346012329101812,0.8911892321485009,naʼ-be,naʼ-be-ǎ,naʼ-be,taʼ-yä,taʼ-yä,taʼ-yä,naʼ-he,naʼ-be-ǎ,taʼ-yǎ,nǎʼ-thǎ-hǎ,naʼ-he,na-be-ǎ,na-be-ǎʼ,naʼ-be,naʼ-be-ǎ,nǎʼ-thǎ-hǎ,taʼ-yä,naʼ-be-ǎ,taʼ-yä,naʼ-be-ǎ,naʼ-be-ä,naʼ-be,nǎʼ-thǎ-hǎ,naʼ-be,taʼ-yä,nǎʼ-thǎ-hǎ,nǎʼ-thǎ-hǎ,taʼ-yä,nǎʼ-thǎ-hǎ,naʼ-be,naʼ-be,nǎʼ-thǎ-hǎ,naʼ-be,taʼ-yä,naʼ-thǎ-hǎ,naʼ-he-ǎ,naʼ-thǎ-hǎ,naʼ-be-ǎ,na-haʼ,ne-thaʼ-na,ne-thaʼ-na,na-haʼ,naʼ-nä,naʼ-see,ne-thaʼ-na,naʼ-nä,naʼ-see,ne-thaʼ-na,na-ke-͡ahʼ,ne-thaʼ-na,na-haʼ,naʼ-nä,naʼ-see,naʼ-see,naʼ-nä,na-ke-͡ahʼ,na-haʼ,ne-thaʼ-na
7,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,taʼ-yä,naʼ-he-ǎ,nǎʼ-thǎ-hǎ,naʼ-be-ǎ,naʼ-be-ǎ,taʼ-yä,naʼ-be-ǎ,naʼ-be-ǎ,taʼ-yä,naʼ-thǎ-hǎ,naʼ-be-ǎ,nǎʼ-thǎ-hǎ,nǎʼ-thǎ-hǎ,na-be-ǎ,naʼ-be,nǎʼ-thǎ-hǎ,taʼ-yä,nǎʼ-thǎ-hǎ,naʼ-be,naʼ-be,taʼ-yä,taʼ-yǎ,nǎʼ-thǎ-hǎ,naʼ-be-ä,naʼ-be,naʼ-he,nǎʼ-thǎ-hǎ,naʼ-be,naʼ-thǎ-hǎ,naʼ-be,na-be-ǎʼ,taʼ-yä,naʼ-be,naʼ-be,taʼ-yä,naʼ-he,naʼ-be-ǎ,taʼ-yä,ne-thaʼ-na,na-ke-͡ahʼ,naʼ-nä,naʼ-nä,na-haʼ,na-haʼ,naʼ-see,naʼ-see,ne-thaʼ-na,ne-thaʼ-na,ne-thaʼ-na,ne-thaʼ-na,naʼ-see,naʼ-nä,na-ke-͡ahʼ,ne-thaʼ-na,naʼ-see,na-haʼ,na-haʼ,naʼ-nä
8,0.14053932702562127,0.5982695885852573,0.457730261559636,naʼ-be-ǎ,naʼ-be,naʼ-be,naʼ-he,naʼ-be,na-be-ǎʼ,taʼ-yä,naʼ-be-ǎ,nǎʼ-thǎ-hǎ,naʼ-be-ä,nǎʼ-thǎ-hǎ,taʼ-yä,naʼ-be,nǎʼ-thǎ-hǎ,naʼ-be,naʼ-be,taʼ-yä,na-be-ǎ,naʼ-be,taʼ-yä,naʼ-be-ǎ,naʼ-he-ǎ,nǎʼ-thǎ-hǎ,taʼ-yä,naʼ-be,naʼ-he,nǎʼ-thǎ-hǎ,nǎʼ-thǎ-hǎ,naʼ-thǎ-hǎ,naʼ-thǎ-hǎ,taʼ-yä,naʼ-be-ǎ,nǎʼ-thǎ-hǎ,naʼ-be-ǎ,taʼ-yǎ,taʼ-yä,naʼ-be-ǎ,taʼ-yä,na-haʼ,ne-thaʼ-na,naʼ-see,ne-thaʼ-na,ne-thaʼ-na,naʼ-nä,ne-thaʼ-na,naʼ-see,na-ke-͡ahʼ,naʼ-see,naʼ-nä,naʼ-see,naʼ-nä,ne-thaʼ-na,na-haʼ,na-haʼ,naʼ-nä,ne-thaʼ-na,na-haʼ,na-ke-͡ahʼ
9,0.06578959220211433,0.5982695885852573,0.5324799963831429,taʼ-yä,naʼ-he,nǎʼ-thǎ-hǎ,naʼ-be-ǎ,naʼ-be,taʼ-yä,naʼ-be,nǎʼ-thǎ-hǎ,naʼ-thǎ-hǎ,naʼ-be-ǎ,na-be-ǎʼ,naʼ-be-ǎ,nǎʼ-thǎ-hǎ,naʼ-thǎ-hǎ,naʼ-be-ǎ,naʼ-be,naʼ-be-ǎ,taʼ-yǎ,taʼ-yä,naʼ-be-ǎ,nǎʼ-thǎ-hǎ,taʼ-yä,naʼ-be,nǎʼ-thǎ-hǎ,taʼ-yä,nǎʼ-thǎ-hǎ,naʼ-be,taʼ-yä,taʼ-yä,naʼ-be,nǎʼ-thǎ-hǎ,naʼ-he,taʼ-yä,naʼ-be,naʼ-he-ǎ,naʼ-be-ä,na-be-ǎ,naʼ-be,ne-thaʼ-na,na-ke-͡ahʼ,naʼ-nä,na-haʼ,na-haʼ,na-ke-͡ahʼ,ne-thaʼ-na,naʼ-see,naʼ-see,naʼ-see,ne-thaʼ-na,naʼ-nä,naʼ-nä,ne-thaʼ-na,ne-thaʼ-na,ne-thaʼ-na,naʼ-nä,na-haʼ,naʼ-see,na-haʼ
