simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.3465735902799725,1.0397207708399179,0.6931471805599454,natkusvei,m'an-,tatlanau,tëval-,vën-,tkha-,vën-,tkha-,m'an-,vën-,tëval-,m'an-,natkusvei,natkusvei,tëval-,natkusvei,natkusvei,natkusvei,tatlanau,tatlanau,m'an-,tatlanau,tëval-,natkusvei,m'an-,tkha-,vën-,tëval-,vavei pa,vën-,vavei pa,natkusvei,vën-,vavei pa,vavei pa,unei,vavei,unei,tatei,p'ënei,vavei,unei,vavei,p'ënei,unei,tatei,unei,tatei,tatei,p'ënei,tatei,unei,vavei,p'ënei,tatei
1,0.6931471805599452,1.0397207708399179,0.34657359027997264,natkusvei,tkha-,vën-,tatlanau,tatlanau,vavei pa,natkusvei,natkusvei,tëval-,natkusvei,m'an-,tkha-,m'an-,tëval-,vavei pa,natkusvei,tkha-,tëval-,m'an-,tatlanau,vën-,tëval-,natkusvei,m'an-,natkusvei,natkusvei,m'an-,tatlanau,vën-,vën-,vavei pa,vën-,vavei pa,tëval-,vën-,vavei,p'ënei,tatei,tatei,p'ënei,unei,p'ënei,vavei,tatei,unei,vavei,unei,unei,unei,tatei,vavei,p'ënei,tatei,unei,tatei
2,0.10600547999900756,0.5623351446188083,0.45632966461980073,vën-,tëval-,vën-,vën-,natkusvei,tëval-,tatlanau,tëval-,vavei pa,natkusvei,tatlanau,m'an-,vën-,natkusvei,m'an-,vavei pa,m'an-,tatlanau,natkusvei,tkha-,vën-,natkusvei,vavei pa,m'an-,tëval-,natkusvei,tëval-,vavei pa,tkha-,m'an-,natkusvei,tatlanau,tkha-,natkusvei,vën-,p'ënei,p'ënei,tatei,p'ënei,tatei,tatei,unei,unei,unei,tatei,vavei,tatei,unei,vavei,unei,vavei,unei,vavei,p'ënei,tatei
3,0.1438410362258904,0.5623351446188083,0.4184941083929179,tatlanau,tëval-,vën-,tëval-,vavei pa,natkusvei,vën-,tatlanau,tëval-,natkusvei,vavei pa,natkusvei,tëval-,m'an-,natkusvei,tkha-,natkusvei,vën-,tkha-,natkusvei,m'an-,vën-,tatlanau,vën-,tkha-,vavei pa,vën-,m'an-,vavei pa,m'an-,natkusvei,m'an-,tëval-,tatlanau,natkusvei,tatei,tatei,tatei,vavei,unei,p'ënei,unei,tatei,vavei,unei,unei,p'ënei,tatei,vavei,unei,vavei,p'ënei,tatei,unei,p'ënei
4,0.3465735902799726,1.0397207708399179,0.6931471805599453,tatlanau,tkha-,vën-,natkusvei,tëval-,tkha-,vën-,natkusvei,vavei pa,natkusvei,vavei pa,m'an-,natkusvei,vën-,vavei pa,tëval-,vën-,m'an-,m'an-,vavei pa,tëval-,natkusvei,tëval-,m'an-,tëval-,natkusvei,tatlanau,vën-,tkha-,natkusvei,tatlanau,natkusvei,m'an-,tatlanau,vën-,p'ënei,tatei,vavei,tatei,p'ënei,p'ënei,unei,tatei,vavei,unei,unei,p'ënei,unei,vavei,unei,tatei,vavei,tatei,unei,tatei
5,0.2310490601866484,1.0397207708399179,0.8086717106532695,tkha-,vën-,tëval-,tëval-,vavei pa,tatlanau,tatlanau,natkusvei,tkha-,natkusvei,vën-,natkusvei,tëval-,vavei pa,m'an-,tkha-,natkusvei,vavei pa,m'an-,vën-,m'an-,natkusvei,vën-,tatlanau,natkusvei,tëval-,natkusvei,vën-,tëval-,natkusvei,tatlanau,m'an-,vavei pa,vën-,m'an-,tatei,vavei,unei,vavei,p'ënei,p'ënei,tatei,tatei,unei,unei,tatei,unei,p'ënei,unei,vavei,unei,p'ënei,tatei,tatei,vavei
6,0.4620981203732968,1.0397207708399179,0.5776226504666211,tatlanau,natkusvei,tatlanau,tkha-,tëval-,vën-,vën-,m'an-,natkusvei,tëval-,tatlanau,tëval-,natkusvei,m'an-,natkusvei,tëval-,natkusvei,tkha-,vën-,m'an-,tëval-,m'an-,m'an-,tkha-,natkusvei,vavei pa,vën-,vavei pa,natkusvei,vavei pa,natkusvei,vavei pa,vën-,vën-,tatlanau,tatei,tatei,unei,p'ënei,unei,vavei,unei,tatei,vavei,unei,unei,tatei,unei,tatei,p'ënei,p'ënei,vavei,tatei,vavei,p'ënei
7,0.2310490601866484,1.0397207708399179,0.8086717106532695,tëval-,vën-,natkusvei,natkusvei,tëval-,vën-,vavei pa,vën-,tkha-,m'an-,natkusvei,vavei pa,natkusvei,natkusvei,m'an-,m'an-,tkha-,vavei pa,vën-,tëval-,tëval-,natkusvei,vavei pa,vën-,natkusvei,tkha-,tëval-,vën-,m'an-,tatlanau,natkusvei,m'an-,tatlanau,tatlanau,tatlanau,p'ënei,unei,unei,tatei,vavei,vavei,unei,tatei,tatei,p'ënei,unei,vavei,tatei,vavei,tatei,tatei,unei,p'ënei,unei,p'ënei
8,0.23104906018664828,1.0397207708399179,0.8086717106532696,m'an-,tatlanau,vavei pa,vën-,tatlanau,m'an-,tkha-,tëval-,m'an-,vën-,vavei pa,natkusvei,tatlanau,vën-,vavei pa,m'an-,vën-,tatlanau,natkusvei,natkusvei,vën-,tkha-,natkusvei,natkusvei,natkusvei,natkusvei,tkha-,natkusvei,tëval-,vën-,m'an-,tëval-,tëval-,tëval-,vavei pa,vavei,vavei,unei,tatei,tatei,unei,p'ënei,unei,tatei,tatei,p'ënei,vavei,vavei,tatei,p'ënei,unei,p'ënei,unei,unei,tatei
9,0.18744504820626917,1.0397207708399179,0.8522757226336487,tatlanau,vën-,tkha-,vën-,natkusvei,vën-,tkha-,vavei pa,tëval-,m'an-,natkusvei,tëval-,m'an-,m'an-,vën-,tëval-,vën-,natkusvei,vavei pa,tatlanau,tëval-,natkusvei,tatlanau,natkusvei,tkha-,natkusvei,natkusvei,m'an-,vën-,tëval-,natkusvei,tatlanau,m'an-,vavei pa,vavei pa,vavei,unei,vavei,tatei,tatei,vavei,unei,tatei,tatei,tatei,p'ënei,unei,p'ënei,unei,p'ënei,tatei,unei,p'ënei,unei,vavei
