simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFZeS,mFZyS,mFZeD,mFZyD,mMZeS,mMZyS,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.242433026555958,1.034601232910181,0.792168206354223,lu-,bwada-,lu-,tabu-,tama-,bwada-,bwada-,bwada-,tua-,bwada-,tabu-,tama-,lu-,bwada-,tua-,tama-,tama-,tua-,tua-,tua-,bwada-,tama-,tua-,lu-,tama-,tama-,ina-,tama-,kada-,tama-,kada-,ina-,ina-,tama-,tama-,tabu-,kada-,tama-,ina-,ina-,ina-,ina-,kada-,tabu-,ina-
1,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,bwada-,tabu-,tama-,tua-,bwada-,tua-,tama-,tua-,bwada-,tama-,bwada-,bwada-,bwada-,tama-,lu-,tabu-,tua-,lu-,bwada-,lu-,tama-,lu-,tua-,tua-,tama-,kada-,ina-,ina-,kada-,tabu-,tama-,tama-,kada-,tama-,ina-,kada-,ina-,ina-,tama-,tabu-,ina-,tama-,ina-,tama-,ina-
2,0.08878194993480448,0.9799711820833054,0.8911892321485009,tama-,tua-,tama-,lu-,tua-,lu-,bwada-,tama-,tabu-,tabu-,bwada-,bwada-,lu-,bwada-,tama-,tua-,bwada-,tama-,bwada-,tua-,bwada-,tua-,lu-,tama-,tua-,kada-,tama-,ina-,ina-,ina-,kada-,tama-,tabu-,tama-,tama-,kada-,ina-,tama-,kada-,ina-,tama-,ina-,tabu-,ina-,ina-
3,0.046462691877197204,0.5982695885852573,0.55180689670806,bwada-,bwada-,tama-,lu-,bwada-,tua-,lu-,tua-,tua-,tama-,lu-,bwada-,tua-,bwada-,tama-,tama-,tabu-,bwada-,tama-,tua-,tama-,bwada-,tua-,tabu-,lu-,tama-,tama-,kada-,tama-,tama-,tama-,ina-,ina-,ina-,ina-,kada-,kada-,ina-,tama-,ina-,kada-,ina-,tabu-,ina-,tabu-
4,0.24243302655595822,1.0346012329101812,0.792168206354223,tua-,bwada-,bwada-,lu-,lu-,bwada-,tua-,tabu-,tama-,lu-,lu-,tama-,tua-,tama-,bwada-,bwada-,tama-,tua-,bwada-,bwada-,tama-,tabu-,tama-,tua-,tua-,tama-,tabu-,tama-,ina-,kada-,ina-,ina-,kada-,tama-,kada-,ina-,ina-,tama-,tama-,tama-,ina-,kada-,ina-,tabu-,ina-
5,0.10603713334992682,1.0346012329101812,0.9285640995602544,tama-,tua-,lu-,bwada-,tama-,tama-,bwada-,lu-,bwada-,tama-,bwada-,bwada-,tua-,tabu-,tua-,bwada-,tua-,lu-,tama-,lu-,tama-,tabu-,tua-,tua-,bwada-,kada-,tama-,kada-,ina-,ina-,tama-,tama-,ina-,ina-,tama-,kada-,ina-,ina-,tama-,tama-,tabu-,ina-,ina-,kada-,tabu-
6,0.484866053111916,1.0789922078775833,0.5941261547656673,lu-,tama-,tua-,bwada-,lu-,tama-,bwada-,tua-,tua-,bwada-,bwada-,tama-,bwada-,tabu-,tama-,tama-,lu-,tua-,tama-,lu-,tua-,tabu-,bwada-,tua-,bwada-,ina-,ina-,kada-,tama-,ina-,kada-,ina-,ina-,tama-,kada-,tama-,ina-,tama-,kada-,tama-,tama-,ina-,ina-,tabu-,tabu-
7,0.12844012659925763,0.5195798391305154,0.3911397125312578,tua-,bwada-,tama-,tua-,bwada-,tama-,bwada-,lu-,tama-,tua-,lu-,bwada-,tabu-,tama-,tama-,bwada-,lu-,tua-,tama-,tabu-,tua-,tua-,bwada-,lu-,bwada-,ina-,kada-,ina-,ina-,kada-,ina-,tama-,kada-,ina-,ina-,tama-,ina-,kada-,tabu-,tama-,tabu-,tama-,ina-,tama-,tama-
8,0.10603713334992682,1.0346012329101812,0.9285640995602544,tama-,tabu-,tama-,bwada-,bwada-,bwada-,lu-,tua-,lu-,lu-,tama-,tua-,bwada-,tua-,tua-,bwada-,bwada-,bwada-,tua-,tabu-,tama-,tama-,tua-,lu-,tama-,ina-,kada-,kada-,tabu-,tama-,ina-,kada-,ina-,tama-,tama-,tama-,ina-,kada-,ina-,tabu-,tama-,ina-,ina-,tama-,ina-
9,0.16353168475831126,0.9799711820833054,0.8164394973249941,tama-,bwada-,tama-,tua-,bwada-,bwada-,bwada-,bwada-,lu-,lu-,lu-,tama-,tabu-,tua-,tama-,tua-,tama-,tabu-,tua-,tama-,tua-,bwada-,lu-,bwada-,tua-,kada-,tama-,ina-,ina-,tama-,tama-,tama-,tabu-,tama-,kada-,ina-,ina-,ina-,kada-,ina-,ina-,ina-,kada-,tabu-,tama-
