simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,mFB,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fMeB,fMyB,mFZ,mFeZ,mFyZ,fFZ,fFeZ,fFyZ
0,0.43890510565304564,1.366158847569202,0.9272537419161563,yaŋgi,yaŋgi,mukkidoo,mukkidoo,bama,mayada,yungoian,yungoian,waburdu,bama,mayada,waburdu,yabu,gannganu,yaburdi,yanga,yabu,wakan,yaburdi,gannganu,wakan,yanga,yabu,wakan,yanga,yabu,gannganu,yanga,gannganu,gannganu,yabu,gannganu,yanga,ammi,wakan,yabu,ammi,wakan,yanga,wakan
1,0.43890510565304564,1.0888999753452238,0.6499948696921781,yaŋgi,yaŋgi,mayada,waburdu,bama,bama,yungoian,mukkidoo,mukkidoo,mayada,waburdu,yungoian,yanga,yaburdi,ammi,yanga,yabu,yabu,yanga,wakan,ammi,yabu,gannganu,gannganu,gannganu,yaburdi,wakan,wakan,yabu,gannganu,gannganu,wakan,yabu,yabu,wakan,gannganu,wakan,yanga,yanga,yanga
2,0.24102870826040645,1.0296530140645737,0.7886243058041672,waburdu,bama,mayada,yungoian,bama,waburdu,mukkidoo,yaŋgi,mukkidoo,yaŋgi,mayada,yungoian,yabu,wakan,gannganu,gannganu,ammi,yanga,wakan,yaburdi,yanga,gannganu,yabu,yanga,wakan,yabu,gannganu,yabu,yanga,wakan,wakan,yanga,wakan,yabu,yabu,yaburdi,ammi,gannganu,yanga,gannganu
3,0.3695903875970511,1.366158847569202,0.9965684599721508,mukkidoo,waburdu,yungoian,yaŋgi,mayada,yaŋgi,bama,yungoian,mayada,waburdu,mukkidoo,bama,yaburdi,yanga,gannganu,gannganu,wakan,yabu,yaburdi,wakan,yanga,yabu,ammi,wakan,gannganu,gannganu,gannganu,yanga,yanga,yanga,wakan,yabu,wakan,ammi,yabu,yanga,wakan,gannganu,yabu,yabu
4,0.43890510565304564,1.366158847569202,0.9272537419161563,mukkidoo,yaŋgi,yaŋgi,bama,yungoian,bama,waburdu,waburdu,yungoian,mukkidoo,mayada,mayada,yaburdi,gannganu,wakan,gannganu,yanga,yabu,yanga,wakan,gannganu,yabu,yabu,ammi,yabu,yanga,wakan,yanga,wakan,yanga,yaburdi,wakan,ammi,wakan,gannganu,yanga,gannganu,yabu,gannganu,yabu
5,0.5775345417650346,1.366158847569202,0.7886243058041673,yaŋgi,yaŋgi,waburdu,mayada,mukkidoo,mayada,bama,waburdu,yungoian,yungoian,bama,mukkidoo,yaburdi,yanga,gannganu,gannganu,gannganu,gannganu,yanga,wakan,gannganu,yanga,yanga,yabu,wakan,yaburdi,yanga,yabu,ammi,gannganu,yabu,wakan,yabu,yabu,yanga,wakan,wakan,yabu,wakan,ammi
6,0.30027566954105667,1.366158847569202,1.0658831780281453,yaŋgi,mayada,mayada,waburdu,mukkidoo,yungoian,bama,yaŋgi,bama,mukkidoo,waburdu,yungoian,wakan,yanga,wakan,yanga,wakan,gannganu,gannganu,gannganu,yabu,ammi,gannganu,ammi,yabu,yabu,yaburdi,wakan,yanga,yabu,yaburdi,gannganu,yanga,yabu,yanga,wakan,yanga,wakan,yabu,gannganu
7,0.12856167933664475,1.0296530140645737,0.9010913347279289,mayada,mukkidoo,waburdu,yaŋgi,yungoian,bama,mukkidoo,yungoian,mayada,yaŋgi,waburdu,bama,wakan,yanga,gannganu,yabu,wakan,wakan,ammi,gannganu,gannganu,yaburdi,yabu,ammi,wakan,yanga,gannganu,gannganu,yabu,yanga,yabu,wakan,yanga,wakan,yabu,yaburdi,yabu,yanga,yanga,gannganu
8,0.24102870826040645,1.0296530140645737,0.7886243058041672,mayada,mayada,mukkidoo,yaŋgi,waburdu,bama,bama,yaŋgi,mukkidoo,yungoian,waburdu,yungoian,ammi,wakan,yanga,yabu,ammi,yabu,yabu,wakan,wakan,yabu,wakan,yanga,wakan,yaburdi,yanga,gannganu,wakan,gannganu,gannganu,gannganu,yabu,yanga,yanga,gannganu,yanga,yabu,gannganu,yaburdi
9,0.26719111544863383,1.0296530140645737,0.7624618986159398,bama,waburdu,mayada,yungoian,mukkidoo,mayada,mukkidoo,waburdu,yaŋgi,bama,yungoian,yaŋgi,gannganu,ammi,wakan,wakan,gannganu,yabu,wakan,ammi,yabu,yanga,yanga,gannganu,yabu,wakan,yanga,gannganu,wakan,yanga,yanga,yaburdi,yaburdi,gannganu,yabu,wakan,gannganu,yabu,yabu,yanga
