simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,mFeB,mFyB,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeZ,fFyZ,fMeZ,fMyZ,fFeB,fFyB,fMeB,fMyB
0,0.040601072511838865,1.4089220437540355,1.3683209712421966,siar,siar,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,tädä,emä,tädä,enoi,emä,enoi,täti,enoi,tädä,tädä,täti,tatta isä,tädä,enoi,täti,enoi,täti,täti,täti,täti,täti,täti,enoi,täti,tatta isä,täti,tädä,täti
1,0.0899123971229574,1.3953638692522619,1.3054514721293045,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,siar,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,emä,täti,täti,täti,tädä,emä,tatta isä,täti,täti,tatta isä,tädä,enoi,täti,täti,täti,tädä,täti,tädä,tädä,enoi,täti,enoi,enoi,enoi,täti,enoi,tädä,täti
2,0.051943883923262435,1.3721742628758966,1.3202303789526342,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,velloi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,siar,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,täti,täti,enoi,täti,emä,täti,tatta isä,täti,enoi,tädä,tatta isä,tädä,täti,täti,täti,tädä,tädä,tädä,enoi,enoi,täti,täti,täti,enoi,enoi,emä,tädä,täti
3,0.07512391049965128,1.441372190925767,1.3662482804261158,seukkoi,seukkoi,seukkoi,siar,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,täti,täti,emä,täti,tatta isä,täti,emä,täti,täti,täti,täti,täti,enoi,enoi,tädä,tädä,tädä,tädä,enoi,enoi,enoi,täti,enoi,tatta isä,tädä,täti,täti,tädä
4,0.05504769545953847,1.2802067432383542,1.2251590477788157,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,velloi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,enoi,tädä,täti,täti,täti,täti,tatta isä,tädä,tädä,tädä,täti,enoi,täti,enoi,täti,enoi,täti,tädä,täti,enoi,täti,emä,enoi,emä,täti,tatta isä,täti,tädä
5,0.06026206751852303,1.441372190925767,1.381110123407244,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,siar,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,emä,enoi,tatta isä,täti,enoi,täti,enoi,tädä,tädä,enoi,tädä,täti,täti,enoi,täti,emä,tädä,enoi,tädä,täti,täti,tädä,täti,täti,tatta isä,täti,täti,täti
6,0.06761622450769078,1.433827882985607,1.3662116584779163,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,siar,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,velloi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,velloi,täti,tatta isä,tädä,enoi,tädä,täti,täti,tädä,tädä,enoi,täti,täti,täti,emä,tädä,enoi,täti,tädä,tatta isä,enoi,enoi,täti,täti,emä,täti,täti,täti,enoi
7,0.08335026476149521,1.3347563260923416,1.2514060613308464,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,siar,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,täti,tatta isä,täti,täti,täti,tädä,tatta isä,tädä,emä,täti,enoi,enoi,tädä,tädä,enoi,enoi,täti,tädä,täti,täti,tädä,enoi,enoi,täti,emä,täti,täti,täti
8,0.06602348626688159,1.313917452017377,1.2478939657504955,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,enoi,tädä,täti,täti,tädä,täti,täti,emä,täti,enoi,emä,tatta isä,täti,enoi,enoi,enoi,täti,enoi,täti,täti,tädä,täti,täti,tädä,tatta isä,tädä,täti,tädä
9,0.06314163310061338,1.4041905603841878,1.3410489272835744,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,seukkoi,siar,siar,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,velloi,velloi,seukkoi,seukkoi,siar,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,seukkoi,täti,tädä,täti,täti,emä,tatta isä,täti,täti,tädä,täti,enoi,tädä,emä,enoi,enoi,enoi,tädä,täti,enoi,täti,täti,täti,tatta isä,enoi,täti,tädä,tädä,täti
