simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeZ,mFyZ,fFeZ,fFyZ
0,0.052674645647362794,1.0382400185693472,0.9855653729219844,"auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði",aušoo,"auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, aušoo, mɛ̃ɛ̃t̰i","auhẽřẽ, aušoo","auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, auti, auwirii","auti, awirii","auvae, eði","panea, šc̃c̃ɛ̃",aunẽ,aunẽ,"panea, šc̃c̃ɛ̃","panea, šc̃c̃ɛ̃",audẽ,"panea, šc̃c̃ɛ̃",audẽ
1,0.05035750934808547,1.0634187732433902,1.0130612638953047,"auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði",aušoo,"auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auti, awirii","auvae, eði","auhẽřẽ, aušoo","auvae, eði","auvae, eði","auhẽřẽ, aušoo, mɛ̃ɛ̃t̰i","auvae, eði","auvae, eði","auhẽřẽ, auti, auwirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","panea, šc̃c̃ɛ̃",audẽ,audẽ,aunẽ,"panea, šc̃c̃ɛ̃","panea, šc̃c̃ɛ̃","panea, šc̃c̃ɛ̃",aunẽ
2,0.053588929423123544,1.0382400185693474,0.9846510891462239,"auvae, eði","auvae, eði",aušoo,"auhẽřẽ, aušoo, mɛ̃ɛ̃t̰i","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, auti, auwirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auti, awirii","auvae, eði","auvae, eði","auhẽřẽ, aušoo","auhẽřẽ, auti, awirii","auvae, eði","panea, šc̃c̃ɛ̃",audẽ,audẽ,"panea, šc̃c̃ɛ̃","panea, šc̃c̃ɛ̃","panea, šc̃c̃ɛ̃",aunẽ,aunẽ
3,0.05035750934808547,1.0634187732433902,1.0130612638953047,"auvae, eði","auvae, eði","auhẽřẽ, aušoo, mɛ̃ɛ̃t̰i","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auti, awirii","auvae, eði",aušoo,"auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, auti, auwirii","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, aušoo","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","panea, šc̃c̃ɛ̃",aunẽ,audẽ,aunẽ,"panea, šc̃c̃ɛ̃",audẽ,"panea, šc̃c̃ɛ̃","panea, šc̃c̃ɛ̃"
4,0.15795509580563394,1.0382400185693474,0.8802849227637135,"auvae, eði","auhẽřẽ, auti, auwirii",aušoo,"auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, auti, awirii","auti, awirii","auhẽřẽ, aušoo, mɛ̃ɛ̃t̰i","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, aušoo","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði",aunẽ,"panea, šc̃c̃ɛ̃",audẽ,"panea, šc̃c̃ɛ̃","panea, šc̃c̃ɛ̃","panea, šc̃c̃ɛ̃",aunẽ,audẽ
5,0.08199910417220435,1.0382400185693474,0.9562409143971431,"auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, aušoo, mɛ̃ɛ̃t̰i","auvae, eði","auvae, eði","auvae, eði","auvae, eði",aušoo,"auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, auti, auwirii","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, aušoo","panea, šc̃c̃ɛ̃",aunẽ,audẽ,"panea, šc̃c̃ɛ̃",audẽ,"panea, šc̃c̃ɛ̃","panea, šc̃c̃ɛ̃",aunẽ
6,0.025178754674042736,1.0382400185693474,1.0130612638953047,"auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, aušoo","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, auti, auwirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði",aušoo,"auvae, eði","auvae, eði","auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, aušoo, mɛ̃ɛ̃t̰i","auvae, eði","panea, šc̃c̃ɛ̃","panea, šc̃c̃ɛ̃","panea, šc̃c̃ɛ̃",audẽ,audẽ,aunẽ,aunẽ,"panea, šc̃c̃ɛ̃"
7,0.05035750934808547,1.0100997593541636,0.9597422500060782,"auvae, eði","auvae, eði","auhẽřẽ, aušoo, mɛ̃ɛ̃t̰i","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, auti, awirii","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, aušoo","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði",aušoo,"auhẽřẽ, auti, auwirii","auvae, eði","auvae, eði","auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auti, awirii","auvae, eði",aunẽ,"panea, šc̃c̃ɛ̃","panea, šc̃c̃ɛ̃","panea, šc̃c̃ɛ̃",aunẽ,"panea, šc̃c̃ɛ̃",audẽ,audẽ
8,0.0984783651348271,1.0579054247036734,0.9594270595688463,"auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, auti, auwirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði",aušoo,"auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, aušoo, mɛ̃ɛ̃t̰i","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auti, awirii","auvae, eði","auti, awirii","auhẽřẽ, aušoo","auvae, eði","auvae, eði","auvae, eði",aunẽ,"panea, šc̃c̃ɛ̃",audẽ,audẽ,"panea, šc̃c̃ɛ̃","panea, šc̃c̃ɛ̃","panea, šc̃c̃ɛ̃",aunẽ
9,0.0658463659255385,1.0634187732433902,0.9975724073178517,"auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auti, awirii","auvae, eði",aušoo,"auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, aušoo","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, aušoo, mɛ̃ɛ̃t̰i","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auti, awirii","auhẽřẽ, auti, awirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auhẽřẽ, auti, auwirii","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","auvae, eði","panea, šc̃c̃ɛ̃",audẽ,audẽ,aunẽ,"panea, šc̃c̃ɛ̃",aunẽ,"panea, šc̃c̃ɛ̃","panea, šc̃c̃ɛ̃"
