simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.0788931686430967,0.5982695885852573,0.5193764199421605,barrmbarra,barrmbarra,"tjatjarrang, wurranak",wangat,"yandang, wardang, wardung","tjatjarrang, wurranak",wangat,baba-rrang,baba-rrang,baba-rrang,tandop,tandop,tandop,ngardang,"gurrau, pitjarr(ng)",ngardang,tandop,baba-rrang,baba-rrang,tandop,tandop,tandop,baba-rrang,baba-rrang,tandop,"gurrau, pitjarr(ng)",baba-rrang
1,0.4848660531119159,0.6829081047004717,0.19804205158855578,wangat,barrmbarra,"yandang, wardang, wardung","tjatjarrang, wurranak","tjatjarrang, wurranak",barrmbarra,wangat,tandop,tandop,baba-rrang,baba-rrang,tandop,"gurrau, pitjarr(ng)",baba-rrang,ngardang,baba-rrang,ngardang,tandop,baba-rrang,baba-rrang,baba-rrang,tandop,tandop,"gurrau, pitjarr(ng)",tandop,baba-rrang,tandop
2,0.0788931686430967,0.5982695885852573,0.5193764199421605,"yandang, wardang, wardung",wangat,"tjatjarrang, wurranak",barrmbarra,wangat,"tjatjarrang, wurranak",barrmbarra,tandop,tandop,tandop,baba-rrang,baba-rrang,baba-rrang,baba-rrang,baba-rrang,baba-rrang,tandop,baba-rrang,"gurrau, pitjarr(ng)",ngardang,ngardang,tandop,tandop,tandop,tandop,baba-rrang,"gurrau, pitjarr(ng)"
3,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,barrmbarra,"yandang, wardang, wardung",wangat,barrmbarra,"tjatjarrang, wurranak",wangat,"tjatjarrang, wurranak",baba-rrang,tandop,baba-rrang,tandop,baba-rrang,tandop,tandop,"gurrau, pitjarr(ng)",tandop,ngardang,baba-rrang,tandop,"gurrau, pitjarr(ng)",ngardang,tandop,baba-rrang,baba-rrang,tandop,baba-rrang,baba-rrang
4,0.2868240015233605,1.376055285260417,1.0892312837370566,"yandang, wardang, wardung",barrmbarra,wangat,"tjatjarrang, wurranak",barrmbarra,"tjatjarrang, wurranak",wangat,tandop,baba-rrang,ngardang,"gurrau, pitjarr(ng)",tandop,baba-rrang,tandop,baba-rrang,tandop,tandop,"gurrau, pitjarr(ng)",baba-rrang,tandop,baba-rrang,baba-rrang,ngardang,tandop,baba-rrang,tandop,baba-rrang
5,0.03757828660010831,0.5195798391305154,0.4820015525304071,barrmbarra,wangat,"yandang, wardang, wardung","tjatjarrang, wurranak",wangat,barrmbarra,"tjatjarrang, wurranak",baba-rrang,tandop,tandop,tandop,baba-rrang,tandop,baba-rrang,ngardang,tandop,baba-rrang,tandop,baba-rrang,"gurrau, pitjarr(ng)",tandop,ngardang,baba-rrang,baba-rrang,tandop,baba-rrang,"gurrau, pitjarr(ng)"
6,0.22251676174768176,0.5195798391305154,0.29706307738283366,"tjatjarrang, wurranak",wangat,barrmbarra,"yandang, wardang, wardung","tjatjarrang, wurranak",barrmbarra,wangat,baba-rrang,tandop,tandop,tandop,baba-rrang,tandop,baba-rrang,baba-rrang,ngardang,tandop,tandop,ngardang,baba-rrang,baba-rrang,"gurrau, pitjarr(ng)",baba-rrang,"gurrau, pitjarr(ng)",baba-rrang,tandop,tandop
7,0.4848660531119162,1.376055285260417,0.8911892321485009,barrmbarra,"tjatjarrang, wurranak",wangat,"tjatjarrang, wurranak",barrmbarra,"yandang, wardang, wardung",wangat,ngardang,tandop,"gurrau, pitjarr(ng)",baba-rrang,ngardang,tandop,baba-rrang,tandop,tandop,baba-rrang,tandop,baba-rrang,"gurrau, pitjarr(ng)",baba-rrang,tandop,baba-rrang,tandop,baba-rrang,baba-rrang,tandop
8,0.08878194993480448,0.9799711820833054,0.8911892321485009,"tjatjarrang, wurranak","tjatjarrang, wurranak",barrmbarra,barrmbarra,wangat,wangat,"yandang, wardang, wardung",ngardang,baba-rrang,tandop,tandop,baba-rrang,tandop,tandop,baba-rrang,baba-rrang,tandop,"gurrau, pitjarr(ng)",baba-rrang,tandop,baba-rrang,tandop,"gurrau, pitjarr(ng)",baba-rrang,tandop,baba-rrang,ngardang
9,0.1608706033651573,0.5195798391305154,0.3587092357653581,barrmbarra,"yandang, wardang, wardung",wangat,"tjatjarrang, wurranak","tjatjarrang, wurranak",wangat,barrmbarra,tandop,baba-rrang,tandop,tandop,ngardang,baba-rrang,baba-rrang,tandop,baba-rrang,baba-rrang,ngardang,baba-rrang,tandop,baba-rrang,baba-rrang,"gurrau, pitjarr(ng)",tandop,"gurrau, pitjarr(ng)",tandop,tandop
