simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.0788931686430967,0.5982695885852573,0.5193764199421605,"hala-, tuqa-",mwene-,vene-,"hala-, tesi-",vene-,mwene-,"hala-, tesi-",avweyvwey,avweyvwey,"apap, papap",avweyvwey,avweyvwey,"apap, papap","mituwa-, apap, papap","teme-, tatay","apap, papap",avweyvwey,avweyvwey,"hine-, amoq","mituwa-, apap, papap",avweyvwey,"mituwa-, apap, papap","mituwa-, apap, papap","apap, papap",avweyvwey,"teme-, tatay","hine-, amoq"
1,0.04439097496740252,1.0346012329101812,0.9902102579427787,mwene-,"hala-, tuqa-",mwene-,"hala-, tesi-",vene-,vene-,"hala-, tesi-",avweyvwey,"teme-, tatay","apap, papap",avweyvwey,avweyvwey,"mituwa-, apap, papap","teme-, tatay","hine-, amoq","apap, papap","mituwa-, apap, papap",avweyvwey,"apap, papap",avweyvwey,"hine-, amoq",avweyvwey,"apap, papap",avweyvwey,avweyvwey,"mituwa-, apap, papap","mituwa-, apap, papap"
2,0.22251676174768176,0.5195798391305154,0.29706307738283366,"hala-, tuqa-",vene-,mwene-,"hala-, tesi-","hala-, tesi-",vene-,mwene-,"mituwa-, apap, papap",avweyvwey,avweyvwey,avweyvwey,"hine-, amoq","teme-, tatay","mituwa-, apap, papap","teme-, tatay",avweyvwey,"apap, papap","apap, papap","mituwa-, apap, papap","apap, papap","hine-, amoq",avweyvwey,"apap, papap",avweyvwey,"mituwa-, apap, papap",avweyvwey,avweyvwey
3,0.017247010260572182,0.5982695885852573,0.5810225783246851,mwene-,mwene-,vene-,"hala-, tesi-",vene-,"hala-, tuqa-","hala-, tesi-",avweyvwey,avweyvwey,avweyvwey,"mituwa-, apap, papap","hine-, amoq","apap, papap",avweyvwey,"mituwa-, apap, papap","teme-, tatay",avweyvwey,"apap, papap","hine-, amoq","mituwa-, apap, papap","apap, papap",avweyvwey,avweyvwey,"apap, papap","teme-, tatay","mituwa-, apap, papap",avweyvwey
4,0.2868240015233605,1.376055285260417,1.0892312837370566,"hala-, tuqa-",vene-,"hala-, tesi-","hala-, tesi-",vene-,mwene-,mwene-,"apap, papap","hine-, amoq","teme-, tatay",avweyvwey,"hine-, amoq",avweyvwey,avweyvwey,avweyvwey,"mituwa-, apap, papap",avweyvwey,avweyvwey,"apap, papap",avweyvwey,"teme-, tatay","mituwa-, apap, papap","mituwa-, apap, papap","apap, papap","mituwa-, apap, papap",avweyvwey,"apap, papap"
5,0.14341200076168037,1.0346012329101812,0.8911892321485009,"hala-, tuqa-","hala-, tesi-",mwene-,"hala-, tesi-",vene-,mwene-,vene-,"apap, papap",avweyvwey,avweyvwey,"teme-, tatay","apap, papap",avweyvwey,"hine-, amoq","apap, papap","apap, papap","mituwa-, apap, papap",avweyvwey,"mituwa-, apap, papap",avweyvwey,"teme-, tatay",avweyvwey,avweyvwey,"hine-, amoq","mituwa-, apap, papap",avweyvwey,"mituwa-, apap, papap"
6,0.4848660531119159,0.9799711820833054,0.4951051289713895,"hala-, tesi-",mwene-,vene-,vene-,"hala-, tesi-","hala-, tuqa-",mwene-,"hine-, amoq",avweyvwey,"mituwa-, apap, papap","mituwa-, apap, papap","mituwa-, apap, papap",avweyvwey,"mituwa-, apap, papap","hine-, amoq","teme-, tatay",avweyvwey,"apap, papap","apap, papap","apap, papap",avweyvwey,"teme-, tatay",avweyvwey,"apap, papap",avweyvwey,avweyvwey,avweyvwey
7,0.2868240015233603,1.0789922078775833,0.792168206354223,"hala-, tuqa-",mwene-,mwene-,vene-,"hala-, tesi-","hala-, tesi-",vene-,avweyvwey,avweyvwey,"teme-, tatay","mituwa-, apap, papap","apap, papap","mituwa-, apap, papap",avweyvwey,"teme-, tatay","apap, papap",avweyvwey,"hine-, amoq","mituwa-, apap, papap","hine-, amoq","apap, papap",avweyvwey,"mituwa-, apap, papap",avweyvwey,avweyvwey,"apap, papap",avweyvwey
8,0.6829081047004717,1.0789922078775833,0.39608410317711157,"hala-, tuqa-",mwene-,vene-,"hala-, tesi-","hala-, tesi-",vene-,mwene-,avweyvwey,avweyvwey,"mituwa-, apap, papap","hine-, amoq","apap, papap",avweyvwey,"teme-, tatay",avweyvwey,"mituwa-, apap, papap","apap, papap","teme-, tatay",avweyvwey,"apap, papap","hine-, amoq",avweyvwey,avweyvwey,"apap, papap","mituwa-, apap, papap","mituwa-, apap, papap",avweyvwey
9,0.24243302655595822,1.0346012329101812,0.792168206354223,"hala-, tesi-",mwene-,"hala-, tuqa-","hala-, tesi-",vene-,mwene-,vene-,avweyvwey,"apap, papap","teme-, tatay",avweyvwey,"mituwa-, apap, papap",avweyvwey,"mituwa-, apap, papap","hine-, amoq","mituwa-, apap, papap","mituwa-, apap, papap",avweyvwey,avweyvwey,avweyvwey,"hine-, amoq","apap, papap","teme-, tatay","apap, papap",avweyvwey,"apap, papap",avweyvwey
