simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,fF,fM
0,0.0024849871169563276,0.6914160776171183,0.688931090500162,kabasuyán,sissoai,kabasuyán,kabasuyán,sissoai,matasoai,sissoai,matasoai,sissoai,matasoai,kabasuyán,yayá,yabá,yabá,yayá
1,0.00419110692502267,0.6914160776171183,0.6872249706920956,sissoai,matasoai,sissoai,matasoai,kabasuyán,kabasuyán,sissoai,kabasuyán,sissoai,kabasuyán,matasoai,yabá,yayá,yabá,yayá
2,0.00419110692502267,0.6914160776171183,0.6872249706920956,kabasuyán,matasoai,sissoai,kabasuyán,sissoai,sissoai,kabasuyán,matasoai,matasoai,sissoai,kabasuyán,yabá,yayá,yayá,yabá
3,0.00419110692502267,0.6914160776171183,0.6872249706920956,sissoai,kabasuyán,sissoai,kabasuyán,kabasuyán,matasoai,sissoai,matasoai,matasoai,sissoai,kabasuyán,yayá,yabá,yabá,yayá
4,0.0024849871169562165,0.6914160776171183,0.6889310905001621,sissoai,matasoai,sissoai,sissoai,kabasuyán,kabasuyán,matasoai,kabasuyán,matasoai,kabasuyán,sissoai,yayá,yabá,yayá,yabá
5,0.11651713662410734,0.6914160776171183,0.574898940993011,sissoai,kabasuyán,matasoai,kabasuyán,kabasuyán,sissoai,matasoai,sissoai,sissoai,matasoai,kabasuyán,yabá,yabá,yayá,yayá
6,0.00419110692502267,0.6914160776171183,0.6872249706920956,sissoai,kabasuyán,sissoai,kabasuyán,matasoai,sissoai,matasoai,sissoai,kabasuyán,kabasuyán,matasoai,yabá,yayá,yayá,yabá
7,0.05732426278738545,0.6914160776171183,0.6340918148297329,kabasuyán,sissoai,matasoai,kabasuyán,kabasuyán,matasoai,sissoai,sissoai,sissoai,kabasuyán,matasoai,yabá,yabá,yayá,yayá
8,0.08980968516983712,0.6914160776171183,0.6016063924472812,sissoai,kabasuyán,kabasuyán,matasoai,kabasuyán,sissoai,sissoai,matasoai,matasoai,sissoai,kabasuyán,yabá,yabá,yayá,yayá
9,0.008262958045137547,0.6914160776171183,0.6831531195719808,matasoai,sissoai,kabasuyán,kabasuyán,matasoai,matasoai,sissoai,sissoai,kabasuyán,sissoai,kabasuyán,yayá,yabá,yayá,yabá
