simulation_number,mutual_information,entropy,conditional_entropy,mMBD,mMBS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFZD,fMBD,fMBS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMZD,mFBS,mFZS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mMeZS,mMyZS,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mMZeS,mMZyS,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFBD,fMZD,fFBS,fFZS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fMZyS,fMZeD,fMZyD,mF,mFB,mFZ,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fF,fFB,fFZ,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,mM,mMB,mMeB,mMyB,fM,fMB,fMeB,fMyB
0,0.10081545057026897,1.4248167902504205,1.3240013396801515,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,m'mue,pangiayala,m'mue,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,mukulu,m'mue,mukombo,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,m'mue,m'mue,pangiayala,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,m'mue,lemba,lemba,tata,mǎma,mǎma,lemba,lemba,lemba,tǎta,mǎma,lemba,mǎma,lemba,tǎta,lemba,lemba,lemba,mǎma,tǎta,tata,mǎma,gina,lemba,gina,tǎta,lemba,tǎta,tǎta
1,0.0813664135546528,1.3838426250416442,1.3024762114869914,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,pangiayala,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,pangiayala,m'mue,mǎma,tǎta,lemba,tǎta,gina,lemba,tǎta,tǎta,lemba,lemba,mǎma,mǎma,tata,tǎta,lemba,tǎta,lemba,lemba,lemba,mǎma,lemba,lemba,mǎma,mǎma,lemba,lemba,gina,tata
2,0.10072050793243337,1.446902371749315,1.3461818638168817,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,mukulu,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,mukombo,m'mue,mukombo,m'mue,pangiayala,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,pangiayala,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,lemba,tǎta,tata,mǎma,mǎma,lemba,tata,lemba,lemba,lemba,tǎta,gina,mǎma,lemba,tǎta,lemba,mǎma,lemba,lemba,tǎta,tǎta,lemba,gina,lemba,tǎta,mǎma,lemba,mǎma
3,0.07871560845977865,1.3887939409783494,1.3100783325185708,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,pangiayala,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,pangiayala,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,mǎma,lemba,tata,tǎta,tǎta,tǎta,tǎta,lemba,lemba,lemba,lemba,lemba,mǎma,mǎma,lemba,lemba,lemba,tǎta,mǎma,gina,tǎta,lemba,tata,mǎma,lemba,lemba,gina,mǎma
4,0.12144621617283935,1.488201909596847,1.3667556934240077,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,pangiayala,mukombo,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,pangiayala,mukombo,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,mukulu,m'mue,mukombo,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,gina,mǎma,lemba,tata,lemba,lemba,mǎma,tǎta,tǎta,mǎma,lemba,mǎma,mǎma,tata,lemba,tǎta,lemba,lemba,lemba,lemba,tǎta,gina,lemba,lemba,tǎta,lemba,tǎta,mǎma
5,0.04861692373213966,1.3935885053679737,1.344971581635834,mukombo,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,pangiayala,pangiamukhetu,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,pangiayala,mukombo,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,m'mue,m'mue,tǎta,mǎma,lemba,tǎta,tata,lemba,tata,tǎta,tǎta,gina,mǎma,mǎma,gina,lemba,tǎta,lemba,mǎma,lemba,lemba,lemba,lemba,lemba,lemba,lemba,lemba,mǎma,mǎma,tǎta
6,0.10687264011149034,1.3312271741142545,1.2243545340027642,m'mue,m'mue,m'mue,m'mue,pangiayala,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,pangiamukhetu,m'mue,m'mue,m'mue,m'mue,pangiayala,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,mukulu,mukombo,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,mǎma,lemba,tǎta,lemba,tata,tǎta,lemba,lemba,lemba,lemba,mǎma,lemba,lemba,lemba,lemba,mǎma,gina,tata,mǎma,mǎma,mǎma,tǎta,tǎta,lemba,gina,lemba,tǎta,tǎta
7,0.1535094745057377,1.375520749808518,1.2220112753027803,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,pangiayala,m'mue,m'mue,mukulu,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,pangiayala,m'mue,m'mue,m'mue,m'mue,mukombo,mukulu,m'mue,m'mue,m'mue,m'mue,mukombo,mukombo,m'mue,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,m'mue,m'mue,m'mue,lemba,gina,lemba,tǎta,tata,lemba,lemba,mǎma,tǎta,lemba,lemba,mǎma,mǎma,mǎma,tǎta,tǎta,tǎta,tata,gina,mǎma,tǎta,lemba,lemba,lemba,lemba,lemba,lemba,mǎma
8,0.104473866017736,1.4634899024130454,1.3590160363953094,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,mukombo,m'mue,m'mue,pangiayala,pangiamukhetu,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,pangiayala,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,lemba,gina,tǎta,tǎta,lemba,mǎma,lemba,lemba,tata,lemba,mǎma,tata,tǎta,mǎma,tǎta,lemba,lemba,mǎma,tǎta,lemba,lemba,gina,mǎma,lemba,lemba,lemba,mǎma,tǎta
9,0.11201285602072075,1.359304869599065,1.2472920135783443,m'mue,mukombo,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukombo,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,m'mue,pangiayala,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,pangiamukhetu,m'mue,m'mue,mukulu,m'mue,mukulu,m'mue,mukombo,m'mue,pangiayala,m'mue,m'mue,m'mue,m'mue,m'mue,m'mue,mukulu,m'mue,m'mue,m'mue,m'mue,m'mue,tǎta,lemba,tǎta,lemba,gina,lemba,tǎta,tata,lemba,lemba,lemba,mǎma,lemba,mǎma,lemba,lemba,tata,mǎma,lemba,lemba,mǎma,mǎma,tǎta,mǎma,tǎta,lemba,gina,tǎta
