simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mMBD,fFZS,fMBS,fMBD,mFeZS,mFyZS,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.1102623593841855,1.0952733774372052,0.9850110180530197,natungk,tomongk,natungk,natungk,natungk,natungk,avwa sungk,natungk,natungk,tomongk,mwenengk,vevenungk,natungk,tomongk,natungk,natungk,tomongk,vevenungk,tomongk,natungk,natungk,natungk,natungk,natungk,tomongk,tomongk,natungk,natungk,natungk,tomongk,natungk,tomongk,tasingk,natungk,tasingk,tomongk,"avwa sungk, mwenengk",tomongk,metungk,tomongk,resyongk,resyongk,tomongk,resyongk,tomongk,metungk,tomongk,metungk,resyongk,resyongk,resyongk,resyongk,resyongk,metungk,resyongk,resyongk,tomongk
1,0.12052759680938574,1.009613758174038,0.8890861613646523,tomongk,avwa sungk,natungk,natungk,tasingk,natungk,tasingk,natungk,"avwa sungk, mwenengk",vevenungk,natungk,tomongk,natungk,mwenengk,natungk,tomongk,vevenungk,natungk,tomongk,natungk,tomongk,natungk,tomongk,natungk,tomongk,natungk,natungk,natungk,natungk,tomongk,natungk,natungk,natungk,natungk,tomongk,natungk,tomongk,tomongk,metungk,resyongk,resyongk,tomongk,resyongk,resyongk,resyongk,metungk,resyongk,metungk,resyongk,metungk,tomongk,tomongk,tomongk,resyongk,tomongk,resyongk,resyongk
2,0.26836992512092395,1.0882231038287273,0.8198531787078034,natungk,"avwa sungk, mwenengk",natungk,natungk,natungk,natungk,mwenengk,natungk,avwa sungk,natungk,tomongk,natungk,natungk,tomongk,tomongk,tomongk,tasingk,tomongk,natungk,natungk,natungk,natungk,natungk,tomongk,tomongk,natungk,natungk,tomongk,natungk,vevenungk,tomongk,vevenungk,tomongk,tasingk,natungk,natungk,natungk,resyongk,tomongk,metungk,metungk,resyongk,metungk,tomongk,resyongk,tomongk,resyongk,resyongk,tomongk,resyongk,resyongk,resyongk,tomongk,resyongk,metungk,resyongk,tomongk
3,0.2614644152227734,1.0096137581740383,0.7481493429512649,natungk,natungk,natungk,vevenungk,natungk,natungk,natungk,natungk,natungk,natungk,natungk,tomongk,tomongk,"avwa sungk, mwenengk",tasingk,natungk,tomongk,mwenengk,tomongk,natungk,tomongk,natungk,vevenungk,avwa sungk,tomongk,tomongk,natungk,natungk,tomongk,tasingk,tomongk,natungk,natungk,natungk,natungk,natungk,tomongk,resyongk,metungk,metungk,tomongk,metungk,resyongk,tomongk,tomongk,resyongk,resyongk,resyongk,tomongk,tomongk,resyongk,metungk,resyongk,resyongk,resyongk,tomongk,resyongk
4,0.30556587246322187,1.009613758174038,0.7040478857108162,natungk,tasingk,natungk,mwenengk,natungk,natungk,tasingk,"avwa sungk, mwenengk",tomongk,natungk,natungk,vevenungk,tomongk,natungk,natungk,natungk,tomongk,natungk,natungk,tomongk,tomongk,avwa sungk,natungk,natungk,natungk,vevenungk,natungk,tomongk,natungk,tomongk,natungk,tomongk,tomongk,natungk,natungk,natungk,tomongk,tomongk,tomongk,resyongk,resyongk,resyongk,resyongk,tomongk,resyongk,resyongk,resyongk,resyongk,resyongk,tomongk,metungk,resyongk,tomongk,metungk,metungk,tomongk,metungk
5,0.2089761300480275,0.9276173343271816,0.7186412042791541,natungk,tomongk,tomongk,tomongk,tomongk,avwa sungk,natungk,vevenungk,natungk,vevenungk,natungk,natungk,natungk,natungk,natungk,tasingk,tomongk,natungk,"avwa sungk, mwenengk",natungk,natungk,tomongk,natungk,tasingk,tomongk,mwenengk,natungk,natungk,tomongk,tomongk,natungk,natungk,natungk,tomongk,natungk,natungk,natungk,resyongk,tomongk,metungk,resyongk,resyongk,resyongk,resyongk,metungk,resyongk,metungk,tomongk,tomongk,tomongk,resyongk,tomongk,resyongk,resyongk,resyongk,metungk,tomongk
6,0.11479823702429359,1.0521391662238093,0.9373409291995157,natungk,natungk,vevenungk,natungk,tomongk,natungk,natungk,natungk,natungk,tasingk,tomongk,natungk,tomongk,natungk,mwenengk,natungk,vevenungk,natungk,tomongk,natungk,tomongk,natungk,tomongk,natungk,tomongk,natungk,natungk,avwa sungk,natungk,natungk,tomongk,natungk,tasingk,natungk,tomongk,tomongk,"avwa sungk, mwenengk",metungk,tomongk,tomongk,resyongk,resyongk,resyongk,resyongk,metungk,resyongk,resyongk,tomongk,resyongk,resyongk,resyongk,metungk,metungk,tomongk,tomongk,tomongk,resyongk
7,0.3218013937781625,1.0521391662238093,0.7303377724456468,tomongk,tasingk,tasingk,natungk,tomongk,"avwa sungk, mwenengk",tomongk,natungk,natungk,natungk,natungk,natungk,natungk,natungk,natungk,natungk,natungk,natungk,tomongk,tomongk,natungk,avwa sungk,mwenengk,tomongk,tomongk,natungk,natungk,tomongk,tomongk,vevenungk,tomongk,natungk,natungk,natungk,vevenungk,natungk,natungk,metungk,resyongk,tomongk,tomongk,resyongk,metungk,resyongk,tomongk,resyongk,tomongk,metungk,resyongk,resyongk,resyongk,tomongk,resyongk,resyongk,metungk,tomongk,resyongk
8,0.07047863477911098,0.7155139308078031,0.6450352960286921,natungk,tomongk,natungk,natungk,tomongk,natungk,tomongk,natungk,natungk,tasingk,tomongk,tomongk,"avwa sungk, mwenengk",vevenungk,tomongk,natungk,natungk,tomongk,tomongk,natungk,natungk,natungk,natungk,tomongk,natungk,natungk,natungk,tomongk,natungk,natungk,tasingk,natungk,natungk,mwenengk,natungk,avwa sungk,vevenungk,resyongk,resyongk,resyongk,resyongk,tomongk,metungk,resyongk,metungk,tomongk,tomongk,resyongk,tomongk,resyongk,resyongk,tomongk,tomongk,resyongk,resyongk,metungk,metungk
9,0.06918976073993055,0.8720070548753092,0.8028172941353786,tomongk,natungk,natungk,tomongk,natungk,mwenengk,tomongk,vevenungk,tomongk,vevenungk,natungk,tomongk,tomongk,avwa sungk,natungk,natungk,natungk,natungk,natungk,natungk,natungk,natungk,tomongk,tomongk,tasingk,"avwa sungk, mwenengk",natungk,natungk,tomongk,natungk,natungk,natungk,natungk,tasingk,tomongk,natungk,natungk,resyongk,tomongk,resyongk,tomongk,tomongk,resyongk,resyongk,resyongk,resyongk,resyongk,metungk,resyongk,metungk,tomongk,resyongk,tomongk,resyongk,metungk,metungk,tomongk
