simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.37973615289578366,1.314775737547273,0.9350395846514894,manungk,tugangk,netungk,tat uve,manungk,vave,manungk,tat uve,vave,vövönungk,netungk,havungk,havungk,vövönungk,netungk,naaruongk,vövönungk,netungk,vave,tat uve,netungk,mame,netungk,tat uve,tugangk,netungk,vave,manungk,vövönungk,netungk,tate,vave,bimbi,bimbi,bimbi,tate,nane,vave,nane,vave,vave,bimbi
1,0.3536444844138039,1.3340295991155569,0.9803851147017529,tat uve,tat uve,manungk,netungk,tugangk,tat uve,vave,netungk,vövönungk,netungk,tugangk,havungk,mame,netungk,vövönungk,vövönungk,vave,netungk,havungk,vave,netungk,vövönungk,manungk,naaruongk,netungk,netungk,tat uve,vave,manungk,manungk,vave,tate,tate,bimbi,nane,vave,bimbi,bimbi,nane,bimbi,vave,vave
2,0.5025483192240963,1.3340295991155569,0.8314812798914606,tat uve,havungk,netungk,tat uve,tugangk,tugangk,mame,manungk,manungk,tat uve,netungk,netungk,manungk,vave,netungk,vave,tat uve,netungk,netungk,havungk,netungk,vövönungk,vövönungk,vave,naaruongk,vövönungk,netungk,manungk,vövönungk,vave,vave,vave,nane,vave,bimbi,bimbi,tate,tate,nane,bimbi,vave,bimbi
3,0.5382471648998433,1.314775737547273,0.7765285726474298,manungk,vövönungk,vövönungk,vave,netungk,tat uve,tugangk,tat uve,netungk,havungk,netungk,netungk,tat uve,naaruongk,netungk,manungk,havungk,netungk,vave,mame,tugangk,vövönungk,vave,netungk,tat uve,vövönungk,vave,manungk,netungk,manungk,bimbi,vave,bimbi,bimbi,tate,nane,vave,bimbi,vave,vave,nane,tate
4,0.24907787801365888,1.3340295991155569,1.084951721101898,tat uve,vave,tugangk,netungk,vövönungk,manungk,tat uve,vövönungk,vövönungk,tugangk,netungk,havungk,netungk,netungk,tat uve,mame,netungk,havungk,netungk,naaruongk,vövönungk,tat uve,netungk,manungk,vave,manungk,vave,vave,manungk,netungk,vave,bimbi,nane,bimbi,nane,bimbi,vave,vave,tate,tate,vave,bimbi
5,0.4168934443558031,1.3168020301280539,0.8999085857722507,vövönungk,vave,tat uve,netungk,havungk,tat uve,netungk,netungk,mame,netungk,tugangk,vövönungk,manungk,vövönungk,havungk,vave,netungk,tat uve,manungk,naaruongk,manungk,vövönungk,tat uve,netungk,netungk,tugangk,vave,vave,netungk,manungk,vave,tate,vave,bimbi,tate,nane,bimbi,bimbi,bimbi,vave,vave,nane
6,0.5672256659163448,1.3168020301280536,0.7495763642117088,manungk,vövönungk,manungk,netungk,netungk,tat uve,vövönungk,netungk,tugangk,manungk,vave,tugangk,netungk,netungk,mame,vave,netungk,netungk,vave,havungk,tat uve,manungk,tat uve,vövönungk,vövönungk,naaruongk,vave,netungk,tat uve,havungk,bimbi,tate,vave,bimbi,bimbi,nane,tate,bimbi,vave,vave,vave,nane
7,0.3985688803758378,1.3340295991155566,0.9354607187397188,vave,vave,havungk,vövönungk,tat uve,netungk,netungk,havungk,tat uve,netungk,netungk,manungk,netungk,manungk,tugangk,vave,tat uve,netungk,netungk,manungk,tat uve,tugangk,naaruongk,vövönungk,vave,vövönungk,manungk,mame,netungk,vövönungk,nane,bimbi,vave,tate,bimbi,vave,vave,nane,bimbi,tate,vave,bimbi
8,0.6015989719854538,1.3340295991155569,0.7324306271301031,manungk,netungk,netungk,netungk,vave,vave,manungk,vövönungk,netungk,tugangk,netungk,manungk,vave,havungk,vövönungk,tat uve,vövönungk,vövönungk,manungk,tugangk,netungk,naaruongk,tat uve,tat uve,netungk,havungk,vave,mame,tat uve,netungk,bimbi,bimbi,tate,bimbi,nane,vave,vave,vave,nane,vave,tate,bimbi
9,0.37651367796270974,1.3168020301280536,0.9402883521653439,vövönungk,manungk,netungk,tat uve,netungk,vave,vave,vave,netungk,vövönungk,vövönungk,netungk,netungk,tugangk,tat uve,tugangk,havungk,netungk,netungk,naaruongk,tat uve,manungk,netungk,manungk,tat uve,vövönungk,mame,havungk,manungk,vave,bimbi,vave,bimbi,vave,vave,vave,tate,bimbi,nane,bimbi,tate,nane
