simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.43388587707781534,1.6510013097006198,1.2171154326228044,amá',amá',amá',bāBí'i,böní'i,bañá'a,bañá'a,böní'i,bañá'a,amá',bañá'a,amá',böní'i,böní'i,bāBí'i,amá',böní'i,bañá'a,amá',bāBí'i,bañá'a,bañá'a,amá',amá',böní'i,amá',bañá'a,bāBí'i,bañá'a,böní'i,bāBí'i,bāBí'i,bāBí'i,bañá'a,bāBí'i,böní'i,böní'i,böní'i,āts'i,āts'i,pa'wá,iná'a,āts'i,pirú'u,pirú'u,hɛ᷅'i,pa'wá,āts'i,iná'a,hɛ᷅'i,pa'wá,pirú'u,pa'wá,hɛ᷅'i,pīa,pirú'u,pirú'u,pa'wá,āts'i,pirú'u,hɛ᷅'i,hɛ᷅'i,pa'wá,āts'i,pīa,hɛ᷅'i
1,0.2689863015606351,1.703133153579873,1.434146852019238,bāBí'i,bañá'a,amá',bāBí'i,bañá'a,böní'i,bāBí'i,amá',amá',böní'i,bañá'a,amá',amá',bāBí'i,böní'i,bañá'a,amá',bañá'a,bañá'a,böní'i,amá',amá',böní'i,böní'i,bañá'a,böní'i,bañá'a,amá',amá',bāBí'i,bāBí'i,bāBí'i,böní'i,böní'i,bañá'a,bañá'a,böní'i,bāBí'i,pīa,iná'a,pa'wá,pa'wá,iná'a,pirú'u,pa'wá,hɛ᷅'i,pa'wá,pa'wá,āts'i,āts'i,pa'wá,pirú'u,āts'i,pirú'u,hɛ᷅'i,hɛ᷅'i,hɛ᷅'i,hɛ᷅'i,hɛ᷅'i,pirú'u,āts'i,pirú'u,pīa,āts'i,āts'i,pirú'u
2,0.12400523189872725,1.40517904968178,1.2811738177830527,böní'i,bañá'a,bañá'a,bāBí'i,bañá'a,böní'i,bañá'a,böní'i,böní'i,böní'i,bāBí'i,bāBí'i,bañá'a,bañá'a,böní'i,böní'i,amá',amá',amá',böní'i,bāBí'i,amá',bāBí'i,amá',bañá'a,amá',bañá'a,bāBí'i,amá',böní'i,böní'i,bañá'a,amá',bāBí'i,bañá'a,amá',amá',bāBí'i,āts'i,pirú'u,pirú'u,iná'a,āts'i,āts'i,pa'wá,hɛ᷅'i,hɛ᷅'i,pa'wá,hɛ᷅'i,pa'wá,pa'wá,āts'i,pirú'u,pa'wá,hɛ᷅'i,hɛ᷅'i,āts'i,āts'i,pirú'u,pirú'u,pirú'u,iná'a,hɛ᷅'i,pa'wá,pīa,pīa
3,0.3125697825455105,1.5344072430444415,1.221837460498931,amá',bāBí'i,bañá'a,bañá'a,amá',böní'i,bañá'a,amá',amá',böní'i,böní'i,bañá'a,bāBí'i,bāBí'i,böní'i,bāBí'i,amá',böní'i,amá',bāBí'i,böní'i,böní'i,bāBí'i,bañá'a,bañá'a,bāBí'i,bañá'a,böní'i,böní'i,bañá'a,bañá'a,amá',bañá'a,amá',amá',amá',bāBí'i,böní'i,hɛ᷅'i,pirú'u,pa'wá,pa'wá,hɛ᷅'i,hɛ᷅'i,pirú'u,pirú'u,hɛ᷅'i,pa'wá,āts'i,āts'i,āts'i,pirú'u,pirú'u,āts'i,āts'i,iná'a,pa'wá,āts'i,iná'a,hɛ᷅'i,hɛ᷅'i,pirú'u,pa'wá,pīa,pa'wá,pīa
4,0.12818402792597472,1.5612769135899631,1.4330928856639884,bāBí'i,böní'i,bañá'a,böní'i,bañá'a,böní'i,böní'i,bāBí'i,bāBí'i,amá',amá',böní'i,amá',böní'i,bāBí'i,böní'i,bāBí'i,amá',bañá'a,amá',amá',bāBí'i,böní'i,bañá'a,böní'i,bañá'a,bañá'a,amá',böní'i,bañá'a,bañá'a,amá',bāBí'i,bāBí'i,bañá'a,amá',amá',bañá'a,pa'wá,pa'wá,hɛ᷅'i,āts'i,āts'i,āts'i,hɛ᷅'i,pīa,pirú'u,pirú'u,pirú'u,iná'a,hɛ᷅'i,pa'wá,pīa,pirú'u,hɛ᷅'i,pirú'u,hɛ᷅'i,pa'wá,pa'wá,iná'a,pa'wá,āts'i,hɛ᷅'i,pirú'u,āts'i,āts'i
5,0.2208957338878219,1.5680302276428366,1.3471344937550147,amá',bāBí'i,bāBí'i,böní'i,böní'i,amá',böní'i,böní'i,amá',amá',bañá'a,bañá'a,bāBí'i,amá',böní'i,bañá'a,bāBí'i,bañá'a,bañá'a,bāBí'i,bañá'a,bañá'a,amá',böní'i,böní'i,bāBí'i,amá',böní'i,bāBí'i,böní'i,bañá'a,bañá'a,bāBí'i,amá',amá',bañá'a,amá',böní'i,hɛ᷅'i,pirú'u,pīa,pa'wá,pirú'u,pīa,pa'wá,āts'i,pa'wá,pa'wá,āts'i,hɛ᷅'i,pirú'u,āts'i,pa'wá,hɛ᷅'i,āts'i,āts'i,hɛ᷅'i,pirú'u,iná'a,hɛ᷅'i,pirú'u,pa'wá,iná'a,hɛ᷅'i,āts'i,pirú'u
6,0.16892119128234184,1.6658248261859092,1.4969036349035674,amá',bañá'a,bāBí'i,bañá'a,bāBí'i,bāBí'i,amá',bañá'a,böní'i,böní'i,amá',bāBí'i,amá',bañá'a,bañá'a,bañá'a,böní'i,böní'i,amá',amá',amá',böní'i,bāBí'i,amá',bāBí'i,böní'i,bāBí'i,amá',bāBí'i,böní'i,böní'i,böní'i,bañá'a,bañá'a,bañá'a,bañá'a,böní'i,amá',hɛ᷅'i,iná'a,iná'a,pīa,hɛ᷅'i,pirú'u,āts'i,pa'wá,hɛ᷅'i,pa'wá,hɛ᷅'i,pirú'u,pirú'u,hɛ᷅'i,pa'wá,āts'i,pa'wá,pa'wá,āts'i,pa'wá,pirú'u,pirú'u,āts'i,āts'i,pīa,hɛ᷅'i,āts'i,pirú'u
7,0.31407063605931373,1.520329802807463,1.2062591667481493,böní'i,bāBí'i,bañá'a,bañá'a,bāBí'i,böní'i,böní'i,bañá'a,amá',amá',böní'i,böní'i,bañá'a,bāBí'i,amá',bañá'a,böní'i,bañá'a,bāBí'i,amá',bāBí'i,amá',amá',bāBí'i,amá',böní'i,bañá'a,böní'i,amá',bañá'a,bañá'a,amá',amá',böní'i,bāBí'i,bāBí'i,böní'i,bañá'a,āts'i,pa'wá,āts'i,āts'i,hɛ᷅'i,āts'i,pa'wá,pa'wá,pirú'u,iná'a,pirú'u,pirú'u,pa'wá,hɛ᷅'i,pa'wá,pirú'u,hɛ᷅'i,hɛ᷅'i,pirú'u,pīa,āts'i,pa'wá,pīa,iná'a,hɛ᷅'i,pirú'u,āts'i,hɛ᷅'i
8,0.2597227943425029,1.6108633201859606,1.3511405258434577,bañá'a,bañá'a,böní'i,böní'i,bāBí'i,bāBí'i,amá',amá',amá',bañá'a,bañá'a,amá',böní'i,amá',amá',böní'i,amá',bāBí'i,bañá'a,bañá'a,böní'i,böní'i,bāBí'i,amá',bāBí'i,böní'i,amá',bañá'a,böní'i,bañá'a,böní'i,bāBí'i,böní'i,bāBí'i,bañá'a,amá',bāBí'i,bañá'a,āts'i,iná'a,pirú'u,pīa,pa'wá,pirú'u,iná'a,hɛ᷅'i,āts'i,pirú'u,āts'i,hɛ᷅'i,pirú'u,pa'wá,āts'i,hɛ᷅'i,āts'i,āts'i,pa'wá,pa'wá,hɛ᷅'i,hɛ᷅'i,hɛ᷅'i,pa'wá,pirú'u,pa'wá,pirú'u,pīa
9,0.20563191533042136,1.6985564301198701,1.4929245147894488,amá',böní'i,amá',amá',bañá'a,bāBí'i,bañá'a,bāBí'i,amá',bañá'a,amá',amá',bañá'a,amá',bāBí'i,bañá'a,bāBí'i,bāBí'i,böní'i,bāBí'i,bañá'a,böní'i,amá',böní'i,bañá'a,amá',bañá'a,böní'i,bāBí'i,böní'i,böní'i,amá',bañá'a,böní'i,böní'i,bāBí'i,bañá'a,böní'i,āts'i,pīa,iná'a,pirú'u,pa'wá,pa'wá,āts'i,āts'i,āts'i,hɛ᷅'i,pa'wá,āts'i,pirú'u,pirú'u,pirú'u,hɛ᷅'i,hɛ᷅'i,pa'wá,pirú'u,iná'a,hɛ᷅'i,hɛ᷅'i,pīa,hɛ᷅'i,pirú'u,pa'wá,āts'i,pa'wá
