simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mMeB,mMyB,mMeZ,mMyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.08977279929593784,1.3340295991155569,1.244256799819619,matmatatahinaliki,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,tahin,turak,turak,turak,turak,turak,tatahinalik,turak,turak,matmatatahinaliki,turak,matmatatahinaliki,turak,turak,turak,tatahinalik,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,turak,tatahinalik,turak,matmatatahinaliki,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,turak,tatahinalik,turak,turak,turak,turak,tahinalik,turak,turak,tahinalik,turak,turak,turak,turak,kabin,taman,tinan,totuen,kabin,kabin,totuen,totuen,kabin,totuen,tinan,taman
1,0.1709322029228102,1.3340295991155566,1.1630973961927464,turak,turak,turak,turak,turak,turak,turak,turak,tatahinalik,turak,tahin,turak,turak,tatahinalik,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,tatahinalik,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,matmatatahinaliki,tahinalik,turak,turak,turak,tahinalik,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,matmatatahinaliki,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,turak,tatahinalik,turak,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,taman,kabin,taman,totuen,kabin,tinan,kabin,totuen,kabin,totuen,totuen,tinan
2,0.145246224605877,1.314775737547273,1.169529512941396,turak,tahinalik,matmatatahinaliki,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,tatahinalik,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,tahinalik,turak,turak,turak,turak,tahin,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,matmatatahinaliki,turak,matmatatahinaliki,turak,turak,tatahinalik,turak,turak,matmatatahinaliki,turak,matmatatahinaliki,turak,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,tatahinalik,turak,turak,tatahinalik,tinan,totuen,totuen,totuen,taman,kabin,totuen,taman,kabin,tinan,kabin,kabin
3,0.044899452555410946,1.3340295991155569,1.289130146560146,turak,turak,tahinalik,turak,matmatatahinaliki,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,tatahinalik,matmatatahinaliki,turak,turak,tatahinalik,turak,tatahinalik,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,matmatatahinaliki,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,turak,tahinalik,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,tahin,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,tatahinalik,turak,turak,tinan,totuen,totuen,tinan,totuen,kabin,taman,totuen,taman,kabin,kabin,kabin
4,0.21773375568609454,1.314775737547273,1.0970419818611785,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,tatahinalik,turak,matmatatahinaliki,turak,turak,matmatatahinaliki,turak,matmatatahinaliki,turak,tatahinalik,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,turak,tahinalik,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,tatahinalik,matmatatahinaliki,turak,tatahinalik,tahinalik,turak,turak,turak,turak,turak,turak,turak,turak,turak,tahin,turak,kabin,totuen,totuen,totuen,taman,tinan,kabin,tinan,totuen,kabin,kabin,taman
5,0.1601822564350095,1.3340295991155566,1.1738473426805471,turak,turak,turak,turak,turak,turak,matmatatahinaliki,matmatatahinaliki,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,tahinalik,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,tatahinalik,matmatatahinaliki,tatahinalik,turak,turak,turak,turak,turak,matmatatahinaliki,tatahinalik,turak,matmatatahinaliki,turak,tahinalik,turak,turak,turak,turak,turak,turak,turak,turak,tatahinalik,tahin,turak,turak,turak,turak,turak,matmatatahinaliki,totuen,kabin,taman,totuen,kabin,tinan,taman,kabin,kabin,totuen,totuen,tinan
6,0.1499129381125699,1.3340295991155569,1.184116661002987,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,matmatatahinaliki,turak,tatahinalik,turak,turak,turak,tatahinalik,tatahinalik,turak,turak,turak,turak,matmatatahinaliki,turak,tahin,turak,turak,matmatatahinaliki,tahinalik,turak,turak,turak,turak,turak,turak,turak,turak,tahinalik,turak,turak,matmatatahinaliki,turak,turak,turak,tatahinalik,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,kabin,tinan,kabin,tinan,kabin,taman,totuen,totuen,totuen,kabin,taman,totuen
7,0.17663351078063272,1.3168020301280536,1.140168519347421,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,tahinalik,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,matmatatahinaliki,turak,matmatatahinaliki,turak,turak,turak,turak,turak,turak,tatahinalik,turak,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,matmatatahinaliki,turak,tatahinalik,turak,tahin,turak,matmatatahinaliki,turak,turak,tatahinalik,turak,matmatatahinaliki,turak,turak,tahinalik,turak,turak,turak,turak,turak,turak,turak,turak,tatahinalik,turak,turak,tinan,taman,totuen,kabin,totuen,kabin,totuen,kabin,kabin,taman,totuen,tinan
8,0.04447102300502781,1.314775737547273,1.2703047145422453,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,tatahinalik,turak,turak,matmatatahinaliki,turak,matmatatahinaliki,matmatatahinaliki,matmatatahinaliki,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,turak,tahinalik,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,turak,tahin,turak,turak,turak,turak,turak,tahinalik,tatahinalik,turak,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,tatahinalik,turak,turak,tatahinalik,tinan,totuen,kabin,kabin,totuen,kabin,taman,tinan,kabin,taman,totuen,totuen
9,0.22926825514922733,1.3340295991155566,1.1047613439663293,turak,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,matmatatahinaliki,turak,tahinalik,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,turak,tahinalik,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,matmatatahinaliki,turak,tatahinalik,turak,turak,matmatatahinaliki,turak,turak,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,turak,turak,matmatatahinaliki,tatahinalik,turak,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,turak,turak,turak,tahin,tatahinalik,turak,turak,turak,turak,matmatatahinaliki,turak,turak,turak,turak,tatahinalik,turak,turak,turak,turak,turak,totuen,tinan,taman,kabin,kabin,kabin,totuen,totuen,tinan,taman,kabin,totuen
