simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,meB,meZ,feB,feZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,fF,fM,fFB,fFZ,fMB,fMZ,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,mFeB,mFyB,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.21362878463885648,1.8317346560343692,1.6181058713955128,0,r-ɨkeɨ,che-rɨkéɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-ríndɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,-r-ɨⁿdɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́wɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-pɨ́kɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨkéɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-kɨwɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,(če-)r-ɨwɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,-tutɨ,-tutɨ,-yeiče,-tutɨ,che-sɨ́́i,-sɨɨ,-tutɨ,-yeiče,-tutɨ,-yeiče,che-tútɨ,-yeiče,che-yéiche,-sɨɨ,-tutɨ,-tutɨ,che-yéiche,che-tútɨ,ché-ru,-tutɨ,che-sɨ́́i,ché-ru,0,-tutɨ,ché-sɨ,-sɨɨ,-sɨɨ,-tutɨ
1,0.3209112439587605,1.924190298407725,1.6032790544489646,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,0,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́wɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-kɨwɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨkéɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-ríndɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-pɨ́kɨ,(če-)r-ɨwɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨkéɨ,-r-ɨⁿdɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,-yeiče,-tutɨ,-yeiče,che-tútɨ,-tutɨ,-sɨɨ,-tutɨ,-yeiče,che-yéiche,-tutɨ,che-yéiche,che-sɨ́́i,ché-ru,che-tútɨ,-tutɨ,-sɨɨ,-yeiče,-sɨɨ,-tutɨ,-sɨɨ,0,-tutɨ,ché-sɨ,ché-ru,che-sɨ́́i,-tutɨ,-tutɨ,-tutɨ
2,0.16987261439616552,1.8858003173065867,1.7159277029104212,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-ríndɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,0,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨkéɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨkéɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́wɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,-r-ɨⁿdɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-kɨwɨ,r-ɨkeɨ,che-pɨ́kɨ,(če-)r-ɨwɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,-tutɨ,ché-ru,-yeiče,-tutɨ,-yeiče,che-tútɨ,-sɨɨ,-yeiče,che-sɨ́́i,che-sɨ́́i,-yeiče,-tutɨ,che-yéiche,-tutɨ,-tutɨ,ché-sɨ,-sɨɨ,-tutɨ,-tutɨ,-tutɨ,che-yéiche,ché-ru,-tutɨ,0,-sɨɨ,-tutɨ,che-tútɨ,-sɨɨ
3,0.2980833695124889,1.9161665296756578,1.6180831601631689,r-ɨkeɨ,che-rɨ́wɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-kɨwɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-ríndɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,-r-ɨⁿdɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,(če-)r-ɨwɨ,che-pɨ́kɨ,r-ɨkeɨ,0,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨkéɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨkéɨ,r-ɨkeɨ,-tutɨ,-yeiče,che-yéiche,-yeiče,-sɨɨ,-tutɨ,-tutɨ,-tutɨ,-tutɨ,-yeiče,0,che-tútɨ,che-yéiche,-tutɨ,ché-ru,-tutɨ,ché-sɨ,-tutɨ,che-sɨ́́i,che-tútɨ,ché-ru,-tutɨ,-tutɨ,-sɨɨ,-sɨɨ,-sɨɨ,che-sɨ́́i,-yeiče
4,0.21220355526368917,1.897218660336474,1.6850151050727848,che-kɨwɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-pɨ́kɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨkéɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,che-rɨ́wɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,(če-)r-ɨwɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-ríndɨ,che-rɨkéɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,-r-ɨⁿdɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,0,che-yéiche,-sɨɨ,-yeiče,-yeiče,che-yéiche,-tutɨ,ché-ru,che-tútɨ,che-tútɨ,-tutɨ,-yeiče,che-sɨ́́i,-tutɨ,-tutɨ,-tutɨ,-yeiče,-tutɨ,-sɨɨ,-tutɨ,-sɨɨ,-tutɨ,ché-sɨ,-tutɨ,-sɨɨ,ché-ru,che-sɨ́́i,-tutɨ,0
5,0.22571117186914802,1.8732145999668195,1.6475034280976715,che-rɨkéɨ,che-kɨwɨ,r-ɨkeɨ,r-ɨkeɨ,0,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨkéɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,(če-)r-ɨwɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́wɨ,r-ɨkeɨ,r-ɨkeɨ,che-ríndɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-pɨ́kɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,-r-ɨⁿdɨ,che-sɨ́́i,che-tútɨ,-tutɨ,-tutɨ,ché-sɨ,-sɨɨ,-sɨɨ,-tutɨ,ché-ru,-yeiče,-tutɨ,-tutɨ,-tutɨ,-yeiče,-yeiče,-tutɨ,ché-ru,-tutɨ,-tutɨ,che-sɨ́́i,-sɨɨ,che-tútɨ,-yeiče,-sɨɨ,che-yéiche,-tutɨ,che-yéiche,0
6,0.19930804253371193,1.8769615646982674,1.6776535221645554,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-kɨwɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,(če-)r-ɨwɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-ríndɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-pɨ́kɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́ke,che-rɨ́wɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨkéɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨkéɨ,-r-ɨⁿdɨ,r-ɨkeɨ,r-ɨkeɨ,0,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,-tutɨ,che-tútɨ,-yeiče,-tutɨ,-yeiče,-yeiče,-tutɨ,ché-ru,-yeiče,ché-ru,-sɨɨ,-tutɨ,ché-sɨ,-sɨɨ,-sɨɨ,che-sɨ́́i,-tutɨ,che-tútɨ,-sɨɨ,-tutɨ,che-yéiche,-tutɨ,-tutɨ,che-sɨ́́i,che-yéiche,0,-tutɨ,-tutɨ
7,0.2543025982278031,1.9476039547536579,1.6933013565258548,r-ɨkeɨ,0,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-kɨwɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,(če-)r-ɨwɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,-r-ɨⁿdɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨkéɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-ríndɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-pɨ́kɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́wɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨkéɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,-yeiče,che-sɨ́́i,che-sɨ́́i,ché-ru,che-yéiche,-yeiče,-sɨɨ,-tutɨ,-tutɨ,-sɨɨ,-sɨɨ,-sɨɨ,-tutɨ,che-yéiche,ché-sɨ,-tutɨ,0,-yeiče,che-tútɨ,che-tútɨ,-tutɨ,-tutɨ,-tutɨ,-tutɨ,-yeiče,-tutɨ,-tutɨ,ché-ru
8,0.2701311794993828,1.9390067731278497,1.668875593628467,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,-r-ɨⁿdɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨkéɨ,r-ɨkeɨ,che-pɨ́kɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,0,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨkéɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́wɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,(če-)r-ɨwɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-ríndɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-kɨwɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,0,-sɨɨ,che-tútɨ,-tutɨ,-tutɨ,che-sɨ́́i,-tutɨ,-tutɨ,-yeiče,ché-ru,-sɨɨ,che-yéiche,-tutɨ,-yeiče,-tutɨ,ché-sɨ,-sɨɨ,-yeiče,che-sɨ́́i,-tutɨ,-tutɨ,che-yéiche,-tutɨ,-sɨɨ,-tutɨ,ché-ru,-yeiče,che-tútɨ
9,0.21263217400559853,1.882323049769008,1.6696908757634095,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-kɨwɨ,r-ɨkeɨ,che-ríndɨ,r-ɨkeɨ,che-rɨkéɨ,che-pɨ́kɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,(če-)r-ɨwɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́wɨ,0,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨ́ke,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,-r-ɨⁿdɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,che-rɨkéɨ,r-ɨkeɨ,r-ɨkeɨ,r-ɨkeɨ,-yeiče,ché-ru,-tutɨ,-tutɨ,che-sɨ́́i,0,-yeiče,-yeiče,-yeiče,-tutɨ,ché-ru,-tutɨ,che-yéiche,-tutɨ,-tutɨ,che-yéiche,-sɨɨ,-sɨɨ,che-tútɨ,-tutɨ,che-tútɨ,-sɨɨ,-tutɨ,che-sɨ́́i,-tutɨ,ché-sɨ,-sɨɨ,-tutɨ
