simulation_number,mutual_information,entropy,conditional_entropy,mMZeS,mMZeD,fMZeD,meZ,feZ,fMZyD,feB,meB,fFByD,fFBeD,fFZeD,fFZyD,fMBeD,fMByD,myB,fyB,myZ,fyZ,mMZyS,fMZyS,mMZyD,mFBeS,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,mFZeS,mMBeS,mFByS,mFZyS,mFZeD,mFZyD,mMBeD,mMByD,mFBeD,mFByD,mMByS,mF,fF,mFeZ,mFyZ,fFeZ,fFyZ,mM,fM,mMeB,mMyB,fMeB,fMyB,mFeB,mFyB,fFeB,fFyB,mMeZ,mMyZ,fMeZ,fMyZ
0,0.28116757230940403,1.0397207708399179,0.7585531985305138,n'-koʼ-kwä,n'-ko-kwäʼ,n'-tä-kun,n'-da-kwusʼ,n'-hˑi-sumʼ,n'-donkʼ,n'-donkʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-donkʼ,n'-dä-kwus-hˑ-kwä-oh,n'-dä-kwus-ohʼ-kwä-oh,n'-dä-kwus-ohʼ-kwä-oh,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-tä-kunʼ,n'-donkʼ,na-meseʼ,n'-dä-kwusʼ,n'-ko-kwäʼ,n'-donkʼ,na-meseʼ,n'-dä-kwusʼ,n'-donkʼ,n'-hˑi-sumʼ,n'-ko-kwäʼ,n'-ko-kwäʼ,nä-meesʼ,ne-tä-kunʼ,n'-ko-kwäʼ,nä-meesʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-da-kwusʼ,n'-hˑi-sumʼ,n'-dä-kwus,n'-donkʼ,n'-dä-kwus-ohˑʼ-kwä-oh,n'hˑi-sum,n'-dä-kwus-ohʼ-kwä-oh,neeʼ-goos,nä-jäʼ-kuʼ,no-muthsʼ,nee-zeethʼ,neeʼ-goos,nohˑ,nee-zeethʼ,nä-jäʼ-kuʼ,n'-gukʼ,n'-gukʼ,nohˑ,n'-gukʼ,nä-jäʼ-kuʼ,no-muthsʼ,nä-jäʼ-kuʼ,nee-zeethʼ,n'-gukʼ,no-muthsʼ,nee-zeethʼ,no-muthsʼ
1,0.3465735902799726,1.0397207708399179,0.6931471805599453,n'-dä-kwusʼ,n'-ko-kwäʼ,n'-hˑi-sumʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-dä-kwusʼ,n'-ko-kwäʼ,n'-da-kwusʼ,n'-donkʼ,n'-donkʼ,n'-donkʼ,n'-hˑi-sumʼ,nä-meesʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-ko-kwäʼ,n'-hˑi-sumʼ,n'-ko-kwäʼ,n'-hˑi-sumʼ,n'-dä-kwus-ohˑʼ-kwä-oh,n'-dä-kwus-hˑ-kwä-oh,n'-da-kwusʼ,n'-donkʼ,n'-donkʼ,na-meseʼ,na-meseʼ,ne-tä-kunʼ,n'-ko-kwäʼ,n'-koʼ-kwä,nä-meesʼ,n'-dä-kwus,n'-hˑi-sumʼ,n'-tä-kun,n'-dä-kwus-ohʼ-kwä-oh,n'-donkʼ,n'-dä-kwus-ohʼ-kwä-oh,n'hˑi-sum,n'-donkʼ,n'-tä-kunʼ,n'-gukʼ,nohˑ,nä-jäʼ-kuʼ,no-muthsʼ,nä-jäʼ-kuʼ,nee-zeethʼ,nee-zeethʼ,n'-gukʼ,nee-zeethʼ,neeʼ-goos,n'-gukʼ,no-muthsʼ,n'-gukʼ,no-muthsʼ,nohˑ,no-muthsʼ,nä-jäʼ-kuʼ,nee-zeethʼ,neeʼ-goos,nä-jäʼ-kuʼ
2,0.3465735902799726,1.0397207708399179,0.6931471805599453,n'-ko-kwäʼ,nä-meesʼ,n'-hˑi-sumʼ,nä-meesʼ,n'-dä-kwus-hˑ-kwä-oh,n'hˑi-sum,n'-dä-kwusʼ,n'-hˑi-sumʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-hˑi-sumʼ,n'-donkʼ,n'-ko-kwäʼ,n'-hˑi-sumʼ,n'-koʼ-kwä,n'-dä-kwus-ohʼ-kwä-oh,n'-da-kwusʼ,n'-donkʼ,n'-tä-kunʼ,n'-ko-kwäʼ,na-meseʼ,n'-hˑi-sumʼ,n'-ko-kwäʼ,n'-tä-kun,n'-donkʼ,n'-hˑi-sumʼ,na-meseʼ,n'-dä-kwus,n'-dä-kwus-ohʼ-kwä-oh,n'-hˑi-sumʼ,ne-tä-kunʼ,n'-da-kwusʼ,n'-ko-kwäʼ,n'-dä-kwus-ohˑʼ-kwä-oh,n'-donkʼ,n'-donkʼ,n'-donkʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-dä-kwusʼ,n'-donkʼ,nä-jäʼ-kuʼ,neeʼ-goos,no-muthsʼ,nee-zeethʼ,neeʼ-goos,no-muthsʼ,no-muthsʼ,no-muthsʼ,nee-zeethʼ,n'-gukʼ,nä-jäʼ-kuʼ,nee-zeethʼ,nä-jäʼ-kuʼ,nä-jäʼ-kuʼ,nohˑ,nohˑ,n'-gukʼ,n'-gukʼ,nee-zeethʼ,n'-gukʼ
3,0.2599301927099794,1.0397207708399179,0.7797905781299385,n'-dä-kwus-ohʼ-kwä-oh,n'-donkʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-ko-kwäʼ,n'-dä-kwus-ohʼ-kwä-oh,na-meseʼ,n'-koʼ-kwä,nä-meesʼ,nä-meesʼ,n'-da-kwusʼ,na-meseʼ,n'-tä-kun,n'-ko-kwäʼ,n'-ko-kwäʼ,n'-da-kwusʼ,n'-hˑi-sumʼ,n'-donkʼ,n'-donkʼ,n'-dä-kwus,n'-dä-kwusʼ,ne-tä-kunʼ,n'-donkʼ,n'-ko-kwäʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-dä-kwus-hˑ-kwä-oh,n'-dä-kwus-ohˑʼ-kwä-oh,n'-hˑi-sumʼ,n'-tä-kunʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-donkʼ,n'hˑi-sum,n'-donkʼ,n'-donkʼ,n'-dä-kwusʼ,n'-hˑi-sumʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-ko-kwäʼ,neeʼ-goos,n'-gukʼ,nee-zeethʼ,nohˑ,neeʼ-goos,no-muthsʼ,n'-gukʼ,no-muthsʼ,nä-jäʼ-kuʼ,nee-zeethʼ,no-muthsʼ,n'-gukʼ,n'-gukʼ,nä-jäʼ-kuʼ,nä-jäʼ-kuʼ,no-muthsʼ,nohˑ,nee-zeethʼ,nä-jäʼ-kuʼ,nee-zeethʼ
4,0.6931471805599453,1.3862943611198906,0.6931471805599453,n'-donkʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-hˑi-sumʼ,n'-donkʼ,na-meseʼ,n'-ko-kwäʼ,n'-dä-kwusʼ,n'-donkʼ,n'-ko-kwäʼ,ne-tä-kunʼ,n'-dä-kwusʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-dä-kwus-ohʼ-kwä-oh,nä-meesʼ,n'-donkʼ,na-meseʼ,n'-tä-kunʼ,n'-hˑi-sumʼ,n'-da-kwusʼ,n'-hˑi-sumʼ,n'-dä-kwus-ohˑʼ-kwä-oh,n'-dä-kwus-ohʼ-kwä-oh,n'-donkʼ,n'-hˑi-sumʼ,n'-dä-kwus-hˑ-kwä-oh,n'-hˑi-sumʼ,n'-koʼ-kwä,n'-tä-kun,n'-hˑi-sumʼ,n'-ko-kwäʼ,nä-meesʼ,n'-donkʼ,n'-donkʼ,n'-ko-kwäʼ,n'-ko-kwäʼ,n'-da-kwusʼ,n'hˑi-sum,n'-hˑi-sumʼ,n'-dä-kwus,nee-zeethʼ,n'-gukʼ,nä-jäʼ-kuʼ,n'-gukʼ,nohˑ,no-muthsʼ,nohˑ,neeʼ-goos,no-muthsʼ,nä-jäʼ-kuʼ,n'-gukʼ,nä-jäʼ-kuʼ,nee-zeethʼ,neeʼ-goos,no-muthsʼ,nee-zeethʼ,nä-jäʼ-kuʼ,no-muthsʼ,n'-gukʼ,nee-zeethʼ
5,0.41197960825054114,1.0397207708399179,0.6277411625893767,n'-donkʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-donkʼ,n'-donkʼ,n'-tä-kun,n'-hˑi-sumʼ,n'-donkʼ,n'-koʼ-kwä,nä-meesʼ,ne-tä-kunʼ,n'-ko-kwäʼ,n'-dä-kwusʼ,n'-hˑi-sumʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-da-kwusʼ,n'-hˑi-sumʼ,na-meseʼ,n'-ko-kwäʼ,n'-dä-kwus,n'-dä-kwus-ohʼ-kwä-oh,n'-donkʼ,n'-dä-kwus-ohˑʼ-kwä-oh,n'-ko-kwäʼ,n'-ko-kwäʼ,n'-da-kwusʼ,n'-tä-kunʼ,n'-dä-kwus-ohʼ-kwä-oh,n'hˑi-sum,n'-donkʼ,n'-dä-kwusʼ,nä-meesʼ,na-meseʼ,n'-dä-kwus-hˑ-kwä-oh,n'-donkʼ,n'-ko-kwäʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-gukʼ,nee-zeethʼ,nohˑ,nohˑ,nä-jäʼ-kuʼ,n'-gukʼ,no-muthsʼ,nee-zeethʼ,neeʼ-goos,nee-zeethʼ,neeʼ-goos,n'-gukʼ,no-muthsʼ,nä-jäʼ-kuʼ,nee-zeethʼ,nä-jäʼ-kuʼ,no-muthsʼ,n'-gukʼ,no-muthsʼ,nä-jäʼ-kuʼ
6,0.4544543674493904,1.3862943611198906,0.9318399936705002,n'-tä-kun,n'-hˑi-sumʼ,n'-ko-kwäʼ,n'-dä-kwus-ohˑʼ-kwä-oh,n'-donkʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-dä-kwus-hˑ-kwä-oh,n'-ko-kwäʼ,n'-ko-kwäʼ,n'-donkʼ,n'hˑi-sum,n'-donkʼ,nä-meesʼ,n'-hˑi-sumʼ,n'-donkʼ,n'-dä-kwus,n'-donkʼ,n'-koʼ-kwä,n'-hˑi-sumʼ,n'-dä-kwusʼ,n'-da-kwusʼ,n'-hˑi-sumʼ,n'-dä-kwus-ohʼ-kwä-oh,ne-tä-kunʼ,na-meseʼ,n'-tä-kunʼ,n'-dä-kwusʼ,n'-donkʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-donkʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-ko-kwäʼ,na-meseʼ,n'-da-kwusʼ,n'-hˑi-sumʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-ko-kwäʼ,nä-meesʼ,nee-zeethʼ,nä-jäʼ-kuʼ,n'-gukʼ,no-muthsʼ,n'-gukʼ,nä-jäʼ-kuʼ,no-muthsʼ,n'-gukʼ,nä-jäʼ-kuʼ,no-muthsʼ,nee-zeethʼ,nee-zeethʼ,neeʼ-goos,nohˑ,nee-zeethʼ,no-muthsʼ,neeʼ-goos,nä-jäʼ-kuʼ,n'-gukʼ,nohˑ
7,0.05394038858470884,1.0397207708399179,0.985780382255209,n'-hˑi-sumʼ,n'-tä-kun,n'-da-kwusʼ,n'-donkʼ,n'-hˑi-sumʼ,ne-tä-kunʼ,n'-dä-kwusʼ,n'-donkʼ,n'-ko-kwäʼ,n'-donkʼ,n'-dä-kwusʼ,n'-ko-kwäʼ,n'-donkʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-donkʼ,n'-dä-kwus,n'-ko-kwäʼ,na-meseʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-dä-kwus-ohʼ-kwä-oh,n'-da-kwusʼ,n'-dä-kwus-hˑ-kwä-oh,n'-ko-kwäʼ,n'-ko-kwäʼ,n'-dä-kwus-ohˑʼ-kwä-oh,n'-hˑi-sumʼ,na-meseʼ,n'-dä-kwus-ohʼ-kwä-oh,nä-meesʼ,n'-tä-kunʼ,n'-donkʼ,n'-koʼ-kwä,n'hˑi-sum,nä-meesʼ,n'-donkʼ,n'-dä-kwus-ohʼ-kwä-oh,neeʼ-goos,neeʼ-goos,no-muthsʼ,nee-zeethʼ,no-muthsʼ,nee-zeethʼ,nä-jäʼ-kuʼ,n'-gukʼ,nohˑ,nee-zeethʼ,nä-jäʼ-kuʼ,n'-gukʼ,no-muthsʼ,nä-jäʼ-kuʼ,no-muthsʼ,n'-gukʼ,nä-jäʼ-kuʼ,n'-gukʼ,nohˑ,nee-zeethʼ
8,0.5198603854199589,1.3862943611198906,0.8664339756999316,n'-hˑi-sumʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-tä-kun,ne-tä-kunʼ,n'-ko-kwäʼ,n'-dä-kwus,n'-ko-kwäʼ,n'-hˑi-sumʼ,n'-dä-kwusʼ,n'-donkʼ,n'-donkʼ,n'-hˑi-sumʼ,n'-donkʼ,n'-dä-kwus-hˑ-kwä-oh,na-meseʼ,na-meseʼ,n'-donkʼ,n'-da-kwusʼ,n'-donkʼ,n'-koʼ-kwä,n'-donkʼ,n'-dä-kwusʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,nä-meesʼ,nä-meesʼ,n'-hˑi-sumʼ,n'-ko-kwäʼ,n'-dä-kwus-ohˑʼ-kwä-oh,n'-ko-kwäʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-da-kwusʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-dä-kwus-ohʼ-kwä-oh,n'-hˑi-sumʼ,n'-donkʼ,n'-ko-kwäʼ,n'-tä-kunʼ,n'hˑi-sum,neeʼ-goos,no-muthsʼ,no-muthsʼ,nee-zeethʼ,nohˑ,nohˑ,nee-zeethʼ,nä-jäʼ-kuʼ,nä-jäʼ-kuʼ,no-muthsʼ,neeʼ-goos,n'-gukʼ,nä-jäʼ-kuʼ,no-muthsʼ,n'-gukʼ,n'-gukʼ,n'-gukʼ,nee-zeethʼ,nee-zeethʼ,nä-jäʼ-kuʼ
9,0.4544543674493904,1.3862943611198906,0.9318399936705002,n'-donkʼ,n'-donkʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-hˑi-sumʼ,n'-da-kwusʼ,n'-dä-kwus-hˑ-kwä-oh,n'-dä-kwus-ohʼ-kwä-oh,n'-dä-kwus-ohˑʼ-kwä-oh,n'-dä-kwus-ohʼ-kwä-oh,n'-da-kwusʼ,ne-tä-kunʼ,n'-ko-kwäʼ,n'-dä-kwusʼ,n'-hˑi-sumʼ,n'-dä-kwusʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-donkʼ,n'-ko-kwäʼ,n'-dä-kwus-ohʼ-kwä-oh,n'-hˑi-sumʼ,na-meseʼ,n'-hˑi-sumʼ,n'-donkʼ,n'-donkʼ,na-meseʼ,nä-meesʼ,n'hˑi-sum,n'-tä-kun,nä-meesʼ,n'-hˑi-sumʼ,n'-donkʼ,n'-ko-kwäʼ,n'-tä-kunʼ,n'-ko-kwäʼ,n'-dä-kwus,n'-koʼ-kwä,n'-donkʼ,n'-ko-kwäʼ,n'-gukʼ,neeʼ-goos,n'-gukʼ,no-muthsʼ,nä-jäʼ-kuʼ,nee-zeethʼ,nohˑ,no-muthsʼ,nohˑ,neeʼ-goos,nä-jäʼ-kuʼ,nee-zeethʼ,no-muthsʼ,n'-gukʼ,no-muthsʼ,nee-zeethʼ,nee-zeethʼ,nä-jäʼ-kuʼ,n'-gukʼ,nä-jäʼ-kuʼ
