simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,myZ,fZ,feB,fyB,fyZ,mB,fB,mZ,meZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mMB,mMeB,mMyB,fF,fM,fMB,fMeB,fMyB,mFZ,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,fFZ,fMZ,fFeZ,fFyZ,fMeZ,fMyZ
0,0.12095242312987387,1.0736979101141768,0.952745486984303,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,ngapitya,kou-wou,yakkana,ngapitya,ngapitya,kou-wou,kou-wou,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,panyappi,ngapitya,ngapitya,yanga,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,yunga,ngapitya,kou-wou,panyappi,kou-wou,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,kou-wou,ngapitya,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,panyappi,ngapitya,kou-wou,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,ngapitya,ngapitya,kou-wou,ngapitya,kou-wou,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,ngapitya,ngapitya,kou-wou,yanga,kou-wou,panyappi,ngapitya,ngapitya,ngapitya,ngapitya,ngapitya,ngarnna,ngapitya,ngapitya,kou-wou,ngapitya,yakkana,kou-wou,ngapitya,ngapitya,ngapitya,kou-wou,yunga,kou-wou,ngapitya,ngarnna,ngarpadla,kawawa,yerlitta,ngarpadla,kawawa,ngarpadla,ngarpadla,kawawa,kawawa,kawawa,ngarpadla,ngarpadla,ngarpadla,ngarpadla,yerlitta,ngangkimeyu,ngarpadla,ngarpadla,ngangkimeyu,ngarpadla,ngarpadla,kawawa
1,0.0960059936474702,1.1097180878913633,1.013712094243893,ngapitya,panyappi,ngapitya,kou-wou,kou-wou,ngapitya,ngapitya,ngapitya,kou-wou,ngapitya,kou-wou,ngapitya,yanga,kou-wou,kou-wou,ngapitya,kou-wou,kou-wou,ngapitya,yakkana,ngapitya,kou-wou,ngapitya,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,panyappi,ngapitya,kou-wou,panyappi,ngapitya,kou-wou,ngapitya,yakkana,kou-wou,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,ngapitya,kou-wou,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,ngapitya,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,ngapitya,ngapitya,ngapitya,ngapitya,ngapitya,ngapitya,panyappi,kou-wou,kou-wou,yanga,ngarnna,ngapitya,ngarnna,kou-wou,ngapitya,ngapitya,ngapitya,kou-wou,yunga,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,kou-wou,kou-wou,yunga,ngapitya,ngarpadla,ngarpadla,ngangkimeyu,ngarpadla,ngarpadla,ngarpadla,ngarpadla,kawawa,ngarpadla,ngangkimeyu,ngarpadla,yerlitta,kawawa,kawawa,kawawa,yerlitta,ngarpadla,ngarpadla,ngarpadla,ngarpadla,kawawa,kawawa
2,0.12407595562396134,1.0922845222675872,0.9682085666436259,ngapitya,yunga,kou-wou,ngapitya,ngarnna,ngapitya,ngapitya,ngapitya,ngapitya,kou-wou,ngapitya,kou-wou,ngapitya,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,panyappi,ngapitya,ngarnna,ngapitya,ngapitya,panyappi,kou-wou,kou-wou,ngapitya,kou-wou,ngapitya,ngapitya,yanga,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,ngapitya,ngapitya,ngapitya,ngapitya,yunga,kou-wou,ngapitya,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,yakkana,yakkana,kou-wou,ngapitya,kou-wou,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,ngapitya,ngapitya,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,ngapitya,ngapitya,panyappi,kou-wou,ngapitya,kou-wou,ngapitya,kou-wou,kou-wou,ngapitya,panyappi,ngapitya,kou-wou,kou-wou,kou-wou,yanga,ngapitya,kou-wou,ngarpadla,ngarpadla,yerlitta,ngangkimeyu,ngarpadla,ngarpadla,yerlitta,kawawa,ngarpadla,kawawa,kawawa,ngarpadla,ngangkimeyu,kawawa,ngarpadla,kawawa,ngarpadla,ngarpadla,ngarpadla,kawawa,ngarpadla,ngarpadla
3,0.1634289695401958,1.0551381729940061,0.8917092034538103,kou-wou,ngapitya,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,ngapitya,kou-wou,ngapitya,kou-wou,kou-wou,ngapitya,ngapitya,ngapitya,kou-wou,ngapitya,panyappi,ngapitya,ngapitya,ngapitya,kou-wou,ngapitya,panyappi,ngapitya,ngapitya,ngapitya,ngapitya,ngarnna,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,ngapitya,ngapitya,ngapitya,ngapitya,yunga,kou-wou,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,ngapitya,yunga,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,ngapitya,yanga,kou-wou,ngapitya,ngarnna,kou-wou,yanga,ngapitya,ngapitya,ngapitya,ngapitya,kou-wou,panyappi,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,yakkana,panyappi,ngapitya,kou-wou,kou-wou,ngapitya,kou-wou,kou-wou,kou-wou,yakkana,ngapitya,kou-wou,ngapitya,ngarpadla,ngarpadla,kawawa,ngarpadla,kawawa,ngarpadla,kawawa,ngarpadla,ngangkimeyu,yerlitta,ngarpadla,ngarpadla,ngarpadla,ngarpadla,ngarpadla,kawawa,ngangkimeyu,ngarpadla,yerlitta,kawawa,kawawa,ngarpadla
4,0.132365092966926,1.0819826314041106,0.9496175384371845,ngapitya,ngapitya,yanga,kou-wou,kou-wou,panyappi,ngapitya,ngapitya,ngapitya,panyappi,kou-wou,kou-wou,ngapitya,kou-wou,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,ngapitya,ngarnna,ngapitya,ngapitya,kou-wou,ngapitya,kou-wou,ngarnna,kou-wou,ngapitya,kou-wou,ngapitya,kou-wou,ngapitya,ngapitya,ngapitya,kou-wou,ngapitya,kou-wou,panyappi,ngapitya,kou-wou,ngapitya,ngapitya,panyappi,kou-wou,kou-wou,kou-wou,yanga,yunga,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,ngapitya,kou-wou,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,ngapitya,kou-wou,ngapitya,kou-wou,yunga,kou-wou,yakkana,kou-wou,ngapitya,ngapitya,yakkana,ngapitya,kou-wou,kou-wou,ngapitya,kou-wou,ngapitya,ngapitya,ngarpadla,ngarpadla,ngarpadla,ngangkimeyu,ngarpadla,ngarpadla,kawawa,ngarpadla,ngarpadla,ngangkimeyu,kawawa,kawawa,kawawa,ngarpadla,ngarpadla,kawawa,yerlitta,ngarpadla,yerlitta,ngarpadla,ngarpadla,kawawa
5,0.09877870366699038,1.0871436674839279,0.9883649638169375,kou-wou,ngapitya,panyappi,ngapitya,ngapitya,ngapitya,ngapitya,kou-wou,ngapitya,ngapitya,ngarnna,ngapitya,ngapitya,ngapitya,kou-wou,ngapitya,yunga,ngapitya,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,kou-wou,panyappi,kou-wou,yakkana,kou-wou,ngapitya,kou-wou,ngapitya,kou-wou,kou-wou,ngapitya,kou-wou,kou-wou,panyappi,kou-wou,kou-wou,ngapitya,ngapitya,ngapitya,ngapitya,kou-wou,yanga,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,ngapitya,panyappi,kou-wou,kou-wou,kou-wou,ngapitya,ngapitya,ngapitya,kou-wou,yunga,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,yakkana,kou-wou,kou-wou,yanga,kou-wou,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,ngapitya,ngapitya,ngapitya,ngapitya,ngapitya,ngapitya,ngapitya,ngarnna,ngapitya,ngarpadla,yerlitta,ngarpadla,ngarpadla,ngarpadla,yerlitta,ngangkimeyu,ngarpadla,ngarpadla,ngangkimeyu,ngarpadla,ngarpadla,ngarpadla,kawawa,ngarpadla,kawawa,kawawa,ngarpadla,kawawa,ngarpadla,kawawa,kawawa
6,0.12973602985951715,1.1097180878913633,0.9799820580318461,kou-wou,yanga,ngapitya,kou-wou,kou-wou,yakkana,yakkana,ngapitya,ngapitya,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,panyappi,kou-wou,panyappi,kou-wou,kou-wou,ngapitya,ngapitya,kou-wou,ngapitya,kou-wou,kou-wou,kou-wou,yanga,kou-wou,kou-wou,ngarnna,ngapitya,ngapitya,yunga,kou-wou,ngapitya,ngapitya,ngapitya,ngapitya,ngapitya,ngapitya,ngapitya,kou-wou,kou-wou,ngapitya,panyappi,kou-wou,ngapitya,kou-wou,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,kou-wou,kou-wou,kou-wou,ngapitya,ngapitya,ngarnna,kou-wou,ngapitya,ngapitya,panyappi,kou-wou,ngapitya,ngapitya,ngapitya,yunga,ngapitya,ngapitya,kou-wou,ngapitya,kou-wou,ngapitya,kou-wou,ngapitya,kou-wou,ngapitya,kou-wou,kou-wou,ngapitya,kou-wou,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,ngapitya,ngarpadla,ngarpadla,ngangkimeyu,ngarpadla,kawawa,ngarpadla,ngarpadla,kawawa,kawawa,kawawa,ngarpadla,ngarpadla,ngangkimeyu,ngarpadla,ngarpadla,yerlitta,ngarpadla,yerlitta,ngarpadla,kawawa,ngarpadla,kawawa
7,0.24590561052553883,1.0631281269120638,0.817222516386525,ngapitya,ngapitya,ngapitya,kou-wou,ngapitya,ngapitya,yanga,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,kou-wou,yunga,ngapitya,yakkana,ngapitya,kou-wou,ngapitya,kou-wou,kou-wou,ngapitya,ngapitya,ngapitya,kou-wou,kou-wou,panyappi,kou-wou,ngapitya,kou-wou,ngapitya,kou-wou,kou-wou,ngapitya,yanga,kou-wou,ngapitya,kou-wou,ngapitya,ngapitya,kou-wou,yakkana,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,ngapitya,ngarnna,ngapitya,kou-wou,ngapitya,kou-wou,ngapitya,ngapitya,kou-wou,ngarnna,ngapitya,ngapitya,ngapitya,panyappi,kou-wou,ngapitya,panyappi,ngapitya,kou-wou,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,panyappi,ngapitya,kou-wou,ngapitya,kou-wou,ngapitya,yunga,ngapitya,ngapitya,ngapitya,ngapitya,kou-wou,ngapitya,kawawa,ngarpadla,kawawa,ngarpadla,yerlitta,kawawa,ngangkimeyu,kawawa,ngarpadla,ngarpadla,ngarpadla,ngarpadla,ngarpadla,kawawa,ngarpadla,ngangkimeyu,ngarpadla,ngarpadla,yerlitta,ngarpadla,kawawa,ngarpadla
8,0.10642516729544216,1.204011110807241,1.097585943511799,kou-wou,ngapitya,panyappi,kou-wou,ngapitya,ngapitya,kou-wou,yanga,ngapitya,kou-wou,ngapitya,ngapitya,yakkana,ngapitya,ngapitya,yanga,kou-wou,ngarnna,ngapitya,yunga,kou-wou,ngarnna,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,ngapitya,panyappi,ngapitya,yakkana,kou-wou,ngapitya,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,ngapitya,ngapitya,kou-wou,ngapitya,kou-wou,kou-wou,ngapitya,ngapitya,ngapitya,kou-wou,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,ngapitya,ngapitya,yunga,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,ngapitya,ngapitya,ngapitya,kou-wou,ngapitya,kou-wou,kou-wou,ngapitya,ngapitya,panyappi,kou-wou,ngapitya,kou-wou,panyappi,kou-wou,ngapitya,ngapitya,ngapitya,kou-wou,ngapitya,kou-wou,ngapitya,kou-wou,kawawa,yerlitta,ngarpadla,ngarpadla,ngarpadla,ngangkimeyu,ngarpadla,ngarpadla,ngarpadla,ngarpadla,kawawa,ngangkimeyu,ngarpadla,kawawa,ngarpadla,ngarpadla,yerlitta,ngarpadla,kawawa,kawawa,kawawa,ngarpadla
9,0.15709784496848256,1.1825736067715291,1.0254757618030466,kou-wou,ngapitya,yakkana,kou-wou,ngarnna,ngapitya,ngapitya,ngapitya,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,ngapitya,ngapitya,ngapitya,ngapitya,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,kou-wou,ngapitya,ngapitya,ngapitya,kou-wou,ngapitya,kou-wou,yakkana,ngapitya,panyappi,kou-wou,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,kou-wou,kou-wou,panyappi,ngapitya,ngapitya,yunga,kou-wou,kou-wou,ngapitya,kou-wou,yanga,kou-wou,ngapitya,ngapitya,ngapitya,kou-wou,ngapitya,ngapitya,ngapitya,ngapitya,kou-wou,ngapitya,panyappi,kou-wou,kou-wou,kou-wou,ngapitya,kou-wou,kou-wou,ngapitya,ngapitya,ngapitya,yunga,kou-wou,kou-wou,ngapitya,ngapitya,kou-wou,kou-wou,kou-wou,kou-wou,yanga,ngarnna,panyappi,ngapitya,kou-wou,ngapitya,kou-wou,ngarpadla,kawawa,kawawa,kawawa,yerlitta,yerlitta,ngarpadla,kawawa,ngarpadla,ngarpadla,ngarpadla,ngangkimeyu,ngarpadla,ngarpadla,ngarpadla,kawawa,ngangkimeyu,kawawa,ngarpadla,ngarpadla,ngarpadla,ngarpadla
