simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mFBD,mFBS,mFZS,mMBS,meB,myB,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB
0,0.018811136958113095,1.013916881041334,0.9951057440832208,mwaniyà,mwaniyà,tétà,tétà,tétà,tétà,mwanà,tétà,tétà,tétà,tétà,mwaniyà,mwaniyà,mwaniyà,mwaniyà,mwaniyà,mwaniyà,tétà,mwaniyà,mwaniyà,mwaniyà,mwanà,tétà,mwanà,mwaniyà,mwanà,mwanà,tétà,katshi,katshi,tétà,iyà,tétà,tétà,tétà,iyà,tétà,tétà,iyà,katshi,iyà
1,0.13761483050359935,0.983127624158612,0.8455127936550126,mwaniyà,tétà,mwaniyà,mwaniyà,mwaniyà,tétà,tétà,mwaniyà,mwanà,tétà,mwaniyà,mwaniyà,tétà,mwanà,mwaniyà,mwanà,tétà,tétà,mwaniyà,tétà,mwanà,tétà,tétà,mwaniyà,mwaniyà,mwaniyà,mwanà,iyà,tétà,tétà,tétà,iyà,tétà,iyà,katshi,katshi,tétà,katshi,iyà,tétà,tétà
2,0.052947565117281825,0.9738110105706947,0.9208634454534129,mwaniyà,mwaniyà,mwanà,tétà,mwaniyà,tétà,mwaniyà,mwanà,mwaniyà,tétà,mwaniyà,tétà,mwanà,mwaniyà,mwanà,tétà,tétà,mwaniyà,mwanà,mwaniyà,mwaniyà,tétà,tétà,mwaniyà,mwaniyà,tétà,tétà,katshi,tétà,iyà,tétà,iyà,tétà,tétà,iyà,iyà,tétà,katshi,tétà,katshi,tétà
3,0.05955700216407345,1.0950778621205006,1.0355208599564272,mwaniyà,mwaniyà,tétà,mwanà,mwaniyà,tétà,mwanà,mwanà,tétà,mwaniyà,mwaniyà,tétà,tétà,tétà,mwaniyà,mwanà,mwaniyà,tétà,tétà,tétà,mwaniyà,tétà,mwanà,mwaniyà,mwaniyà,mwaniyà,mwaniyà,tétà,tétà,iyà,katshi,tétà,tétà,iyà,tétà,katshi,iyà,iyà,tétà,katshi,tétà
4,0.19047427943358797,1.031894382784299,0.841420103350711,tétà,mwaniyà,mwaniyà,tétà,tétà,mwaniyà,mwaniyà,tétà,mwaniyà,tétà,mwaniyà,mwanà,mwaniyà,mwanà,mwanà,tétà,tétà,mwanà,mwaniyà,mwaniyà,mwanà,tétà,tétà,mwaniyà,mwaniyà,mwaniyà,tétà,iyà,tétà,tétà,katshi,katshi,tétà,tétà,iyà,tétà,tétà,tétà,iyà,katshi,iyà
5,0.10152784380333468,1.0727833145426442,0.9712554707393095,tétà,tétà,tétà,mwaniyà,mwaniyà,mwaniyà,tétà,mwanà,mwaniyà,mwanà,tétà,mwaniyà,mwaniyà,mwaniyà,tétà,mwaniyà,tétà,mwanà,tétà,mwaniyà,tétà,mwanà,mwanà,mwaniyà,mwaniyà,tétà,mwaniyà,iyà,tétà,katshi,iyà,tétà,katshi,iyà,katshi,iyà,tétà,tétà,tétà,tétà,tétà
6,0.08558700621829651,0.9069764873331407,0.8213894811148442,mwanà,mwaniyà,mwaniyà,mwaniyà,mwaniyà,tétà,tétà,mwaniyà,tétà,tétà,tétà,mwanà,tétà,mwanà,tétà,mwanà,tétà,tétà,tétà,mwaniyà,mwaniyà,mwaniyà,mwaniyà,mwaniyà,mwanà,mwaniyà,mwaniyà,iyà,iyà,iyà,tétà,tétà,katshi,tétà,tétà,katshi,tétà,katshi,tétà,iyà,tétà
7,0.04451875041429454,1.0027399543973452,0.9582212039830507,mwaniyà,mwaniyà,tétà,mwanà,mwanà,mwanà,mwaniyà,mwaniyà,tétà,mwaniyà,mwanà,tétà,tétà,tétà,tétà,mwaniyà,mwaniyà,tétà,mwanà,mwaniyà,mwaniyà,tétà,mwaniyà,tétà,mwaniyà,tétà,mwaniyà,tétà,katshi,iyà,iyà,tétà,tétà,katshi,iyà,tétà,iyà,tétà,tétà,tétà,katshi
8,0.07620822557353812,0.9629079493851552,0.8866997238116171,mwaniyà,tétà,mwanà,mwaniyà,tétà,mwaniyà,tétà,tétà,mwanà,tétà,mwaniyà,mwaniyà,tétà,mwanà,mwaniyà,mwaniyà,mwaniyà,tétà,mwaniyà,mwaniyà,mwaniyà,mwanà,tétà,tétà,mwaniyà,tétà,mwanà,tétà,tétà,tétà,tétà,iyà,tétà,iyà,katshi,katshi,tétà,iyà,tétà,katshi,iyà
9,0.057914976401367446,0.7854634705649196,0.7275484941635522,tétà,mwanà,tétà,mwanà,mwanà,mwaniyà,mwaniyà,mwanà,mwaniyà,tétà,mwaniyà,mwaniyà,mwaniyà,mwaniyà,tétà,mwaniyà,tétà,mwaniyà,tétà,mwanà,mwaniyà,tétà,mwaniyà,tétà,tétà,tétà,mwaniyà,tétà,tétà,tétà,tétà,iyà,katshi,katshi,tétà,iyà,tétà,iyà,katshi,iyà,tétà
