simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFBS,mFeBS,mFyBS,mFBeS,mFByS,feB,fyB,feZ,fyZ,fFBS,fFeBS,fFyBS,fFBeS,fFByS,mB,mZ,mFZD,mMBD,mFZS,mMBS,mFZyS,mFZyD,mMByS,mMByD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZeD,mMBeS,mMBeD,fB,fZ,fFZD,fMBD,fFZS,fMBS,fFZyS,fFZyD,fMByS,fMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZeD,fMBeS,fMBeD,mF,mM,mFB,mFZ,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFB,fFZ,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,mMB,mMeB,mMyB,fMB,fMeB,fMyB
0,0.19553274874348459,1.3366885579961874,1.1411558092527028,kabuju,djambadu,wupa,wupa,marrkatu,djambadu,djambadu,djambadu,wupa,djambadu,djambadu,telwel,djambadu,wupa,marrkatu,djambadu,djambadu,wupa,kaputyu,marrkatu,babalu,wupa,djambadu,djambadu,djambadu,djambadu,djambadu,djambadu,telwel,wupa,wupa,djambadu,marrkatu,djambadu,djambadu,babalu,djambadu,djambadu,djambadu,djambadu,paparla,djambadu,telwel,djambadu,telwel,djambadu,kaputyu,telwel,wupa,wupa,kabuju,djambadu,djambadu,djambadu,djambadu,djambadu,telwel,telwel,djambadu,djambadu,telwel,djabalu,kamaru,kudang,djabalu,djabalu,djabalu,kudang,kaga,djabalu,kudang,kudang,kamaru,djabalu,kaga,kamaru,kaga,djabalu,kamaru,djabalu,kamaru,kaga,kudang,kudang,kaga,kudang,kamaru,kudang,kaga
1,0.18656094651949373,1.3354475522351188,1.148886605715625,wupa,djambadu,djambadu,djambadu,djambadu,wupa,telwel,djambadu,djambadu,wupa,marrkatu,wupa,djambadu,djambadu,djambadu,telwel,telwel,kaputyu,telwel,telwel,babalu,wupa,djambadu,djambadu,kabuju,djambadu,wupa,djambadu,djambadu,wupa,paparla,djambadu,marrkatu,djambadu,wupa,wupa,djambadu,kabuju,marrkatu,telwel,djambadu,djambadu,djambadu,djambadu,telwel,djambadu,djambadu,babalu,djambadu,djambadu,djambadu,marrkatu,kaputyu,djambadu,djambadu,wupa,telwel,djambadu,djambadu,djambadu,djambadu,kudang,kaga,kamaru,kudang,djabalu,kamaru,djabalu,kudang,djabalu,kudang,kaga,djabalu,kamaru,kamaru,kudang,kaga,kamaru,djabalu,djabalu,djabalu,kamaru,kudang,kaga,djabalu,kaga,kaga,kudang,kudang
2,0.2973754730003124,1.37914069567647,1.0817652226761576,djambadu,kabuju,kaputyu,wupa,telwel,djambadu,djambadu,djambadu,djambadu,djambadu,djambadu,djambadu,babalu,djambadu,telwel,babalu,djambadu,djambadu,kaputyu,marrkatu,telwel,djambadu,wupa,djambadu,wupa,djambadu,djambadu,djambadu,marrkatu,djambadu,djambadu,djambadu,djambadu,wupa,wupa,telwel,telwel,djambadu,marrkatu,marrkatu,djambadu,wupa,wupa,djambadu,djambadu,djambadu,djambadu,paparla,djambadu,kabuju,wupa,telwel,djambadu,telwel,djambadu,djambadu,djambadu,wupa,telwel,djambadu,wupa,kaga,kaga,kudang,kamaru,kamaru,kudang,djabalu,djabalu,kamaru,kaga,kamaru,kudang,djabalu,djabalu,djabalu,kaga,djabalu,djabalu,kaga,kudang,kudang,kamaru,kamaru,kudang,kudang,kaga,djabalu,kudang
3,0.16830894666936191,1.369707770217419,1.201398823548057,marrkatu,djambadu,telwel,kabuju,djambadu,marrkatu,djambadu,wupa,djambadu,djambadu,djambadu,djambadu,djambadu,wupa,marrkatu,telwel,djambadu,paparla,wupa,telwel,djambadu,wupa,telwel,djambadu,djambadu,djambadu,wupa,djambadu,wupa,djambadu,telwel,djambadu,djambadu,telwel,djambadu,telwel,wupa,wupa,kaputyu,djambadu,djambadu,djambadu,babalu,marrkatu,djambadu,djambadu,djambadu,djambadu,djambadu,djambadu,wupa,djambadu,djambadu,kabuju,djambadu,telwel,babalu,kaputyu,djambadu,djambadu,wupa,djabalu,kamaru,kamaru,kaga,kaga,kaga,kudang,kaga,djabalu,kudang,djabalu,kudang,kaga,djabalu,kamaru,kudang,djabalu,kamaru,kamaru,kamaru,kudang,kudang,kudang,kudang,djabalu,djabalu,kaga,djabalu
4,0.257060530716817,1.3181590848472047,1.0610985541303877,wupa,djambadu,wupa,wupa,djambadu,djambadu,djambadu,djambadu,wupa,babalu,djambadu,djambadu,babalu,djambadu,djambadu,kaputyu,djambadu,djambadu,djambadu,djambadu,djambadu,telwel,wupa,djambadu,djambadu,telwel,kabuju,telwel,telwel,kabuju,telwel,marrkatu,djambadu,djambadu,djambadu,wupa,marrkatu,djambadu,wupa,djambadu,djambadu,djambadu,djambadu,djambadu,djambadu,wupa,paparla,wupa,djambadu,telwel,djambadu,marrkatu,kaputyu,wupa,marrkatu,djambadu,djambadu,djambadu,djambadu,telwel,telwel,kamaru,kudang,kudang,djabalu,kaga,kaga,kudang,kudang,djabalu,kaga,kudang,kudang,djabalu,djabalu,kamaru,kaga,kaga,djabalu,djabalu,djabalu,kudang,kamaru,kudang,kamaru,djabalu,kaga,kamaru,kamaru
5,0.25110092392557215,1.3446354490060681,1.093534525080496,djambadu,marrkatu,wupa,wupa,djambadu,djambadu,djambadu,djambadu,wupa,wupa,telwel,marrkatu,djambadu,kabuju,djambadu,wupa,djambadu,djambadu,kaputyu,babalu,kabuju,djambadu,djambadu,djambadu,djambadu,djambadu,telwel,wupa,djambadu,telwel,telwel,djambadu,djambadu,djambadu,kaputyu,telwel,djambadu,djambadu,telwel,marrkatu,djambadu,djambadu,wupa,djambadu,djambadu,babalu,djambadu,paparla,wupa,djambadu,djambadu,djambadu,telwel,djambadu,djambadu,telwel,djambadu,wupa,marrkatu,djambadu,wupa,kamaru,kamaru,kamaru,kudang,kudang,kaga,djabalu,kudang,kamaru,kudang,kudang,kaga,kaga,kaga,kamaru,kudang,djabalu,djabalu,kaga,kudang,djabalu,kudang,djabalu,djabalu,djabalu,kamaru,kaga,djabalu
6,0.17093889460876777,1.360892543797845,1.1899536491890772,wupa,djambadu,djambadu,djambadu,kaputyu,telwel,djambadu,telwel,djambadu,marrkatu,djambadu,djambadu,djambadu,wupa,djambadu,kabuju,djambadu,paparla,djambadu,wupa,telwel,wupa,babalu,djambadu,djambadu,djambadu,djambadu,wupa,wupa,djambadu,wupa,telwel,kabuju,djambadu,djambadu,marrkatu,djambadu,djambadu,wupa,djambadu,djambadu,djambadu,telwel,wupa,djambadu,telwel,marrkatu,djambadu,djambadu,djambadu,babalu,djambadu,djambadu,djambadu,djambadu,marrkatu,kaputyu,telwel,telwel,wupa,djambadu,djabalu,kaga,kaga,kamaru,kamaru,kudang,kamaru,kaga,kudang,kudang,kudang,kamaru,kaga,kamaru,kudang,djabalu,kaga,kaga,kamaru,djabalu,djabalu,kudang,djabalu,kudang,djabalu,djabalu,djabalu,kudang
7,0.216643849037349,1.3518969256160254,1.1352530765786764,djambadu,djambadu,telwel,telwel,wupa,djambadu,djambadu,wupa,djambadu,djambadu,wupa,djambadu,kaputyu,wupa,djambadu,wupa,telwel,djambadu,telwel,marrkatu,djambadu,djambadu,djambadu,djambadu,marrkatu,kabuju,telwel,djambadu,djambadu,djambadu,wupa,telwel,djambadu,djambadu,djambadu,djambadu,djambadu,djambadu,djambadu,wupa,babalu,wupa,kaputyu,djambadu,djambadu,djambadu,djambadu,djambadu,djambadu,djambadu,wupa,wupa,marrkatu,telwel,djambadu,kabuju,paparla,babalu,telwel,marrkatu,djambadu,kaga,djabalu,djabalu,kudang,kudang,kudang,kamaru,kaga,djabalu,kudang,djabalu,kaga,kudang,djabalu,kamaru,kamaru,djabalu,djabalu,kamaru,kaga,kudang,kudang,kaga,kudang,kamaru,kaga,djabalu,kamaru
8,0.22536557466438834,1.370165042104825,1.1447994674404367,djambadu,babalu,wupa,djambadu,djambadu,djambadu,djambadu,djambadu,djambadu,kabuju,djambadu,wupa,djambadu,djambadu,wupa,telwel,marrkatu,telwel,djambadu,djambadu,paparla,djambadu,djambadu,kaputyu,marrkatu,djambadu,djambadu,telwel,marrkatu,djambadu,djambadu,wupa,kabuju,wupa,djambadu,djambadu,wupa,kaputyu,djambadu,djambadu,telwel,wupa,djambadu,djambadu,djambadu,wupa,babalu,djambadu,telwel,djambadu,telwel,wupa,djambadu,djambadu,telwel,djambadu,marrkatu,telwel,wupa,djambadu,djambadu,kaga,kaga,kaga,kudang,kudang,kudang,kudang,kaga,kamaru,kamaru,kudang,djabalu,kamaru,kaga,kudang,kamaru,djabalu,djabalu,kudang,kaga,djabalu,kamaru,djabalu,djabalu,djabalu,kamaru,djabalu,kudang
9,0.24345316725695443,1.3633891914824767,1.1199360242255223,djambadu,djambadu,kabuju,djambadu,kabuju,babalu,marrkatu,telwel,djambadu,djambadu,telwel,djambadu,wupa,djambadu,telwel,djambadu,kaputyu,djambadu,djambadu,djambadu,wupa,telwel,djambadu,djambadu,wupa,djambadu,marrkatu,telwel,telwel,djambadu,wupa,kaputyu,djambadu,djambadu,djambadu,wupa,wupa,telwel,djambadu,djambadu,djambadu,djambadu,djambadu,djambadu,djambadu,wupa,djambadu,djambadu,djambadu,wupa,telwel,djambadu,wupa,djambadu,babalu,marrkatu,wupa,paparla,djambadu,djambadu,marrkatu,djabalu,djabalu,kudang,kaga,kamaru,kamaru,kudang,kamaru,kaga,djabalu,djabalu,kaga,djabalu,kudang,kudang,djabalu,kudang,kamaru,kudang,kudang,djabalu,kudang,kaga,kamaru,djabalu,kamaru,kaga,kaga
