simulation_number,mutual_information,entropy,conditional_entropy,mFZ,mFeZ,mFyZ,fF,fFZ,fFeZ,fFyZ
0,NA,NA,NA,pakayi,pakayi,pakayi,pakayi,pakayi,wiyakayi,pakayi
1,NA,NA,NA,wiyakayi,pakayi,pakayi,pakayi,pakayi,pakayi,pakayi
2,NA,NA,NA,pakayi,pakayi,pakayi,pakayi,pakayi,pakayi,wiyakayi
3,NA,NA,NA,wiyakayi,pakayi,pakayi,pakayi,pakayi,pakayi,pakayi
4,NA,NA,NA,pakayi,pakayi,wiyakayi,pakayi,pakayi,pakayi,pakayi
5,NA,NA,NA,pakayi,pakayi,pakayi,wiyakayi,pakayi,pakayi,pakayi
6,NA,NA,NA,pakayi,pakayi,wiyakayi,pakayi,pakayi,pakayi,pakayi
7,NA,NA,NA,wiyakayi,pakayi,pakayi,pakayi,pakayi,pakayi,pakayi
8,NA,NA,NA,pakayi,pakayi,pakayi,wiyakayi,pakayi,pakayi,pakayi
9,NA,NA,NA,wiyakayi,pakayi,pakayi,pakayi,pakayi,pakayi,pakayi
