simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,fM,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.43561916011627555,1.7118996805199722,1.2762805204036967,dādā,bahiṇa,chulat-bhāū,chulat-bahiṇa,māme-bhāū,māme-bhāū,māus-bahiṇa,chulat-bahiṇa,māme-bhāū,māme-bahiṇa,māus-bahiṇa,māwas bhāū,tāī,māus-bahiṇa,chulat-bhāū,māus-bahiṇa,bhāū,māme-bhāū,māus-bahiṇa,māme-bahiṇa,māme-bahiṇa,māme-bhāū,māme-bahiṇa,chulat-bahiṇa,āte-bhāū,chulat-bhāū,māme-bahiṇa,māme-bahiṇa,māwas bhāū,āte-bhāū,māwas bhāū,āte-bahiṇa,chulat-bhāū,bhāū,māus-bahiṇa,māme-bhāū,māus-bahiṇa,māwas bhāū,āte-bhāū,māwas bhāū,āte-bahiṇa,āte-bhāū,āte-bhāū,dādā,māus-bahiṇa,āte-bahiṇa,chulat-bahiṇa,āte-bhāū,chulat-bahiṇa,āte-bhāū,bahiṇa,māme-bhāū,māwas bhāū,bahiṇa,āte-bahiṇa,āte-bahiṇa,māwas bhāū,chulat-bhāū,chulat-bhāū,tāī,āte-bahiṇa,āte-bhāū,māus-bahiṇa,māus-bahiṇa,bahiṇa,āte-bahiṇa,māme-bahiṇa,chulat-bhāū,chulat-bahiṇa,māme-bahiṇa,chulat-bhāū,māme-bhāū,āte-bhāū,bhāū,āte-bahiṇa,māme-bhāū,māme-bahiṇa,chulat-bahiṇa,chulat-bahiṇa,āte-bhāū,māwas bhāū,chulat-bahiṇa,chulat-bhāū,māwas bhāū,māme-bhāū,chulat-bhāū,bhāū,āte-bahiṇa,māme-bahiṇa,āte-bahiṇa,kākā,māmā,ātyā,ātyā,āī,kākā,maushī,maushī,maushī,māmā,maushī,āī,ātyā,māmā,maushī,māmā,vaḍil,ātyā,māmā,maushī,vaḍil,ātyā,ātyā,kākā,kākā,māmā,kākā,kākā
1,0.31629496114138567,1.7123095232344472,1.3960145620930615,āte-bhāū,āte-bahiṇa,āte-bahiṇa,māme-bahiṇa,dādā,māme-bahiṇa,māme-bahiṇa,āte-bahiṇa,āte-bahiṇa,māus-bahiṇa,māus-bahiṇa,tāī,māwas bhāū,bhāū,māus-bahiṇa,māwas bhāū,chulat-bhāū,chulat-bhāū,chulat-bhāū,chulat-bahiṇa,bhāū,māme-bhāū,māus-bahiṇa,chulat-bhāū,āte-bhāū,āte-bhāū,māme-bhāū,māwas bhāū,māme-bahiṇa,māme-bahiṇa,tāī,āte-bhāū,māme-bhāū,āte-bahiṇa,chulat-bhāū,māwas bhāū,āte-bhāū,chulat-bahiṇa,māme-bhāū,chulat-bhāū,chulat-bhāū,āte-bahiṇa,māwas bhāū,chulat-bahiṇa,māme-bhāū,māme-bhāū,āte-bhāū,māwas bhāū,bhāū,māus-bahiṇa,bahiṇa,māme-bhāū,chulat-bahiṇa,bahiṇa,bahiṇa,āte-bahiṇa,māme-bhāū,māme-bahiṇa,māme-bahiṇa,āte-bhāū,chulat-bhāū,māwas bhāū,āte-bahiṇa,chulat-bahiṇa,māme-bahiṇa,āte-bahiṇa,dādā,chulat-bhāū,chulat-bahiṇa,māus-bahiṇa,māme-bhāū,chulat-bahiṇa,bahiṇa,māme-bhāū,āte-bahiṇa,āte-bhāū,māwas bhāū,māus-bahiṇa,māwas bhāū,āte-bhāū,māus-bahiṇa,āte-bhāū,māme-bahiṇa,chulat-bahiṇa,chulat-bahiṇa,māus-bahiṇa,bhāū,māus-bahiṇa,māme-bahiṇa,chulat-bhāū,maushī,ātyā,ātyā,vaḍil,māmā,āī,kākā,ātyā,māmā,maushī,māmā,kākā,maushī,māmā,ātyā,āī,ātyā,kākā,kākā,maushī,vaḍil,māmā,kākā,ātyā,maushī,maushī,māmā,kākā
2,0.2919926629118086,1.6972057831092884,1.4052131201974798,bhāū,chulat-bahiṇa,chulat-bhāū,āte-bahiṇa,māme-bahiṇa,bhāū,āte-bhāū,chulat-bahiṇa,bahiṇa,bahiṇa,māus-bahiṇa,bhāū,māwas bhāū,māme-bahiṇa,māme-bahiṇa,tāī,māme-bahiṇa,māme-bahiṇa,āte-bhāū,chulat-bhāū,māme-bhāū,māus-bahiṇa,āte-bhāū,māme-bahiṇa,chulat-bahiṇa,māus-bahiṇa,chulat-bhāū,chulat-bhāū,āte-bahiṇa,āte-bahiṇa,māwas bhāū,āte-bhāū,māme-bhāū,chulat-bahiṇa,āte-bahiṇa,āte-bhāū,māme-bhāū,āte-bhāū,māus-bahiṇa,māme-bhāū,māus-bahiṇa,māus-bahiṇa,chulat-bhāū,māus-bahiṇa,māme-bhāū,māme-bhāū,āte-bahiṇa,āte-bahiṇa,āte-bhāū,māus-bahiṇa,chulat-bahiṇa,māme-bhāū,āte-bahiṇa,āte-bahiṇa,māwas bhāū,chulat-bhāū,māus-bahiṇa,dādā,bhāū,chulat-bahiṇa,māme-bahiṇa,bahiṇa,māme-bhāū,āte-bahiṇa,dādā,āte-bahiṇa,māme-bhāū,bahiṇa,tāī,āte-bhāū,māwas bhāū,māwas bhāū,māwas bhāū,chulat-bahiṇa,āte-bhāū,māme-bahiṇa,chulat-bahiṇa,māwas bhāū,chulat-bhāū,chulat-bahiṇa,māwas bhāū,māwas bhāū,māme-bahiṇa,chulat-bhāū,chulat-bhāū,māme-bhāū,māus-bahiṇa,āte-bhāū,māme-bahiṇa,chulat-bhāū,ātyā,māmā,kākā,māmā,ātyā,maushī,māmā,āī,māmā,māmā,ātyā,kākā,māmā,maushī,kākā,maushī,vaḍil,maushī,vaḍil,ātyā,ātyā,kākā,ātyā,maushī,āī,kākā,kākā,maushī
3,0.3786607376762936,1.6901665505444674,1.3115058128681738,āte-bhāū,chulat-bahiṇa,māme-bahiṇa,māme-bahiṇa,chulat-bahiṇa,māme-bhāū,māwas bhāū,māwas bhāū,āte-bhāū,tāī,māus-bahiṇa,māus-bahiṇa,bhāū,chulat-bahiṇa,āte-bhāū,chulat-bahiṇa,chulat-bahiṇa,āte-bhāū,bahiṇa,chulat-bahiṇa,chulat-bhāū,chulat-bahiṇa,māme-bhāū,māme-bahiṇa,māwas bhāū,chulat-bhāū,chulat-bhāū,āte-bahiṇa,māwas bhāū,māme-bhāū,māwas bhāū,māme-bhāū,māwas bhāū,āte-bhāū,āte-bahiṇa,māme-bhāū,chulat-bhāū,māme-bahiṇa,āte-bhāū,āte-bahiṇa,māwas bhāū,dādā,māme-bahiṇa,bhāū,āte-bhāū,āte-bahiṇa,bahiṇa,māus-bahiṇa,māus-bahiṇa,chulat-bhāū,chulat-bahiṇa,māus-bahiṇa,tāī,āte-bahiṇa,chulat-bhāū,māme-bhāū,māus-bahiṇa,chulat-bhāū,māme-bahiṇa,māwas bhāū,bhāū,māme-bhāū,māus-bahiṇa,bhāū,chulat-bahiṇa,āte-bahiṇa,dādā,āte-bahiṇa,chulat-bhāū,āte-bhāū,māme-bahiṇa,māwas bhāū,bahiṇa,āte-bahiṇa,āte-bhāū,māme-bahiṇa,māme-bahiṇa,māme-bhāū,āte-bahiṇa,māus-bahiṇa,māus-bahiṇa,chulat-bhāū,āte-bahiṇa,māme-bhāū,māus-bahiṇa,chulat-bhāū,bahiṇa,māme-bhāū,māme-bahiṇa,āte-bhāū,vaḍil,māmā,ātyā,māmā,ātyā,maushī,ātyā,maushī,kākā,māmā,maushī,kākā,āī,ātyā,māmā,kākā,ātyā,maushī,kākā,āī,kākā,ātyā,māmā,māmā,maushī,vaḍil,kākā,maushī
4,0.3987713534533397,1.6556401716479208,1.256868818194581,bhāū,āte-bhāū,chulat-bahiṇa,māme-bahiṇa,māme-bahiṇa,māus-bahiṇa,chulat-bhāū,āte-bhāū,āte-bhāū,māme-bahiṇa,tāī,māwas bhāū,āte-bahiṇa,bhāū,māme-bahiṇa,āte-bahiṇa,chulat-bahiṇa,tāī,chulat-bhāū,āte-bahiṇa,māme-bahiṇa,māus-bahiṇa,chulat-bhāū,chulat-bahiṇa,māme-bahiṇa,māus-bahiṇa,āte-bahiṇa,māme-bahiṇa,chulat-bhāū,bhāū,āte-bhāū,chulat-bahiṇa,māme-bahiṇa,āte-bhāū,māme-bhāū,āte-bahiṇa,āte-bhāū,āte-bhāū,māme-bhāū,āte-bahiṇa,māme-bhāū,āte-bhāū,chulat-bhāū,bhāū,māwas bhāū,māwas bhāū,māus-bahiṇa,māus-bahiṇa,chulat-bhāū,māus-bahiṇa,māwas bhāū,māme-bhāū,māus-bahiṇa,āte-bahiṇa,āte-bahiṇa,māus-bahiṇa,bahiṇa,chulat-bahiṇa,māwas bhāū,chulat-bahiṇa,chulat-bahiṇa,bahiṇa,māme-bhāū,āte-bhāū,dādā,bahiṇa,āte-bahiṇa,āte-bhāū,māus-bahiṇa,chulat-bhāū,māwas bhāū,māme-bahiṇa,māwas bhāū,māus-bahiṇa,bahiṇa,āte-bahiṇa,māwas bhāū,māme-bhāū,chulat-bhāū,dādā,chulat-bahiṇa,māme-bhāū,māme-bhāū,māme-bhāū,chulat-bahiṇa,chulat-bhāū,māme-bhāū,chulat-bhāū,māme-bahiṇa,māwas bhāū,āī,maushī,maushī,kākā,kākā,ātyā,maushī,kākā,vaḍil,ātyā,kākā,vaḍil,māmā,māmā,maushī,kākā,ātyā,māmā,kākā,maushī,māmā,maushī,ātyā,āī,māmā,ātyā,māmā,ātyā
5,0.3022079456366782,1.6759682919297654,1.3737603462930872,chulat-bahiṇa,bahiṇa,chulat-bhāū,māwas bhāū,māme-bahiṇa,māme-bahiṇa,bahiṇa,māwas bhāū,āte-bhāū,āte-bhāū,māme-bhāū,chulat-bhāū,māme-bahiṇa,chulat-bhāū,āte-bhāū,māus-bahiṇa,māus-bahiṇa,dādā,māme-bahiṇa,āte-bahiṇa,bahiṇa,bhāū,māme-bhāū,chulat-bahiṇa,chulat-bahiṇa,māus-bahiṇa,āte-bhāū,tāī,māus-bahiṇa,māme-bahiṇa,māme-bahiṇa,bhāū,māwas bhāū,chulat-bahiṇa,māus-bahiṇa,chulat-bahiṇa,chulat-bhāū,māme-bhāū,chulat-bhāū,āte-bahiṇa,māus-bahiṇa,māme-bhāū,chulat-bhāū,chulat-bahiṇa,māwas bhāū,chulat-bahiṇa,āte-bhāū,māme-bahiṇa,chulat-bhāū,āte-bhāū,āte-bhāū,āte-bahiṇa,bhāū,māme-bhāū,āte-bahiṇa,māus-bahiṇa,chulat-bahiṇa,māwas bhāū,māme-bahiṇa,māus-bahiṇa,āte-bahiṇa,tāī,māme-bhāū,māme-bahiṇa,māme-bhāū,māme-bhāū,āte-bhāū,bhāū,āte-bahiṇa,māme-bhāū,chulat-bahiṇa,māwas bhāū,māme-bahiṇa,māme-bhāū,māwas bhāū,chulat-bhāū,āte-bhāū,bahiṇa,āte-bahiṇa,māus-bahiṇa,chulat-bhāū,māus-bahiṇa,māwas bhāū,āte-bahiṇa,māwas bhāū,āte-bhāū,chulat-bhāū,āte-bahiṇa,āte-bahiṇa,dādā,maushī,kākā,māmā,maushī,ātyā,vaḍil,ātyā,māmā,kākā,kākā,ātyā,māmā,ātyā,vaḍil,āī,ātyā,māmā,maushī,ātyā,māmā,kākā,maushī,kākā,maushī,maushī,māmā,kākā,āī
6,0.33024646918537215,1.6868511744723855,1.3566047052870134,māus-bahiṇa,māme-bhāū,tāī,tāī,māme-bahiṇa,māus-bahiṇa,māus-bahiṇa,āte-bahiṇa,māme-bhāū,chulat-bahiṇa,chulat-bhāū,māwas bhāū,bhāū,āte-bhāū,māme-bhāū,āte-bahiṇa,māwas bhāū,chulat-bahiṇa,āte-bhāū,māwas bhāū,āte-bhāū,āte-bhāū,māme-bhāū,chulat-bahiṇa,māme-bahiṇa,chulat-bhāū,chulat-bhāū,āte-bahiṇa,chulat-bahiṇa,āte-bahiṇa,bahiṇa,māme-bhāū,āte-bhāū,āte-bahiṇa,āte-bahiṇa,māwas bhāū,āte-bhāū,māus-bahiṇa,chulat-bahiṇa,māwas bhāū,māus-bahiṇa,māwas bhāū,āte-bahiṇa,āte-bhāū,māus-bahiṇa,bhāū,bhāū,dādā,māme-bhāū,chulat-bhāū,bahiṇa,māme-bahiṇa,māwas bhāū,chulat-bhāū,māme-bhāū,chulat-bahiṇa,māus-bahiṇa,māus-bahiṇa,māme-bhāū,chulat-bhāū,āte-bahiṇa,āte-bhāū,māme-bahiṇa,āte-bahiṇa,māme-bhāū,chulat-bhāū,māus-bahiṇa,māme-bahiṇa,māus-bahiṇa,bahiṇa,chulat-bahiṇa,māme-bahiṇa,māme-bahiṇa,māwas bhāū,māme-bahiṇa,bhāū,bahiṇa,māme-bhāū,dādā,āte-bahiṇa,māme-bahiṇa,māme-bahiṇa,chulat-bahiṇa,chulat-bahiṇa,āte-bhāū,āte-bhāū,chulat-bhāū,chulat-bhāū,chulat-bhāū,māwas bhāū,kākā,kākā,kākā,māmā,maushī,māmā,kākā,āī,māmā,maushī,māmā,māmā,ātyā,maushī,maushī,kākā,vaḍil,vaḍil,kākā,ātyā,maushī,ātyā,ātyā,māmā,ātyā,āī,ātyā,maushī
7,0.3740012455766002,1.6704998345144029,1.2964985889378027,māme-bhāū,māme-bhāū,āte-bahiṇa,āte-bahiṇa,māme-bahiṇa,māme-bhāū,māwas bhāū,māus-bahiṇa,māus-bahiṇa,chulat-bahiṇa,māwas bhāū,māus-bahiṇa,māme-bhāū,āte-bahiṇa,āte-bhāū,māme-bhāū,āte-bahiṇa,chulat-bhāū,bhāū,chulat-bhāū,āte-bhāū,māme-bhāū,chulat-bahiṇa,chulat-bhāū,chulat-bahiṇa,māme-bhāū,āte-bhāū,māme-bahiṇa,māwas bhāū,āte-bahiṇa,bhāū,māus-bahiṇa,bhāū,māus-bahiṇa,bahiṇa,māus-bahiṇa,māme-bhāū,bahiṇa,māus-bahiṇa,māwas bhāū,chulat-bahiṇa,chulat-bhāū,āte-bhāū,māus-bahiṇa,māus-bahiṇa,māwas bhāū,chulat-bhāū,māme-bahiṇa,māme-bahiṇa,māwas bhāū,āte-bahiṇa,māwas bhāū,āte-bhāū,māwas bhāū,māwas bhāū,bhāū,māme-bahiṇa,tāī,māme-bhāū,āte-bhāū,māme-bahiṇa,dādā,āte-bahiṇa,māme-bhāū,chulat-bhāū,chulat-bahiṇa,āte-bahiṇa,chulat-bhāū,chulat-bahiṇa,dādā,māme-bahiṇa,bahiṇa,māme-bahiṇa,chulat-bahiṇa,chulat-bahiṇa,tāī,māus-bahiṇa,āte-bhāū,chulat-bhāū,māme-bahiṇa,āte-bahiṇa,chulat-bahiṇa,āte-bhāū,māme-bahiṇa,chulat-bhāū,āte-bahiṇa,chulat-bhāū,āte-bhāū,āte-bhāū,bahiṇa,māmā,vaḍil,māmā,kākā,maushī,ātyā,maushī,maushī,ātyā,vaḍil,ātyā,māmā,āī,kākā,kākā,māmā,kākā,māmā,kākā,kākā,maushī,ātyā,ātyā,māmā,ātyā,maushī,maushī,āī
8,0.28956830764875474,1.7102934113754216,1.4207251037266668,chulat-bhāū,māme-bahiṇa,māme-bhāū,āte-bhāū,āte-bahiṇa,chulat-bhāū,māme-bhāū,bahiṇa,māus-bahiṇa,māus-bahiṇa,āte-bahiṇa,chulat-bhāū,chulat-bhāū,chulat-bahiṇa,māme-bahiṇa,chulat-bhāū,māwas bhāū,tāī,māme-bhāū,māus-bahiṇa,āte-bahiṇa,chulat-bahiṇa,chulat-bhāū,māme-bhāū,bahiṇa,chulat-bahiṇa,māus-bahiṇa,āte-bahiṇa,māme-bhāū,māus-bahiṇa,āte-bhāū,māwas bhāū,tāī,āte-bhāū,āte-bhāū,māwas bhāū,māme-bahiṇa,māwas bhāū,māus-bahiṇa,māwas bhāū,āte-bhāū,chulat-bahiṇa,māme-bahiṇa,āte-bahiṇa,māwas bhāū,dādā,māme-bahiṇa,chulat-bahiṇa,māus-bahiṇa,māwas bhāū,āte-bahiṇa,āte-bhāū,māme-bhāū,māwas bhāū,āte-bhāū,māme-bahiṇa,māus-bahiṇa,āte-bhāū,māus-bahiṇa,bahiṇa,chulat-bhāū,bhāū,bhāū,māwas bhāū,māme-bhāū,chulat-bahiṇa,āte-bahiṇa,māme-bahiṇa,bahiṇa,chulat-bhāū,āte-bahiṇa,māme-bhāū,āte-bahiṇa,māme-bhāū,chulat-bahiṇa,dādā,āte-bahiṇa,bhāū,māme-bahiṇa,āte-bhāū,chulat-bahiṇa,bhāū,māme-bhāū,chulat-bhāū,āte-bhāū,māme-bahiṇa,chulat-bhāū,māme-bahiṇa,chulat-bahiṇa,māus-bahiṇa,māmā,māmā,vaḍil,māmā,kākā,vaḍil,maushī,māmā,ātyā,ātyā,kākā,ātyā,maushī,kākā,māmā,āī,ātyā,māmā,maushī,ātyā,maushī,ātyā,kākā,āī,maushī,kākā,maushī,kākā
9,0.35637876013151537,1.6489668119781116,1.2925880518465962,chulat-bahiṇa,chulat-bhāū,māwas bhāū,āte-bhāū,chulat-bhāū,chulat-bahiṇa,tāī,māwas bhāū,māus-bahiṇa,chulat-bhāū,āte-bahiṇa,bhāū,chulat-bhāū,māme-bahiṇa,chulat-bahiṇa,bhāū,māme-bahiṇa,māus-bahiṇa,bahiṇa,āte-bhāū,māwas bhāū,māme-bhāū,māus-bahiṇa,tāī,āte-bahiṇa,māme-bhāū,āte-bahiṇa,māus-bahiṇa,māwas bhāū,māme-bahiṇa,māus-bahiṇa,chulat-bhāū,māme-bahiṇa,māwas bhāū,āte-bahiṇa,āte-bhāū,chulat-bhāū,bhāū,bahiṇa,māme-bahiṇa,āte-bahiṇa,māme-bhāū,āte-bhāū,māme-bhāū,dādā,chulat-bahiṇa,āte-bhāū,māwas bhāū,chulat-bahiṇa,āte-bhāū,māme-bhāū,āte-bhāū,chulat-bhāū,māus-bahiṇa,āte-bahiṇa,māme-bhāū,bhāū,āte-bahiṇa,chulat-bhāū,māme-bahiṇa,chulat-bahiṇa,dādā,māme-bhāū,māme-bahiṇa,āte-bhāū,chulat-bahiṇa,āte-bhāū,māus-bahiṇa,chulat-bhāū,chulat-bahiṇa,māme-bahiṇa,māme-bahiṇa,bahiṇa,māwas bhāū,māwas bhāū,āte-bahiṇa,chulat-bahiṇa,māwas bhāū,māme-bhāū,māme-bhāū,māus-bahiṇa,bahiṇa,āte-bhāū,māus-bahiṇa,chulat-bhāū,māme-bahiṇa,āte-bahiṇa,āte-bahiṇa,māme-bhāū,māus-bahiṇa,kākā,ātyā,māmā,maushī,maushī,kākā,maushī,ātyā,kākā,maushī,āī,maushī,ātyā,vaḍil,māmā,kākā,ātyā,māmā,kākā,māmā,kākā,māmā,maushī,āī,māmā,ātyā,ātyā,vaḍil
