simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.15821708602375395,1.3335491555394767,1.1753320695157228,,,,,,,yachi,kai,,,yachi,,unai,,,,unai,,,,,,,,yachi,,,,,unai,,,,unai,,wahe,,,,,,,,,,,wahe,,kai,,,,,,,,,,,,,,unai,,unai,,,yuar,,,,,,sai,,,,yuar,,,,,wahe,,,,wahe,,kai,sai,nuku,,nuku,tsatsar,tsatsar,,,,,,apa,nuku,,nuku,,,,iich,apa,,,,,apa,apa,iich,,
1,0.17384261360837572,1.2613738589635508,1.087531245355175,,unai,,,,,,,wahe,,unai,unai,,,wahe,,yuar,,,wahe,,,wahe,,,yuar,,,,,,,,,yachi,,,,,,,,unai,,,,,,kai,,,,,,,,,,,,,,,kai,,,,kai,yachi,,,,yachi,sai,unai,,,,,,,,,,unai,,,,sai,,,,,iich,,apa,,nuku,,,,apa,,,tsatsar,nuku,nuku,nuku,,,,,apa,apa,iich,,,tsatsar
2,0.11420474908958589,1.2009885388186285,1.0867837897290427,kai,,,wahe,,,unai,,,,,,,,,,,,,,,sai,,,,,,,,,yachi,,,,,,,,,,,,wahe,,,,,wahe,,wahe,,yachi,,,,yachi,,,,,,unai,,,,,,,,,,kai,yuar,yuar,,unai,unai,,,,kai,unai,,,,sai,,,,unai,,tsatsar,tsatsar,,apa,,iich,apa,,,,nuku,nuku,nuku,nuku,apa,,,,,,apa,,,iich,,,
3,0.1252674970989862,1.2026621742497543,1.077394677150768,,,,wahe,,,,,,sai,,,,,,,,,,,unai,,,,,,unai,,,,,yuar,,,,,kai,,,,,,unai,yuar,,,,unai,,,,,,,sai,unai,,kai,wahe,,,wahe,,,unai,yachi,,,,,,,,,,,kai,,,,wahe,yachi,yachi,,,,,,,,,,,nuku,,,,,,nuku,,iich,iich,,apa,,,,tsatsar,nuku,nuku,,apa,,apa,,tsatsar,apa
4,0.18473643333122203,1.1928448488083347,1.0081084154771127,,,,yuar,,,,yachi,,,wahe,,,,,,yachi,,,wahe,kai,,,,,,,,,wahe,yuar,,,,,,,,,,,kai,,,,,,sai,,,unai,,,,,,,,yachi,unai,,kai,,,unai,,unai,,,,,,,,,,sai,,unai,,,,,,,,,,wahe,unai,,,,,,iich,,,iich,,nuku,apa,,,,apa,tsatsar,,,nuku,nuku,apa,,tsatsar,apa,,,nuku
5,0.11578602388591075,1.2312175694714025,1.1154315455854917,,,unai,unai,,,,,,,,,,,wahe,,,,,,,unai,,kai,,yachi,,,,kai,,,,,,,,,,,,unai,,,,,wahe,,yachi,,wahe,yuar,unai,,,,yuar,,,,,,,,,,,,,,sai,,yachi,,,,,wahe,,,sai,,unai,,,,,,kai,,,,,,tsatsar,,iich,,apa,apa,,,,,tsatsar,,iich,nuku,nuku,,,apa,apa,nuku,,,nuku,
6,0.11126946226977408,1.2790671257604336,1.1677976634906595,,,,,,yachi,,,yachi,unai,,,,,,,,sai,unai,,,,unai,unai,,,,,,,,kai,,wahe,,,kai,,,,,,,,,,,,,,wahe,wahe,,,,,,,,,wahe,,,,,yuar,,,,sai,,,,,,unai,,,,,,yuar,unai,,,kai,,yachi,,,nuku,,nuku,,apa,iich,,,,,tsatsar,,apa,apa,nuku,apa,,iich,,,tsatsar,nuku,,,,,,
7,0.13082752313028712,1.2776582531580134,1.1468307300277263,,unai,,,,,wahe,,,,yachi,,,yachi,sai,,,sai,,,,,,,yachi,,,,,wahe,yuar,,,,,unai,,,,,,,,,unai,,,,,unai,,,,,,yuar,,,,,wahe,,,,,,,,,,kai,,kai,,kai,,unai,,,,,,unai,,,,,,,wahe,apa,,,,apa,tsatsar,nuku,iich,,,nuku,,,nuku,,apa,,tsatsar,,apa,,,,,,,nuku,iich
8,0.10359119231600555,1.2815103052284087,1.1779191129124031,,,,,,,,,,,,,,,,,,sai,,unai,,kai,,,,,unai,,kai,,,unai,,,,wahe,,wahe,,yachi,,yachi,,,,,,,,,,yuar,,,,,,,,,,,,,,,,,,wahe,sai,,,unai,,,yuar,yachi,kai,,,wahe,,,,,unai,,,unai,apa,iich,,,,apa,,,,,nuku,tsatsar,,nuku,,tsatsar,,,nuku,apa,nuku,,apa,iich,,,,
9,0.1733408788311812,1.1397278375984605,0.9663869587672793,kai,,,,,,unai,,unai,,yachi,,,,,,,,,unai,,,,,,wahe,kai,sai,,yachi,,,,,,,,,,,,,,,yuar,,,,sai,unai,,,,,unai,,,unai,,,,wahe,wahe,,,wahe,,,,,,,,,,yuar,,,,,,,yachi,kai,,,,,,,,,apa,,,,,nuku,,,,tsatsar,tsatsar,,iich,nuku,,nuku,,,,apa,,,apa,nuku,iich,apa
