simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMZS,mFeZS,mFyZS,mFeZD,mFyZD,mMeZS,mMyZS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMZeS,mMZyS,mMBeD,mMByD,fB,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMZS,fFeZS,fFyZS,fFeZD,fFyZD,fMeZS,fMyZS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMZyS,fMBeD,fMByD,mF,mM,fF,fM
0,0.0024849871169562165,0.6914160776171183,0.6889310905001621,onte,onte,onte,seti,ontdesi,onte,onte,onte,ontdesi,ontdesi,tce'le,onte,seti,seti,ati,la'e,eci,ontdesi,ontdesi,eci,disle,onte,ontdesi,seti,onte,seti,seti,seti,seti,onte,onte,ontdesi,onte,ontdesi,ati,onte,ontdesi,tce'le,onigi,onigi,seti,onte,ontdesi,onte,seti,onte,onte,onte,onte,ta,kaka,kaka,ta
1,0.03904226061952276,0.6914160776171183,0.6523738169975956,ontdesi,seti,seti,seti,onte,onte,ati,seti,seti,ontdesi,seti,ontdesi,onte,la'e,onte,ontdesi,ontdesi,onigi,ontdesi,onte,onigi,ontdesi,onte,onte,onte,ontdesi,ati,onte,tce'le,eci,disle,ontdesi,onte,onte,onte,seti,onte,ontdesi,seti,seti,onte,onte,onte,tce'le,seti,eci,onte,onte,onte,ta,kaka,kaka,ta
2,0.00419110692502267,0.6914160776171183,0.6872249706920956,onte,seti,onte,ontdesi,ati,eci,ontdesi,disle,seti,ontdesi,onigi,tce'le,tce'le,onigi,seti,ontdesi,ati,seti,onte,onte,onte,seti,onte,onte,seti,onte,eci,seti,seti,onte,onte,onte,onte,la'e,onte,ontdesi,ontdesi,ontdesi,onte,onte,ontdesi,onte,seti,onte,ontdesi,ontdesi,seti,onte,onte,kaka,ta,ta,kaka
3,0.008262958045137547,0.6914160776171183,0.6831531195719808,seti,ontdesi,onte,disle,onte,la'e,eci,onte,seti,seti,ontdesi,seti,onte,onte,onte,onte,ontdesi,ontdesi,ontdesi,seti,seti,ontdesi,onte,onte,ontdesi,onte,tce'le,seti,onte,tce'le,onte,onte,onte,ati,onte,seti,ontdesi,onte,seti,ati,ontdesi,seti,onigi,onigi,onte,onte,eci,onte,ontdesi,kaka,ta,ta,kaka
4,0.0024849871169562165,0.6914160776171183,0.6889310905001621,onte,onigi,onigi,onte,seti,onte,onte,onte,seti,seti,onte,onte,onte,ontdesi,seti,onte,ontdesi,onte,la'e,eci,seti,ontdesi,onte,seti,ontdesi,ontdesi,ontdesi,onte,onte,ontdesi,onte,seti,ati,ontdesi,onte,ati,tce'le,onte,onte,seti,ontdesi,disle,onte,tce'le,ontdesi,onte,seti,seti,eci,kaka,ta,kaka,ta
5,0.00419110692502267,0.6914160776171183,0.6872249706920956,onte,seti,seti,ontdesi,onigi,ontdesi,ati,onte,onte,onte,la'e,eci,ontdesi,eci,onte,onte,ontdesi,seti,onte,seti,onte,disle,onte,ontdesi,onte,onigi,ontdesi,onte,onte,seti,tce'le,ontdesi,onte,onte,onte,seti,ontdesi,seti,onte,onte,onte,ontdesi,ati,seti,seti,onte,tce'le,seti,ontdesi,kaka,ta,kaka,ta
6,0.0015436285667963512,0.6914160776171183,0.689872449050322,onte,onte,seti,onte,onigi,seti,onte,onte,ontdesi,onte,seti,onte,ontdesi,onte,seti,ati,ontdesi,onte,disle,ontdesi,ontdesi,eci,onte,onte,onte,onte,onte,onte,eci,ontdesi,onte,la'e,tce'le,onigi,ati,seti,ontdesi,seti,onte,seti,ontdesi,seti,tce'le,seti,ontdesi,onte,seti,ontdesi,onte,ta,kaka,ta,kaka
7,0.00419110692502267,0.6914160776171183,0.6872249706920956,seti,ontdesi,disle,eci,onte,eci,onte,ontdesi,tce'le,ontdesi,onte,la'e,onte,ontdesi,onte,onte,onte,onte,seti,ontdesi,onte,seti,seti,onte,onte,onte,seti,seti,ati,onte,onte,onigi,onigi,onte,ati,seti,onte,ontdesi,onte,onte,seti,ontdesi,ontdesi,onte,ontdesi,tce'le,seti,seti,ontdesi,kaka,ta,ta,kaka
8,0.4667640182189491,0.6914160776171183,0.22465205939816923,ati,seti,onte,seti,onigi,onte,onte,ontdesi,onte,onte,onte,onte,seti,ontdesi,tce'le,ontdesi,tce'le,seti,seti,disle,onte,seti,eci,onte,onte,onte,onte,ontdesi,onte,ontdesi,ontdesi,seti,eci,ontdesi,la'e,ati,seti,onte,onte,ontdesi,onte,seti,seti,ontdesi,onte,ontdesi,onte,onte,onigi,ta,ta,kaka,kaka
9,0.2688194102750501,0.6914160776171183,0.42259666734206824,seti,la'e,ontdesi,ontdesi,seti,onigi,onte,onte,ontdesi,onte,eci,onigi,onte,tce'le,ontdesi,onte,ontdesi,ontdesi,onte,onte,tce'le,eci,onte,seti,onte,onte,seti,onte,disle,ontdesi,ontdesi,onte,ati,ontdesi,seti,onte,ati,seti,onte,seti,onte,onte,onte,seti,onte,onte,seti,seti,ontdesi,kaka,kaka,ta,ta
