simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.10168333027119525,1.2084046972455886,1.1067213669743934,,,tcho,,,,,,,,,,,,,,,tcho,,,,,,,,,,,,,tcho,,,tcho,,yas,,,yas,,yas,,,,,,,,,,,tcho,tcho,yas,,tcho,,,,,lus,lus,lus,,,,tcho,,,,,,lus,,,,,,tcho,,lus,tcho,,,,,,yas,,,,,,,,ngo,u,,,,,mi,mi,,,ntso,u,,u,,mi,,,ntso,ngo,u,mi,
1,0.07069147560377398,1.22327752017631,1.152586044572536,,,,,,yas,,,yas,,,,,,,lus,lus,,,,,yas,tcho,,,,tcho,,,,,,tcho,tcho,,,,,tcho,tcho,,,,,,,,,,,,,,,tcho,,lus,,,lus,,,,,,yas,,,,,,yas,,,lus,,,,,,,tcho,tcho,,,,tcho,,,,,,,,mi,ngo,mi,,,,,,,mi,u,ngo,,u,,,ntso,,mi,,u,,u,ntso
2,0.08162624855077594,1.2189807060939515,1.1373544575431755,,,,lus,,,,,,,,,,,,,,,,lus,yas,,yas,,,,,tcho,lus,,tcho,yas,,,,yas,,,,tcho,,,,,tcho,,,,,,,tcho,,,,tcho,yas,,tcho,tcho,,,,,,,,,,,,,lus,,,tcho,,,,,,,tcho,,,,,,lus,,,,mi,ngo,,,,,,mi,,,u,mi,mi,,u,,u,,ntso,u,,ntso,,,,ngo
3,0.10916948769519896,1.0867418063767522,0.9775723186815533,tcho,,,,lus,,,,,,tcho,,lus,,,,yas,,,tcho,,,,,,,,,,,tcho,,,,,yas,,,,,,,,,,,yas,,,,,tcho,,yas,,,,,,,,,tcho,,,,,,lus,,tcho,,lus,,,,,,tcho,,,,yas,,,tcho,lus,,tcho,,,,,,u,,mi,ntso,ngo,,mi,,,mi,,,,,mi,,u,ntso,u,u,,,,ngo
4,0.0925793430192805,1.2602664464260804,1.1676871034068,tcho,,,,,,,,lus,lus,yas,,,,,tcho,tcho,yas,,,lus,,,tcho,yas,,tcho,,,,,,,,,,,,lus,,,,tcho,,yas,,,,,tcho,,,,,tcho,yas,,,,,,,,,,,,lus,,,,,,,,,tcho,,,,,,,,,tcho,,,,,ngo,,mi,u,,,,,,,u,ntso,,,,,u,,ntso,,,mi,mi,,ngo,u,,mi
5,0.06323145825119036,1.2086280622256182,1.1453966039744279,,,,,,,,,lus,,,tcho,,,tcho,,,,,,,,lus,,tcho,,,,,,,,tcho,,,tcho,tcho,,,,,,,yas,,tcho,lus,tcho,,,,,yas,,lus,,,,,,,,,tcho,,,,,,,,yas,,,,tcho,,yas,,,,lus,,,,,,,,yas,,,,,u,,,u,,ntso,u,u,,,,,ngo,ntso,,,,,,mi,ngo,mi,mi,mi
6,0.05625959724503771,1.2602664464260804,1.2040068491810427,,tcho,,,,tcho,,,yas,lus,,,,,,,,,,,,,,,,,,,,,,lus,,,,,,,,,yas,,,,,,,,,,,,,,,tcho,,,,lus,,,,,tcho,lus,yas,,,,,,tcho,yas,,lus,yas,tcho,,,tcho,,,,tcho,,,tcho,tcho,,mi,ngo,ntso,,,,,,,,,u,mi,,,,u,mi,,,u,u,mi,,,,ngo,ntso
7,0.07905539489632729,1.236459772130608,1.1574043772342808,,,,yas,,,,,,,,,,,,,,,tcho,tcho,,,,,,,,,,yas,,,lus,,tcho,,tcho,,tcho,,,,,,,,,,lus,tcho,,,,,,lus,lus,lus,,,,tcho,,,yas,,yas,,,,,,yas,tcho,,,,,,tcho,,,,tcho,,,,,,,u,,,,mi,,,mi,,,,u,,,mi,,ntso,,,ngo,,u,u,,,ntso,mi,ngo
8,0.11868998364280547,1.3825334598609276,1.263843476218122,,,,,,,,,,,,,,lus,,,,,lus,,,tcho,,tcho,,,,,,,,tcho,tcho,tcho,tcho,,,,lus,tcho,tcho,,,,,,,,tcho,,,yas,,,,,,,,,,,,tcho,,,,,,,,yas,,yas,lus,,,,,,,lus,yas,yas,,,,,,,ntso,u,ngo,mi,,,,,,,,,,,ngo,,ntso,mi,,u,mi,,u,mi,,,,u
9,0.1047374226819755,1.3252384250405707,1.2205010023585952,,,,,,,,,,,,,,tcho,,,,,,,,lus,tcho,,lus,,,tcho,,,,tcho,tcho,,,,,,tcho,,,,,yas,,,,,,lus,,,yas,lus,,,,,tcho,yas,,,yas,,,,,,,,,,,,,tcho,,,,yas,,,tcho,,,,lus,tcho,,,mi,mi,ntso,mi,u,u,,,ntso,,ngo,,,,,,,,,u,,,,,ngo,u,mi,
