simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,meB,meZ,feB,feZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.08810540308558057,1.1174400811009688,1.0293346780153882,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapichaqa',ỹaqaỹa,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapichaqa',ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹasodo,ñitesqo',ñitesqo',ñitesqo',ỹasodo,ñitesqo',ñitesqo',ñitesqo',ỹasodo,ỹasodo,ỹasodo,ỹasodo,ñitesqo',ñitesqo',ỹasodo,ỹasodo,ỹate'e,ñitesqo',ñitesqo',ỹate'e,ỹasodo,ñitesqo',ita'a,ỹasodo,ñitesqo',ỹasodo,ita'a,ỹasodo
1,0.12837370559597938,1.1276636966343467,0.9992899910383674,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹapichaqa',ỹapichaqa',ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ñitesqo',ỹate'e,ỹasodo,ỹasodo,ñitesqo',ñitesqo',ñitesqo',ñitesqo',ỹasodo,ỹate'e,ñitesqo',ỹasodo,ñitesqo',ñitesqo',ỹasodo,ỹasodo,ỹasodo,ỹasodo,ita'a,ỹasodo,ita'a,ỹasodo,ñitesqo',ñitesqo',ñitesqo',ỹasodo,ỹasodo,ñitesqo'
2,0.06053124550993738,1.1201846896171466,1.0596534441072092,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹapichaqa',ỹaqaỹa,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹapichaqa',ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹasodo,ñitesqo',ñitesqo',ỹasodo,ỹasodo,ita'a,ỹasodo,ỹasodo,ỹasodo,ỹasodo,ỹasodo,ñitesqo',ỹate'e,ỹasodo,ỹasodo,ñitesqo',ỹasodo,ñitesqo',ñitesqo',ita'a,ñitesqo',ñitesqo',ỹasodo,ñitesqo',ñitesqo',ỹate'e,ñitesqo',ñitesqo'
3,0.07540283857244612,1.0935979896697399,1.0181951510972937,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapichaqa',ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapichaqa',ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹano'o,ỹaqaỹa,ñitesqo',ỹasodo,ỹasodo,ñitesqo',ñitesqo',ñitesqo',ñitesqo',ñitesqo',ñitesqo',ỹate'e,ñitesqo',ñitesqo',ỹasodo,ỹate'e,ita'a,ñitesqo',ita'a,ỹasodo,ỹasodo,ỹasodo,ỹasodo,ñitesqo',ỹasodo,ñitesqo',ỹasodo,ỹasodo,ỹasodo,ỹasodo
4,0.06087863041074759,1.0465927659331205,0.9857141355223729,ỹaqaỹa,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapichaqa',ỹaqaỹa,ỹapichaqa',ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ñitesqo',ỹasodo,ỹasodo,ñitesqo',ñitesqo',ñitesqo',ñitesqo',ỹasodo,ñitesqo',ñitesqo',ita'a,ñitesqo',ñitesqo',ñitesqo',ỹate'e,ỹasodo,ỹasodo,ỹasodo,ỹasodo,ỹasodo,ñitesqo',ỹasodo,ỹasodo,ñitesqo',ỹasodo,ita'a,ỹate'e,ỹasodo
5,0.09532593790661958,1.0931644602691668,0.9978385223625472,ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapichaqa',ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapichaqa',ỹasodo,ñitesqo',ỹate'e,ñitesqo',ỹasodo,ỹasodo,ỹasodo,ñitesqo',ỹasodo,ñitesqo',ñitesqo',ỹasodo,ita'a,ỹasodo,ñitesqo',ita'a,ỹasodo,ỹasodo,ñitesqo',ỹasodo,ñitesqo',ñitesqo',ñitesqo',ỹate'e,ñitesqo',ỹasodo,ñitesqo',ỹasodo
6,0.08165964160459005,1.1356045711823262,1.0539449295777361,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapichaqa',ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapichaqa',ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ñitesqo',ỹate'e,ỹasodo,ita'a,ỹasodo,ỹasodo,ỹasodo,ñitesqo',ỹasodo,ñitesqo',ñitesqo',ñitesqo',ỹasodo,ñitesqo',ñitesqo',ñitesqo',ñitesqo',ỹasodo,ỹate'e,ỹasodo,ỹasodo,ita'a,ỹasodo,ñitesqo',ñitesqo',ỹasodo,ñitesqo',ỹasodo
7,0.08171402815201212,1.0787669689383441,0.997052940786332,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapichaqa',ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapichaqa',ỹaqaỹa,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ñitesqo',ñitesqo',ñitesqo',ñitesqo',ỹasodo,ỹasodo,ỹasodo,ỹasodo,ñitesqo',ỹasodo,ỹasodo,ñitesqo',ñitesqo',ita'a,ỹasodo,ñitesqo',ỹasodo,ñitesqo',ỹate'e,ỹasodo,ñitesqo',ỹasodo,ỹasodo,ỹate'e,ñitesqo',ñitesqo',ita'a,ỹasodo
8,0.03993605314337878,1.1019580510776594,1.0620219979342806,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹapichaqa',ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapichaqa',ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ñitesqo',ỹate'e,ñitesqo',ñitesqo',ỹasodo,ñitesqo',ỹasodo,ñitesqo',ỹasodo,ỹasodo,ỹasodo,ñitesqo',ita'a,ñitesqo',ñitesqo',ỹasodo,ỹate'e,ñitesqo',ñitesqo',ñitesqo',ỹasodo,ỹasodo,ñitesqo',ita'a,ỹasodo,ỹasodo,ỹasodo,ỹasodo
9,0.057140723472317356,1.096035555024796,1.0388948315524786,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapilte,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapichaqa',ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹapichaqa',ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹanoq,ỹaqaỹa,ỹano'o,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ỹaqaỹa,ñitesqo',ñitesqo',ñitesqo',ñitesqo',ñitesqo',ita'a,ñitesqo',ñitesqo',ỹasodo,ỹate'e,ỹasodo,ỹasodo,ỹasodo,ñitesqo',ỹasodo,ỹate'e,ỹasodo,ỹasodo,ñitesqo',ỹasodo,ita'a,ñitesqo',ỹasodo,ñitesqo',ỹasodo,ñitesqo',ỹasodo,ỹasodo
