simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.25939738255845657,1.7992725716281792,1.5398751890697226,jóncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,jóncho,ráncho,jóncho,ráncho,jóncho,chío,jóncho,chípi,pói,ráncho,jóchi,chío,jóncho,jóncho,ráncho,ráncho,huétsa,chío,ráncho,jóncho,jóncho,cóco,jóncho,jóncho,cóco,jóncho,jóncho,ráncho,jóncho,ráncho,cóco,ráncho,ráncho,ráncho,ráncho,pói,jóncho,ráncho,chío,ráncho,ráncho,ráncho,jóncho,jóncho,ráncho,jóncho,ráncho,ráncho,jóncho,ráncho,jóncho,jóncho,ráncho,jóncho,ráncho,jóncho,cóco,jóncho,ráncho,cóco,ráncho,chípi,ráncho,jóncho,cóco,ráncho,ráncho,ráncho,ráncho,cóco,ráncho,ráncho,ráncho,cóco,jóchi,ráncho,ráncho,ráncho,cóco,jóncho,ráncho,huáata,cóca,huáata,épa,épa,benéntita,cóca,pápa,títa,cóca,pápa,náchi,épa,benéntita,épa,huáata,épa,cóca,náchi,huáata,cóca,épa,cóca,títa,huáata,benéntita,náchi,huáata
1,0.30952428701234336,1.8810200790536753,1.571495792041332,ráncho,jóncho,ráncho,jóncho,ráncho,jóchi,huétsa,jóncho,jóncho,cóco,jóncho,ráncho,cóco,jóncho,jóncho,jóncho,ráncho,jóncho,cóco,jóncho,cóco,jóncho,jóncho,ráncho,ráncho,chípi,ráncho,jóncho,jóncho,ráncho,jóncho,ráncho,ráncho,jóncho,ráncho,pói,jóncho,jóncho,jóncho,ráncho,jóncho,jóncho,cóco,ráncho,jóncho,ráncho,ráncho,chío,cóco,jóncho,ráncho,ráncho,jóncho,chío,ráncho,jóchi,ráncho,ráncho,ráncho,ráncho,ráncho,cóco,ráncho,ráncho,ráncho,chío,ráncho,ráncho,jóncho,ráncho,jóncho,chípi,jóncho,ráncho,pói,jóncho,ráncho,ráncho,jóncho,ráncho,ráncho,ráncho,chío,jóncho,ráncho,ráncho,cóco,cóco,ráncho,cóca,huáata,títa,épa,cóca,benéntita,pápa,benéntita,huáata,benéntita,épa,cóca,épa,huáata,pápa,náchi,huáata,títa,náchi,náchi,épa,épa,huáata,cóca,huáata,épa,cóca,cóca
2,0.18510282080517104,1.87054648850063,1.685443667695459,jóncho,cóco,ráncho,ráncho,jóncho,ráncho,jóchi,jóncho,chío,ráncho,ráncho,ráncho,jóncho,ráncho,jóncho,jóncho,jóncho,jóncho,ráncho,jóncho,jóncho,ráncho,ráncho,ráncho,ráncho,ráncho,ráncho,ráncho,ráncho,ráncho,pói,cóco,jóncho,jóncho,cóco,chípi,jóncho,jóncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,ráncho,jóncho,ráncho,ráncho,ráncho,ráncho,cóco,cóco,chío,ráncho,ráncho,ráncho,jóncho,ráncho,chío,cóco,ráncho,jóncho,ráncho,ráncho,jóchi,chípi,ráncho,huétsa,jóncho,jóncho,jóncho,cóco,jóncho,jóncho,jóncho,ráncho,cóco,jóncho,pói,ráncho,ráncho,chío,ráncho,cóco,jóncho,jóncho,jóncho,ráncho,ráncho,pápa,títa,náchi,épa,benéntita,épa,épa,cóca,épa,náchi,huáata,cóca,náchi,cóca,títa,épa,huáata,cóca,épa,pápa,benéntita,cóca,huáata,benéntita,huáata,huáata,cóca,huáata
3,0.24736751727512862,1.7999292015710597,1.552561684295931,jóncho,ráncho,ráncho,cóco,jóncho,jóncho,jóncho,chípi,jóncho,jóncho,jóncho,jóncho,ráncho,jóchi,ráncho,jóncho,jóncho,ráncho,ráncho,jóchi,cóco,jóncho,ráncho,cóco,jóncho,jóncho,ráncho,ráncho,chípi,ráncho,ráncho,cóco,ráncho,jóncho,jóncho,cóco,jóncho,jóncho,ráncho,jóncho,ráncho,ráncho,pói,ráncho,jóncho,ráncho,ráncho,jóncho,ráncho,cóco,jóncho,ráncho,pói,ráncho,jóncho,huétsa,jóncho,ráncho,cóco,ráncho,ráncho,jóncho,chío,jóncho,chío,jóncho,ráncho,ráncho,chío,ráncho,ráncho,ráncho,cóco,ráncho,ráncho,cóco,ráncho,chío,ráncho,jóncho,ráncho,jóncho,ráncho,ráncho,jóncho,ráncho,ráncho,ráncho,jóncho,cóca,benéntita,cóca,náchi,cóca,huáata,pápa,náchi,épa,épa,náchi,épa,huáata,benéntita,cóca,pápa,cóca,épa,épa,huáata,huáata,huáata,huáata,títa,títa,cóca,épa,benéntita
4,0.29112352505374983,1.8681189126212652,1.5769953875675153,jóncho,chípi,jóncho,jóncho,huétsa,jóncho,chío,ráncho,cóco,ráncho,ráncho,ráncho,ráncho,chío,jóncho,jóncho,jóncho,ráncho,jóncho,jóncho,ráncho,ráncho,ráncho,ráncho,jóncho,jóncho,jóncho,cóco,ráncho,jóncho,cóco,chípi,ráncho,jóncho,ráncho,ráncho,ráncho,ráncho,jóncho,jóncho,ráncho,jóncho,jóncho,cóco,ráncho,ráncho,jóncho,ráncho,ráncho,cóco,ráncho,ráncho,ráncho,jóncho,ráncho,ráncho,pói,jóncho,jóncho,jóchi,jóncho,jóncho,cóco,ráncho,jóchi,cóco,ráncho,pói,jóncho,jóncho,jóncho,jóncho,jóncho,ráncho,jóncho,ráncho,ráncho,ráncho,chío,ráncho,ráncho,ráncho,ráncho,ráncho,cóco,ráncho,chío,ráncho,cóco,pápa,huáata,náchi,épa,títa,benéntita,huáata,cóca,épa,cóca,cóca,cóca,huáata,huáata,huáata,náchi,épa,cóca,épa,benéntita,épa,huáata,náchi,pápa,cóca,títa,épa,benéntita
5,0.27451762302503346,1.8615956787166086,1.5870780556915751,jóncho,jóncho,jóncho,jóncho,jóncho,ráncho,pói,chío,jóncho,ráncho,ráncho,jóncho,ráncho,ráncho,cóco,ráncho,jóncho,jóncho,ráncho,jóncho,ráncho,ráncho,ráncho,jóncho,ráncho,ráncho,ráncho,cóco,ráncho,ráncho,ráncho,ráncho,jóncho,ráncho,chípi,ráncho,ráncho,huétsa,jóchi,jóncho,ráncho,ráncho,jóncho,jóncho,jóchi,chío,jóncho,ráncho,ráncho,jóncho,ráncho,ráncho,cóco,cóco,jóncho,ráncho,jóncho,jóncho,ráncho,ráncho,ráncho,ráncho,jóncho,jóncho,pói,jóncho,chío,ráncho,cóco,ráncho,jóncho,ráncho,ráncho,ráncho,cóco,jóncho,jóncho,cóco,ráncho,chípi,jóncho,chío,jóncho,ráncho,ráncho,jóncho,cóco,jóncho,cóco,pápa,cóca,cóca,pápa,cóca,náchi,benéntita,cóca,épa,benéntita,huáata,huáata,épa,épa,épa,cóca,huáata,náchi,títa,huáata,benéntita,épa,cóca,náchi,huáata,huáata,títa,épa
6,0.2427121107381418,1.8338119208143877,1.591099810076246,jóncho,chío,jóncho,jóncho,jóncho,cóco,jóncho,jóncho,jóchi,cóco,pói,ráncho,cóco,ráncho,ráncho,jóncho,jóncho,ráncho,jóncho,ráncho,chípi,jóncho,ráncho,ráncho,ráncho,jóncho,jóncho,jóncho,jóncho,cóco,ráncho,jóncho,ráncho,ráncho,ráncho,ráncho,ráncho,jóncho,ráncho,jóncho,ráncho,cóco,jóncho,jóncho,ráncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,pói,ráncho,jóncho,cóco,ráncho,ráncho,ráncho,ráncho,ráncho,jóncho,ráncho,chípi,chío,ráncho,jóncho,jóncho,ráncho,ráncho,cóco,ráncho,ráncho,jóchi,cóco,ráncho,ráncho,ráncho,huétsa,ráncho,jóncho,jóncho,ráncho,chío,ráncho,jóncho,jóncho,chío,cóco,ráncho,épa,huáata,pápa,benéntita,náchi,cóca,huáata,épa,huáata,cóca,cóca,cóca,huáata,cóca,épa,épa,náchi,épa,benéntita,huáata,cóca,títa,náchi,benéntita,épa,títa,huáata,pápa
7,0.2684833282550285,1.8258777905044405,1.557394462249412,ráncho,jóncho,ráncho,jóncho,ráncho,chío,ráncho,cóco,ráncho,ráncho,ráncho,ráncho,ráncho,chípi,jóncho,ráncho,ráncho,jóncho,ráncho,jóchi,pói,ráncho,ráncho,cóco,jóchi,ráncho,cóco,jóncho,jóncho,ráncho,ráncho,jóncho,ráncho,jóncho,cóco,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,jóncho,pói,jóncho,chío,ráncho,jóncho,cóco,jóncho,ráncho,jóncho,jóncho,chío,ráncho,jóncho,jóncho,jóncho,jóncho,ráncho,jóncho,chío,jóncho,jóncho,jóncho,ráncho,ráncho,ráncho,huétsa,cóco,ráncho,jóncho,ráncho,cóco,ráncho,chípi,ráncho,jóncho,ráncho,ráncho,ráncho,jóncho,ráncho,cóco,cóco,ráncho,ráncho,títa,náchi,cóca,cóca,épa,épa,pápa,benéntita,pápa,épa,huáata,huáata,épa,cóca,huáata,benéntita,épa,huáata,náchi,títa,huáata,benéntita,cóca,huáata,épa,náchi,cóca,cóca
8,0.2432612528264002,1.8084265452874144,1.5651652924610142,ráncho,pói,ráncho,ráncho,ráncho,ráncho,ráncho,ráncho,ráncho,ráncho,ráncho,cóco,jóncho,jóncho,chío,ráncho,ráncho,jóncho,chípi,ráncho,ráncho,jóncho,jóncho,jóncho,ráncho,jóncho,ráncho,chío,cóco,ráncho,ráncho,jóncho,ráncho,jóncho,jóncho,ráncho,cóco,jóncho,ráncho,jóncho,chípi,ráncho,cóco,jóncho,cóco,jóncho,ráncho,ráncho,jóncho,jóncho,jóncho,ráncho,jóncho,ráncho,cóco,jóncho,ráncho,ráncho,jóncho,cóco,jóncho,jóchi,cóco,jóncho,jóncho,chío,jóncho,chío,ráncho,ráncho,ráncho,jóncho,ráncho,jóncho,ráncho,huétsa,jóncho,jóchi,ráncho,jóncho,jóncho,ráncho,ráncho,cóco,ráncho,ráncho,pói,jóncho,ráncho,benéntita,huáata,cóca,épa,cóca,épa,pápa,épa,benéntita,náchi,épa,huáata,huáata,cóca,huáata,títa,cóca,náchi,pápa,épa,náchi,títa,cóca,huáata,benéntita,huáata,épa,cóca
9,0.1903187410528302,1.818270452924553,1.6279517118717228,ráncho,ráncho,ráncho,ráncho,ráncho,ráncho,jóncho,ráncho,chío,ráncho,jóncho,jóncho,ráncho,chío,ráncho,huétsa,cóco,cóco,jóncho,jóncho,jóncho,ráncho,ráncho,cóco,chípi,ráncho,cóco,jóncho,ráncho,ráncho,jóncho,jóncho,jóncho,chío,jóncho,jóncho,ráncho,jóncho,ráncho,jóncho,jóncho,ráncho,jóncho,cóco,cóco,ráncho,ráncho,chípi,jóncho,ráncho,ráncho,jóncho,jóncho,ráncho,jóncho,jóchi,ráncho,ráncho,jóncho,cóco,ráncho,ráncho,ráncho,ráncho,jóncho,jóncho,ráncho,jóncho,pói,ráncho,jóncho,jóncho,ráncho,cóco,ráncho,jóncho,jóchi,ráncho,jóncho,ráncho,ráncho,pói,chío,ráncho,ráncho,jóncho,ráncho,cóco,jóncho,épa,pápa,cóca,épa,benéntita,épa,títa,épa,náchi,pápa,cóca,cóca,cóca,huáata,huáata,cóca,títa,huáata,épa,épa,benéntita,huáata,benéntita,náchi,huáata,cóca,náchi,huáata
