simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.08720802396075789,0.6365141682948128,0.5493061443340549,ijoe ma njira,fira ma njira,ijoe ma dihoetoe,ijoe ma djodjo,fira ma dihoetoe,ijoe ma dihoetoe,fira ma dihoetoe,fira ma djodjo,im,papa djodjo,im,papa djodjo,jaja,papa djodjo,papa njira,papa njira,im,im,papa njira,papa njira,jaja,im,im,papa,im,papa djodjo,im
1,0.4773856262211096,0.6365141682948128,0.1591285420737032,fira ma dihoetoe,fira ma dihoetoe,ijoe ma njira,ijoe ma djodjo,fira ma njira,ijoe ma dihoetoe,fira ma djodjo,ijoe ma dihoetoe,papa njira,im,im,im,im,jaja,papa djodjo,papa,papa djodjo,im,papa djodjo,papa njira,papa njira,papa njira,im,jaja,im,im,papa djodjo
2,0.13081203594113688,0.6365141682948128,0.5057021323536759,ijoe ma dihoetoe,fira ma dihoetoe,fira ma dihoetoe,fira ma djodjo,ijoe ma djodjo,ijoe ma dihoetoe,ijoe ma njira,fira ma njira,im,im,papa,jaja,papa njira,im,im,im,papa njira,im,papa djodjo,papa njira,papa njira,papa djodjo,im,jaja,papa djodjo,im,papa djodjo
3,0.47738562622110947,1.0986122886681096,0.6212266624470001,fira ma dihoetoe,fira ma dihoetoe,fira ma djodjo,ijoe ma dihoetoe,ijoe ma dihoetoe,fira ma njira,ijoe ma njira,ijoe ma djodjo,papa njira,im,papa djodjo,jaja,papa djodjo,im,im,papa njira,papa,jaja,im,im,papa djodjo,papa njira,im,im,im,papa njira,papa djodjo
4,0.3182570841474063,1.0986122886681096,0.7803552045207033,fira ma djodjo,ijoe ma dihoetoe,ijoe ma dihoetoe,fira ma njira,fira ma dihoetoe,ijoe ma djodjo,fira ma dihoetoe,ijoe ma njira,im,papa njira,papa djodjo,papa njira,papa djodjo,papa njira,papa njira,papa djodjo,im,jaja,jaja,im,im,im,im,im,im,papa,papa djodjo
5,0.31825708414740617,1.0986122886681096,0.7803552045207034,ijoe ma dihoetoe,fira ma dihoetoe,ijoe ma dihoetoe,fira ma dihoetoe,ijoe ma djodjo,ijoe ma njira,fira ma djodjo,fira ma njira,papa njira,im,papa,im,jaja,papa njira,im,im,im,papa njira,papa njira,jaja,im,papa djodjo,papa djodjo,im,papa djodjo,im,papa djodjo
6,0.3182570841474063,1.0986122886681096,0.7803552045207033,fira ma dihoetoe,ijoe ma dihoetoe,fira ma njira,ijoe ma djodjo,ijoe ma njira,fira ma djodjo,fira ma dihoetoe,ijoe ma dihoetoe,papa njira,im,papa djodjo,im,im,im,papa njira,papa djodjo,papa,jaja,papa djodjo,papa djodjo,papa njira,jaja,papa njira,im,im,im,im
7,0.13081203594113688,0.6365141682948128,0.5057021323536759,fira ma djodjo,fira ma dihoetoe,ijoe ma djodjo,ijoe ma dihoetoe,fira ma dihoetoe,ijoe ma dihoetoe,fira ma njira,ijoe ma njira,papa djodjo,papa djodjo,im,papa njira,im,papa njira,jaja,papa djodjo,papa njira,im,jaja,papa,im,im,im,papa njira,im,im,papa djodjo
8,0.31825708414740606,1.0986122886681096,0.7803552045207035,ijoe ma dihoetoe,fira ma djodjo,ijoe ma djodjo,ijoe ma njira,fira ma dihoetoe,fira ma njira,ijoe ma dihoetoe,fira ma dihoetoe,jaja,papa,papa djodjo,im,im,im,papa djodjo,im,papa djodjo,papa njira,jaja,im,im,im,papa njira,im,papa djodjo,papa njira,papa njira
9,0.130812035941137,0.6365141682948128,0.5057021323536758,fira ma dihoetoe,fira ma dihoetoe,fira ma njira,ijoe ma njira,ijoe ma djodjo,ijoe ma dihoetoe,ijoe ma dihoetoe,fira ma djodjo,papa djodjo,papa djodjo,im,im,papa njira,im,im,im,im,papa,jaja,papa djodjo,papa djodjo,papa njira,jaja,im,im,papa njira,papa njira
