simulation_number,mutual_information,entropy,conditional_entropy,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB
0,NA,NA,NA,nyangwè,nyangwè,kuku,nyangwè,nyangwè,kuku,shangwè,kuku,shangwè,mamo,shangwè,mamo,mamo
1,NA,NA,NA,mamo,mamo,kuku,kuku,kuku,shangwè,shangwè,nyangwè,nyangwè,nyangwè,shangwè,mamo,nyangwè
2,NA,NA,NA,shangwè,shangwè,nyangwè,nyangwè,kuku,kuku,shangwè,mamo,nyangwè,mamo,nyangwè,mamo,kuku
3,NA,NA,NA,nyangwè,nyangwè,nyangwè,nyangwè,mamo,shangwè,shangwè,kuku,mamo,mamo,shangwè,kuku,kuku
4,NA,NA,NA,kuku,shangwè,nyangwè,kuku,shangwè,kuku,mamo,mamo,nyangwè,mamo,shangwè,nyangwè,nyangwè
5,NA,NA,NA,shangwè,shangwè,nyangwè,nyangwè,nyangwè,nyangwè,mamo,kuku,shangwè,mamo,mamo,kuku,kuku
6,NA,NA,NA,nyangwè,shangwè,mamo,nyangwè,shangwè,nyangwè,nyangwè,mamo,kuku,mamo,shangwè,kuku,kuku
7,NA,NA,NA,shangwè,shangwè,nyangwè,mamo,nyangwè,mamo,kuku,kuku,nyangwè,shangwè,kuku,mamo,nyangwè
8,NA,NA,NA,shangwè,nyangwè,nyangwè,kuku,shangwè,mamo,nyangwè,nyangwè,shangwè,kuku,mamo,mamo,kuku
9,NA,NA,NA,shangwè,kuku,shangwè,nyangwè,mamo,nyangwè,mamo,shangwè,mamo,kuku,kuku,nyangwè,nyangwè
