simulation_number,mutual_information,entropy,conditional_entropy,mFBS,mMZS,myB,mFeBS,mFyBS,mMeZS,mMyZS,mFBeS,mFByS,mMZeS,mMZyS,fB,fFBS,fMZS,fyB,fFeBS,fFyBS,fMeZS,fMyZS,fFBeS,fFByS,fMZyS,meB,meZ,feB,feZ,mM,mFB,mMZ,mFeB,mFyB,mMeZ,mMyZ,fM,fFB,fMZ,fFeB,fFyB,fMeZ,fMyZ,mF,fF
0,0.07759907300554181,1.1579952592694074,1.0803961862638656,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,gelanowi,tarti,tarti,maranowi,gelanowi,tarti,tarti,tarti,maranowi,tarti,tarti,tarti,nanykuwa,nanykuwa,nangayi,nangayi,nanykuwa,nanykuwa,nanghai,nangayi,nanykuwa,nainkowa,nangayi,nainkowa,nangayi,nanghai,nangayi,nanykuwa
1,0.15985866628081746,1.1517643743157517,0.9919057080349343,tarti,tarti,tarti,tarti,tarti,tarti,tarti,gelanowi,tarti,tarti,tarti,tarti,maranowi,maranowi,tarti,tarti,tarti,tarti,gelanowi,tarti,tarti,tarti,tarti,tarti,tarti,tarti,nanykuwa,nanghai,nanykuwa,nanghai,nangayi,nanykuwa,nangayi,nangayi,nanykuwa,nanykuwa,nangayi,nainkowa,nangayi,nainkowa,nanykuwa,nangayi
2,0.09616200913487871,1.2914167691452025,1.1952547600103238,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,gelanowi,tarti,tarti,tarti,tarti,maranowi,tarti,tarti,tarti,tarti,gelanowi,maranowi,tarti,tarti,tarti,tarti,tarti,tarti,nanykuwa,nanykuwa,nanykuwa,nangayi,nangayi,nanykuwa,nainkowa,nainkowa,nangayi,nangayi,nanykuwa,nanykuwa,nangayi,nanghai,nangayi,nanghai
3,0.10058913108363354,1.3019450170559508,1.2013558859723172,tarti,tarti,tarti,gelanowi,tarti,tarti,gelanowi,tarti,tarti,tarti,maranowi,tarti,tarti,maranowi,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,nainkowa,nangayi,nangayi,nangayi,nanykuwa,nanykuwa,nanykuwa,nangayi,nanykuwa,nanghai,nangayi,nanghai,nangayi,nanykuwa,nanykuwa,nainkowa
4,0.08774408607279938,1.24524324931928,1.1574991632464806,tarti,tarti,maranowi,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,maranowi,tarti,tarti,tarti,tarti,tarti,tarti,gelanowi,tarti,tarti,tarti,tarti,tarti,gelanowi,nanghai,nanykuwa,nanykuwa,nanykuwa,nangayi,nangayi,nanykuwa,nangayi,nanykuwa,nainkowa,nangayi,nanghai,nainkowa,nanykuwa,nangayi,nangayi
5,0.057542353889467934,1.1973401339967784,1.1397977801073105,tarti,tarti,tarti,tarti,gelanowi,tarti,maranowi,tarti,tarti,tarti,tarti,maranowi,gelanowi,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,nainkowa,nangayi,nanykuwa,nangayi,nanykuwa,nanghai,nanykuwa,nanykuwa,nangayi,nanykuwa,nainkowa,nanghai,nangayi,nanykuwa,nangayi,nangayi
6,0.0604290606593616,1.1973401339967782,1.1369110733374166,maranowi,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,gelanowi,maranowi,tarti,tarti,tarti,tarti,tarti,gelanowi,tarti,tarti,tarti,nanykuwa,nangayi,nangayi,nanykuwa,nainkowa,nainkowa,nangayi,nanykuwa,nanykuwa,nanykuwa,nangayi,nanykuwa,nangayi,nanghai,nangayi,nanghai
7,0.05619578739957709,1.2005913742050751,1.144395586805498,gelanowi,tarti,maranowi,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,gelanowi,tarti,tarti,tarti,tarti,tarti,maranowi,nainkowa,nangayi,nangayi,nanykuwa,nanghai,nangayi,nanykuwa,nanykuwa,nangayi,nanykuwa,nainkowa,nanghai,nanykuwa,nangayi,nanykuwa,nangayi
8,0.06113846018481017,1.3181602554389005,1.2570217952540903,tarti,tarti,gelanowi,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,maranowi,tarti,tarti,tarti,tarti,tarti,tarti,tarti,gelanowi,tarti,tarti,tarti,maranowi,tarti,tarti,nanykuwa,nanykuwa,nangayi,nangayi,nanykuwa,nangayi,nangayi,nainkowa,nanghai,nangayi,nainkowa,nanykuwa,nanykuwa,nanykuwa,nangayi,nanghai
9,0.11916550720293517,1.187531844152868,1.0683663369499328,tarti,tarti,tarti,gelanowi,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,tarti,maranowi,gelanowi,tarti,tarti,tarti,tarti,tarti,tarti,tarti,maranowi,tarti,tarti,tarti,nangayi,nangayi,nangayi,nanghai,nainkowa,nanykuwa,nanykuwa,nangayi,nangayi,nanykuwa,nanykuwa,nanghai,nanykuwa,nangayi,nanykuwa,nainkowa
