simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,fZ,feB,fyB,feZ,fyZ,mZ,mF,mM,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB,mFB,mMZ,mFeB,mFyB,mMeZ,mMyZ,fFB,fMZ,fFeB,fFyB,fMeZ,fMyZ
0,0.17369377340015973,0.5297061990576545,0.35601242565749475,tyurka,jorgana,gorramara,parrina,muki,bolgo,mogina,gorramara,yaputya,pulku,bimo,bimo,gaya,gaya,yanga,galnga,galnga,gaya,galnga,bimo,gaya,bimo,yanga,gaya,galnga,gaya,yanga,yanga,yanga,bimo,gaya,galnga,bimo,yanga,yanga,galnga,yanga,gaya
1,0.42049714169421126,1.036627968858607,0.6161308271643958,gorramara,jorgana,gorramara,pulku,parrina,muki,tyurka,mogina,yaputya,bolgo,gaya,yanga,gaya,galnga,galnga,gaya,yanga,gaya,yanga,galnga,galnga,bimo,yanga,yanga,yanga,gaya,galnga,gaya,bimo,yanga,bimo,galnga,bimo,gaya,bimo,bimo,yanga,gaya
2,0.42049714169421126,1.036627968858607,0.6161308271643958,gorramara,mogina,jorgana,gorramara,muki,bolgo,tyurka,yaputya,pulku,parrina,bimo,yanga,galnga,gaya,bimo,gaya,galnga,yanga,galnga,yanga,gaya,yanga,bimo,gaya,yanga,gaya,galnga,galnga,bimo,gaya,galnga,yanga,bimo,gaya,yanga,bimo,gaya,yanga
3,0.42049714169421104,1.0366279688586069,0.6161308271643958,pulku,tyurka,yaputya,parrina,gorramara,mogina,bolgo,jorgana,gorramara,muki,gaya,galnga,galnga,yanga,gaya,bimo,gaya,gaya,gaya,yanga,bimo,gaya,galnga,yanga,bimo,yanga,bimo,yanga,yanga,galnga,bimo,gaya,galnga,galnga,yanga,gaya,yanga,bimo
4,0.3434807882986618,1.036627968858607,0.6931471805599453,bolgo,gorramara,muki,tyurka,pulku,parrina,yaputya,mogina,gorramara,jorgana,galnga,bimo,yanga,bimo,galnga,yanga,gaya,gaya,gaya,bimo,yanga,yanga,yanga,yanga,galnga,gaya,galnga,gaya,bimo,gaya,galnga,gaya,yanga,gaya,bimo,galnga,bimo,yanga
5,0.6099452232017741,1.072043343575071,0.46209812037329684,gorramara,muki,yaputya,jorgana,mogina,tyurka,gorramara,pulku,parrina,bolgo,yanga,gaya,bimo,galnga,gaya,yanga,gaya,bimo,galnga,galnga,yanga,bimo,gaya,yanga,yanga,galnga,yanga,gaya,gaya,gaya,bimo,bimo,yanga,bimo,yanga,gaya,galnga,galnga
6,0.42049714169421126,1.036627968858607,0.6161308271643958,gorramara,bolgo,tyurka,yaputya,gorramara,pulku,muki,mogina,jorgana,parrina,gaya,yanga,gaya,galnga,yanga,bimo,bimo,yanga,galnga,yanga,galnga,gaya,bimo,gaya,yanga,galnga,yanga,yanga,yanga,gaya,bimo,galnga,gaya,gaya,galnga,bimo,bimo,gaya
7,0.42049714169421126,1.036627968858607,0.6161308271643958,pulku,tyurka,parrina,muki,gorramara,jorgana,gorramara,bolgo,yaputya,mogina,yanga,bimo,bimo,yanga,bimo,gaya,bimo,gaya,bimo,galnga,gaya,galnga,galnga,galnga,gaya,gaya,yanga,galnga,gaya,yanga,gaya,bimo,yanga,gaya,yanga,yanga,yanga,galnga
8,0.6099452232017741,1.072043343575071,0.46209812037329684,jorgana,parrina,gorramara,yaputya,tyurka,bolgo,gorramara,pulku,mogina,muki,gaya,bimo,yanga,yanga,bimo,galnga,galnga,gaya,galnga,galnga,bimo,gaya,yanga,gaya,gaya,bimo,yanga,gaya,yanga,galnga,gaya,gaya,yanga,galnga,yanga,bimo,bimo,yanga
9,0.23482982061808788,0.5908422462755826,0.3560124256574947,jorgana,mogina,gorramara,yaputya,pulku,tyurka,parrina,gorramara,bolgo,muki,yanga,gaya,gaya,gaya,galnga,galnga,bimo,gaya,gaya,gaya,yanga,bimo,gaya,bimo,bimo,yanga,yanga,galnga,bimo,yanga,gaya,yanga,galnga,yanga,galnga,bimo,yanga,galnga
