simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fB,fZ,feB,fyB,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1513109468909739,1.6472265174633416,1.4959155705723677,-rendyr-,-reky'yra-,-rey'reta-,-reky'yra-,jajivembyr-,-rey'reta-,-rendyr-,-rey'reta-,-rendyr-,-rey'reta-,jajivembyr-,jajivembyr-,jajivembyr-,-rey'reta-,-reky'yra-,nirun-,jajivembyr-,-rendyr-,-rey'reta-,-rendyr-,nirun-,jajivembyr-,-rey'reta-,nirun-,nirun-,-rendyr-,-rendyr-,-reky'yra-,-rey'reta-,nirun-,-rey'reta-,-rey'reta-,jajivembyr-,nirun-,jajivembyr-,-rendyr-,jajivembyr-,-reky'yra-,-reky'yra-,jajivembyr-,-reky'yra-,-reky'yra-,-reky'yra-,-rendyr-,nirun-,-reky'yra-,nirun-,jajivembyr-,nirun-,-rendyr-,jajivembyr-,jajivembyr-,jajivembyr-,-rendyr-,nirun-,-rendyr-,jajivembyr-,-rey'reta-,-rendyr-,nirun-,jajivembyr-,-reky'yra-,-rey'reta-,nirun-,-rendyr-,-rey'reta-,nirun-,-reky'yra-,-rey'reta-,-reky'yra-,jajivembyr-,jajivembyr-,jajivembyr-,-rey'reta-,-reky'yra-,-rey'reta-,jajivembyr-,-reky'yra-,jajivembyr-,-reky'yra-,-rey'reta-,jajivembyr-,-rendyr-,-rey'reta-,jajivembyr-,-rendyr-,jajivembyr-,-rendyr-,-reky'yra-,uvy-,tutyr-,tutyr-,yy-,yy-,uvy-,a'i-,apĩ-,jaji-,uvy-,uvy-,apĩ-,uvy-,tutyr-,jaji-,jaji-,uvy-,tutyr-,jaji-,tutyr-,jaji-,yy-,tutyr-,a'i-,yy-,yy-,jaji-,yy-
1,0.21265126330524042,1.68939915340718,1.4767478901019395,jajivembyr-,jajivembyr-,-rendyr-,jajivembyr-,nirun-,jajivembyr-,jajivembyr-,jajivembyr-,nirun-,-rendyr-,-rendyr-,nirun-,-rendyr-,jajivembyr-,-rey'reta-,-rendyr-,-rendyr-,jajivembyr-,-rendyr-,-rey'reta-,-rey'reta-,-rendyr-,nirun-,jajivembyr-,-rendyr-,-reky'yra-,-rendyr-,nirun-,-rendyr-,nirun-,jajivembyr-,-rey'reta-,jajivembyr-,nirun-,jajivembyr-,-reky'yra-,-rey'reta-,jajivembyr-,-reky'yra-,-rey'reta-,-reky'yra-,-reky'yra-,-rendyr-,-rey'reta-,-rendyr-,-reky'yra-,nirun-,jajivembyr-,-reky'yra-,nirun-,-rey'reta-,jajivembyr-,-reky'yra-,-rey'reta-,jajivembyr-,-rendyr-,nirun-,-rey'reta-,nirun-,-rendyr-,-rey'reta-,-reky'yra-,nirun-,-rey'reta-,-rey'reta-,-rey'reta-,-rendyr-,jajivembyr-,-reky'yra-,jajivembyr-,-reky'yra-,-reky'yra-,-reky'yra-,jajivembyr-,-rey'reta-,-rey'reta-,-reky'yra-,jajivembyr-,jajivembyr-,-rey'reta-,-reky'yra-,jajivembyr-,jajivembyr-,nirun-,-rey'reta-,-reky'yra-,-rendyr-,jajivembyr-,-reky'yra-,uvy-,jaji-,yy-,uvy-,uvy-,tutyr-,yy-,uvy-,jaji-,yy-,uvy-,yy-,tutyr-,tutyr-,jaji-,a'i-,jaji-,uvy-,tutyr-,apĩ-,jaji-,tutyr-,yy-,apĩ-,yy-,a'i-,tutyr-,jaji-
2,0.11343811753826838,1.7299169426362853,1.6164788250980169,-reky'yra-,jajivembyr-,jajivembyr-,-reky'yra-,nirun-,nirun-,-reky'yra-,-rendyr-,-rey'reta-,-reky'yra-,-rendyr-,nirun-,-reky'yra-,jajivembyr-,-reky'yra-,jajivembyr-,jajivembyr-,nirun-,-rey'reta-,-rendyr-,-reky'yra-,-rendyr-,-rey'reta-,-rey'reta-,-rey'reta-,jajivembyr-,nirun-,-rendyr-,-rey'reta-,-reky'yra-,nirun-,jajivembyr-,-rendyr-,-rendyr-,nirun-,jajivembyr-,-rey'reta-,-rey'reta-,jajivembyr-,-rendyr-,-rey'reta-,nirun-,-rey'reta-,jajivembyr-,jajivembyr-,-rendyr-,-reky'yra-,jajivembyr-,-reky'yra-,-reky'yra-,nirun-,-reky'yra-,-rendyr-,-rendyr-,nirun-,jajivembyr-,-rey'reta-,-reky'yra-,jajivembyr-,-reky'yra-,jajivembyr-,jajivembyr-,nirun-,-rendyr-,jajivembyr-,nirun-,-rey'reta-,-reky'yra-,-reky'yra-,-rendyr-,-rey'reta-,jajivembyr-,-rey'reta-,-rendyr-,-rey'reta-,jajivembyr-,-rey'reta-,-rendyr-,-rey'reta-,nirun-,-rey'reta-,-reky'yra-,jajivembyr-,jajivembyr-,-rendyr-,jajivembyr-,jajivembyr-,-rendyr-,jajivembyr-,apĩ-,yy-,tutyr-,uvy-,uvy-,jaji-,uvy-,tutyr-,yy-,tutyr-,uvy-,yy-,yy-,uvy-,a'i-,tutyr-,a'i-,apĩ-,tutyr-,uvy-,jaji-,jaji-,yy-,tutyr-,jaji-,jaji-,yy-,jaji-
3,0.16597893984265943,1.666913905769129,1.5009349659264695,jajivembyr-,jajivembyr-,-reky'yra-,nirun-,-rey'reta-,-reky'yra-,jajivembyr-,-reky'yra-,-rendyr-,-rendyr-,jajivembyr-,-rendyr-,-reky'yra-,jajivembyr-,-rendyr-,jajivembyr-,jajivembyr-,jajivembyr-,-rey'reta-,-rey'reta-,-rendyr-,nirun-,jajivembyr-,-reky'yra-,-rendyr-,nirun-,nirun-,-rey'reta-,-reky'yra-,jajivembyr-,nirun-,jajivembyr-,-reky'yra-,nirun-,nirun-,-rendyr-,-rey'reta-,-rey'reta-,-rendyr-,-reky'yra-,-rendyr-,jajivembyr-,nirun-,jajivembyr-,-rey'reta-,-rey'reta-,-rendyr-,-reky'yra-,-reky'yra-,jajivembyr-,-reky'yra-,jajivembyr-,jajivembyr-,-reky'yra-,jajivembyr-,-rendyr-,jajivembyr-,jajivembyr-,-reky'yra-,-rendyr-,-reky'yra-,nirun-,-rendyr-,nirun-,jajivembyr-,-rey'reta-,nirun-,jajivembyr-,-rey'reta-,-rey'reta-,-rendyr-,jajivembyr-,-rey'reta-,-rey'reta-,-reky'yra-,-reky'yra-,-rey'reta-,-rey'reta-,nirun-,-rendyr-,nirun-,-reky'yra-,-rey'reta-,-rendyr-,-rendyr-,jajivembyr-,jajivembyr-,-rey'reta-,-rey'reta-,yy-,a'i-,uvy-,jaji-,yy-,uvy-,yy-,uvy-,jaji-,tutyr-,a'i-,apĩ-,tutyr-,tutyr-,yy-,jaji-,jaji-,uvy-,yy-,tutyr-,jaji-,tutyr-,tutyr-,yy-,uvy-,jaji-,uvy-,apĩ-
4,0.12488740921233532,1.64795588714971,1.5230684779373747,nirun-,nirun-,jajivembyr-,jajivembyr-,-rendyr-,jajivembyr-,jajivembyr-,jajivembyr-,-reky'yra-,-rey'reta-,jajivembyr-,-rey'reta-,-rey'reta-,jajivembyr-,nirun-,-rendyr-,-rendyr-,jajivembyr-,jajivembyr-,jajivembyr-,-rendyr-,-rey'reta-,-reky'yra-,-reky'yra-,nirun-,-rey'reta-,-reky'yra-,jajivembyr-,jajivembyr-,nirun-,nirun-,-rendyr-,-rendyr-,-rey'reta-,jajivembyr-,-reky'yra-,-rey'reta-,-reky'yra-,-reky'yra-,-reky'yra-,-rendyr-,-reky'yra-,-rey'reta-,-rey'reta-,jajivembyr-,-rendyr-,nirun-,nirun-,jajivembyr-,-rendyr-,-reky'yra-,-rey'reta-,-rey'reta-,nirun-,-rey'reta-,nirun-,-reky'yra-,-rendyr-,-rey'reta-,-rey'reta-,jajivembyr-,jajivembyr-,-rey'reta-,-reky'yra-,nirun-,-rendyr-,-rey'reta-,jajivembyr-,-rendyr-,-reky'yra-,jajivembyr-,-rendyr-,-rendyr-,jajivembyr-,-rendyr-,-reky'yra-,jajivembyr-,-reky'yra-,-rey'reta-,nirun-,-reky'yra-,nirun-,jajivembyr-,-rendyr-,jajivembyr-,jajivembyr-,-rey'reta-,-rendyr-,-reky'yra-,tutyr-,jaji-,jaji-,yy-,tutyr-,jaji-,tutyr-,uvy-,jaji-,uvy-,yy-,tutyr-,uvy-,jaji-,uvy-,tutyr-,jaji-,uvy-,yy-,uvy-,a'i-,yy-,tutyr-,yy-,apĩ-,yy-,a'i-,apĩ-
5,0.182881213092835,1.6481134140730649,1.4652322009802299,jajivembyr-,-reky'yra-,-rendyr-,-reky'yra-,jajivembyr-,-rendyr-,-rendyr-,jajivembyr-,jajivembyr-,jajivembyr-,-rey'reta-,-rendyr-,jajivembyr-,-rendyr-,jajivembyr-,-reky'yra-,-reky'yra-,jajivembyr-,jajivembyr-,nirun-,-rendyr-,-rey'reta-,jajivembyr-,nirun-,nirun-,-reky'yra-,-rey'reta-,-reky'yra-,-rendyr-,-rendyr-,-rey'reta-,jajivembyr-,jajivembyr-,-rey'reta-,jajivembyr-,-rendyr-,-rey'reta-,-reky'yra-,-reky'yra-,nirun-,jajivembyr-,-rendyr-,-rey'reta-,-rey'reta-,-reky'yra-,-rey'reta-,-reky'yra-,-rendyr-,jajivembyr-,-reky'yra-,nirun-,nirun-,nirun-,-reky'yra-,-rendyr-,jajivembyr-,-rey'reta-,nirun-,jajivembyr-,nirun-,jajivembyr-,-rey'reta-,-rey'reta-,nirun-,-rey'reta-,-rendyr-,nirun-,-rendyr-,jajivembyr-,-reky'yra-,jajivembyr-,nirun-,-rey'reta-,-rendyr-,-rendyr-,-rey'reta-,-reky'yra-,-reky'yra-,jajivembyr-,-reky'yra-,jajivembyr-,-reky'yra-,nirun-,-rey'reta-,-rey'reta-,-rendyr-,jajivembyr-,-rey'reta-,jajivembyr-,apĩ-,jaji-,jaji-,uvy-,yy-,jaji-,yy-,tutyr-,uvy-,uvy-,tutyr-,tutyr-,yy-,tutyr-,jaji-,yy-,uvy-,uvy-,tutyr-,yy-,yy-,apĩ-,tutyr-,a'i-,uvy-,a'i-,jaji-,jaji-
6,0.23176156229642908,1.7027111115686058,1.4709495492721767,-reky'yra-,-reky'yra-,jajivembyr-,-rey'reta-,nirun-,-rey'reta-,-rendyr-,jajivembyr-,jajivembyr-,-rendyr-,-rendyr-,jajivembyr-,-rey'reta-,-rendyr-,-reky'yra-,-rey'reta-,jajivembyr-,-rey'reta-,jajivembyr-,-rey'reta-,-rendyr-,jajivembyr-,-rendyr-,-rey'reta-,nirun-,-rey'reta-,-rendyr-,jajivembyr-,jajivembyr-,-rey'reta-,-rendyr-,-rendyr-,-reky'yra-,-rey'reta-,-reky'yra-,-reky'yra-,-rendyr-,nirun-,jajivembyr-,-rendyr-,-reky'yra-,nirun-,nirun-,nirun-,nirun-,-reky'yra-,-reky'yra-,-rendyr-,jajivembyr-,nirun-,jajivembyr-,-reky'yra-,nirun-,-rey'reta-,-rey'reta-,-reky'yra-,-rey'reta-,-rey'reta-,nirun-,jajivembyr-,jajivembyr-,nirun-,jajivembyr-,jajivembyr-,-reky'yra-,-rey'reta-,-rey'reta-,jajivembyr-,-rendyr-,-rey'reta-,-reky'yra-,-reky'yra-,nirun-,jajivembyr-,-reky'yra-,jajivembyr-,-reky'yra-,jajivembyr-,jajivembyr-,jajivembyr-,-rendyr-,nirun-,-reky'yra-,-rendyr-,jajivembyr-,-rey'reta-,-rendyr-,jajivembyr-,-rendyr-,uvy-,tutyr-,jaji-,a'i-,yy-,uvy-,jaji-,uvy-,yy-,tutyr-,yy-,uvy-,uvy-,tutyr-,tutyr-,uvy-,yy-,yy-,a'i-,jaji-,jaji-,jaji-,yy-,apĩ-,tutyr-,tutyr-,jaji-,apĩ-
7,0.09745626977142208,1.6733879434189989,1.5759316736475768,-rendyr-,-rey'reta-,-reky'yra-,-rendyr-,-rendyr-,-rendyr-,jajivembyr-,nirun-,jajivembyr-,-reky'yra-,nirun-,jajivembyr-,jajivembyr-,-rey'reta-,nirun-,-rey'reta-,nirun-,-reky'yra-,-reky'yra-,-rey'reta-,-reky'yra-,-rey'reta-,jajivembyr-,-rendyr-,jajivembyr-,-rendyr-,nirun-,-rey'reta-,-reky'yra-,-rendyr-,-reky'yra-,-rey'reta-,-reky'yra-,-rendyr-,-reky'yra-,-reky'yra-,jajivembyr-,jajivembyr-,jajivembyr-,-rendyr-,-rey'reta-,-rendyr-,-rendyr-,jajivembyr-,nirun-,jajivembyr-,-reky'yra-,jajivembyr-,jajivembyr-,-reky'yra-,jajivembyr-,jajivembyr-,-reky'yra-,jajivembyr-,-rey'reta-,-rendyr-,jajivembyr-,jajivembyr-,-rendyr-,nirun-,jajivembyr-,nirun-,-reky'yra-,-rendyr-,-rey'reta-,jajivembyr-,nirun-,-reky'yra-,-rendyr-,jajivembyr-,-rey'reta-,nirun-,jajivembyr-,-rey'reta-,-rey'reta-,-reky'yra-,-rendyr-,-reky'yra-,nirun-,-rey'reta-,-rey'reta-,nirun-,-rey'reta-,-rey'reta-,jajivembyr-,-rey'reta-,jajivembyr-,-rendyr-,nirun-,uvy-,yy-,jaji-,uvy-,uvy-,a'i-,jaji-,tutyr-,tutyr-,a'i-,uvy-,tutyr-,yy-,tutyr-,yy-,tutyr-,yy-,jaji-,jaji-,jaji-,yy-,uvy-,yy-,tutyr-,apĩ-,apĩ-,uvy-,jaji-
8,0.13048008660398636,1.6434252964625082,1.5129452098585219,-rey'reta-,-rendyr-,-rendyr-,-rey'reta-,jajivembyr-,-rendyr-,-rendyr-,jajivembyr-,jajivembyr-,-rey'reta-,-rey'reta-,jajivembyr-,-rey'reta-,nirun-,-reky'yra-,-rendyr-,-rendyr-,-reky'yra-,jajivembyr-,-reky'yra-,nirun-,jajivembyr-,-reky'yra-,-rey'reta-,-rey'reta-,jajivembyr-,-rendyr-,-reky'yra-,-rey'reta-,jajivembyr-,-rendyr-,jajivembyr-,jajivembyr-,-rey'reta-,-reky'yra-,-rey'reta-,nirun-,-rey'reta-,jajivembyr-,jajivembyr-,-rendyr-,jajivembyr-,-rey'reta-,nirun-,nirun-,jajivembyr-,-rey'reta-,-reky'yra-,jajivembyr-,-rendyr-,jajivembyr-,-rendyr-,-rendyr-,-rey'reta-,nirun-,-rey'reta-,-rendyr-,-reky'yra-,-reky'yra-,-reky'yra-,-reky'yra-,jajivembyr-,jajivembyr-,-rey'reta-,jajivembyr-,-rendyr-,nirun-,nirun-,jajivembyr-,-reky'yra-,-reky'yra-,nirun-,-rey'reta-,-reky'yra-,nirun-,jajivembyr-,nirun-,nirun-,-reky'yra-,-rendyr-,-reky'yra-,-rey'reta-,jajivembyr-,jajivembyr-,jajivembyr-,-reky'yra-,-rendyr-,-rendyr-,nirun-,jaji-,tutyr-,uvy-,uvy-,tutyr-,yy-,uvy-,uvy-,yy-,uvy-,a'i-,jaji-,tutyr-,yy-,jaji-,tutyr-,jaji-,uvy-,tutyr-,jaji-,tutyr-,yy-,apĩ-,apĩ-,a'i-,jaji-,yy-,yy-
9,0.08247758147192141,1.674096955058638,1.5916193735867166,jajivembyr-,nirun-,jajivembyr-,jajivembyr-,jajivembyr-,jajivembyr-,jajivembyr-,-rey'reta-,nirun-,nirun-,-rendyr-,-rey'reta-,-reky'yra-,-rendyr-,-rey'reta-,-rendyr-,jajivembyr-,-rey'reta-,-rendyr-,jajivembyr-,-reky'yra-,jajivembyr-,nirun-,-rendyr-,nirun-,jajivembyr-,-rendyr-,-rendyr-,jajivembyr-,-rendyr-,nirun-,-reky'yra-,-reky'yra-,-rey'reta-,jajivembyr-,jajivembyr-,-rey'reta-,nirun-,-rendyr-,jajivembyr-,-reky'yra-,-rey'reta-,-rey'reta-,-reky'yra-,-rendyr-,nirun-,-rendyr-,-reky'yra-,jajivembyr-,-rendyr-,jajivembyr-,nirun-,jajivembyr-,-rey'reta-,nirun-,-rey'reta-,-rey'reta-,-reky'yra-,-rendyr-,-reky'yra-,-rey'reta-,nirun-,-reky'yra-,-rey'reta-,jajivembyr-,-reky'yra-,-reky'yra-,jajivembyr-,-rey'reta-,-rey'reta-,-reky'yra-,-rendyr-,nirun-,-reky'yra-,jajivembyr-,-rendyr-,jajivembyr-,-rendyr-,-rey'reta-,-reky'yra-,-rendyr-,-reky'yra-,-rey'reta-,jajivembyr-,nirun-,jajivembyr-,jajivembyr-,-rey'reta-,-reky'yra-,uvy-,jaji-,tutyr-,uvy-,apĩ-,apĩ-,jaji-,jaji-,a'i-,uvy-,jaji-,uvy-,yy-,tutyr-,tutyr-,tutyr-,uvy-,tutyr-,yy-,yy-,jaji-,a'i-,jaji-,yy-,yy-,uvy-,yy-,tutyr-
