simulation_number,mutual_information,entropy,conditional_entropy,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB
0,NA,NA,NA,ta-mukasu,tata,ngu,tata,ngubala,ngu,ngu,ngubala,ngubala,ngu,ta-mukasu,tata,ta-mukasu
1,NA,NA,NA,ngubala,tata,ta-mukasu,ngu,ngu,ngu,tata,ta-mukasu,ngubala,tata,ta-mukasu,ngu,ngubala
2,NA,NA,NA,ngubala,tata,ngu,tata,ta-mukasu,ngubala,ngu,tata,ta-mukasu,ngubala,ngu,ngu,ta-mukasu
3,NA,NA,NA,tata,ngu,ta-mukasu,ngubala,ngubala,tata,ngu,ta-mukasu,tata,ngu,ta-mukasu,ngubala,ngu
4,NA,NA,NA,tata,ngu,tata,ngubala,ta-mukasu,ngubala,ngubala,ta-mukasu,ngu,ta-mukasu,tata,ngu,ngu
5,NA,NA,NA,ngubala,ta-mukasu,tata,ngu,tata,ta-mukasu,ngu,tata,ngubala,ta-mukasu,ngu,ngubala,ngu
6,NA,NA,NA,tata,ngubala,tata,ngubala,ta-mukasu,ngu,ngu,ngu,ngu,ta-mukasu,ngubala,ta-mukasu,tata
7,NA,NA,NA,ngubala,ngu,ta-mukasu,ta-mukasu,ngubala,tata,ngubala,ta-mukasu,tata,tata,ngu,ngu,ngu
8,NA,NA,NA,ngu,ngu,ta-mukasu,ta-mukasu,ngubala,ta-mukasu,ngubala,tata,tata,tata,ngubala,ngu,ngu
9,NA,NA,NA,ta-mukasu,tata,tata,ngubala,ta-mukasu,ngu,ngubala,ngubala,ngu,ta-mukasu,ngu,ngu,tata
