simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZS,mFeZS,mFyZS,mFZeS,mFZyS,fB,fZ,feB,fyB,feZ,fyZ,fFZS,fFeZS,fFyZS,fFZeS,fFZyS,mF,mM,mFZ,mFeZ,mFyZ,fF,fM,fFZ,fFeZ,fFyZ
0,0.16488627079837426,0.9727696382494828,0.8078833674511086,chwaer,chwaer,chwaer,chwaer,brawd,cefnderw,cefnderw,brawd,chwaer,cefnderw,cefnderw,cefnderw,cefnderw,chwaer,cefnderw,brawd,cefnderw,cefnderw,brawd,cefnderw,brawd,modryb,tad,modryb,modryb,tad,modryb,mam,modryb,modryb,mam
1,0.07058382867306023,0.9727696382494828,0.9021858095764226,brawd,brawd,cefnderw,chwaer,cefnderw,brawd,chwaer,cefnderw,cefnderw,chwaer,chwaer,chwaer,cefnderw,cefnderw,cefnderw,brawd,brawd,cefnderw,cefnderw,cefnderw,chwaer,mam,modryb,modryb,tad,mam,tad,modryb,modryb,modryb,modryb
2,0.07864892750087071,0.8653649791627,0.7867160516618293,chwaer,cefnderw,chwaer,cefnderw,cefnderw,chwaer,cefnderw,chwaer,brawd,cefnderw,brawd,cefnderw,brawd,brawd,cefnderw,chwaer,cefnderw,chwaer,brawd,cefnderw,cefnderw,modryb,modryb,mam,modryb,modryb,tad,modryb,tad,mam,modryb
3,0.07304895647204046,0.7435648254271452,0.6705158689551047,chwaer,brawd,cefnderw,chwaer,cefnderw,cefnderw,cefnderw,cefnderw,chwaer,brawd,brawd,cefnderw,cefnderw,brawd,cefnderw,chwaer,cefnderw,cefnderw,chwaer,chwaer,brawd,modryb,modryb,modryb,tad,tad,modryb,mam,modryb,mam,modryb
4,0.1397903446281865,1.0733942812811266,0.9336039366529401,chwaer,chwaer,cefnderw,cefnderw,cefnderw,brawd,cefnderw,brawd,chwaer,cefnderw,cefnderw,brawd,cefnderw,chwaer,chwaer,chwaer,brawd,brawd,cefnderw,cefnderw,cefnderw,tad,tad,mam,modryb,modryb,modryb,mam,modryb,modryb,modryb
5,0.07768122613130712,0.8828275435751076,0.8051463174438005,cefnderw,cefnderw,chwaer,cefnderw,cefnderw,cefnderw,brawd,chwaer,brawd,brawd,cefnderw,brawd,cefnderw,cefnderw,chwaer,cefnderw,chwaer,cefnderw,brawd,chwaer,chwaer,modryb,modryb,mam,tad,modryb,modryb,tad,mam,modryb,modryb
6,0.1073715988018833,0.8207996891635669,0.7134280903616836,chwaer,cefnderw,cefnderw,brawd,chwaer,brawd,cefnderw,cefnderw,chwaer,cefnderw,cefnderw,brawd,cefnderw,brawd,cefnderw,chwaer,cefnderw,chwaer,brawd,chwaer,cefnderw,modryb,modryb,modryb,modryb,tad,modryb,mam,tad,modryb,mam
7,0.0761784725947996,1.0695416913993137,0.9933632188045141,chwaer,brawd,cefnderw,cefnderw,chwaer,cefnderw,cefnderw,cefnderw,brawd,cefnderw,chwaer,chwaer,cefnderw,brawd,cefnderw,brawd,chwaer,cefnderw,cefnderw,brawd,chwaer,mam,tad,modryb,modryb,modryb,mam,modryb,modryb,tad,modryb
8,0.1454688038400127,0.9251290835720823,0.7796602797320696,cefnderw,cefnderw,cefnderw,chwaer,brawd,cefnderw,cefnderw,brawd,cefnderw,brawd,cefnderw,cefnderw,brawd,brawd,chwaer,chwaer,cefnderw,chwaer,chwaer,chwaer,cefnderw,modryb,mam,tad,modryb,modryb,modryb,modryb,tad,mam,modryb
9,0.13671462732480022,0.9497249735351773,0.813010346210377,chwaer,cefnderw,cefnderw,chwaer,cefnderw,brawd,cefnderw,chwaer,brawd,chwaer,cefnderw,brawd,chwaer,brawd,cefnderw,cefnderw,chwaer,cefnderw,cefnderw,cefnderw,brawd,mam,modryb,modryb,modryb,tad,mam,modryb,tad,modryb,modryb
