simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.061440885193455586,1.086096732270153,1.0246558470766973,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sechÿle,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sedézé,sela,sela,sare,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sechÿle,sela,sunaghe,sela,sedézé,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sare,sela,sela,sela,sela,sela,sela,sela,sela,seʔe,seʔe,seʔe,sâk’íe nî,sâk’íe nî,seʔe,seʔe,sâk’íe nî,sâk’íe nî,seʔe,sâk’íe nî,sâk’íe nî,seʔe,sâk’íe nî,sâk’íe nî,seʔe,ʔamá,sâk’íe nî,sâk’íe nî,sâk’íe nî,seʔe,seʔe,seʔe,abá,abá,seʔe,sâk’íe nî,ʔamá
1,0.15573067168960342,1.0398069945067938,0.8840763228171904,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sare,sela,sela,sela,sela,sechÿle,sela,sela,sela,sedézé,sela,sela,sela,sela,sela,sela,sela,sare,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sunaghe,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sedézé,sela,sela,sela,sela,sela,sela,sela,sela,sela,sechÿle,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,seʔe,seʔe,sâk’íe nî,sâk’íe nî,seʔe,sâk’íe nî,ʔamá,abá,seʔe,seʔe,abá,seʔe,seʔe,seʔe,sâk’íe nî,sâk’íe nî,seʔe,seʔe,sâk’íe nî,seʔe,sâk’íe nî,sâk’íe nî,sâk’íe nî,seʔe,sâk’íe nî,ʔamá,sâk’íe nî,sâk’íe nî
2,0.10825922184288617,1.0394286053253206,0.9311693834824344,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sedézé,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sare,sechÿle,sela,sela,sela,sela,sechÿle,sela,sela,sare,sela,sunaghe,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sedézé,sela,sela,sela,sela,sela,sela,sela,sela,seʔe,seʔe,sâk’íe nî,sâk’íe nî,seʔe,seʔe,seʔe,abá,abá,sâk’íe nî,seʔe,sâk’íe nî,sâk’íe nî,seʔe,sâk’íe nî,seʔe,seʔe,sâk’íe nî,sâk’íe nî,seʔe,ʔamá,sâk’íe nî,seʔe,sâk’íe nî,ʔamá,sâk’íe nî,seʔe,sâk’íe nî
3,0.04924329608101896,1.1314330401594135,1.0821897440783945,sunaghe,sela,sela,sela,sela,sela,sechÿle,sela,sela,sela,sare,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sechÿle,sela,sedézé,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sedézé,sare,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sâk’íe nî,seʔe,seʔe,abá,abá,sâk’íe nî,sâk’íe nî,sâk’íe nî,sâk’íe nî,sâk’íe nî,ʔamá,seʔe,ʔamá,sâk’íe nî,seʔe,sâk’íe nî,sâk’íe nî,seʔe,seʔe,sâk’íe nî,seʔe,seʔe,seʔe,seʔe,seʔe,seʔe,sâk’íe nî,sâk’íe nî
4,0.05187314454997338,0.9966933418029521,0.9448201972529787,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sechÿle,sela,sedézé,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sechÿle,sunaghe,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sare,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sare,sela,sedézé,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sâk’íe nî,sâk’íe nî,seʔe,sâk’íe nî,sâk’íe nî,sâk’íe nî,abá,sâk’íe nî,seʔe,seʔe,seʔe,sâk’íe nî,seʔe,sâk’íe nî,seʔe,seʔe,sâk’íe nî,seʔe,sâk’íe nî,seʔe,seʔe,ʔamá,sâk’íe nî,abá,ʔamá,seʔe,seʔe,sâk’íe nî
5,0.029421857166562093,1.0534671092764725,1.0240452521099104,sela,sela,sela,sela,sela,sela,sedézé,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sare,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sunaghe,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sechÿle,sela,sechÿle,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sare,sela,sela,sedézé,sela,sela,sela,sela,sâk’íe nî,seʔe,abá,sâk’íe nî,sâk’íe nî,sâk’íe nî,seʔe,ʔamá,sâk’íe nî,sâk’íe nî,sâk’íe nî,seʔe,seʔe,seʔe,sâk’íe nî,seʔe,seʔe,sâk’íe nî,sâk’íe nî,seʔe,sâk’íe nî,abá,sâk’íe nî,seʔe,seʔe,ʔamá,seʔe,seʔe
6,0.10575228060023023,1.1277970416868661,1.0220447610866359,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sunaghe,sela,sela,sela,sela,sela,sela,sela,sela,sela,sedézé,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sare,sela,sela,sela,sechÿle,sela,sechÿle,sela,sela,sela,sela,sela,sedézé,sela,sela,sela,sela,sela,sela,sela,sela,sela,sare,sela,sela,sela,sela,seʔe,sâk’íe nî,seʔe,abá,sâk’íe nî,sâk’íe nî,ʔamá,sâk’íe nî,seʔe,seʔe,seʔe,sâk’íe nî,sâk’íe nî,ʔamá,sâk’íe nî,sâk’íe nî,sâk’íe nî,abá,seʔe,sâk’íe nî,seʔe,seʔe,seʔe,seʔe,seʔe,sâk’íe nî,seʔe,sâk’íe nî
7,0.07746323016127321,1.1255928102153656,1.0481295800540924,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sunaghe,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sechÿle,sela,sela,sela,sela,sela,sedézé,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sare,sela,sela,sela,sechÿle,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sedézé,sela,sela,sela,sela,sela,sela,sela,sare,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,ʔamá,sâk’íe nî,sâk’íe nî,seʔe,seʔe,abá,seʔe,sâk’íe nî,sâk’íe nî,seʔe,sâk’íe nî,seʔe,sâk’íe nî,abá,ʔamá,seʔe,seʔe,sâk’íe nî,seʔe,sâk’íe nî,seʔe,seʔe,seʔe,sâk’íe nî,sâk’íe nî,sâk’íe nî,seʔe,sâk’íe nî
8,0.06502550958735875,1.04596438952748,0.9809388799401212,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sechÿle,sela,sare,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sare,sela,sela,sela,sela,sela,sela,sunaghe,sedézé,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sedézé,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sechÿle,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,seʔe,sâk’íe nî,seʔe,abá,seʔe,seʔe,sâk’íe nî,ʔamá,sâk’íe nî,seʔe,sâk’íe nî,sâk’íe nî,sâk’íe nî,seʔe,seʔe,sâk’íe nî,seʔe,seʔe,seʔe,sâk’íe nî,seʔe,abá,sâk’íe nî,sâk’íe nî,seʔe,sâk’íe nî,ʔamá,sâk’íe nî
9,0.07126938767666235,1.1239960188189735,1.0527266311423111,sela,sela,sela,sunaghe,sare,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sechÿle,sela,sela,sela,sela,sela,sechÿle,sela,sela,sela,sela,sela,sela,sela,sela,sare,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sedézé,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sedézé,sela,sela,sela,sâk’íe nî,sâk’íe nî,sâk’íe nî,seʔe,abá,seʔe,seʔe,sâk’íe nî,seʔe,seʔe,seʔe,sâk’íe nî,sâk’íe nî,seʔe,ʔamá,ʔamá,seʔe,seʔe,seʔe,sâk’íe nî,seʔe,seʔe,abá,sâk’íe nî,sâk’íe nî,sâk’íe nî,sâk’íe nî,sâk’íe nî
