simulation_number,mutual_information,entropy,conditional_entropy,myB,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fyB,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.042963223841187226,1.356882189847214,1.3139189660060269,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,šīʔčɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,šīʔčɨ,yāʔko,yāʔko,-nuwā-dɨ,waynɲeʔney,haha,haha,waynɲeʔney,denɨ,denɨ,waynɲeʔney,yawo,yawo,haha,waynɲeʔney,waynɲeʔney,yawo,yawo,haha,denɨ,denɨ,haha,denɨ,yawo,haha,waynɲeʔney,haha,yawo,denɨ,haha,denɨ,denɨ
1,0.04544866394950797,1.3773921588800424,1.3319434949305344,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,šīʔčɨ,yāʔko,-nuwā-dɨ,šīʔčɨ,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,haha,yawo,denɨ,yawo,yawo,haha,haha,denɨ,waynɲeʔney,haha,waynɲeʔney,haha,haha,waynɲeʔney,waynɲeʔney,yawo,waynɲeʔney,yawo,yawo,denɨ,denɨ,denɨ,waynɲeʔney,denɨ,haha,denɨ,denɨ,haha
2,0.04531154208588517,1.3432200717161533,1.2979085296302681,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,šīʔčɨ,yāʔko,yāʔko,yāʔko,yāʔko,šīʔčɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,haha,haha,yawo,denɨ,haha,haha,haha,denɨ,haha,denɨ,yawo,yawo,waynɲeʔney,haha,waynɲeʔney,yawo,denɨ,haha,denɨ,yawo,denɨ,waynɲeʔney,yawo,waynɲeʔney,waynɲeʔney,denɨ,waynɲeʔney,denɨ
3,0.0932106541757245,1.38177363941147,1.2885629852357454,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,šīʔčɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,šīʔčɨ,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yawo,haha,waynɲeʔney,haha,yawo,waynɲeʔney,denɨ,yawo,haha,denɨ,denɨ,denɨ,yawo,waynɲeʔney,haha,denɨ,waynɲeʔney,waynɲeʔney,yawo,denɨ,haha,denɨ,haha,yawo,haha,denɨ,waynɲeʔney,haha
4,0.08330687973779338,1.3532545832508205,1.269947703513027,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,šīʔčɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,šīʔčɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yawo,waynɲeʔney,denɨ,haha,yawo,denɨ,haha,yawo,waynɲeʔney,waynɲeʔney,denɨ,yawo,denɨ,haha,denɨ,waynɲeʔney,denɨ,yawo,haha,haha,haha,haha,yawo,denɨ,denɨ,haha,waynɲeʔney,waynɲeʔney
5,0.052218828352976976,1.3735929472638686,1.3213741189108916,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,šīʔčɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,šīʔčɨ,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,denɨ,haha,yawo,denɨ,yawo,denɨ,waynɲeʔney,haha,waynɲeʔney,haha,denɨ,haha,haha,yawo,haha,denɨ,waynɲeʔney,waynɲeʔney,yawo,denɨ,haha,waynɲeʔney,denɨ,denɨ,waynɲeʔney,yawo,yawo,haha
6,0.06201074828660991,1.3602203067003342,1.2982095584137243,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,šīʔčɨ,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,šīʔčɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,haha,yawo,waynɲeʔney,haha,haha,yawo,yawo,yawo,denɨ,haha,waynɲeʔney,denɨ,haha,denɨ,waynɲeʔney,haha,waynɲeʔney,denɨ,haha,haha,denɨ,waynɲeʔney,waynɲeʔney,yawo,denɨ,denɨ,yawo,denɨ
7,0.052792246975263746,1.3800733449602465,1.3272810979849827,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,šīʔčɨ,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,šīʔčɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,denɨ,denɨ,waynɲeʔney,denɨ,denɨ,yawo,denɨ,denɨ,denɨ,waynɲeʔney,waynɲeʔney,yawo,yawo,denɨ,haha,haha,haha,haha,yawo,waynɲeʔney,waynɲeʔney,yawo,haha,yawo,haha,haha,haha,waynɲeʔney
8,0.06546142772838759,1.3564174944973573,1.2909560667689697,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,šīʔčɨ,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,šīʔčɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,waynɲeʔney,haha,haha,haha,denɨ,waynɲeʔney,haha,haha,waynɲeʔney,yawo,waynɲeʔney,haha,denɨ,yawo,denɨ,yawo,yawo,haha,denɨ,denɨ,haha,waynɲeʔney,denɨ,yawo,yawo,waynɲeʔney,denɨ,denɨ
9,0.04771224017675313,1.3602203067003342,1.312508066523581,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,šīʔčɨ,yāʔko,yāʔko,šīʔčɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,-nuwā-dɨ,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yāʔko,yawo,denɨ,haha,haha,haha,yawo,haha,denɨ,yawo,yawo,waynɲeʔney,waynɲeʔney,denɨ,haha,denɨ,haha,waynɲeʔney,haha,yawo,yawo,denɨ,denɨ,denɨ,waynɲeʔney,haha,denɨ,waynɲeʔney,waynɲeʔney
