simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,feB,fyB,feZ,fyZ,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.09949967627538492,1.0089872247152818,0.9094875484398969,primo,primo,prima,hermana menor,primo,prima,primo,primo,prima,prima,primo,prima,hermano mayor,prima,primo,primo,primo,hermana mayor,prima,primo,primo,primo,prima,prima,prima,primo,primo,primo,prima,primo,prima,primo,prima,prima,prima,prima,prima,primo,prima,primo,primo,prima,prima,prima,primo,prima,hermano mayor,primo,prima,hermana,prima,hermano,prima,primo,primo,prima,hermano menor,primo,primo,primo,prima,primo,primo,prima,primo,prima,primo,prima,prima,primo,primo,primo,primo,hermana,primo,prima,hermana mayor,primo,hermano,prima,hermana menor,primo,prima,primo,prima,prima,hermano menor,prima,prima,prima,tío,tío,tío,tío,tía,tía,tía,tío,tío,tía,tío,tía,tía,tío,papá,tía,tío,tía,tío,tía,mamá,papá,tío,tía,tía,tía,mamá,tío
1,0.11803705882167703,1.0798307037434225,0.9617936449217455,primo,prima,prima,primo,hermano mayor,primo,prima,primo,primo,primo,primo,prima,prima,prima,primo,primo,primo,primo,prima,primo,prima,primo,prima,prima,primo,prima,hermana mayor,prima,prima,hermana,hermano mayor,primo,primo,prima,primo,primo,primo,prima,prima,prima,prima,primo,prima,primo,prima,hermano menor,hermano menor,prima,prima,hermana menor,primo,primo,prima,prima,primo,primo,prima,primo,hermana mayor,prima,prima,prima,prima,prima,primo,primo,primo,prima,primo,hermana menor,prima,primo,prima,primo,prima,primo,hermana,primo,prima,hermano,primo,primo,primo,prima,primo,prima,prima,hermano,prima,primo,tía,tío,tía,tía,tía,tío,mamá,tía,papá,tía,tía,tía,mamá,tía,tío,tía,tío,tío,tío,papá,tía,tío,tío,tío,tío,tía,tío,tío
2,0.1103707382660829,1.096035555024796,0.9856648167587131,primo,primo,prima,prima,prima,prima,primo,hermana mayor,primo,hermano,primo,prima,prima,primo,prima,primo,prima,prima,prima,prima,hermano menor,prima,prima,hermano menor,prima,hermana,hermana menor,primo,primo,prima,hermana mayor,hermano mayor,primo,primo,prima,prima,primo,prima,prima,prima,primo,prima,prima,primo,primo,prima,primo,primo,primo,prima,primo,primo,prima,primo,primo,primo,prima,prima,prima,hermana,primo,hermana menor,prima,prima,hermano mayor,primo,primo,primo,prima,prima,prima,primo,primo,primo,prima,hermano,primo,primo,prima,primo,primo,primo,primo,prima,primo,prima,primo,prima,prima,primo,tío,tía,mamá,tío,tía,tío,tío,tía,tío,tío,tío,tío,tía,tía,tío,papá,tía,tío,tío,tía,tía,tía,tío,tía,mamá,tía,tía,papá
3,0.12609382350051224,1.089830990919205,0.9637371674186928,prima,prima,primo,primo,primo,prima,primo,prima,hermana menor,hermano menor,primo,hermano menor,prima,primo,primo,prima,primo,hermana menor,prima,prima,prima,prima,primo,hermano mayor,prima,hermana mayor,primo,primo,primo,hermano,hermana mayor,prima,primo,prima,prima,prima,hermano,prima,primo,prima,primo,prima,prima,prima,prima,primo,primo,hermana,prima,primo,prima,prima,prima,prima,primo,prima,prima,prima,primo,primo,primo,primo,prima,primo,prima,prima,prima,primo,hermana,prima,primo,primo,primo,primo,primo,prima,primo,hermano mayor,primo,primo,prima,primo,primo,prima,prima,primo,primo,prima,primo,primo,tío,tío,mamá,tío,tío,tía,tía,tía,papá,tío,tío,tía,tío,tío,tía,mamá,tío,tía,tía,tío,papá,tía,tía,tía,tía,tío,tía,tío
4,0.07133841666286578,1.0319084806141605,0.9605700639512947,primo,prima,primo,prima,prima,primo,prima,prima,primo,prima,hermano menor,hermano mayor,primo,prima,hermano mayor,primo,prima,prima,primo,prima,prima,hermano menor,prima,primo,prima,prima,primo,primo,primo,primo,prima,primo,primo,primo,prima,hermana menor,hermana menor,primo,primo,primo,primo,primo,prima,primo,hermano,prima,primo,prima,prima,prima,primo,prima,prima,prima,primo,primo,hermano,hermana mayor,hermana mayor,prima,primo,prima,primo,primo,prima,prima,primo,prima,prima,primo,prima,prima,primo,prima,prima,prima,primo,primo,prima,prima,primo,primo,prima,hermana,primo,prima,primo,primo,primo,hermana,tío,tío,tío,tía,tío,tío,tía,tía,tío,tío,tía,tía,tío,tía,tía,papá,tío,tío,tío,tía,mamá,tía,papá,tío,mamá,tía,tía,tía
5,0.15013810201933597,1.1285783001317093,0.9784401981123734,prima,primo,prima,primo,hermana,primo,primo,prima,primo,prima,prima,primo,prima,primo,hermano menor,primo,prima,primo,primo,primo,primo,primo,prima,primo,prima,prima,primo,primo,prima,primo,prima,primo,primo,primo,prima,hermano mayor,prima,prima,prima,prima,prima,primo,prima,primo,hermana menor,primo,prima,primo,prima,primo,hermano menor,prima,primo,prima,primo,hermano mayor,prima,prima,hermano,primo,primo,hermano,prima,primo,primo,prima,primo,prima,prima,prima,hermana mayor,prima,hermana menor,primo,primo,prima,primo,prima,primo,prima,hermana,prima,prima,prima,primo,hermana mayor,prima,primo,prima,primo,papá,tía,tío,tía,tía,tío,tía,tío,tía,tía,papá,tía,tía,tío,tío,tío,tío,tío,tía,mamá,tía,tía,tío,mamá,tía,tío,tío,tío
6,0.1386032847230262,1.0777023635861172,0.939099078863091,hermano mayor,primo,primo,primo,prima,hermano,primo,primo,prima,hermano menor,prima,prima,prima,prima,prima,primo,prima,prima,primo,prima,primo,primo,primo,primo,primo,hermana,primo,prima,hermana menor,prima,prima,primo,hermana mayor,prima,prima,primo,prima,prima,primo,prima,primo,primo,prima,prima,prima,primo,primo,primo,primo,prima,primo,primo,primo,prima,prima,primo,primo,prima,prima,primo,primo,prima,primo,primo,primo,primo,prima,prima,primo,prima,prima,hermana menor,primo,prima,prima,hermana,hermana mayor,prima,prima,prima,primo,primo,prima,primo,hermano,hermano mayor,primo,prima,prima,hermano menor,tío,tío,tía,tío,tía,tío,tía,tío,tío,tía,tío,tío,mamá,papá,tío,tío,tía,tía,tío,papá,tía,tía,tía,tía,tío,tía,mamá,tía
7,0.11801301341018855,1.0787669689383441,0.9607539555281556,prima,primo,primo,primo,prima,prima,prima,hermana menor,primo,primo,hermana menor,prima,primo,prima,primo,prima,prima,prima,prima,prima,hermano,primo,primo,prima,prima,prima,primo,prima,primo,hermana,prima,primo,hermano mayor,primo,prima,prima,primo,primo,prima,primo,primo,prima,primo,primo,primo,hermano menor,prima,primo,prima,prima,prima,prima,primo,prima,primo,prima,prima,primo,hermana mayor,prima,prima,prima,prima,primo,primo,hermano menor,prima,hermana,prima,primo,prima,primo,hermano mayor,primo,prima,primo,primo,prima,primo,primo,prima,hermano,primo,primo,prima,primo,primo,primo,primo,hermana mayor,tío,tío,tío,mamá,tía,tía,tía,tía,papá,tío,tío,tía,tío,papá,tía,tío,tío,tía,tío,tía,tía,tía,tía,tío,mamá,tía,tío,tío
8,0.12964045414413716,1.1689322860054332,1.039291831861296,prima,primo,prima,primo,prima,hermana menor,prima,prima,hermana,primo,prima,prima,primo,prima,primo,primo,primo,primo,primo,primo,hermano,prima,primo,hermana mayor,hermano menor,primo,primo,primo,primo,prima,prima,primo,primo,primo,hermana,prima,primo,prima,prima,prima,primo,hermano mayor,primo,primo,primo,primo,prima,primo,prima,primo,hermana menor,primo,prima,hermano menor,hermano mayor,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,prima,primo,primo,prima,primo,primo,primo,prima,primo,prima,primo,prima,primo,primo,prima,primo,primo,prima,primo,prima,prima,prima,prima,hermano,hermana mayor,tía,papá,mamá,papá,tía,tío,tía,tía,tío,mamá,tía,tío,tío,tía,tío,tío,tío,tía,tío,tía,tía,tía,tío,tía,tío,tía,tío,tío
9,0.12724421062226,1.1293095059452896,1.0020652953230296,prima,prima,primo,prima,prima,primo,primo,prima,primo,prima,prima,primo,prima,prima,prima,prima,prima,prima,prima,hermana mayor,hermano menor,primo,primo,primo,prima,primo,prima,primo,prima,hermano,prima,primo,primo,prima,primo,hermana menor,primo,prima,prima,prima,primo,prima,primo,prima,primo,hermano mayor,primo,prima,prima,primo,prima,hermano,prima,prima,primo,hermana mayor,primo,primo,primo,hermana,primo,prima,hermana menor,primo,primo,primo,primo,primo,primo,prima,prima,primo,primo,prima,hermano mayor,primo,primo,prima,prima,prima,hermano menor,prima,hermana,primo,primo,prima,primo,prima,primo,primo,mamá,tía,tío,tía,tía,tío,tío,tía,papá,tía,tía,tía,tío,tío,tío,tío,tía,tío,tío,papá,tía,tío,tía,tío,mamá,tía,tía,tío
