simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM
0,0.28682400152336013,0.6829081047004717,0.39608410317711157,nau,na,nau,hpu,nau,na,nau,nu,nu,wa,wa
1,0.08878194993480437,0.6829081047004717,0.5941261547656673,nau,nau,hpu,nau,na,nau,na,nu,nu,wa,wa
2,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,na,nau,nau,hpu,nau,na,nau,wa,nu,wa,nu
3,0.16353168475831115,0.6829081047004717,0.5193764199421605,hpu,nau,nau,nau,na,na,nau,nu,nu,wa,wa
4,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,nau,hpu,nau,na,na,nau,nau,wa,nu,nu,wa
5,0.36157373634686696,0.6829081047004717,0.32133436835360474,nau,na,na,nau,nau,nau,hpu,nu,nu,wa,wa
6,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,na,hpu,nau,nau,nau,nau,na,nu,wa,nu,wa
7,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,na,hpu,nau,nau,nau,nau,na,wa,nu,wa,nu
8,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,nau,na,nau,na,hpu,nau,nau,wa,nu,nu,wa
9,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,hpu,na,na,nau,nau,nau,nau,nu,wa,nu,wa
