simulation_number,mutual_information,entropy,conditional_entropy,feZ,myB,mMZyS,fMZyS,meZ,mFBeD,fFBeD,mMZeD,fyB,meB,feB,mFZeD,fFZeD,mMBeD,fMBeD,fMZeD,mMZeS,mFZeS,fFZeS,mMBeS,mFBeS,fFBeS,fMBeS,myZ,fyZ,fFByD,fFZyD,fMByD,mMZyD,fMZyD,mMByD,mMByS,fMByS,mFByS,fFByS,mFByD,mFZyD,mFZyS,fFZyS,mMyZ,fMeZ,fMyZ,mMeB,mMyB,fMeB,fMyB,mFeB,mFyB,fFeB,fFyB,mF,fF,mFeZ,mFyZ,fFeZ,fFyZ,mM,fM
0,0.6931471805599453,1.3862943611198906,0.6931471805599453,nain-na-waseʼ,nain-hise'-sa-mus',nain-hise-sa-mus,nain-n'-hans',nain-hiseʼ-sa-musʼ,nainʼ-na-waseʼ,nain-nʼ-hansʼ,nain-hise-sa-musʼ,nain-na-waseʼ,nain-n'-hans,nainʼ-na-waseʼ,nain-na-wase',nain-na-wase,nain-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-hise'-sa-mus',nain-hiseʼ-sa-musʼ,nainʼ-na-waseʼ,nain-hise'-sa-mus,nain-hiseʼ-sa-musʼ,nain-n'-hans',nain-n'-hans,naiuʼ-na-waseʼ,nain-hiseʼ-sa-mus',nain-nʼ-hansʼ,naiu-hiseʼ-sa-musʼ,nain-n'-hans,nain-na-wase',nain-n'-hansʼ,nain-n'-hans',naiu-hiseʼ-sa-musʼ,nain-hise'-sa-mus,nain-hiseʼ-sa-musʼ,nain-hise-sa-musʼ,nainʼ-na-waseʼ,naiu-hiseʼ-sa-musʼ,nain-hise-sa-mus',nain-hiseʼ-sa-musʼ,naine-hiseʼ-sa-musʼ,na-noʼ-whus,na-ma-laʼ-däkue,nin̤-gukʼ-us,na-noʼ-uh,n'-gäʼ-hase,nee-zheseʼ,nin̤-gukʼ-us,nee-zheseʼ,na-noʼ-uh,na-ma-laʼ-däkue,na-noʼ-whus,na-ma-laʼ-däkue,nin̤-gukʼ-us,nee-zheseʼ,na-noʼ-whus,na-noʼ-whus,na-ma-laʼ-däkue,n'-gäʼ-hase,nee-zheseʼ
1,0.6931471805599452,1.0397207708399179,0.34657359027997264,naiuʼ-na-waseʼ,nain-nʼ-hansʼ,nain-hiseʼ-sa-mus',nain-hiseʼ-sa-musʼ,nain-hise-sa-mus,nain-hiseʼ-sa-musʼ,nain-na-waseʼ,naiu-hiseʼ-sa-musʼ,nainʼ-na-waseʼ,nain-hise'-sa-mus,nain-na-wase',nain-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,naiu-hiseʼ-sa-musʼ,nain-n'-hans,nainʼ-na-waseʼ,nain-hise-sa-mus',nainʼ-na-waseʼ,nain-hise-sa-musʼ,nain-nʼ-hansʼ,nain-n'-hans',nain-hiseʼ-sa-musʼ,nain-hise-sa-musʼ,nain-n'-hansʼ,naine-hiseʼ-sa-musʼ,nain-na-wase',naiu-hiseʼ-sa-musʼ,nain-hise'-sa-mus',nain-n'-hans',nain-hise'-sa-mus,nain-n'-hans,nain-n'-hans',nain-hiseʼ-sa-musʼ,nain-na-waseʼ,nain-hiseʼ-sa-musʼ,nain-n'-hans,nainʼ-na-waseʼ,nain-na-wase,nain-hise'-sa-mus',na-noʼ-whus,nee-zheseʼ,na-ma-laʼ-däkue,na-noʼ-whus,na-noʼ-whus,na-noʼ-whus,nin̤-gukʼ-us,nee-zheseʼ,n'-gäʼ-hase,na-ma-laʼ-däkue,na-noʼ-uh,na-ma-laʼ-däkue,nee-zheseʼ,na-ma-laʼ-däkue,n'-gäʼ-hase,nin̤-gukʼ-us,nin̤-gukʼ-us,na-noʼ-uh,nee-zheseʼ
2,0.2599301927099794,1.0397207708399179,0.7797905781299385,nain-hiseʼ-sa-musʼ,nain-nʼ-hansʼ,nain-n'-hans',nain-hise'-sa-mus,nain-hiseʼ-sa-musʼ,nain-hise'-sa-mus',nain-nʼ-hansʼ,naiu-hiseʼ-sa-musʼ,nain-n'-hans,naiuʼ-na-waseʼ,nainʼ-na-waseʼ,naiu-hiseʼ-sa-musʼ,nain-n'-hans',naiu-hiseʼ-sa-musʼ,nain-hise-sa-musʼ,nainʼ-na-waseʼ,nain-hise-sa-mus,nain-hiseʼ-sa-musʼ,nain-hiseʼ-sa-mus',nain-na-waseʼ,nain-n'-hans',nainʼ-na-waseʼ,nain-na-wase',nain-na-waseʼ,nain-n'-hansʼ,nain-hiseʼ-sa-musʼ,nain-hise-sa-musʼ,nainʼ-na-waseʼ,nain-na-wase',nain-hiseʼ-sa-musʼ,nain-hise'-sa-mus',nain-hise'-sa-mus,nain-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,naine-hiseʼ-sa-musʼ,nain-hise-sa-mus',nain-n'-hans,nain-na-wase,nain-n'-hans,na-noʼ-uh,nee-zheseʼ,nin̤-gukʼ-us,nee-zheseʼ,nee-zheseʼ,nin̤-gukʼ-us,nin̤-gukʼ-us,na-ma-laʼ-däkue,n'-gäʼ-hase,nee-zheseʼ,na-noʼ-uh,n'-gäʼ-hase,na-ma-laʼ-däkue,na-noʼ-whus,na-noʼ-whus,na-noʼ-whus,na-ma-laʼ-däkue,na-ma-laʼ-däkue,na-noʼ-whus
3,0.2599301927099794,1.0397207708399179,0.7797905781299385,nain-n'-hansʼ,nain-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-na-waseʼ,nain-nʼ-hansʼ,nain-n'-hans',nain-hiseʼ-sa-mus',nainʼ-na-waseʼ,nainʼ-na-waseʼ,nain-n'-hans,nainʼ-na-waseʼ,nain-n'-hans',nain-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-hise-sa-mus,nain-n'-hans,nain-na-wase',nain-nʼ-hansʼ,nain-na-waseʼ,naiu-hiseʼ-sa-musʼ,naiu-hiseʼ-sa-musʼ,nain-hise'-sa-mus',nain-hise'-sa-mus,naine-hiseʼ-sa-musʼ,nain-na-wase,nain-n'-hans,naiuʼ-na-waseʼ,nain-hise-sa-musʼ,nain-na-wase',nain-n'-hans',nain-hise'-sa-mus',nain-hise-sa-mus',nain-hiseʼ-sa-musʼ,nain-hise-sa-musʼ,nain-hise'-sa-mus,nainʼ-na-waseʼ,naiu-hiseʼ-sa-musʼ,nee-zheseʼ,nin̤-gukʼ-us,n'-gäʼ-hase,na-ma-laʼ-däkue,na-ma-laʼ-däkue,na-noʼ-uh,nee-zheseʼ,na-ma-laʼ-däkue,nee-zheseʼ,nee-zheseʼ,na-ma-laʼ-däkue,nin̤-gukʼ-us,na-noʼ-whus,na-noʼ-whus,nin̤-gukʼ-us,na-noʼ-whus,n'-gäʼ-hase,na-noʼ-whus,na-noʼ-uh
4,0.5198603854199589,1.3862943611198906,0.8664339756999316,nain-hiseʼ-sa-musʼ,nain-n'-hansʼ,nainʼ-na-waseʼ,nain-n'-hans',nain-hise'-sa-mus',naiu-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nainʼ-na-waseʼ,nain-n'-hans',nain-hiseʼ-sa-musʼ,nain-nʼ-hansʼ,naiu-hiseʼ-sa-musʼ,nain-na-wase',nain-na-waseʼ,nain-hiseʼ-sa-musʼ,nain-hise'-sa-mus,naine-hiseʼ-sa-musʼ,nain-hise-sa-musʼ,nain-n'-hans,naiuʼ-na-waseʼ,nain-hiseʼ-sa-musʼ,nain-hise'-sa-mus,nain-hiseʼ-sa-musʼ,nain-hise'-sa-mus',nain-na-wase',nain-na-waseʼ,nain-n'-hans',nain-hiseʼ-sa-mus',nain-n'-hans,nain-n'-hans,nain-hise-sa-mus',nainʼ-na-waseʼ,nain-hiseʼ-sa-musʼ,nainʼ-na-waseʼ,nain-nʼ-hansʼ,nain-hise-sa-musʼ,nain-na-wase,nain-hise-sa-mus,naiu-hiseʼ-sa-musʼ,nee-zheseʼ,na-noʼ-whus,nin̤-gukʼ-us,nee-zheseʼ,na-ma-laʼ-däkue,na-ma-laʼ-däkue,na-noʼ-whus,n'-gäʼ-hase,nin̤-gukʼ-us,nee-zheseʼ,na-ma-laʼ-däkue,na-noʼ-uh,nin̤-gukʼ-us,na-noʼ-whus,na-ma-laʼ-däkue,nee-zheseʼ,na-noʼ-uh,na-noʼ-whus,n'-gäʼ-hase
5,0.17328679513998624,1.0397207708399179,0.8664339756999316,nain-na-wase',nain-na-wase',nain-nʼ-hansʼ,nain-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,naiu-hiseʼ-sa-musʼ,nain-hise-sa-mus',nain-n'-hans,naiu-hiseʼ-sa-musʼ,nainʼ-na-waseʼ,nain-na-wase,nain-hiseʼ-sa-musʼ,nain-hise-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-n'-hansʼ,naine-hiseʼ-sa-musʼ,nain-n'-hans',nain-hiseʼ-sa-musʼ,nain-n'-hans',nainʼ-na-waseʼ,nain-n'-hans,nain-hise'-sa-mus,naiu-hiseʼ-sa-musʼ,nain-hise-sa-mus,nainʼ-na-waseʼ,naiuʼ-na-waseʼ,nain-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-na-waseʼ,nain-hiseʼ-sa-mus',nain-hise'-sa-mus',nain-n'-hans,nain-nʼ-hansʼ,nain-hise'-sa-mus',nain-hise'-sa-mus,nain-hise-sa-musʼ,nain-na-waseʼ,nain-n'-hans',nainʼ-na-waseʼ,na-ma-laʼ-däkue,nee-zheseʼ,nin̤-gukʼ-us,n'-gäʼ-hase,na-ma-laʼ-däkue,na-ma-laʼ-däkue,na-noʼ-uh,na-ma-laʼ-däkue,na-noʼ-whus,nee-zheseʼ,n'-gäʼ-hase,na-noʼ-whus,nin̤-gukʼ-us,na-noʼ-uh,nee-zheseʼ,nin̤-gukʼ-us,na-noʼ-whus,nee-zheseʼ,na-noʼ-whus
6,0.17328679513998624,1.0397207708399179,0.8664339756999316,nain-hise-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-n'-hans',nain-na-waseʼ,nainʼ-na-waseʼ,nain-na-wase,naine-hiseʼ-sa-musʼ,nain-nʼ-hansʼ,nain-hiseʼ-sa-musʼ,nainʼ-na-waseʼ,nain-nʼ-hansʼ,nain-na-wase',nain-hise'-sa-mus',nain-hiseʼ-sa-musʼ,naiu-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-hise'-sa-mus,nainʼ-na-waseʼ,nain-hiseʼ-sa-musʼ,nain-hiseʼ-sa-mus',naiu-hiseʼ-sa-musʼ,nain-n'-hans',naiu-hiseʼ-sa-musʼ,nain-hise-sa-musʼ,nain-na-wase',nainʼ-na-waseʼ,nain-hise-sa-mus',nain-hiseʼ-sa-musʼ,nain-n'-hans',nain-n'-hans,naiuʼ-na-waseʼ,nain-hise'-sa-mus',nain-n'-hans,nain-hise-sa-mus,nain-n'-hansʼ,nain-hise'-sa-mus,nain-n'-hans,nain-hiseʼ-sa-musʼ,nain-na-waseʼ,nin̤-gukʼ-us,na-noʼ-whus,na-ma-laʼ-däkue,nee-zheseʼ,na-ma-laʼ-däkue,nee-zheseʼ,nin̤-gukʼ-us,n'-gäʼ-hase,na-noʼ-whus,na-noʼ-uh,na-noʼ-whus,na-ma-laʼ-däkue,na-ma-laʼ-däkue,nee-zheseʼ,na-noʼ-whus,nee-zheseʼ,n'-gäʼ-hase,na-noʼ-uh,nin̤-gukʼ-us
7,0.5198603854199589,1.3862943611198906,0.8664339756999316,nain-hise'-sa-mus',nain-nʼ-hansʼ,nain-hise-sa-musʼ,naiu-hiseʼ-sa-musʼ,nain-na-wase',nain-hiseʼ-sa-musʼ,naine-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nainʼ-na-waseʼ,nain-n'-hans,nainʼ-na-waseʼ,nain-n'-hans,nain-n'-hansʼ,nainʼ-na-waseʼ,nain-na-waseʼ,naiu-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-n'-hans,nain-hise-sa-mus',nain-hise'-sa-mus,nain-n'-hans',nain-n'-hans',nain-na-wase',nain-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-hise'-sa-mus',nain-hise'-sa-mus,nain-hiseʼ-sa-mus',nain-hise-sa-musʼ,nain-na-waseʼ,naiuʼ-na-waseʼ,nain-hise-sa-mus,naiu-hiseʼ-sa-musʼ,nain-na-wase,nain-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nainʼ-na-waseʼ,nain-n'-hans',nain-nʼ-hansʼ,na-noʼ-whus,na-noʼ-whus,na-noʼ-whus,nin̤-gukʼ-us,n'-gäʼ-hase,na-noʼ-uh,na-ma-laʼ-däkue,nee-zheseʼ,nin̤-gukʼ-us,nee-zheseʼ,na-ma-laʼ-däkue,n'-gäʼ-hase,na-noʼ-whus,nin̤-gukʼ-us,na-ma-laʼ-däkue,nee-zheseʼ,na-ma-laʼ-däkue,nee-zheseʼ,na-noʼ-uh
8,0.3465735902799726,1.0397207708399179,0.6931471805599453,nainʼ-na-waseʼ,nain-hiseʼ-sa-musʼ,nain-hise'-sa-mus',nain-hise'-sa-mus,nain-hise-sa-musʼ,nain-na-wase',nain-hise'-sa-mus',nain-nʼ-hansʼ,naiu-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-nʼ-hansʼ,nainʼ-na-waseʼ,nain-hiseʼ-sa-musʼ,naiu-hiseʼ-sa-musʼ,nain-n'-hansʼ,nain-n'-hans,nain-hise-sa-mus,nain-n'-hans',nain-hiseʼ-sa-musʼ,nain-hise-sa-musʼ,nain-na-wase,nainʼ-na-waseʼ,nain-n'-hans',nain-hiseʼ-sa-mus',nain-n'-hans,nain-hise'-sa-mus,nain-n'-hans',naiu-hiseʼ-sa-musʼ,nain-na-waseʼ,nain-hiseʼ-sa-musʼ,naiuʼ-na-waseʼ,naine-hiseʼ-sa-musʼ,nain-na-wase',nain-na-waseʼ,nainʼ-na-waseʼ,nain-n'-hans,nain-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-hise-sa-mus',nee-zheseʼ,na-noʼ-whus,na-ma-laʼ-däkue,nin̤-gukʼ-us,n'-gäʼ-hase,nin̤-gukʼ-us,na-ma-laʼ-däkue,na-noʼ-whus,nee-zheseʼ,nee-zheseʼ,na-noʼ-whus,na-ma-laʼ-däkue,na-ma-laʼ-däkue,nee-zheseʼ,na-noʼ-uh,nin̤-gukʼ-us,na-noʼ-uh,na-noʼ-whus,n'-gäʼ-hase
9,0.3465735902799726,1.0397207708399179,0.6931471805599453,nainʼ-na-waseʼ,nain-hise'-sa-mus',nain-na-wase',nain-na-wase',nain-hise'-sa-mus,naiu-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-hise-sa-musʼ,nain-nʼ-hansʼ,naiuʼ-na-waseʼ,nain-n'-hans',nain-n'-hans',nain-hise'-sa-mus',nain-n'-hans',nain-n'-hans,nain-hise-sa-musʼ,naine-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,naiu-hiseʼ-sa-musʼ,nain-n'-hans,nain-hiseʼ-sa-musʼ,nain-nʼ-hansʼ,nain-na-wase,nainʼ-na-waseʼ,nainʼ-na-waseʼ,nain-hise-sa-mus',nain-hiseʼ-sa-musʼ,nainʼ-na-waseʼ,nain-n'-hans,nain-na-waseʼ,nain-na-waseʼ,nain-hise-sa-mus,nain-hiseʼ-sa-mus',naiu-hiseʼ-sa-musʼ,nain-hiseʼ-sa-musʼ,nain-n'-hansʼ,nain-hise'-sa-mus,nain-hiseʼ-sa-musʼ,na-noʼ-whus,nin̤-gukʼ-us,nin̤-gukʼ-us,nee-zheseʼ,na-noʼ-whus,na-noʼ-whus,na-noʼ-whus,n'-gäʼ-hase,na-noʼ-uh,na-ma-laʼ-däkue,na-noʼ-uh,na-ma-laʼ-däkue,na-ma-laʼ-däkue,na-ma-laʼ-däkue,nee-zheseʼ,nee-zheseʼ,n'-gäʼ-hase,nin̤-gukʼ-us,nee-zheseʼ
