simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1942521990598527,1.2008918730916922,1.0066396740318395,i`a'm•a;i`am•a',ivávi,ivaña';ivañga'’a,ivöni’i,ivávi,ivöni’i,ivöni’i,"i`a'm•a,i`am•a'",ivöni’i,ivaña';ivañga'’a,ivöni’i,ivöni’i,i`a'm•a;i`am•a',ivávi,ivaña';ivañga'’a,ivávi,ivaña';ivañga'’a,ivávi,ivaña';ivañga'’a,i`a'm•a;i`am•a',i`a'm•a;i`am•a',ivöni’i,ivaña';ivañga'’a,"i`a'm•a,i`am•a'",ivöni’i,ivaña';ivañga'’a,i`a'm•a;i`am•a',ivaña';ivañga'’a,ivöni’i,ivöni’i,ivávi,ivávi,i`a'm•a;i`am•a',i`a'm•a;i`am•a',i`a'm•a;i`am•a',ivaña';ivañga'’a,ivaña';ivañga'’a,ivávi,ivi'a,ina',i.ā'ts,ivi'a,ivi'a,ina',i.ā'ts,ivi'a,iva`wa',ina',i.ā'ts,i.ā'ts,ivi'a,i.ā'ts,ina',ivi'a,ivi'a,i.ā'ts,ina',iva`wa',ivi'a,iva`wa',iva`wa',iva`wa',ina',ina',ina',iva`wa'
1,0.2384721753375767,1.3092655562725235,1.0707933809349468,ivöni’i,ivaña';ivañga'’a,ivávi,ivöni’i,ivaña';ivañga'’a,i`a'm•a;i`am•a',ivaña';ivañga'’a,i`a'm•a;i`am•a',i`a'm•a;i`am•a',ivávi,ivaña';ivañga'’a,ivaña';ivañga'’a,ivávi,i`a'm•a;i`am•a',ivöni’i,"i`a'm•a,i`am•a'",ivávi,ivávi,ivaña';ivañga'’a,i`a'm•a;i`am•a',ivaña';ivañga'’a,ivaña';ivañga'’a,ivöni’i,ivaña';ivañga'’a,ivávi,i`a'm•a;i`am•a',i`a'm•a;i`am•a',ivávi,ivöni’i,ivöni’i,ivöni’i,ivöni’i,ivöni’i,ivávi,ivöni’i,i`a'm•a;i`am•a',"i`a'm•a,i`am•a'",ivaña';ivañga'’a,ina',ivi'a,ivi'a,i.ā'ts,ina',i.ā'ts,ivi'a,i.ā'ts,ivi'a,ivi'a,ina',ivi'a,i.ā'ts,iva`wa',iva`wa',ivi'a,ina',ina',iva`wa',ina',ina',i.ā'ts,ina',iva`wa',iva`wa',iva`wa',ivi'a,i.ā'ts
2,0.14779481356962276,1.3755937481282778,1.227798934558655,i`a'm•a;i`am•a',ivöni’i,ivaña';ivañga'’a,"i`a'm•a,i`am•a'",i`a'm•a;i`am•a',i`a'm•a;i`am•a',ivöni’i,ivöni’i,ivaña';ivañga'’a,ivávi,ivöni’i,ivöni’i,ivöni’i,ivöni’i,ivaña';ivañga'’a,ivávi,ivaña';ivañga'’a,ivaña';ivañga'’a,ivaña';ivañga'’a,ivöni’i,i`a'm•a;i`am•a',ivöni’i,ivávi,ivávi,ivaña';ivañga'’a,ivávi,i`a'm•a;i`am•a',ivöni’i,ivávi,ivávi,ivaña';ivañga'’a,ivaña';ivañga'’a,i`a'm•a;i`am•a',ivaña';ivañga'’a,i`a'm•a;i`am•a',"i`a'm•a,i`am•a'",ivávi,i`a'm•a;i`am•a',iva`wa',i.ā'ts,ina',iva`wa',ivi'a,i.ā'ts,iva`wa',iva`wa',ina',iva`wa',ivi'a,i.ā'ts,ivi'a,ina',iva`wa',ina',i.ā'ts,ina',ivi'a,i.ā'ts,ivi'a,ivi'a,ina',ina',ivi'a,ivi'a,ina',i.ā'ts
3,0.35255464822798765,1.3127618260781977,0.96020717785021,ivöni’i,"i`a'm•a,i`am•a'",ivöni’i,ivaña';ivañga'’a,ivaña';ivañga'’a,ivávi,ivaña';ivañga'’a,ivaña';ivañga'’a,i`a'm•a;i`am•a',ivávi,i`a'm•a;i`am•a',i`a'm•a;i`am•a',ivöni’i,ivávi,"i`a'm•a,i`am•a'",ivaña';ivañga'’a,ivávi,ivöni’i,ivaña';ivañga'’a,i`a'm•a;i`am•a',i`a'm•a;i`am•a',ivávi,ivávi,ivaña';ivañga'’a,ivöni’i,ivaña';ivañga'’a,ivaña';ivañga'’a,ivöni’i,ivávi,i`a'm•a;i`am•a',i`a'm•a;i`am•a',ivöni’i,ivaña';ivañga'’a,ivávi,ivöni’i,ivöni’i,i`a'm•a;i`am•a',ivöni’i,ina',iva`wa',ivi'a,i.ā'ts,ivi'a,ina',i.ā'ts,ivi'a,ivi'a,ivi'a,iva`wa',ina',i.ā'ts,ina',i.ā'ts,ivi'a,ivi'a,ina',iva`wa',ivi'a,iva`wa',ina',iva`wa',iva`wa',i.ā'ts,i.ā'ts,ina',ina'
4,0.15669466524939657,1.2459409634723733,1.0892462982229767,ivöni’i,i`a'm•a;i`am•a',ivaña';ivañga'’a,"i`a'm•a,i`am•a'",ivaña';ivañga'’a,ivaña';ivañga'’a,ivaña';ivañga'’a,"i`a'm•a,i`am•a'",ivávi,ivöni’i,ivöni’i,i`a'm•a;i`am•a',i`a'm•a;i`am•a',ivaña';ivañga'’a,ivávi,i`a'm•a;i`am•a',ivávi,i`a'm•a;i`am•a',ivöni’i,i`a'm•a;i`am•a',ivávi,ivöni’i,ivaña';ivañga'’a,ivávi,ivöni’i,ivaña';ivañga'’a,i`a'm•a;i`am•a',ivöni’i,ivöni’i,ivaña';ivañga'’a,ivaña';ivañga'’a,ivöni’i,ivávi,ivöni’i,i`a'm•a;i`am•a',ivaña';ivañga'’a,ivávi,ivávi,iva`wa',ina',ivi'a,ina',iva`wa',ina',i.ā'ts,ivi'a,i.ā'ts,ina',iva`wa',i.ā'ts,ina',ivi'a,i.ā'ts,i.ā'ts,iva`wa',ina',iva`wa',ina',ivi'a,ivi'a,i.ā'ts,ina',iva`wa',ivi'a,ivi'a,ivi'a
5,0.2290430838376415,1.225068716144288,0.9960256323066464,ivöni’i,ivaña';ivañga'’a,ivaña';ivañga'’a,i`a'm•a;i`am•a',i`a'm•a;i`am•a',ivöni’i,ivöni’i,ivöni’i,ivaña';ivañga'’a,"i`a'm•a,i`am•a'",ivaña';ivañga'’a,ivaña';ivañga'’a,ivöni’i,"i`a'm•a,i`am•a'",i`a'm•a;i`am•a',i`a'm•a;i`am•a',ivöni’i,ivávi,ivöni’i,ivávi,ivávi,i`a'm•a;i`am•a',ivöni’i,i`a'm•a;i`am•a',ivávi,ivávi,i`a'm•a;i`am•a',ivaña';ivañga'’a,ivöni’i,ivöni’i,ivávi,i`a'm•a;i`am•a',ivaña';ivañga'’a,ivaña';ivañga'’a,ivaña';ivañga'’a,ivaña';ivañga'’a,ivávi,ivávi,ivi'a,ina',i.ā'ts,iva`wa',i.ā'ts,ivi'a,ina',ivi'a,ina',iva`wa',i.ā'ts,iva`wa',ina',ivi'a,i.ā'ts,ivi'a,ivi'a,i.ā'ts,ina',i.ā'ts,ina',ivi'a,iva`wa',ivi'a,iva`wa',ina',iva`wa',ina'
6,0.2780366213139023,1.2885849830256018,1.0105483617116995,ivöni’i,ivaña';ivañga'’a,ivaña';ivañga'’a,ivöni’i,i`a'm•a;i`am•a',ivaña';ivañga'’a,ivöni’i,ivöni’i,i`a'm•a;i`am•a',ivávi,ivaña';ivañga'’a,ivöni’i,ivaña';ivañga'’a,ivávi,"i`a'm•a,i`am•a'",ivávi,ivöni’i,ivaña';ivañga'’a,i`a'm•a;i`am•a',ivávi,ivaña';ivañga'’a,ivaña';ivañga'’a,"i`a'm•a,i`am•a'",ivaña';ivañga'’a,ivaña';ivañga'’a,ivöni’i,ivávi,i`a'm•a;i`am•a',i`a'm•a;i`am•a',ivöni’i,ivávi,ivöni’i,i`a'm•a;i`am•a',ivávi,ivöni’i,ivávi,i`a'm•a;i`am•a',i`a'm•a;i`am•a',i.ā'ts,iva`wa',i.ā'ts,ivi'a,ivi'a,ina',i.ā'ts,iva`wa',iva`wa',iva`wa',ina',ina',ina',ivi'a,ivi'a,ina',i.ā'ts,ivi'a,ivi'a,iva`wa',i.ā'ts,ina',ivi'a,iva`wa',ivi'a,i.ā'ts,ina',ina'
7,0.1205542380348259,1.2803645995502553,1.1598103615154294,i`a'm•a;i`am•a',ivöni’i,i`a'm•a;i`am•a',ivöni’i,ivávi,ivaña';ivañga'’a,ivaña';ivañga'’a,i`a'm•a;i`am•a',ivávi,ivávi,ivávi,ivaña';ivañga'’a,ivaña';ivañga'’a,ivöni’i,"i`a'm•a,i`am•a'",i`a'm•a;i`am•a',ivaña';ivañga'’a,ivöni’i,i`a'm•a;i`am•a',ivöni’i,ivávi,ivöni’i,ivaña';ivañga'’a,ivaña';ivañga'’a,ivöni’i,ivöni’i,ivöni’i,i`a'm•a;i`am•a',i`a'm•a;i`am•a',ivávi,ivávi,i`a'm•a;i`am•a',ivöni’i,ivávi,ivaña';ivañga'’a,ivaña';ivañga'’a,"i`a'm•a,i`am•a'",ivaña';ivañga'’a,ivi'a,i.ā'ts,ivi'a,i.ā'ts,ina',ivi'a,ivi'a,ivi'a,ina',ina',iva`wa',iva`wa',i.ā'ts,ina',iva`wa',i.ā'ts,ina',ina',ivi'a,ivi'a,i.ā'ts,ina',i.ā'ts,iva`wa',iva`wa',ivi'a,ina',iva`wa'
8,0.19742579106767755,1.3202950738890495,1.122869282821372,ivávi,ivávi,ivávi,ivaña';ivañga'’a,i`a'm•a;i`am•a',i`a'm•a;i`am•a',ivaña';ivañga'’a,"i`a'm•a,i`am•a'",ivávi,ivaña';ivañga'’a,ivöni’i,i`a'm•a;i`am•a',ivöni’i,ivaña';ivañga'’a,ivávi,ivöni’i,ivöni’i,ivöni’i,ivöni’i,ivaña';ivañga'’a,i`a'm•a;i`am•a',ivaña';ivañga'’a,ivaña';ivañga'’a,ivöni’i,"i`a'm•a,i`am•a'",ivávi,ivávi,ivávi,ivaña';ivañga'’a,ivöni’i,i`a'm•a;i`am•a',i`a'm•a;i`am•a',ivöni’i,ivöni’i,i`a'm•a;i`am•a',ivaña';ivañga'’a,i`a'm•a;i`am•a',ivaña';ivañga'’a,ina',ivi'a,ivi'a,i.ā'ts,ivi'a,iva`wa',i.ā'ts,ina',ina',iva`wa',ina',iva`wa',i.ā'ts,ina',ina',iva`wa',ivi'a,i.ā'ts,iva`wa',ivi'a,iva`wa',ivi'a,ivi'a,i.ā'ts,i.ā'ts,ina',ivi'a,ina'
9,0.19843099508710038,1.347167535267832,1.1487365401807317,i`a'm•a;i`am•a',ivöni’i,ivaña';ivañga'’a,ivaña';ivañga'’a,ivaña';ivañga'’a,i`a'm•a;i`am•a',ivöni’i,ivaña';ivañga'’a,i`a'm•a;i`am•a',ivöni’i,ivávi,ivávi,ivaña';ivañga'’a,ivöni’i,i`a'm•a;i`am•a',ivöni’i,ivávi,ivaña';ivañga'’a,ivaña';ivañga'’a,ivávi,i`a'm•a;i`am•a',ivávi,ivávi,"i`a'm•a,i`am•a'",ivaña';ivañga'’a,ivávi,ivaña';ivañga'’a,ivöni’i,ivöni’i,ivöni’i,ivaña';ivañga'’a,"i`a'm•a,i`am•a'",ivávi,ivöni’i,i`a'm•a;i`am•a',i`a'm•a;i`am•a',i`a'm•a;i`am•a',ivöni’i,i.ā'ts,ivi'a,ivi'a,ivi'a,iva`wa',i.ā'ts,iva`wa',i.ā'ts,iva`wa',ina',ivi'a,ina',ivi'a,ivi'a,i.ā'ts,ina',ivi'a,i.ā'ts,iva`wa',ina',ina',ina',iva`wa',i.ā'ts,iva`wa',ina',ivi'a,ina'
