simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,"ba', mini","ba', bupu","pai, pung, mini","pai, pung, mini","pung, bupu","pung, bupu","ba', bupu",wini,moni',moni',wini,moni ba',wini,wini,wini,wini,tani',moni ba',moni pung,moni pung,tani',tani ba',tani pung,wini,wini,tani ba',tani pung
1,0.6829081047004717,1.3760552852604169,0.6931471805599452,"ba', bupu","pung, bupu","pai, pung, mini","ba', bupu","ba', mini","pai, pung, mini","pung, bupu",moni',tani ba',tani',moni ba',moni pung,tani pung,wini,wini,wini,moni pung,wini,moni',moni ba',tani pung,wini,wini,tani',wini,tani ba',wini
2,0.484866053111916,1.0789922078775833,0.5941261547656673,"ba', bupu","pai, pung, mini","ba', mini","ba', bupu","pung, bupu","pung, bupu","pai, pung, mini",wini,wini,tani ba',moni pung,wini,wini,tani pung,moni ba',tani',moni pung,wini,wini,moni ba',moni',tani ba',wini,tani pung,wini,moni',tani'
3,0.2868240015233605,1.376055285260417,1.0892312837370566,"pai, pung, mini","pai, pung, mini","ba', bupu","ba', mini","pung, bupu","pung, bupu","ba', bupu",wini,tani ba',moni',tani',moni pung,tani',tani ba',wini,moni pung,moni ba',wini,moni ba',moni',wini,wini,tani pung,wini,tani pung,wini,wini
4,0.2868240015233603,1.3760552852604169,1.0892312837370566,"ba', mini","pai, pung, mini","pung, bupu","pai, pung, mini","ba', bupu","pung, bupu","ba', bupu",moni ba',tani ba',tani',wini,tani pung,tani',wini,wini,moni pung,wini,wini,tani ba',tani pung,moni',moni pung,moni ba',moni',wini,wini,wini
5,0.14341200076168037,1.0346012329101812,0.8911892321485009,"pai, pung, mini","ba', bupu","pung, bupu","ba', bupu","ba', mini","pai, pung, mini","pung, bupu",moni pung,wini,wini,tani',tani pung,wini,moni pung,moni',tani pung,moni ba',tani ba',wini,wini,moni ba',wini,tani',wini,wini,tani ba',moni'
6,0.14341200076168037,1.0346012329101812,0.8911892321485009,"pai, pung, mini","pung, bupu","pai, pung, mini","ba', mini","ba', bupu","pung, bupu","ba', bupu",moni ba',tani pung,wini,tani pung,wini,moni pung,wini,wini,tani',wini,moni ba',wini,moni pung,moni',wini,moni',wini,tani ba',tani ba',tani'
7,0.14341200076168037,1.0346012329101812,0.8911892321485009,"ba', mini","pung, bupu","ba', bupu","pai, pung, mini","pung, bupu","ba', bupu","pai, pung, mini",moni',tani pung,tani pung,tani',wini,tani ba',wini,moni',wini,wini,wini,moni pung,moni ba',tani ba',moni pung,wini,moni ba',wini,tani',wini
8,0.4848660531119159,0.9799711820833054,0.4951051289713895,"pung, bupu","ba', mini","pai, pung, mini","ba', bupu","pung, bupu","pai, pung, mini","ba', bupu",moni ba',tani pung,wini,wini,wini,moni ba',tani',moni pung,wini,moni',tani pung,moni',tani ba',wini,wini,tani',moni pung,wini,tani ba',wini
9,0.4848660531119162,1.376055285260417,0.8911892321485009,"pai, pung, mini","pung, bupu","ba', bupu","pai, pung, mini","ba', bupu","ba', mini","pung, bupu",tani ba',wini,moni pung,moni',wini,moni pung,wini,tani pung,wini,tani',tani',wini,wini,moni',tani ba',wini,wini,moni ba',tani pung,moni ba'
