simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.06929295211458264,1.0777023635861172,1.0084094114715345,niggie,niggie,niggie,neef,neef,neef,niggie,niggie,niggie,neef,neef,broer,neef,neef,niggie,niggie,niggie,neef,niggie,niggie,suster,neef,neef,broer,neef,neef,suster,neef,broer,niggie,niggie,niggie,neef,niggie,niggie,niggie,neef,neef,neef,niggie,broer,neef,neef,broer,niggie,neef,suster,neef,neef,neef,niggie,niggie,neef,neef,niggie,neef,neef,neef,niggie,niggie,niggie,neef,niggie,niggie,niggie,suster,niggie,neef,neef,niggie,neef,niggie,neef,neef,neef,neef,neef,niggie,niggie,niggie,suster,suster,neef,niggie,niggie,niggie,neef,niggie,broer,niggie,tante,vader,oom,oom,tante,oom,oom,moeder,tante,moeder,tante,tante,tante,oom,oom,oom,oom,tante,tante,oom,tante,tante,oom,oom,tante,vader,tante,oom
1,0.041651786825326886,1.0253360576014834,0.9836842707761565,neef,niggie,neef,neef,suster,niggie,neef,neef,niggie,neef,neef,neef,neef,suster,neef,niggie,niggie,niggie,neef,niggie,niggie,niggie,suster,niggie,broer,suster,neef,niggie,neef,neef,niggie,neef,suster,niggie,neef,niggie,niggie,neef,neef,neef,neef,neef,neef,niggie,niggie,niggie,neef,niggie,broer,broer,neef,niggie,broer,neef,neef,neef,neef,niggie,neef,broer,suster,niggie,niggie,niggie,neef,neef,niggie,niggie,niggie,neef,neef,neef,niggie,niggie,neef,niggie,niggie,niggie,niggie,niggie,broer,niggie,neef,neef,neef,niggie,niggie,niggie,neef,niggie,tante,tante,tante,tante,tante,tante,oom,tante,oom,moeder,vader,oom,oom,oom,oom,tante,oom,oom,tante,oom,tante,tante,oom,moeder,oom,tante,oom,vader
2,0.08757848529680168,1.0745032984683227,0.986924813171521,niggie,niggie,neef,neef,neef,broer,niggie,neef,neef,neef,niggie,niggie,broer,niggie,niggie,niggie,niggie,niggie,neef,niggie,niggie,niggie,neef,neef,neef,niggie,neef,neef,neef,neef,niggie,niggie,niggie,niggie,broer,neef,neef,niggie,neef,neef,niggie,niggie,neef,niggie,neef,neef,suster,niggie,niggie,niggie,suster,neef,neef,niggie,niggie,neef,niggie,niggie,neef,niggie,neef,suster,niggie,niggie,neef,niggie,niggie,broer,suster,neef,neef,niggie,suster,neef,niggie,neef,niggie,neef,neef,broer,neef,niggie,neef,neef,niggie,neef,neef,broer,suster,neef,oom,tante,tante,moeder,tante,tante,oom,oom,oom,moeder,oom,vader,tante,tante,oom,oom,tante,oom,tante,tante,vader,tante,oom,tante,oom,oom,oom,tante
3,0.15790920139775277,1.1086167864773888,0.950707585079636,niggie,neef,neef,niggie,niggie,niggie,niggie,neef,niggie,niggie,niggie,neef,niggie,suster,niggie,niggie,neef,niggie,neef,neef,suster,neef,neef,suster,neef,neef,broer,neef,neef,suster,neef,neef,niggie,broer,neef,niggie,broer,niggie,broer,neef,neef,neef,neef,niggie,neef,neef,niggie,niggie,niggie,niggie,neef,niggie,neef,niggie,neef,neef,niggie,neef,niggie,niggie,neef,niggie,niggie,niggie,broer,neef,neef,neef,niggie,neef,neef,niggie,niggie,suster,niggie,neef,neef,niggie,niggie,niggie,niggie,neef,niggie,suster,neef,neef,neef,niggie,niggie,broer,vader,tante,oom,oom,vader,oom,tante,oom,tante,tante,tante,tante,tante,tante,oom,oom,oom,oom,tante,oom,moeder,tante,tante,oom,oom,tante,oom,moeder
4,0.0591296406898576,1.0723661881542688,1.0132365474644112,niggie,niggie,neef,neef,niggie,niggie,neef,niggie,neef,broer,neef,neef,niggie,niggie,niggie,niggie,suster,niggie,neef,niggie,broer,niggie,neef,niggie,neef,neef,niggie,niggie,niggie,niggie,niggie,broer,niggie,niggie,neef,niggie,niggie,neef,niggie,niggie,neef,neef,niggie,niggie,niggie,neef,neef,neef,neef,neef,broer,neef,neef,neef,neef,suster,niggie,niggie,neef,niggie,neef,neef,niggie,niggie,neef,neef,broer,niggie,suster,neef,suster,neef,suster,niggie,neef,broer,neef,niggie,niggie,niggie,niggie,neef,neef,neef,suster,neef,neef,neef,neef,niggie,oom,tante,tante,moeder,tante,tante,tante,moeder,oom,vader,oom,oom,oom,oom,tante,tante,oom,tante,oom,tante,tante,oom,oom,oom,oom,vader,tante,tante
5,0.056314964206963136,1.113771263348911,1.0574562991419478,neef,neef,niggie,neef,niggie,niggie,neef,broer,neef,niggie,niggie,niggie,niggie,suster,suster,suster,niggie,niggie,niggie,niggie,niggie,neef,neef,neef,niggie,neef,niggie,neef,niggie,neef,niggie,niggie,niggie,neef,neef,niggie,niggie,neef,neef,neef,niggie,neef,niggie,niggie,neef,neef,neef,neef,niggie,neef,niggie,neef,broer,niggie,neef,neef,suster,neef,broer,broer,niggie,niggie,neef,neef,suster,broer,neef,neef,broer,niggie,suster,niggie,niggie,neef,neef,niggie,neef,niggie,neef,neef,niggie,niggie,neef,niggie,neef,niggie,neef,neef,niggie,niggie,tante,oom,oom,moeder,moeder,oom,oom,tante,oom,oom,vader,tante,tante,tante,tante,tante,tante,oom,oom,oom,tante,tante,oom,oom,tante,tante,oom,vader
6,0.05942376646587588,1.0649259573717993,1.0055021909059234,neef,broer,neef,niggie,niggie,niggie,niggie,neef,neef,niggie,neef,neef,neef,neef,niggie,niggie,neef,suster,niggie,broer,niggie,niggie,neef,neef,neef,neef,broer,neef,niggie,niggie,suster,suster,suster,broer,niggie,neef,neef,niggie,niggie,neef,niggie,broer,niggie,niggie,niggie,niggie,niggie,niggie,neef,niggie,neef,broer,niggie,niggie,neef,niggie,neef,neef,suster,neef,neef,niggie,neef,neef,niggie,niggie,niggie,neef,niggie,suster,neef,neef,neef,neef,neef,niggie,neef,neef,niggie,neef,niggie,niggie,neef,niggie,neef,niggie,neef,niggie,neef,niggie,tante,tante,oom,moeder,oom,tante,tante,oom,oom,oom,tante,tante,oom,oom,tante,vader,tante,oom,tante,oom,oom,moeder,oom,oom,tante,tante,tante,vader
7,0.1381246930694625,1.0830645447483294,0.9449398516788668,broer,neef,neef,neef,neef,neef,neef,niggie,suster,broer,niggie,neef,niggie,broer,niggie,niggie,neef,broer,suster,broer,niggie,neef,neef,neef,niggie,neef,neef,neef,niggie,neef,niggie,neef,niggie,neef,neef,niggie,neef,niggie,niggie,niggie,neef,neef,neef,neef,niggie,suster,neef,niggie,niggie,niggie,neef,neef,suster,niggie,niggie,neef,neef,niggie,niggie,broer,niggie,niggie,neef,niggie,niggie,neef,neef,suster,niggie,niggie,niggie,neef,niggie,neef,suster,niggie,neef,niggie,niggie,niggie,niggie,niggie,neef,neef,niggie,neef,niggie,neef,niggie,neef,oom,tante,oom,oom,oom,oom,tante,moeder,tante,oom,tante,tante,tante,oom,oom,vader,moeder,tante,oom,oom,tante,tante,tante,oom,tante,vader,tante,oom
8,0.07644001836504155,1.0047289554187813,0.9282889370537397,niggie,neef,broer,niggie,niggie,neef,neef,niggie,niggie,suster,niggie,neef,suster,neef,niggie,suster,neef,niggie,niggie,niggie,niggie,niggie,broer,neef,neef,neef,niggie,neef,niggie,neef,broer,neef,neef,niggie,neef,neef,neef,niggie,niggie,niggie,niggie,niggie,niggie,neef,neef,neef,neef,niggie,niggie,neef,neef,neef,neef,niggie,niggie,neef,neef,niggie,broer,neef,neef,niggie,niggie,neef,niggie,neef,niggie,neef,niggie,suster,suster,niggie,niggie,neef,niggie,neef,neef,neef,broer,niggie,neef,niggie,niggie,neef,niggie,broer,neef,suster,neef,niggie,tante,oom,oom,tante,oom,oom,oom,tante,tante,oom,vader,oom,tante,oom,moeder,oom,oom,tante,tante,oom,tante,vader,tante,tante,oom,tante,moeder,tante
9,0.09233309108916476,1.0798307037434225,0.9874976126542577,niggie,broer,niggie,neef,niggie,niggie,neef,niggie,niggie,neef,neef,neef,neef,neef,broer,niggie,niggie,niggie,niggie,neef,suster,neef,neef,suster,neef,neef,niggie,broer,neef,neef,broer,neef,neef,niggie,niggie,neef,niggie,neef,niggie,neef,neef,neef,niggie,neef,niggie,neef,niggie,neef,niggie,neef,niggie,neef,suster,neef,neef,broer,neef,niggie,neef,neef,niggie,neef,niggie,niggie,niggie,suster,niggie,niggie,niggie,niggie,niggie,niggie,neef,niggie,neef,neef,neef,neef,broer,niggie,niggie,niggie,neef,niggie,niggie,suster,suster,niggie,neef,niggie,tante,tante,moeder,oom,tante,oom,tante,tante,oom,vader,vader,tante,tante,oom,oom,oom,oom,oom,tante,tante,oom,tante,tante,tante,oom,moeder,oom,oom
