simulation_number,mutual_information,entropy,conditional_entropy,mMByS,fFZeD,mMByD,mMBeD,mMZeD,mMZyD,mFZeD,mFZyD,meZ,feZ,myB,fyB,myZ,fyZ,fMBeS,mFBeS,fFBeS,fMByS,fMZyS,fMZeD,fMZyD,fMBeD,fMByD,fFZyD,fFZeS,fFZyS,mMBeS,mFZeS,mFZyS,mMZeS,mMZyS,fFByS,mFByS,fFByD,mFBeD,fFBeD,mFByD,meB,feB,fM,mF,fF,mFeZ,mFyZ,fFeZ,fFyZ,mFeB,mFyB,fFeB,fFyB,mMeB,mMyB,fMeB,fMyB,mMeZ,mMyZ,fMeZ,fMyZ
0,0.17441604792151594,0.6365141682948128,0.46209812037329684,n'-pee-hen-mum,n'-seeʼ-wes,nu-tä-kw-sǔsʼ-kw,neet-see-kesʼ or n'-tul-nǔmʼ,n'-seeʼ-wes,n'-peeʼ-hen-mum,nu'-täʼ-gus,nu-tä-kw-susʼ-kw,ne-tse-kes',n'-see-wes or n'-tul-nǔmʼ,n'-seeʼ-mees or n'-tul-numʼ,noo-seeʼ-mees,nu-muʼ-sees,n'-hayʼ-sees,nu-tä-kw'-susʼ-kw,ne-tse-kes',n'-tul-nǔʼ,n'-tä-gus,nu-tä-kw-susʼ-kw,neet-see-kesʼ or n'-tul-nǔmʼ,n'-täʼ-gus,nu-tä-kw-sǔsʼ-kw,nee-tse-kesʼ,noo-seeʼ-mees,neet-seeʼ-kes,neet-see-kesʼ,nu-tä-kw'-susʼ-ku,n'-hayʼ-sees,n'-tul-nǔmʼ,noo-seeʼ-mees,noo-seeʼ-mees,n'-tä-gusʼ,nu-muʼ-sees,nu-tul-nǔʼ,nee-tse-kesʼ,n'-pee-hen-mǔm,n'-tul-nǔmʼ,neet-see-kesʼ,n'-pee-hen-mǔm,nee-chäʼ-look,nee-chäʼ-look,"noo-kum, n'-kee-seesʼ",n'-keeʼ-sees,nʼ-keechʼ,n'-keeʼ-sees,nǔ-meʼ-tonks,n'-ku-lǎ-mookʼ-sis,n'-ku-lǎ-mookʼ-sis,"noo-kum, n'-kee-seesʼ",nǔ-meʼ-tonks,n'-keeʼ-sees,"noo-kum, n'-kee-seesʼ",nee-chäʼ-look,n'-ku-lǎ-mookʼ-sis,n'-keeʼ-sees,"noo-kum, n'-kee-seesʼ",nee-chäʼ-look,n'-ku-lǎ-mookʼ-sis
1,0.17441604792151594,0.6365141682948128,0.46209812037329684,neet-see-kesʼ,n'-pee-hen-mǔm,n'-tul-nǔmʼ,n'-hayʼ-sees,n'-tul-nǔmʼ,neet-see-kesʼ or n'-tul-nǔmʼ,nu-tä-kw-sǔsʼ-kw,nee-tse-kesʼ,nee-tse-kesʼ,n'-hayʼ-sees,nu-tä-kw-sǔsʼ-kw,nu-tä-kw-susʼ-kw,noo-seeʼ-mees,n'-peeʼ-hen-mum,n'-see-wes or n'-tul-nǔmʼ,nu-tä-kw-susʼ-kw,nu-tä-kw'-susʼ-ku,noo-seeʼ-mees,noo-seeʼ-mees,nu'-täʼ-gus,ne-tse-kes',neet-see-kesʼ,neet-seeʼ-kes,n'-täʼ-gus,n'-tul-nǔʼ,n'-seeʼ-wes,nu-tä-kw'-susʼ-kw,nu-tul-nǔʼ,n'-pee-hen-mǔm,n'-tä-gus,nu-muʼ-sees,ne-tse-kes',n'-seeʼ-wes,n'-pee-hen-mum,neet-see-kesʼ or n'-tul-nǔmʼ,nu-muʼ-sees,n'-tä-gusʼ,noo-seeʼ-mees,n'-seeʼ-mees or n'-tul-numʼ,"noo-kum, n'-kee-seesʼ","noo-kum, n'-kee-seesʼ",nǔ-meʼ-tonks,nee-chäʼ-look,nee-chäʼ-look,n'-keeʼ-sees,nee-chäʼ-look,n'-ku-lǎ-mookʼ-sis,n'-ku-lǎ-mookʼ-sis,nee-chäʼ-look,"noo-kum, n'-kee-seesʼ",n'-ku-lǎ-mookʼ-sis,nǔ-meʼ-tonks,n'-keeʼ-sees,n'-ku-lǎ-mookʼ-sis,n'-keeʼ-sees,"noo-kum, n'-kee-seesʼ",n'-keeʼ-sees,nʼ-keechʼ
2,0.17441604792151594,0.6365141682948128,0.46209812037329684,noo-seeʼ-mees,n'-pee-hen-mǔm,nu-tä-kw-sǔsʼ-kw,nu-tä-kw-sǔsʼ-kw,n'-seeʼ-wes,n'-seeʼ-mees or n'-tul-numʼ,neet-seeʼ-kes,n'-tul-nǔʼ,nu-tul-nǔʼ,ne-tse-kes',nu-muʼ-sees,nee-tse-kesʼ,neet-see-kesʼ,n'-hayʼ-sees,nu-muʼ-sees,n'-tä-gusʼ,n'-seeʼ-wes,nee-tse-kesʼ,n'-täʼ-gus,n'-pee-hen-mum,n'-pee-hen-mǔm,noo-seeʼ-mees,nu-tä-kw'-susʼ-ku,n'-hayʼ-sees,n'-peeʼ-hen-mum,n'-see-wes or n'-tul-nǔmʼ,n'-tul-nǔmʼ,n'-tul-nǔmʼ,nu-tä-kw'-susʼ-kw,noo-seeʼ-mees,nu'-täʼ-gus,nu-tä-kw-susʼ-kw,nu-tä-kw-susʼ-kw,n'-tä-gus,ne-tse-kes',neet-see-kesʼ or n'-tul-nǔmʼ,neet-see-kesʼ,neet-see-kesʼ or n'-tul-nǔmʼ,noo-seeʼ-mees,"noo-kum, n'-kee-seesʼ",nee-chäʼ-look,nee-chäʼ-look,nee-chäʼ-look,n'-keeʼ-sees,n'-ku-lǎ-mookʼ-sis,"noo-kum, n'-kee-seesʼ",nʼ-keechʼ,nǔ-meʼ-tonks,nee-chäʼ-look,"noo-kum, n'-kee-seesʼ",n'-ku-lǎ-mookʼ-sis,n'-keeʼ-sees,"noo-kum, n'-kee-seesʼ",nǔ-meʼ-tonks,n'-keeʼ-sees,n'-ku-lǎ-mookʼ-sis,n'-keeʼ-sees,n'-ku-lǎ-mookʼ-sis
3,0.31825708414740617,1.0986122886681096,0.7803552045207034,n'-seeʼ-wes,n'-tul-nǔmʼ,n'-pee-hen-mǔm,nu-muʼ-sees,nu-tä-kw-sǔsʼ-kw,n'-see-wes or n'-tul-nǔmʼ,noo-seeʼ-mees,n'-tä-gus,n'-tä-gusʼ,n'-hayʼ-sees,nee-tse-kesʼ,noo-seeʼ-mees,nu-tul-nǔʼ,nee-tse-kesʼ,neet-see-kesʼ or n'-tul-nǔmʼ,neet-see-kesʼ,n'-tul-nǔmʼ,n'-peeʼ-hen-mum,nu-tä-kw-susʼ-kw,n'-seeʼ-wes,n'-pee-hen-mǔm,neet-see-kesʼ,neet-see-kesʼ or n'-tul-nǔmʼ,ne-tse-kes',nu-muʼ-sees,nu-tä-kw'-susʼ-kw,neet-seeʼ-kes,n'-täʼ-gus,n'-pee-hen-mum,nu-tä-kw-susʼ-kw,n'-tul-nǔʼ,noo-seeʼ-mees,ne-tse-kes',nu-tä-kw'-susʼ-ku,n'-hayʼ-sees,n'-seeʼ-mees or n'-tul-numʼ,nu-tä-kw-sǔsʼ-kw,noo-seeʼ-mees,nu'-täʼ-gus,nee-chäʼ-look,n'-keeʼ-sees,n'-ku-lǎ-mookʼ-sis,n'-ku-lǎ-mookʼ-sis,n'-keeʼ-sees,"noo-kum, n'-kee-seesʼ",nʼ-keechʼ,"noo-kum, n'-kee-seesʼ",n'-keeʼ-sees,nǔ-meʼ-tonks,"noo-kum, n'-kee-seesʼ",n'-keeʼ-sees,nee-chäʼ-look,nee-chäʼ-look,"noo-kum, n'-kee-seesʼ",n'-ku-lǎ-mookʼ-sis,n'-ku-lǎ-mookʼ-sis,nee-chäʼ-look,nǔ-meʼ-tonks
4,0.47738562622110936,1.0986122886681096,0.6212266624470002,nu-tul-nǔʼ,n'-tä-gusʼ,nu'-täʼ-gus,neet-see-kesʼ or n'-tul-nǔmʼ,ne-tse-kes',neet-seeʼ-kes,n'-seeʼ-wes,nee-tse-kesʼ,n'-hayʼ-sees,noo-seeʼ-mees,n'-hayʼ-sees,n'-täʼ-gus,noo-seeʼ-mees,n'-pee-hen-mǔm,noo-seeʼ-mees,n'-pee-hen-mum,n'-see-wes or n'-tul-nǔmʼ,ne-tse-kes',n'-seeʼ-mees or n'-tul-numʼ,nu-tä-kw-susʼ-kw,nu-muʼ-sees,n'-tul-nǔʼ,neet-see-kesʼ or n'-tul-nǔmʼ,n'-tul-nǔmʼ,n'-pee-hen-mǔm,nu-tä-kw-sǔsʼ-kw,neet-see-kesʼ,noo-seeʼ-mees,nu-muʼ-sees,n'-tä-gus,n'-tul-nǔmʼ,nee-tse-kesʼ,n'-seeʼ-wes,nu-tä-kw'-susʼ-ku,neet-see-kesʼ,nu-tä-kw-sǔsʼ-kw,nu-tä-kw-susʼ-kw,n'-peeʼ-hen-mum,nu-tä-kw'-susʼ-kw,"noo-kum, n'-kee-seesʼ",n'-ku-lǎ-mookʼ-sis,nee-chäʼ-look,"noo-kum, n'-kee-seesʼ",n'-keeʼ-sees,n'-ku-lǎ-mookʼ-sis,n'-ku-lǎ-mookʼ-sis,nee-chäʼ-look,n'-keeʼ-sees,"noo-kum, n'-kee-seesʼ","noo-kum, n'-kee-seesʼ",nǔ-meʼ-tonks,nee-chäʼ-look,n'-ku-lǎ-mookʼ-sis,nee-chäʼ-look,n'-keeʼ-sees,nǔ-meʼ-tonks,n'-keeʼ-sees,nʼ-keechʼ
5,0.6365141682948128,1.0986122886681096,0.46209812037329684,n'-peeʼ-hen-mum,nu-muʼ-sees,n'-hayʼ-sees,n'-hayʼ-sees,neet-see-kesʼ,n'-tul-nǔʼ,n'-tul-nǔmʼ,n'-seeʼ-mees or n'-tul-numʼ,nee-tse-kesʼ,neet-see-kesʼ,n'-seeʼ-wes,nu-tul-nǔʼ,nu-tä-kw-susʼ-kw,noo-seeʼ-mees,n'-see-wes or n'-tul-nǔmʼ,neet-see-kesʼ or n'-tul-nǔmʼ,nu-tä-kw-sǔsʼ-kw,n'-pee-hen-mum,nu-tä-kw'-susʼ-kw,nee-tse-kesʼ,nu-muʼ-sees,n'-pee-hen-mǔm,n'-tä-gus,neet-seeʼ-kes,n'-täʼ-gus,nu-tä-kw-susʼ-kw,noo-seeʼ-mees,nu-tä-kw-sǔsʼ-kw,n'-seeʼ-wes,neet-see-kesʼ or n'-tul-nǔmʼ,ne-tse-kes',nu-tä-kw'-susʼ-ku,ne-tse-kes',nu'-täʼ-gus,noo-seeʼ-mees,n'-tul-nǔmʼ,noo-seeʼ-mees,n'-tä-gusʼ,n'-pee-hen-mǔm,"noo-kum, n'-kee-seesʼ",n'-keeʼ-sees,nǔ-meʼ-tonks,nee-chäʼ-look,n'-keeʼ-sees,nǔ-meʼ-tonks,n'-ku-lǎ-mookʼ-sis,nee-chäʼ-look,"noo-kum, n'-kee-seesʼ",n'-ku-lǎ-mookʼ-sis,nʼ-keechʼ,n'-ku-lǎ-mookʼ-sis,nee-chäʼ-look,n'-keeʼ-sees,nee-chäʼ-look,n'-ku-lǎ-mookʼ-sis,"noo-kum, n'-kee-seesʼ",n'-keeʼ-sees,"noo-kum, n'-kee-seesʼ"
6,0.6365141682948128,1.0986122886681096,0.46209812037329684,n'-peeʼ-hen-mum,neet-see-kesʼ or n'-tul-nǔmʼ,n'-pee-hen-mǔm,neet-see-kesʼ,n'-tul-nǔmʼ,nu-tä-kw-susʼ-kw,noo-seeʼ-mees,nu-muʼ-sees,ne-tse-kes',nu-tul-nǔʼ,n'-täʼ-gus,n'-seeʼ-wes,n'-tul-nǔʼ,n'-pee-hen-mum,noo-seeʼ-mees,nu-muʼ-sees,nu-tä-kw-sǔsʼ-kw,n'-seeʼ-mees or n'-tul-numʼ,n'-hayʼ-sees,nu-tä-kw'-susʼ-kw,neet-see-kesʼ,n'-hayʼ-sees,n'-tä-gusʼ,n'-pee-hen-mǔm,n'-tul-nǔmʼ,nee-tse-kesʼ,nu-tä-kw-sǔsʼ-kw,n'-see-wes or n'-tul-nǔmʼ,nee-tse-kesʼ,n'-tä-gus,ne-tse-kes',neet-seeʼ-kes,nu-tä-kw-susʼ-kw,n'-seeʼ-wes,noo-seeʼ-mees,nu'-täʼ-gus,noo-seeʼ-mees,nu-tä-kw'-susʼ-ku,neet-see-kesʼ or n'-tul-nǔmʼ,n'-ku-lǎ-mookʼ-sis,"noo-kum, n'-kee-seesʼ",n'-keeʼ-sees,nʼ-keechʼ,nǔ-meʼ-tonks,n'-keeʼ-sees,"noo-kum, n'-kee-seesʼ",n'-keeʼ-sees,nee-chäʼ-look,nee-chäʼ-look,nee-chäʼ-look,nee-chäʼ-look,n'-ku-lǎ-mookʼ-sis,"noo-kum, n'-kee-seesʼ",n'-keeʼ-sees,n'-ku-lǎ-mookʼ-sis,n'-ku-lǎ-mookʼ-sis,"noo-kum, n'-kee-seesʼ",nǔ-meʼ-tonks
7,0.17441604792151594,0.6365141682948128,0.46209812037329684,n'-hayʼ-sees,n'-peeʼ-hen-mum,ne-tse-kes',nu'-täʼ-gus,neet-seeʼ-kes,neet-see-kesʼ or n'-tul-nǔmʼ,n'-tä-gus,noo-seeʼ-mees,noo-seeʼ-mees,nu-tä-kw'-susʼ-ku,neet-see-kesʼ,n'-hayʼ-sees,nu-muʼ-sees,neet-see-kesʼ or n'-tul-nǔmʼ,noo-seeʼ-mees,n'-tul-nǔmʼ,n'-seeʼ-wes,n'-tä-gusʼ,nee-tse-kesʼ,n'-see-wes or n'-tul-nǔmʼ,nu-tä-kw-sǔsʼ-kw,n'-seeʼ-wes,n'-tul-nǔʼ,nu-muʼ-sees,n'-pee-hen-mǔm,neet-see-kesʼ,n'-pee-hen-mum,n'-pee-hen-mǔm,noo-seeʼ-mees,n'-seeʼ-mees or n'-tul-numʼ,ne-tse-kes',nu-tä-kw'-susʼ-kw,n'-tul-nǔmʼ,nu-tä-kw-sǔsʼ-kw,nu-tul-nǔʼ,nu-tä-kw-susʼ-kw,nee-tse-kesʼ,n'-täʼ-gus,nu-tä-kw-susʼ-kw,n'-ku-lǎ-mookʼ-sis,"noo-kum, n'-kee-seesʼ","noo-kum, n'-kee-seesʼ",n'-ku-lǎ-mookʼ-sis,nee-chäʼ-look,nʼ-keechʼ,nee-chäʼ-look,n'-keeʼ-sees,nǔ-meʼ-tonks,"noo-kum, n'-kee-seesʼ",n'-keeʼ-sees,"noo-kum, n'-kee-seesʼ",n'-keeʼ-sees,nee-chäʼ-look,nee-chäʼ-look,n'-keeʼ-sees,n'-ku-lǎ-mookʼ-sis,n'-ku-lǎ-mookʼ-sis,nǔ-meʼ-tonks
8,0.6365141682948128,1.0986122886681096,0.46209812037329684,nu-tä-kw-susʼ-kw,neet-see-kesʼ,n'-peeʼ-hen-mum,n'-hayʼ-sees,neet-see-kesʼ or n'-tul-nǔmʼ,n'-pee-hen-mǔm,nu-tul-nǔʼ,neet-see-kesʼ or n'-tul-nǔmʼ,n'-täʼ-gus,neet-see-kesʼ,n'-pee-hen-mǔm,n'-tul-nǔʼ,n'-see-wes or n'-tul-nǔmʼ,nee-tse-kesʼ,n'-tul-nǔmʼ,ne-tse-kes',neet-seeʼ-kes,ne-tse-kes',n'-hayʼ-sees,nu-muʼ-sees,n'-seeʼ-mees or n'-tul-numʼ,nu-tä-kw-sǔsʼ-kw,nu-muʼ-sees,n'-pee-hen-mum,n'-tä-gusʼ,n'-seeʼ-wes,noo-seeʼ-mees,nu-tä-kw-sǔsʼ-kw,noo-seeʼ-mees,nu-tä-kw'-susʼ-kw,n'-seeʼ-wes,n'-tä-gus,noo-seeʼ-mees,n'-tul-nǔmʼ,nee-tse-kesʼ,nu'-täʼ-gus,nu-tä-kw-susʼ-kw,noo-seeʼ-mees,nu-tä-kw'-susʼ-ku,nee-chäʼ-look,n'-keeʼ-sees,"noo-kum, n'-kee-seesʼ",n'-ku-lǎ-mookʼ-sis,"noo-kum, n'-kee-seesʼ",n'-ku-lǎ-mookʼ-sis,"noo-kum, n'-kee-seesʼ",n'-keeʼ-sees,nʼ-keechʼ,n'-keeʼ-sees,nee-chäʼ-look,n'-keeʼ-sees,nǔ-meʼ-tonks,"noo-kum, n'-kee-seesʼ",n'-ku-lǎ-mookʼ-sis,nǔ-meʼ-tonks,nee-chäʼ-look,n'-ku-lǎ-mookʼ-sis,nee-chäʼ-look
9,0.6365141682948128,1.0986122886681096,0.46209812037329684,ne-tse-kes',nee-tse-kesʼ,n'-tul-nǔʼ,nu-tä-kw-susʼ-kw,n'-hayʼ-sees,noo-seeʼ-mees,n'-täʼ-gus,n'-tul-nǔmʼ,nu-tä-kw-sǔsʼ-kw,n'-seeʼ-mees or n'-tul-numʼ,neet-see-kesʼ,n'-seeʼ-wes,nu-muʼ-sees,n'-see-wes or n'-tul-nǔmʼ,n'-hayʼ-sees,ne-tse-kes',n'-pee-hen-mum,n'-pee-hen-mǔm,noo-seeʼ-mees,neet-seeʼ-kes,nu-tä-kw-sǔsʼ-kw,n'-pee-hen-mǔm,n'-tä-gus,n'-seeʼ-wes,neet-see-kesʼ or n'-tul-nǔmʼ,nu-tä-kw'-susʼ-ku,neet-see-kesʼ or n'-tul-nǔmʼ,nu'-täʼ-gus,noo-seeʼ-mees,noo-seeʼ-mees,nu-muʼ-sees,nu-tä-kw-susʼ-kw,nee-tse-kesʼ,nu-tä-kw'-susʼ-kw,n'-tä-gusʼ,neet-see-kesʼ,n'-tul-nǔmʼ,nu-tul-nǔʼ,n'-peeʼ-hen-mum,n'-keeʼ-sees,"noo-kum, n'-kee-seesʼ",nee-chäʼ-look,nǔ-meʼ-tonks,n'-keeʼ-sees,n'-ku-lǎ-mookʼ-sis,"noo-kum, n'-kee-seesʼ",nee-chäʼ-look,n'-ku-lǎ-mookʼ-sis,"noo-kum, n'-kee-seesʼ",n'-ku-lǎ-mookʼ-sis,nʼ-keechʼ,nǔ-meʼ-tonks,n'-keeʼ-sees,"noo-kum, n'-kee-seesʼ",n'-ku-lǎ-mookʼ-sis,nee-chäʼ-look,n'-keeʼ-sees,nee-chäʼ-look
