simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mB,mMZD,mMeZD,mMyZD,mMZeD,mMZyD,fMZD,fMeZD,fMyZD,fMZeD,fMZyD,mFBD,mFBS,mMZS,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,fFBD,fFBS,fMZS,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fFBeS,fFByS,fFBeD,fFByD,fMZyS,mF,mM,mFZ,mFyB,mMyZ,mFeZ,mFyZ,fF,fM,fFZ,fFyB,fMyZ,fFeZ,fFyZ,mMB,mFeB,mMeZ,mMeB,mMyB,fMB,fFeB,fMeZ,fMeB,fMyB,mFB,mMZ,fFB,fMZ
0,0.1708932952048774,2.059890942811645,1.8889976476067676,aoa,aoa,ayane,ayane,ayane,aoa,ayane,aoa,aoa,ayane,kaka,aoa,ayane,nsae,aoa,aoa,aoa,ayane,ayane,ayane,aoa,ayane,aoa,ayane,ayane,humeni,aoa,ayane,mɔtɔ,ayane,aoa,ayane,aoa,aoa,aoa,aoa,nsae,ayane,ayane,ayane,aoa,aoa,aoa,ayane,ayane,ayane,aoa,alowani,ayane,aoa,ayane,ayane,aoa,aoa,aoa,aoa,ayane,aoa,aoa,ayane,aoa,aoa,aoa,mɔtɔ,ayane,ayane,aoa,aoa,aoa,ayane,ayane,ayane,kaka,alowani,ayane,aoa,ayane,ayane,mɔtɔ,aoa,ayane,mɔtɔ,ayane,ayane,humeni,ayane,aoa,aoa,ayane,ayane,ayi,koa,koa,phomi,koa,phuméape,phomi,noko,koa,motwape,koa,koa,noko,motwadi,abhe,motwape,noko,noko,noko,noko,phuméadi,koa,koa,ayi,abhe,phuméadi,motwadi,phuméape
1,0.3291149228314323,1.9806433179294727,1.6515283950980404,aoa,aoa,ayane,ayane,aoa,ayane,ayane,aoa,aoa,ayane,ayane,nsae,ayane,aoa,ayane,alowani,aoa,kaka,ayane,aoa,ayane,aoa,ayane,aoa,aoa,aoa,aoa,ayane,ayane,ayane,ayane,aoa,ayane,ayane,aoa,aoa,aoa,ayane,mɔtɔ,ayane,ayane,ayane,kaka,ayane,ayane,humeni,ayane,mɔtɔ,ayane,ayane,nsae,ayane,ayane,aoa,aoa,ayane,aoa,mɔtɔ,ayane,aoa,ayane,alowani,aoa,aoa,aoa,aoa,aoa,aoa,ayane,aoa,aoa,humeni,ayane,aoa,aoa,ayane,aoa,ayane,aoa,ayane,aoa,aoa,ayane,ayane,ayane,aoa,aoa,aoa,ayane,mɔtɔ,noko,koa,koa,koa,koa,noko,koa,noko,koa,koa,ayi,phomi,noko,ayi,motwadi,phuméape,phomi,abhe,koa,abhe,noko,motwape,noko,phuméape,phuméadi,phuméadi,motwadi,motwape
2,0.23737633056926777,2.0515921314984094,1.8142158009291416,ayane,aoa,aoa,ayane,ayane,mɔtɔ,ayane,ayane,aoa,ayane,ayane,aoa,ayane,aoa,nsae,humeni,ayane,aoa,ayane,ayane,aoa,ayane,ayane,ayane,ayane,nsae,aoa,mɔtɔ,aoa,aoa,ayane,aoa,ayane,aoa,aoa,aoa,alowani,ayane,kaka,ayane,ayane,aoa,ayane,aoa,aoa,aoa,ayane,ayane,mɔtɔ,aoa,ayane,aoa,ayane,ayane,aoa,aoa,aoa,humeni,aoa,ayane,aoa,kaka,aoa,aoa,mɔtɔ,ayane,ayane,ayane,alowani,ayane,ayane,ayane,ayane,ayane,aoa,aoa,aoa,aoa,aoa,aoa,ayane,ayane,aoa,ayane,aoa,aoa,ayane,ayane,aoa,aoa,koa,noko,abhe,abhe,noko,phomi,noko,phomi,noko,ayi,koa,motwape,noko,koa,phuméadi,koa,koa,phuméadi,koa,motwape,koa,phuméape,motwadi,ayi,phuméape,noko,koa,motwadi
3,0.3203038799767641,1.9944464557696098,1.6741425757928456,ayane,aoa,aoa,alowani,aoa,aoa,ayane,aoa,ayane,aoa,ayane,aoa,ayane,kaka,ayane,aoa,aoa,aoa,alowani,ayane,aoa,nsae,aoa,ayane,aoa,aoa,mɔtɔ,humeni,ayane,aoa,aoa,ayane,nsae,ayane,ayane,aoa,ayane,aoa,aoa,aoa,ayane,kaka,ayane,ayane,aoa,ayane,ayane,aoa,ayane,aoa,aoa,aoa,ayane,aoa,mɔtɔ,ayane,aoa,aoa,ayane,aoa,ayane,ayane,ayane,ayane,ayane,humeni,mɔtɔ,aoa,aoa,ayane,ayane,aoa,ayane,ayane,aoa,ayane,ayane,ayane,mɔtɔ,aoa,aoa,ayane,aoa,ayane,ayane,aoa,aoa,ayane,ayane,ayane,koa,koa,noko,koa,koa,motwape,motwadi,noko,noko,phomi,koa,noko,phuméape,ayi,abhe,phuméadi,abhe,phuméape,motwadi,ayi,noko,koa,phuméadi,koa,phomi,motwape,noko,koa
4,0.21921212167471227,1.9945460220762428,1.7753339004015305,aoa,aoa,aoa,aoa,ayane,aoa,ayane,ayane,ayane,ayane,aoa,ayane,ayane,ayane,aoa,ayane,ayane,ayane,humeni,ayane,ayane,ayane,aoa,aoa,ayane,mɔtɔ,ayane,ayane,ayane,aoa,aoa,aoa,aoa,ayane,aoa,aoa,mɔtɔ,ayane,ayane,aoa,ayane,ayane,aoa,ayane,ayane,aoa,kaka,ayane,humeni,ayane,ayane,alowani,aoa,ayane,ayane,ayane,aoa,aoa,aoa,aoa,aoa,aoa,mɔtɔ,aoa,nsae,aoa,aoa,ayane,nsae,aoa,ayane,mɔtɔ,aoa,ayane,aoa,ayane,alowani,kaka,aoa,aoa,ayane,ayane,aoa,aoa,aoa,aoa,aoa,ayane,ayane,ayane,koa,koa,phomi,phuméadi,motwape,koa,koa,motwadi,noko,abhe,noko,phomi,koa,ayi,phuméape,noko,koa,noko,noko,koa,phuméadi,phuméape,abhe,motwape,koa,ayi,noko,motwadi
5,0.280709579853881,2.0853050698258486,1.8045954899719676,aoa,ayane,ayane,aoa,ayane,ayane,nsae,ayane,aoa,aoa,ayane,mɔtɔ,aoa,ayane,mɔtɔ,kaka,ayane,mɔtɔ,aoa,aoa,ayane,ayane,ayane,ayane,ayane,aoa,aoa,aoa,ayane,aoa,ayane,aoa,aoa,aoa,ayane,aoa,ayane,aoa,aoa,humeni,ayane,aoa,ayane,ayane,alowani,aoa,aoa,ayane,ayane,aoa,aoa,alowani,ayane,ayane,ayane,ayane,aoa,aoa,ayane,ayane,ayane,nsae,aoa,ayane,ayane,ayane,aoa,aoa,ayane,aoa,aoa,ayane,aoa,aoa,ayane,aoa,aoa,ayane,aoa,kaka,mɔtɔ,aoa,aoa,humeni,ayane,ayane,ayane,aoa,aoa,ayane,abhe,phuméape,phuméape,koa,ayi,phomi,noko,noko,koa,abhe,koa,koa,noko,koa,phuméadi,motwape,phuméadi,noko,noko,koa,phomi,koa,motwadi,koa,motwape,noko,motwadi,ayi
6,0.22266137688999654,1.8710292887693845,1.648367911879388,ayane,aoa,aoa,ayane,ayane,aoa,ayane,aoa,ayane,aoa,ayane,aoa,ayane,aoa,aoa,ayane,mɔtɔ,ayane,aoa,aoa,mɔtɔ,alowani,ayane,ayane,ayane,ayane,ayane,ayane,aoa,humeni,aoa,aoa,mɔtɔ,aoa,ayane,aoa,nsae,ayane,kaka,aoa,aoa,ayane,aoa,alowani,ayane,ayane,kaka,aoa,mɔtɔ,ayane,ayane,ayane,aoa,aoa,aoa,aoa,aoa,aoa,ayane,ayane,aoa,aoa,aoa,ayane,ayane,ayane,ayane,ayane,ayane,nsae,aoa,humeni,ayane,ayane,aoa,ayane,ayane,aoa,ayane,aoa,aoa,aoa,aoa,aoa,ayane,aoa,ayane,aoa,ayane,ayane,koa,noko,phomi,noko,koa,ayi,koa,phomi,koa,koa,phuméape,motwadi,ayi,abhe,noko,phuméape,koa,koa,motwadi,noko,abhe,phuméadi,motwape,motwape,koa,phuméadi,noko,noko
7,0.20708739139004995,1.9436240648634016,1.7365366734733516,aoa,aoa,nsae,aoa,ayane,aoa,aoa,aoa,aoa,ayane,aoa,ayane,aoa,ayane,kaka,ayane,ayane,ayane,ayane,mɔtɔ,ayane,aoa,aoa,aoa,ayane,aoa,ayane,aoa,ayane,aoa,aoa,ayane,ayane,ayane,ayane,ayane,aoa,ayane,aoa,ayane,alowani,aoa,ayane,aoa,ayane,aoa,ayane,kaka,ayane,ayane,ayane,alowani,ayane,ayane,ayane,ayane,aoa,aoa,aoa,aoa,humeni,ayane,aoa,ayane,ayane,aoa,aoa,ayane,ayane,aoa,aoa,nsae,mɔtɔ,humeni,aoa,ayane,aoa,aoa,ayane,aoa,ayane,ayane,aoa,ayane,aoa,mɔtɔ,aoa,mɔtɔ,ayane,aoa,noko,phuméadi,koa,abhe,noko,koa,noko,koa,koa,ayi,motwadi,noko,motwadi,motwape,phuméape,noko,abhe,phuméape,noko,koa,motwape,phuméadi,phomi,koa,koa,ayi,phomi,koa
8,0.27968917600661625,1.9959217847159887,1.7162326087093724,aoa,ayane,aoa,ayane,aoa,alowani,ayane,ayane,aoa,aoa,ayane,humeni,aoa,aoa,ayane,ayane,ayane,aoa,aoa,aoa,ayane,ayane,nsae,ayane,aoa,aoa,ayane,ayane,aoa,aoa,ayane,ayane,kaka,aoa,aoa,aoa,aoa,mɔtɔ,aoa,aoa,alowani,ayane,mɔtɔ,ayane,ayane,mɔtɔ,ayane,humeni,ayane,aoa,ayane,ayane,ayane,aoa,ayane,ayane,ayane,aoa,aoa,ayane,aoa,aoa,ayane,ayane,ayane,aoa,ayane,ayane,kaka,aoa,aoa,aoa,ayane,aoa,aoa,ayane,aoa,nsae,aoa,ayane,aoa,aoa,ayane,ayane,aoa,mɔtɔ,ayane,ayane,aoa,ayane,abhe,koa,ayi,motwadi,phuméadi,koa,koa,koa,koa,phomi,motwadi,motwape,koa,koa,motwape,noko,noko,noko,noko,koa,phuméape,abhe,phomi,phuméadi,ayi,phuméape,noko,noko
9,0.22231219980949546,2.072864965238691,1.8505527654291953,aoa,ayane,aoa,ayane,ayane,aoa,ayane,ayane,ayane,ayane,aoa,aoa,ayane,aoa,ayane,nsae,ayane,ayane,aoa,aoa,aoa,alowani,ayane,aoa,aoa,ayane,ayane,aoa,ayane,ayane,aoa,aoa,kaka,aoa,ayane,ayane,aoa,aoa,aoa,nsae,kaka,aoa,ayane,aoa,ayane,ayane,aoa,aoa,ayane,ayane,ayane,ayane,aoa,ayane,ayane,ayane,aoa,aoa,ayane,aoa,aoa,alowani,aoa,ayane,ayane,aoa,aoa,ayane,ayane,mɔtɔ,aoa,ayane,ayane,ayane,aoa,humeni,aoa,ayane,mɔtɔ,mɔtɔ,ayane,ayane,aoa,ayane,humeni,aoa,aoa,aoa,aoa,mɔtɔ,phuméadi,abhe,phuméadi,noko,motwape,koa,ayi,phuméape,koa,noko,noko,phuméape,noko,motwadi,motwadi,koa,koa,noko,koa,ayi,phomi,koa,koa,abhe,koa,noko,motwape,phomi
