simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,meB,meZ,fB,fZ,fyB,fyZ,feB,feZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.575418909338239,1.072043343575071,0.4966244342368319,wo'xi-ʔ,wo'xi-ʔ,wo'xi-ʔ,wo'xi-ʔ,wo'xi-t ka'ki-tk,wo'xi-ʔ-ka'ki-s,wo'xi-tk,wo'xi-tk,wo'xi-ʔ-ka'ki-s,wo'xi-tk,wo'xi-t ka'ki-tk,yaya,papa,xein'dʸek,papa,yaya,nonoʔ,papa,papa,c̷e'dʸe,xein'dʸek,yaya,yaya,papa,xein'dʸek,c̷e'dʸe,c̷e'dʸe,c̷e'dʸe,xein'dʸek,yaya,xein'dʸek,ata,xein'dʸek,yaya,c̷e'dʸe,nonoʔ,ata,papa,c̷e'dʸe
1,0.12585242632377525,1.036627968858607,0.9107755425348318,wo'xi-ʔ,wo'xi-tk,wo'xi-ʔ-ka'ki-s,wo'xi-ʔ,wo'xi-ʔ,wo'xi-tk,wo'xi-t ka'ki-tk,wo'xi-ʔ,wo'xi-tk,wo'xi-ʔ-ka'ki-s,wo'xi-t ka'ki-tk,ata,yaya,yaya,yaya,ata,yaya,papa,papa,xein'dʸek,c̷e'dʸe,c̷e'dʸe,xein'dʸek,nonoʔ,papa,yaya,c̷e'dʸe,xein'dʸek,yaya,xein'dʸek,xein'dʸek,papa,xein'dʸek,papa,nonoʔ,c̷e'dʸe,papa,c̷e'dʸe,c̷e'dʸe
2,0.21467178565881817,1.072043343575071,0.8573715579162527,wo'xi-ʔ-ka'ki-s,wo'xi-ʔ,wo'xi-ʔ-ka'ki-s,wo'xi-ʔ,wo'xi-tk,wo'xi-t ka'ki-tk,wo'xi-t ka'ki-tk,wo'xi-ʔ,wo'xi-tk,wo'xi-ʔ,wo'xi-tk,yaya,xein'dʸek,papa,xein'dʸek,yaya,c̷e'dʸe,papa,yaya,nonoʔ,ata,yaya,c̷e'dʸe,c̷e'dʸe,papa,c̷e'dʸe,c̷e'dʸe,xein'dʸek,yaya,nonoʔ,papa,yaya,xein'dʸek,papa,xein'dʸek,papa,xein'dʸek,c̷e'dʸe,ata
3,0.10697475556873082,1.0366279688586069,0.929653213289876,wo'xi-ʔ,wo'xi-ʔ,wo'xi-tk,wo'xi-ʔ,wo'xi-t ka'ki-tk,wo'xi-ʔ-ka'ki-s,wo'xi-tk,wo'xi-ʔ,wo'xi-t ka'ki-tk,wo'xi-tk,wo'xi-ʔ-ka'ki-s,c̷e'dʸe,yaya,papa,yaya,papa,c̷e'dʸe,xein'dʸek,c̷e'dʸe,xein'dʸek,yaya,c̷e'dʸe,xein'dʸek,papa,xein'dʸek,papa,c̷e'dʸe,ata,nonoʔ,xein'dʸek,xein'dʸek,yaya,papa,yaya,papa,ata,yaya,nonoʔ,c̷e'dʸe
4,0.20921481311553547,0.9950269901795212,0.7858121770639858,wo'xi-ʔ,wo'xi-tk,wo'xi-ʔ-ka'ki-s,wo'xi-ʔ,wo'xi-ʔ-ka'ki-s,wo'xi-t ka'ki-tk,wo'xi-t ka'ki-tk,wo'xi-ʔ,wo'xi-tk,wo'xi-tk,wo'xi-ʔ,xein'dʸek,xein'dʸek,xein'dʸek,ata,papa,papa,yaya,xein'dʸek,papa,nonoʔ,c̷e'dʸe,c̷e'dʸe,c̷e'dʸe,ata,c̷e'dʸe,papa,xein'dʸek,yaya,yaya,nonoʔ,yaya,xein'dʸek,yaya,c̷e'dʸe,c̷e'dʸe,papa,papa,yaya
5,0.07790541424847841,1.036627968858607,0.9587225546101287,wo'xi-ʔ,wo'xi-t ka'ki-tk,wo'xi-ʔ-ka'ki-s,wo'xi-ʔ,wo'xi-tk,wo'xi-tk,wo'xi-tk,wo'xi-ʔ,wo'xi-t ka'ki-tk,wo'xi-ʔ,wo'xi-ʔ-ka'ki-s,papa,c̷e'dʸe,papa,yaya,papa,c̷e'dʸe,papa,xein'dʸek,xein'dʸek,nonoʔ,xein'dʸek,ata,yaya,yaya,xein'dʸek,papa,nonoʔ,xein'dʸek,c̷e'dʸe,ata,yaya,c̷e'dʸe,yaya,c̷e'dʸe,c̷e'dʸe,papa,yaya,xein'dʸek
6,0.047947012075296835,0.6931471805599453,0.6452001684846485,wo'xi-t ka'ki-tk,wo'xi-ʔ,wo'xi-ʔ,wo'xi-tk,wo'xi-ʔ,wo'xi-tk,wo'xi-ʔ-ka'ki-s,wo'xi-ʔ-ka'ki-s,wo'xi-tk,wo'xi-ʔ,wo'xi-t ka'ki-tk,xein'dʸek,papa,xein'dʸek,yaya,papa,xein'dʸek,papa,yaya,c̷e'dʸe,c̷e'dʸe,xein'dʸek,yaya,nonoʔ,yaya,papa,xein'dʸek,ata,c̷e'dʸe,yaya,c̷e'dʸe,papa,papa,yaya,nonoʔ,xein'dʸek,c̷e'dʸe,c̷e'dʸe,ata
7,0.1817568071695681,1.3801087571572688,1.1983519499877007,wo'xi-tk,wo'xi-tk,wo'xi-ʔ,wo'xi-t ka'ki-tk,wo'xi-ʔ-ka'ki-s,wo'xi-t ka'ki-tk,wo'xi-ʔ,wo'xi-ʔ,wo'xi-ʔ-ka'ki-s,wo'xi-ʔ,wo'xi-tk,ata,papa,yaya,c̷e'dʸe,papa,c̷e'dʸe,papa,yaya,c̷e'dʸe,xein'dʸek,papa,xein'dʸek,xein'dʸek,c̷e'dʸe,xein'dʸek,c̷e'dʸe,nonoʔ,c̷e'dʸe,xein'dʸek,yaya,xein'dʸek,papa,ata,yaya,nonoʔ,yaya,yaya,papa
8,0.4559125164106751,1.3801087571572688,0.9241962407465937,wo'xi-tk,wo'xi-t ka'ki-tk,wo'xi-ʔ,wo'xi-t ka'ki-tk,wo'xi-ʔ,wo'xi-tk,wo'xi-tk,wo'xi-ʔ,wo'xi-ʔ-ka'ki-s,wo'xi-ʔ-ka'ki-s,wo'xi-ʔ,xein'dʸek,papa,xein'dʸek,yaya,xein'dʸek,papa,xein'dʸek,c̷e'dʸe,xein'dʸek,c̷e'dʸe,yaya,yaya,yaya,xein'dʸek,yaya,c̷e'dʸe,c̷e'dʸe,ata,papa,nonoʔ,papa,papa,yaya,nonoʔ,papa,c̷e'dʸe,ata,c̷e'dʸe
9,0.3914278003739583,1.0366279688586069,0.6452001684846486,wo'xi-t ka'ki-tk,wo'xi-ʔ-ka'ki-s,wo'xi-t ka'ki-tk,wo'xi-tk,wo'xi-tk,wo'xi-ʔ-ka'ki-s,wo'xi-tk,wo'xi-ʔ,wo'xi-ʔ,wo'xi-ʔ,wo'xi-ʔ,xein'dʸek,yaya,nonoʔ,papa,yaya,xein'dʸek,c̷e'dʸe,c̷e'dʸe,nonoʔ,papa,ata,papa,xein'dʸek,xein'dʸek,papa,xein'dʸek,c̷e'dʸe,yaya,c̷e'dʸe,yaya,ata,yaya,papa,papa,c̷e'dʸe,yaya,xein'dʸek,c̷e'dʸe
