simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.025529045211637014,1.1276636966343467,1.1021346514227097,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,brother,cousin,sister,cousin,cousin,brother,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,brother,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,uncle,uncle,uncle,mother,uncle,uncle,aunt,aunt,aunt,uncle,aunt,aunt,uncle,aunt,uncle,uncle,aunt,father,aunt,aunt,father,uncle,uncle,uncle,aunt,aunt,aunt,mother
1,0.039221737715150695,1.0723661881542688,1.033144450439118,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,sister,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,sister,sister,cousin,cousin,uncle,uncle,aunt,aunt,uncle,aunt,aunt,aunt,uncle,aunt,aunt,uncle,father,uncle,aunt,aunt,mother,aunt,aunt,aunt,father,uncle,uncle,uncle,uncle,uncle,mother,uncle
2,0.05679073025397974,1.0253360576014834,0.9685453273475036,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,aunt,uncle,uncle,aunt,aunt,aunt,uncle,uncle,uncle,father,uncle,father,aunt,aunt,aunt,aunt,uncle,aunt,aunt,uncle,mother,uncle,mother,uncle,aunt,uncle,uncle,aunt
3,0.03560910957979124,1.0777023635861172,1.042093254006326,cousin,sister,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,brother,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,brother,sister,uncle,uncle,aunt,mother,aunt,aunt,aunt,father,father,uncle,aunt,aunt,uncle,uncle,aunt,uncle,aunt,uncle,aunt,aunt,uncle,aunt,uncle,mother,uncle,uncle,uncle,aunt
4,0.05317662697291947,1.166666376116316,1.1134897491433966,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,brother,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,sister,cousin,cousin,cousin,father,aunt,uncle,aunt,uncle,uncle,uncle,aunt,uncle,aunt,aunt,aunt,uncle,aunt,uncle,uncle,father,mother,uncle,aunt,uncle,aunt,uncle,aunt,aunt,uncle,mother,aunt
5,0.05537963657778322,1.0047289554187813,0.949349318840998,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,brother,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,sister,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,aunt,uncle,aunt,aunt,uncle,aunt,uncle,uncle,father,aunt,aunt,mother,uncle,aunt,mother,aunt,aunt,aunt,uncle,uncle,aunt,father,uncle,uncle,uncle,uncle,uncle,aunt
6,0.03891139282941469,1.1247324941389025,1.0858211013094878,cousin,sister,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,sister,brother,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,sister,brother,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,mother,aunt,aunt,uncle,aunt,aunt,uncle,aunt,uncle,aunt,uncle,uncle,mother,uncle,aunt,aunt,aunt,uncle,uncle,father,aunt,uncle,uncle,uncle,aunt,father,aunt,uncle
7,0.065148934592409,1.1689322860054332,1.1037833514130242,cousin,cousin,sister,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,brother,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,father,uncle,aunt,uncle,uncle,mother,aunt,uncle,aunt,aunt,aunt,aunt,mother,aunt,aunt,uncle,aunt,uncle,aunt,father,uncle,uncle,uncle,uncle,aunt,aunt,uncle,uncle
8,0.046146765373123344,1.1412131564005432,1.0950663910274199,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,brother,cousin,sister,cousin,cousin,cousin,cousin,brother,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,sister,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,father,uncle,uncle,mother,aunt,uncle,aunt,aunt,aunt,uncle,uncle,aunt,aunt,uncle,aunt,mother,uncle,aunt,uncle,aunt,aunt,aunt,uncle,uncle,uncle,uncle,aunt,father
9,0.093509570053256,1.1689322860054332,1.0754227159521772,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,cousin,cousin,cousin,sister,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,cousin,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,cousin,brother,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,sister,cousin,uncle,aunt,father,uncle,aunt,mother,father,aunt,aunt,aunt,aunt,aunt,aunt,uncle,aunt,uncle,aunt,aunt,uncle,mother,uncle,aunt,uncle,uncle,uncle,uncle,uncle,uncle
