simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,fB,fZ,fyZ,feZ
0,NA,NA,NA,alumbwangu,acimweni,acimweni,cemwali,cemwali,mpwanga,mpwanga
1,NA,NA,NA,cemwali,acimweni,alumbwangu,acimweni,cemwali,mpwanga,mpwanga
2,NA,NA,NA,alumbwangu,cemwali,acimweni,mpwanga,cemwali,mpwanga,acimweni
3,NA,NA,NA,mpwanga,acimweni,mpwanga,acimweni,alumbwangu,cemwali,cemwali
4,NA,NA,NA,acimweni,acimweni,mpwanga,cemwali,alumbwangu,cemwali,mpwanga
5,NA,NA,NA,acimweni,acimweni,mpwanga,cemwali,alumbwangu,mpwanga,cemwali
6,NA,NA,NA,cemwali,mpwanga,acimweni,mpwanga,cemwali,alumbwangu,acimweni
7,NA,NA,NA,acimweni,cemwali,mpwanga,acimweni,cemwali,alumbwangu,mpwanga
8,NA,NA,NA,acimweni,alumbwangu,mpwanga,cemwali,cemwali,acimweni,mpwanga
9,NA,NA,NA,alumbwangu,cemwali,acimweni,acimweni,cemwali,mpwanga,mpwanga
