simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fMZS,fFBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.5311344106094943,1.342185883786343,0.8110514731768487,rasi-,vesohori-,vodai-,vesohori-,ta,vesohori-,vodai-,ta,vodai-,vesohori-,vodai-,vesohori-,venaru-,vodai-,vesohori-,vesohori-,vesohori-,venaru-,vodai-,vesohori-,vesohori-,veroha-,vesohori-,veroha-,venaru-,naru-,vesohori-,venaru-,vodai-,vesohori-,vesohori-,rasi-,vodai-,vesohori-,roha-,vesohori-,vesohori-,vodai-,vodai-,vesohori-,vesohori-,venaru-,ta,vodai-,naru-,ta,vesohori-,vodai-,vodai-,vesohori-,vodai-,verasi-,vodai-,verasi-,vesohori-,ta,naru-,vesohori-,naru-,vesohori-,naru-,vodai-,vodai-,vodai-,vodai-,ta,puá,"lala, rahura-, elua-, m̈ara-",puá,ta,tetei-,ta,puá,tetei-,ta,ta,tetei-,"lala, rahura-, elua-, m̈ara-","lala, rahura-, elua-, m̈ara-",puá,tetei-,"lala, rahura-, elua-, m̈ara-",ta,puá,puá
1,0.47069697309759084,1.3491382840743993,0.8784413109768084,ta,vesohori-,vesohori-,venaru-,veroha-,naru-,vesohori-,vesohori-,venaru-,venaru-,vodai-,vodai-,naru-,vesohori-,vesohori-,naru-,ta,ta,verasi-,vodai-,vodai-,vesohori-,vesohori-,vodai-,rasi-,vodai-,venaru-,vodai-,vodai-,vodai-,vesohori-,vodai-,ta,venaru-,vodai-,veroha-,vesohori-,vesohori-,vesohori-,rasi-,vesohori-,vesohori-,vesohori-,vesohori-,naru-,vesohori-,vodai-,roha-,vodai-,vesohori-,vodai-,vodai-,ta,vesohori-,naru-,vesohori-,verasi-,vesohori-,vodai-,vodai-,vodai-,vesohori-,vesohori-,vesohori-,vodai-,ta,ta,puá,puá,puá,tetei-,tetei-,"lala, rahura-, elua-, m̈ara-",puá,"lala, rahura-, elua-, m̈ara-",ta,tetei-,"lala, rahura-, elua-, m̈ara-",ta,"lala, rahura-, elua-, m̈ara-",ta,puá,tetei-,puá,ta
2,0.36983538964328777,1.3320831195896732,0.9622477299463854,vesohori-,verasi-,vodai-,ta,veroha-,vodai-,vodai-,verasi-,vodai-,vesohori-,vodai-,vesohori-,vodai-,naru-,vodai-,vesohori-,naru-,venaru-,vesohori-,vodai-,venaru-,vesohori-,vodai-,vesohori-,naru-,vodai-,ta,vesohori-,naru-,vesohori-,vodai-,vesohori-,vesohori-,vodai-,vodai-,vesohori-,ta,vesohori-,vesohori-,veroha-,venaru-,vesohori-,ta,vesohori-,vesohori-,vesohori-,vesohori-,vodai-,vesohori-,vesohori-,vesohori-,roha-,venaru-,rasi-,vodai-,ta,vodai-,vesohori-,vodai-,vodai-,vodai-,naru-,venaru-,vesohori-,rasi-,ta,ta,ta,puá,puá,ta,ta,tetei-,puá,tetei-,puá,tetei-,"lala, rahura-, elua-, m̈ara-",puá,"lala, rahura-, elua-, m̈ara-",ta,puá,"lala, rahura-, elua-, m̈ara-","lala, rahura-, elua-, m̈ara-",tetei-
3,0.4489591484781468,1.3635254326346993,0.9145662841565525,vesohori-,venaru-,vesohori-,vodai-,vesohori-,vesohori-,verasi-,vesohori-,naru-,vodai-,vodai-,vodai-,vodai-,vodai-,vesohori-,venaru-,naru-,vodai-,ta,vesohori-,vesohori-,vesohori-,vesohori-,vodai-,veroha-,vesohori-,verasi-,veroha-,naru-,venaru-,vesohori-,vodai-,rasi-,vodai-,vodai-,vesohori-,naru-,vodai-,vesohori-,vesohori-,vesohori-,ta,vesohori-,vodai-,roha-,vesohori-,naru-,vodai-,vodai-,vodai-,vodai-,ta,venaru-,vesohori-,ta,vesohori-,vodai-,ta,vodai-,vesohori-,vesohori-,venaru-,rasi-,vesohori-,vesohori-,puá,"lala, rahura-, elua-, m̈ara-",ta,"lala, rahura-, elua-, m̈ara-",tetei-,puá,puá,ta,puá,ta,tetei-,puá,ta,ta,tetei-,"lala, rahura-, elua-, m̈ara-",puá,ta,tetei-,"lala, rahura-, elua-, m̈ara-"
4,0.3706210753591309,1.3257474253890993,0.9551263500299684,vesohori-,vesohori-,venaru-,verasi-,vesohori-,venaru-,vodai-,veroha-,naru-,vodai-,roha-,vesohori-,vodai-,ta,rasi-,naru-,vesohori-,vesohori-,vesohori-,vesohori-,vesohori-,vodai-,ta,venaru-,naru-,vodai-,naru-,vesohori-,vodai-,vodai-,vesohori-,naru-,vodai-,vesohori-,vodai-,veroha-,vesohori-,ta,vesohori-,venaru-,vesohori-,vodai-,vodai-,rasi-,verasi-,vesohori-,vesohori-,vesohori-,vesohori-,ta,vesohori-,vodai-,vodai-,vodai-,vesohori-,vesohori-,vodai-,vesohori-,vodai-,vodai-,ta,venaru-,vodai-,vodai-,vesohori-,"lala, rahura-, elua-, m̈ara-",ta,ta,ta,tetei-,"lala, rahura-, elua-, m̈ara-",ta,"lala, rahura-, elua-, m̈ara-",puá,puá,puá,puá,ta,tetei-,tetei-,ta,"lala, rahura-, elua-, m̈ara-",puá,puá,tetei-
5,0.44697788994522414,1.3270503577602621,0.880072467815038,veroha-,vodai-,vodai-,ta,vesohori-,vodai-,vesohori-,vesohori-,vodai-,vodai-,vesohori-,venaru-,vodai-,vesohori-,vodai-,venaru-,ta,vesohori-,vesohori-,verasi-,vesohori-,naru-,vodai-,vodai-,vesohori-,naru-,vesohori-,vesohori-,venaru-,vodai-,vesohori-,vesohori-,venaru-,vodai-,verasi-,vesohori-,vesohori-,vodai-,ta,vodai-,ta,rasi-,vodai-,vesohori-,vesohori-,vodai-,vesohori-,venaru-,vesohori-,vesohori-,naru-,vesohori-,veroha-,roha-,ta,vodai-,naru-,vesohori-,vodai-,vodai-,vodai-,rasi-,naru-,vesohori-,vesohori-,ta,ta,ta,tetei-,ta,puá,"lala, rahura-, elua-, m̈ara-",ta,"lala, rahura-, elua-, m̈ara-","lala, rahura-, elua-, m̈ara-",puá,puá,puá,puá,"lala, rahura-, elua-, m̈ara-",tetei-,tetei-,ta,tetei-,puá
6,0.29702719778452447,1.3291540262733368,1.0321268284888123,vesohori-,vesohori-,vodai-,vesohori-,vodai-,vodai-,ta,venaru-,vesohori-,naru-,vodai-,vesohori-,vesohori-,vesohori-,vesohori-,vodai-,vodai-,vodai-,vesohori-,vodai-,ta,vesohori-,vodai-,vodai-,vesohori-,veroha-,venaru-,vesohori-,vesohori-,vesohori-,vodai-,venaru-,vodai-,vesohori-,naru-,verasi-,venaru-,veroha-,rasi-,vodai-,naru-,vesohori-,vodai-,rasi-,vesohori-,vesohori-,venaru-,vesohori-,vesohori-,naru-,vesohori-,vesohori-,ta,roha-,ta,verasi-,ta,vodai-,vodai-,vodai-,vesohori-,vesohori-,vodai-,vodai-,naru-,puá,tetei-,"lala, rahura-, elua-, m̈ara-",puá,puá,ta,"lala, rahura-, elua-, m̈ara-",ta,puá,ta,ta,tetei-,"lala, rahura-, elua-, m̈ara-",tetei-,"lala, rahura-, elua-, m̈ara-",tetei-,puá,puá,ta,ta
7,0.39661585721815085,1.3606461498911637,0.9640302926730129,vodai-,vodai-,ta,vodai-,vesohori-,vesohori-,vesohori-,ta,vesohori-,vesohori-,vodai-,naru-,vodai-,vodai-,venaru-,venaru-,roha-,vesohori-,vesohori-,verasi-,vesohori-,vesohori-,vesohori-,vesohori-,verasi-,ta,vodai-,venaru-,vesohori-,vodai-,vodai-,vodai-,vodai-,rasi-,veroha-,naru-,vodai-,venaru-,vesohori-,vodai-,vesohori-,vesohori-,vesohori-,ta,vesohori-,vesohori-,veroha-,naru-,vodai-,vodai-,rasi-,naru-,vodai-,vodai-,naru-,vesohori-,vodai-,venaru-,ta,vesohori-,vesohori-,vesohori-,vesohori-,vesohori-,vodai-,"lala, rahura-, elua-, m̈ara-",ta,"lala, rahura-, elua-, m̈ara-",puá,ta,ta,puá,puá,ta,"lala, rahura-, elua-, m̈ara-",tetei-,tetei-,"lala, rahura-, elua-, m̈ara-",ta,puá,tetei-,puá,puá,ta,tetei-
8,0.21405422002824315,1.3548597864833472,1.140805566455104,vesohori-,ta,vesohori-,verasi-,venaru-,vodai-,verasi-,vesohori-,vesohori-,vodai-,ta,vodai-,vodai-,venaru-,naru-,rasi-,vesohori-,vesohori-,vesohori-,vodai-,vesohori-,vesohori-,rasi-,vodai-,vesohori-,vesohori-,vesohori-,ta,vesohori-,vesohori-,vesohori-,vesohori-,ta,vodai-,venaru-,veroha-,vodai-,vesohori-,veroha-,vodai-,vodai-,vesohori-,vesohori-,vesohori-,roha-,venaru-,naru-,vesohori-,naru-,vodai-,vodai-,vodai-,vodai-,naru-,vodai-,vodai-,vesohori-,vodai-,venaru-,vesohori-,ta,vodai-,vodai-,naru-,vesohori-,puá,ta,puá,ta,"lala, rahura-, elua-, m̈ara-",puá,"lala, rahura-, elua-, m̈ara-","lala, rahura-, elua-, m̈ara-",tetei-,"lala, rahura-, elua-, m̈ara-",tetei-,tetei-,ta,puá,tetei-,ta,ta,ta,puá,puá
9,0.22157293396331368,1.3547104187179273,1.1331374847546136,vesohori-,vodai-,venaru-,vodai-,vodai-,vodai-,vesohori-,ta,vodai-,veroha-,naru-,vodai-,vesohori-,roha-,vesohori-,vesohori-,rasi-,ta,vodai-,venaru-,vesohori-,vodai-,vodai-,naru-,vodai-,rasi-,vesohori-,verasi-,venaru-,vesohori-,ta,vesohori-,vesohori-,vodai-,naru-,vesohori-,vesohori-,vodai-,vesohori-,vesohori-,vesohori-,vodai-,venaru-,vodai-,ta,vesohori-,vesohori-,vesohori-,vesohori-,vodai-,verasi-,vodai-,vodai-,vodai-,venaru-,vodai-,ta,naru-,vesohori-,veroha-,vesohori-,vesohori-,naru-,vesohori-,vesohori-,tetei-,ta,puá,puá,"lala, rahura-, elua-, m̈ara-",tetei-,ta,ta,"lala, rahura-, elua-, m̈ara-",puá,"lala, rahura-, elua-, m̈ara-",puá,ta,puá,ta,"lala, rahura-, elua-, m̈ara-",tetei-,puá,ta,tetei-
