simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFZ,mMB,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.15533992941716912,1.7074267698648393,1.5520868404476702,murathu,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,mukomana,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,khaladzi,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,murathu,mukomana,malume,mme,mmane,malume,khotsi,khotsi,khotsimunene,mmane,malume,malume,makhadzi,malume,khotsimuhulu,makhadzi,mmemuhulu,khotsimuhulu,mme,makhadzi,makhadzi,mmemuhulu,khotsimunene,makhadzi,makhadzi,malume
1,0.28907098423930533,1.6987016509432409,1.4096306667039356,muzwala,muzwala,muzwala,murathu,muzwala,muzwala,muzwala,muzwala,muzwala,murathu,mukomana,muzwala,khaladzi,muzwala,mukomana,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,makhadzi,mmemuhulu,mme,makhadzi,mme,khotsi,mmane,malume,malume,makhadzi,khotsi,malume,malume,khotsimunene,malume,makhadzi,makhadzi,khotsimuhulu,khotsimuhulu,makhadzi,mmane,malume,mmemuhulu,khotsimunene
2,0.2150416448134982,1.983609607698628,1.7685679628851299,muzwala,mukomana,muzwala,muzwala,muzwala,murathu,muzwala,muzwala,muzwala,muzwala,muzwala,mukomana,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,murathu,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,khaladzi,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,khotsi,malume,mme,mmemuhulu,makhadzi,malume,mmemuhulu,malume,khotsimuhulu,khotsimunene,mmane,makhadzi,makhadzi,khotsi,khotsimunene,makhadzi,khotsimuhulu,makhadzi,malume,malume,malume,mme,makhadzi,mmane
3,0.14537070671122332,1.7043805340067735,1.5590098272955502,murathu,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,mukomana,murathu,khaladzi,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,mukomana,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,khotsimuhulu,makhadzi,makhadzi,khotsimuhulu,khotsi,khotsimunene,malume,mmane,mmane,mmemuhulu,makhadzi,khotsi,malume,makhadzi,mme,malume,malume,mme,khotsimunene,mmemuhulu,malume,makhadzi,malume,makhadzi
4,0.07526124789722122,1.3889510029549559,1.3136897550577347,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,mukomana,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,mukomana,muzwala,khaladzi,muzwala,muzwala,muzwala,murathu,muzwala,murathu,muzwala,makhadzi,makhadzi,malume,malume,khotsi,khotsi,khotsimuhulu,mme,malume,malume,mmane,malume,makhadzi,mmane,makhadzi,malume,mmemuhulu,makhadzi,khotsimunene,mmemuhulu,mme,khotsimunene,makhadzi,khotsimuhulu
5,0.30838249554988595,1.9126651522201308,1.6042826566702448,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,murathu,muzwala,muzwala,mukomana,muzwala,muzwala,muzwala,mukomana,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,khaladzi,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,murathu,muzwala,muzwala,muzwala,muzwala,khotsimuhulu,khotsimuhulu,malume,mmane,mmane,makhadzi,makhadzi,malume,makhadzi,makhadzi,mme,makhadzi,makhadzi,malume,malume,khotsimunene,mmemuhulu,khotsimunene,malume,mme,khotsi,mmemuhulu,malume,khotsi
6,0.2992550442558992,1.9838376943895826,1.6845826501336834,khaladzi,mukomana,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,murathu,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,murathu,muzwala,muzwala,muzwala,muzwala,mukomana,muzwala,khotsimuhulu,khotsimunene,mme,makhadzi,mme,makhadzi,malume,mmane,malume,khotsimunene,makhadzi,khotsi,khotsimuhulu,mmane,mmemuhulu,khotsi,makhadzi,malume,makhadzi,malume,mmemuhulu,malume,makhadzi,malume
7,0.16802430619299913,1.904421215529389,1.7363969093363898,mukomana,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,mukomana,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,murathu,muzwala,muzwala,murathu,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,khaladzi,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,malume,malume,mmane,khotsimunene,mmemuhulu,khotsimunene,makhadzi,khotsimuhulu,malume,khotsi,mmane,malume,makhadzi,makhadzi,makhadzi,mme,malume,mme,malume,khotsi,khotsimuhulu,mmemuhulu,makhadzi,makhadzi
8,0.1623362112808313,1.7398536529480462,1.5775174416672149,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,mukomana,muzwala,muzwala,muzwala,muzwala,murathu,muzwala,murathu,muzwala,khaladzi,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,mukomana,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,makhadzi,mmane,khotsi,makhadzi,mmemuhulu,makhadzi,khotsimuhulu,mmemuhulu,malume,makhadzi,mme,makhadzi,makhadzi,mme,khotsi,khotsimuhulu,khotsimunene,mmane,malume,malume,malume,malume,malume,khotsimunene
9,0.17621195590646344,1.6261786971662866,1.4499667412598232,muzwala,mukomana,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,murathu,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,mukomana,khaladzi,muzwala,muzwala,muzwala,muzwala,murathu,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,muzwala,makhadzi,makhadzi,malume,mme,malume,mmemuhulu,malume,mmemuhulu,makhadzi,mmane,mmane,khotsimuhulu,mme,malume,makhadzi,malume,khotsi,khotsimunene,khotsi,makhadzi,makhadzi,khotsimuhulu,malume,khotsimunene
