simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.12827287848952318,1.1115305443848247,0.9832576658953015,fano,fano,fano maping,fano maping,teno taoeati,fano maping,fano maping,fano,fano,fano maping,teno tawawai,fano maping,fano,rama,rama,fano,fano,fano maping,rama,fano maping,fano maping,fano maping,fano,fano maping,fano,teno taoeati,rama,fano maping,fano,fano,fano maping,teno tawawai,fano,fano,fano maping,fano maping,fano,fano,fano,toewai,toewai,toewai,fofai,fofai,toewai,fofai,toewai,fofai,"mamo!, hma",fofai,fofai,fofai,toewai,toewai,toewai,fofai,aje! hnje,aje! hnje
1,0.2518367998750496,1.0257629394113175,0.7739261395362679,fano,fano maping,rama,fano maping,fano maping,rama,fano maping,fano,fano maping,fano,fano maping,fano,fano,fano,fano maping,fano,fano maping,fano maping,rama,fano,fano maping,fano,fano,fano,fano,rama,teno taoeati,teno tawawai,fano,fano maping,fano maping,teno tawawai,teno taoeati,fano maping,fano maping,fano,fano,fano,fano maping,toewai,toewai,toewai,fofai,fofai,aje! hnje,aje! hnje,toewai,fofai,fofai,fofai,fofai,"mamo!, hma",toewai,toewai,toewai,fofai,fofai,toewai
2,0.18361443910361142,1.115760575521792,0.9321461364181807,fano,fano maping,fano,rama,fano maping,teno tawawai,fano,rama,fano maping,fano,fano maping,fano,fano maping,rama,teno taoeati,fano maping,fano maping,fano,fano,teno taoeati,fano maping,teno tawawai,fano,fano,rama,fano maping,fano maping,fano maping,fano maping,fano maping,fano maping,fano,fano,fano,fano,fano,fano,fano,fano maping,fofai,toewai,fofai,toewai,fofai,fofai,fofai,fofai,aje! hnje,toewai,toewai,toewai,fofai,"mamo!, hma",toewai,fofai,toewai,aje! hnje,toewai
3,0.1278845164893141,1.1464916618862577,1.0186071453969436,fano,fano,fano maping,fano maping,fano,fano,fano maping,fano,fano,fano maping,fano,fano,fano maping,fano,rama,fano maping,rama,fano maping,fano,fano maping,fano,fano maping,fano,fano,rama,teno taoeati,fano maping,fano,fano maping,fano maping,fano,fano maping,fano maping,teno taoeati,teno tawawai,fano,teno tawawai,rama,fano maping,toewai,toewai,"mamo!, hma",fofai,toewai,toewai,fofai,fofai,toewai,fofai,fofai,toewai,fofai,aje! hnje,aje! hnje,fofai,toewai,fofai,toewai
4,0.15888164127846927,1.135776598963092,0.9768949576846226,rama,teno taoeati,fano,fano maping,rama,teno taoeati,rama,fano maping,fano,fano,fano,fano,fano,fano,teno tawawai,fano maping,fano,fano,fano,fano maping,fano maping,fano maping,fano maping,fano maping,fano,fano maping,fano maping,fano maping,fano maping,fano,rama,fano,fano maping,fano maping,fano,fano,fano maping,teno tawawai,fano,fofai,aje! hnje,fofai,toewai,fofai,toewai,aje! hnje,fofai,toewai,fofai,toewai,toewai,toewai,toewai,fofai,fofai,toewai,fofai,"mamo!, hma"
5,0.13982669424995264,1.1379348985211264,0.9981082042711737,fano maping,fano maping,fano maping,fano maping,fano maping,fano,fano,fano,fano,fano,teno tawawai,fano maping,fano maping,fano,fano,fano maping,fano,fano maping,teno taoeati,fano maping,fano,fano maping,rama,fano maping,fano,fano maping,fano,teno tawawai,fano maping,rama,rama,fano,fano,teno taoeati,fano,fano,fano,rama,fano maping,fofai,toewai,aje! hnje,fofai,toewai,toewai,"mamo!, hma",fofai,toewai,aje! hnje,toewai,fofai,toewai,fofai,toewai,fofai,fofai,fofai,toewai
6,0.18693015584965966,1.1157605755217923,0.9288304196721326,rama,fano maping,teno tawawai,rama,fano maping,fano,fano,fano maping,fano maping,fano,fano maping,fano,fano maping,fano maping,fano maping,fano maping,fano,fano,fano,fano,fano,fano maping,fano maping,fano maping,rama,fano,teno taoeati,fano maping,fano,fano,fano,fano maping,teno taoeati,fano,fano,rama,teno tawawai,fano,fano maping,fofai,toewai,toewai,toewai,fofai,fofai,toewai,fofai,"mamo!, hma",fofai,toewai,toewai,toewai,aje! hnje,fofai,fofai,toewai,aje! hnje,fofai
7,0.10879911060547831,1.027116072173456,0.9183169615679777,teno tawawai,teno taoeati,fano maping,rama,fano maping,fano,teno tawawai,fano maping,fano,fano,fano maping,fano,rama,fano maping,fano maping,fano maping,fano maping,fano,fano,fano maping,fano,fano,fano,rama,fano,fano maping,fano,rama,fano maping,fano,fano,fano,fano,teno taoeati,fano maping,fano maping,fano,fano maping,fano maping,fofai,fofai,toewai,toewai,toewai,aje! hnje,fofai,toewai,toewai,fofai,toewai,aje! hnje,"mamo!, hma",fofai,fofai,toewai,toewai,fofai,fofai
8,0.11894644045233882,1.114352137506736,0.9954056970543972,fano maping,fano,fano maping,fano,fano maping,fano maping,teno taoeati,fano,fano maping,fano,fano maping,fano,fano,fano maping,fano,fano,fano maping,teno tawawai,fano,rama,rama,fano,fano,fano maping,rama,fano maping,teno tawawai,fano,fano maping,fano,fano maping,fano maping,fano,fano,fano maping,teno taoeati,fano maping,fano,rama,fofai,fofai,toewai,toewai,toewai,aje! hnje,toewai,fofai,fofai,toewai,fofai,fofai,toewai,"mamo!, hma",fofai,toewai,aje! hnje,fofai,toewai
9,0.18284113621206988,1.114352137506736,0.9315110012946661,fano,fano,fano,fano,fano,fano,fano maping,fano,fano,fano maping,fano,rama,teno tawawai,teno taoeati,fano maping,fano maping,fano,fano maping,rama,fano,fano maping,fano maping,fano maping,fano,rama,teno tawawai,fano,fano,fano,fano maping,fano maping,rama,fano maping,teno taoeati,fano maping,fano,fano maping,fano maping,fano maping,toewai,toewai,fofai,fofai,toewai,fofai,toewai,aje! hnje,aje! hnje,toewai,fofai,toewai,fofai,fofai,fofai,fofai,toewai,toewai,"mamo!, hma"
