simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.3182943327592139,1.314775737547273,0.9964814047880591,bapipagirang budjirrbi,bapipagirang budjirrbi,"gulmigi, wuwi, yukuyuku",minini,minini,bapipagirang budjirrbi,minini,minini,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,"gulmiki, wuwi, yukuyuku",bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,"gaditi, muginyinymigi",bapipagirang budjirrbi,minini,minini,"gaditi, muginyinymigi",minini,minini,minini,minini,minini,"gaditi, muginyinymigi",bapipagirang budjirrbi,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,"gaditi, muginyinymigi",minini,wuwi,gaykiy,"bapipi, bawupi",gaykiy,gaykiy,gaykiy,"ama, mumngimi, ngambirri, ngirimigi","bapipi, bawupi","ama, mumngimi, ngambirri, ngirimigi","djirra, djirrtjarr, gunydjirri, nyunyang","djirra, djirrtjarr, gunydjirri, nyunyang","bapipi, bawupi","bapipi, bawupi"
1,0.19082441675317985,1.3168020301280539,1.125977613374874,minini,"gaditi, muginyinymigi",minini,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,"gulmigi, wuwi, yukuyuku",minini,bapipagirang budjirrbi,"gaditi, muginyinymigi",bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,wuwi,minini,"gulmiki, wuwi, yukuyuku",bapipagirang budjirrbi,minini,"gaditi, muginyinymigi",minini,minini,bapipagirang budjirrbi,"gaditi, muginyinymigi",minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,"bapipi, bawupi",gaykiy,"bapipi, bawupi",gaykiy,"bapipi, bawupi","ama, mumngimi, ngambirri, ngirimigi","ama, mumngimi, ngambirri, ngirimigi",gaykiy,"djirra, djirrtjarr, gunydjirri, nyunyang",gaykiy,"bapipi, bawupi","djirra, djirrtjarr, gunydjirri, nyunyang"
2,0.1636055995851684,1.3340295991155569,1.1704239995303884,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,minini,minini,minini,minini,bapipagirang budjirrbi,"gaditi, muginyinymigi",bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,minini,minini,bapipagirang budjirrbi,"gaditi, muginyinymigi",bapipagirang budjirrbi,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,"gaditi, muginyinymigi",minini,"gaditi, muginyinymigi",bapipagirang budjirrbi,minini,minini,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,"gulmigi, wuwi, yukuyuku",minini,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,"gulmiki, wuwi, yukuyuku",minini,bapipagirang budjirrbi,bapipagirang budjirrbi,wuwi,gaykiy,gaykiy,"bapipi, bawupi","ama, mumngimi, ngambirri, ngirimigi","bapipi, bawupi",gaykiy,"bapipi, bawupi","djirra, djirrtjarr, gunydjirri, nyunyang",gaykiy,"bapipi, bawupi","ama, mumngimi, ngambirri, ngirimigi","djirra, djirrtjarr, gunydjirri, nyunyang"
3,0.16928440767365882,1.3340295991155566,1.1647451914418978,bapipagirang budjirrbi,"gaditi, muginyinymigi",minini,"gulmiki, wuwi, yukuyuku",bapipagirang budjirrbi,bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,minini,"gulmigi, wuwi, yukuyuku",minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,"gaditi, muginyinymigi",bapipagirang budjirrbi,wuwi,minini,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,"gaditi, muginyinymigi",minini,minini,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,"gaditi, muginyinymigi",bapipagirang budjirrbi,"bapipi, bawupi","ama, mumngimi, ngambirri, ngirimigi","djirra, djirrtjarr, gunydjirri, nyunyang",gaykiy,"bapipi, bawupi","bapipi, bawupi",gaykiy,"bapipi, bawupi","djirra, djirrtjarr, gunydjirri, nyunyang","ama, mumngimi, ngambirri, ngirimigi",gaykiy,gaykiy
4,0.1721646670390824,1.3340295991155569,1.1618649320764745,"gaditi, muginyinymigi",bapipagirang budjirrbi,"gaditi, muginyinymigi",minini,minini,bapipagirang budjirrbi,minini,minini,wuwi,bapipagirang budjirrbi,"gaditi, muginyinymigi",bapipagirang budjirrbi,minini,minini,minini,minini,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,"gulmiki, wuwi, yukuyuku",minini,bapipagirang budjirrbi,bapipagirang budjirrbi,"gulmigi, wuwi, yukuyuku",bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,"gaditi, muginyinymigi",minini,bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,minini,gaykiy,gaykiy,"bapipi, bawupi","ama, mumngimi, ngambirri, ngirimigi","bapipi, bawupi",gaykiy,"bapipi, bawupi",gaykiy,"ama, mumngimi, ngambirri, ngirimigi","bapipi, bawupi","djirra, djirrtjarr, gunydjirri, nyunyang","djirra, djirrtjarr, gunydjirri, nyunyang"
5,0.13832419238031934,1.3340295991155569,1.1957054067352375,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,minini,minini,minini,bapipagirang budjirrbi,minini,"gaditi, muginyinymigi",bapipagirang budjirrbi,minini,"gaditi, muginyinymigi",bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,"gaditi, muginyinymigi",bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,minini,minini,"gulmigi, wuwi, yukuyuku","gulmiki, wuwi, yukuyuku",bapipagirang budjirrbi,bapipagirang budjirrbi,minini,"gaditi, muginyinymigi",bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,minini,minini,wuwi,minini,bapipagirang budjirrbi,minini,"bapipi, bawupi",gaykiy,"bapipi, bawupi","djirra, djirrtjarr, gunydjirri, nyunyang",gaykiy,gaykiy,"ama, mumngimi, ngambirri, ngirimigi","ama, mumngimi, ngambirri, ngirimigi","bapipi, bawupi","bapipi, bawupi","djirra, djirrtjarr, gunydjirri, nyunyang",gaykiy
6,0.09222562916626353,1.3340295991155569,1.2418039699492933,bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,"gaditi, muginyinymigi",bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,wuwi,minini,"gaditi, muginyinymigi","gulmigi, wuwi, yukuyuku",bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,minini,minini,bapipagirang budjirrbi,minini,minini,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,"gaditi, muginyinymigi",bapipagirang budjirrbi,minini,"gaditi, muginyinymigi",minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,"gulmiki, wuwi, yukuyuku",minini,gaykiy,gaykiy,"ama, mumngimi, ngambirri, ngirimigi",gaykiy,gaykiy,"bapipi, bawupi","bapipi, bawupi","djirra, djirrtjarr, gunydjirri, nyunyang","bapipi, bawupi","ama, mumngimi, ngambirri, ngirimigi","bapipi, bawupi","djirra, djirrtjarr, gunydjirri, nyunyang"
7,0.2611526683018075,1.3168020301280539,1.0556493618262464,minini,bapipagirang budjirrbi,minini,"gulmigi, wuwi, yukuyuku",minini,minini,minini,minini,minini,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,minini,minini,bapipagirang budjirrbi,"gaditi, muginyinymigi",bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,wuwi,bapipagirang budjirrbi,bapipagirang budjirrbi,"gulmiki, wuwi, yukuyuku",bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,minini,minini,bapipagirang budjirrbi,"gaditi, muginyinymigi",bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,"gaditi, muginyinymigi","gaditi, muginyinymigi",minini,"djirra, djirrtjarr, gunydjirri, nyunyang","djirra, djirrtjarr, gunydjirri, nyunyang",gaykiy,"bapipi, bawupi",gaykiy,gaykiy,gaykiy,"bapipi, bawupi","bapipi, bawupi","bapipi, bawupi","ama, mumngimi, ngambirri, ngirimigi","ama, mumngimi, ngambirri, ngirimigi"
8,0.17980634177230348,1.3340295991155569,1.1542232573432534,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,"gulmiki, wuwi, yukuyuku",minini,"gaditi, muginyinymigi",bapipagirang budjirrbi,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,wuwi,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,minini,minini,minini,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,"gaditi, muginyinymigi","gaditi, muginyinymigi",bapipagirang budjirrbi,minini,"gaditi, muginyinymigi","gulmigi, wuwi, yukuyuku",bapipagirang budjirrbi,minini,minini,minini,"bapipi, bawupi",gaykiy,"bapipi, bawupi","djirra, djirrtjarr, gunydjirri, nyunyang","bapipi, bawupi","ama, mumngimi, ngambirri, ngirimigi",gaykiy,gaykiy,"djirra, djirrtjarr, gunydjirri, nyunyang","bapipi, bawupi","ama, mumngimi, ngambirri, ngirimigi",gaykiy
9,0.29643075369789385,1.314775737547273,1.0183449838493792,bapipagirang budjirrbi,"gaditi, muginyinymigi",bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,minini,"gaditi, muginyinymigi",bapipagirang budjirrbi,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,"gaditi, muginyinymigi",minini,minini,minini,minini,minini,minini,"gaditi, muginyinymigi",minini,bapipagirang budjirrbi,bapipagirang budjirrbi,"gulmiki, wuwi, yukuyuku",wuwi,minini,minini,bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,minini,minini,minini,bapipagirang budjirrbi,minini,bapipagirang budjirrbi,bapipagirang budjirrbi,"gulmigi, wuwi, yukuyuku",bapipagirang budjirrbi,bapipagirang budjirrbi,bapipagirang budjirrbi,minini,minini,bapipagirang budjirrbi,gaykiy,"djirra, djirrtjarr, gunydjirri, nyunyang","bapipi, bawupi","bapipi, bawupi",gaykiy,gaykiy,"bapipi, bawupi","bapipi, bawupi","ama, mumngimi, ngambirri, ngirimigi","ama, mumngimi, ngambirri, ngirimigi",gaykiy,"djirra, djirrtjarr, gunydjirri, nyunyang"
