simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,fF,fM
0,0.0015443412221356478,0.6917614988524178,0.6902171576302821,xo,xo,xo,ærvadæ,xo,ærvadæ,xo,ærvadæ,ærvadæ,ærvadæ,xo,ærvadæ,madæ,fidæ,fidæ,madæ
1,0.0010099689722700145,0.6917614988524178,0.6907515298801478,ærvadæ,ærvadæ,xo,xo,xo,ærvadæ,xo,xo,ærvadæ,ærvadæ,ærvadæ,xo,fidæ,madæ,madæ,fidæ
2,0.0015443412221356478,0.6917614988524178,0.6902171576302821,xo,xo,xo,xo,xo,ærvadæ,xo,ærvadæ,ærvadæ,ærvadæ,ærvadæ,ærvadæ,fidæ,madæ,madæ,fidæ
3,0.0010099689722700145,0.6917614988524178,0.6907515298801478,xo,ærvadæ,xo,ærvadæ,ærvadæ,ærvadæ,xo,xo,ærvadæ,ærvadæ,xo,xo,fidæ,madæ,madæ,fidæ
4,0.0010099689722700145,0.6917614988524178,0.6907515298801478,xo,xo,ærvadæ,xo,xo,ærvadæ,ærvadæ,ærvadæ,xo,ærvadæ,xo,ærvadæ,madæ,fidæ,madæ,fidæ
5,0.0015443412221355368,0.6917614988524178,0.6902171576302822,xo,ærvadæ,xo,ærvadæ,xo,ærvadæ,ærvadæ,xo,xo,xo,ærvadæ,ærvadæ,madæ,fidæ,fidæ,madæ
6,0.0010099689722700145,0.6806294878916634,0.6796195189193934,ærvadæ,ærvadæ,xo,xo,xo,ærvadæ,ærvadæ,xo,ærvadæ,xo,xo,ærvadæ,madæ,madæ,fidæ,fidæ
7,0.0015443412221356478,0.6917614988524178,0.6902171576302821,xo,xo,ærvadæ,xo,ærvadæ,xo,xo,ærvadæ,ærvadæ,ærvadæ,ærvadæ,xo,fidæ,madæ,madæ,fidæ
8,0.0015443412221356478,0.6917614988524178,0.6902171576302821,xo,xo,ærvadæ,xo,ærvadæ,ærvadæ,ærvadæ,xo,xo,xo,ærvadæ,ærvadæ,madæ,fidæ,madæ,fidæ
9,0.0015443412221356478,0.6917614988524178,0.6902171576302821,ærvadæ,xo,xo,ærvadæ,ærvadæ,ærvadæ,xo,ærvadæ,xo,xo,ærvadæ,xo,fidæ,madæ,madæ,fidæ
