simulation_number,mutual_information,entropy,conditional_entropy,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,mZ,meB,meZ,myZ,fZ,feB,feZ,fyZ,mB,fB,myB,fyB,mF,mM,mFZ,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFZ,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,mFB,fFB,mMB,mMeB,mMyB,fMB,fMeB,fMyB
0,0.34642130105018354,1.9872241278138763,1.6408028267636927,kākai bhāi,kƆkai,kākai bhāi,kākai bhāi,bhani,kākai bhāi,kākai bhāi,bhaiti,kākai bhāi,kākai bhāi,kākai bhāi,kākai bhāi,kākai,kākai,kākai,kākai bhāi,bhani,kƆkai,kākai bhāi,kākai,kākai,kākai,bhani,kākai,bhāi,kākai,kākai bhāi,kākai,kākai,kākai bhāi,kākai bhāi,bhani,kākai bhāi,kākai bhāi,kākai,kākai,bhani,kākai,kākai,kākai bhāi,bhaiti,kākai,kākai bhāi,kākai,kākai bhāi,bhāi,kākai,kākai,kākai,kākai,bhani,māhī,dādei,bopai,dādei,pehi,pehi,māhī,momai,pehi,momai,khuṛā,bar bopāi,māhī,māhī,momai,khuṛā,pehi,momai,pehi,momai,māhī,āī,bar bopāi,māhī,āī,bopai,pehi,momai
1,0.32936498686420723,1.9329393562030206,1.6035743693388134,kākai bhāi,bhani,kākai,kākai,kākai,bhaiti,bhāi,bhani,kākai bhāi,kākai,kākai,bhani,bhaiti,kākai bhāi,kākai,kākai bhāi,kākai bhāi,kākai,kākai,kākai bhāi,kākai bhāi,kākai,kākai,kākai,kākai,kākai bhāi,kākai,bhani,kākai bhāi,kākai,kƆkai,kākai bhāi,kākai,kākai bhāi,bhāi,kākai,kākai,kākai,kākai bhāi,kākai,kākai bhāi,kākai,bhani,kākai bhāi,bhani,kākai bhāi,kākai bhāi,kƆkai,kākai bhāi,kākai bhāi,kākai bhāi,bar bopāi,māhī,pehi,momai,momai,māhī,momai,pehi,dādei,māhī,bopai,momai,momai,pehi,āī,khuṛā,pehi,māhī,māhī,bar bopāi,khuṛā,pehi,pehi,momai,māhī,āī,dādei,bopai
2,0.40085104849959485,1.8287666727056122,1.4279156242060174,kākai bhāi,kākai,kākai,kākai bhāi,kākai,kākai bhāi,kākai bhāi,kākai bhāi,kƆkai,kƆkai,bhani,kākai bhāi,kākai bhāi,kākai,kākai bhāi,bhāi,kākai bhāi,kākai,kākai,kākai bhāi,bhaiti,kākai bhāi,kākai,bhaiti,kākai,kākai bhāi,bhani,kākai bhāi,bhani,kākai,bhāi,kākai,kākai,kākai,kākai,bhani,kākai bhāi,kākai,bhani,kākai bhāi,kākai,kākai bhāi,bhani,kākai,kākai bhāi,kākai,kākai,kākai,kākai bhāi,kākai,kākai bhāi,māhī,momai,pehi,māhī,pehi,āī,bopai,pehi,momai,momai,pehi,khuṛā,māhī,dādei,pehi,bopai,momai,khuṛā,pehi,bar bopāi,āī,dādei,momai,māhī,bar bopāi,māhī,māhī,momai
3,0.28106610679161803,1.77012843683659,1.489062330044972,bhani,kākai bhāi,kākai bhāi,bhāi,kākai bhāi,kākai bhāi,kākai bhāi,kākai,kƆkai,kākai bhāi,kākai,kākai,kākai bhāi,kākai bhāi,bhaiti,kākai bhāi,kākai,bhani,kākai,kākai,kākai bhāi,kākai bhāi,kākai,kākai,kākai,kākai,kākai bhāi,bhani,kākai,kākai bhāi,bhani,bhāi,kākai,kākai bhāi,kākai bhāi,kākai,kākai bhāi,kākai,kākai,kƆkai,bhani,kākai bhāi,bhaiti,bhani,kākai,kākai,kākai,kākai bhāi,kākai,kākai,kākai bhāi,pehi,māhī,māhī,khuṛā,bar bopāi,bar bopāi,bopai,māhī,dādei,māhī,māhī,āī,pehi,pehi,momai,momai,momai,pehi,momai,pehi,momai,bopai,māhī,momai,āī,pehi,khuṛā,dādei
4,0.3141023644380103,1.8231700652987461,1.5090677008607358,kākai bhāi,bhani,kākai,kākai,bhani,kākai,bhani,bhāi,bhani,kākai,bhaiti,kākai bhāi,kƆkai,kākai bhāi,kākai,kākai bhāi,kākai bhāi,kākai,kākai,kākai,kākai,kākai,kākai bhāi,kākai,kākai,kƆkai,kākai bhāi,kākai bhāi,kākai,kākai bhāi,kākai bhāi,kākai bhāi,kākai,kākai bhāi,kākai,kākai bhāi,kākai,kākai bhāi,bhani,kākai bhāi,kākai,kākai bhāi,kākai bhāi,kākai,kākai bhāi,bhani,kākai,bhaiti,kākai bhāi,kākai,bhāi,momai,momai,dādei,pehi,khuṛā,momai,pehi,pehi,āī,momai,māhī,dādei,bopai,āī,momai,momai,bar bopāi,bopai,pehi,bar bopāi,khuṛā,māhī,māhī,māhī,māhī,māhī,pehi,pehi
5,0.3670910381096375,1.9579471310201477,1.5908560929105102,kākai bhāi,bhani,bhani,kākai bhāi,kākai,kākai bhāi,kākai bhāi,kākai,kākai,bhani,kākai bhāi,kākai,bhani,kākai bhāi,kākai bhāi,kākai,kākai bhāi,bhāi,kākai,kākai bhāi,kƆkai,kƆkai,bhaiti,kākai bhāi,kākai,bhani,kākai,bhani,kākai bhāi,kākai,kākai,kākai,kākai bhāi,kākai bhāi,kākai bhāi,kākai,kākai bhāi,kākai,kākai,kākai,kākai bhāi,kākai bhāi,kākai,bhaiti,kākai,kākai bhāi,kākai,bhāi,kākai bhāi,kākai,kākai,bopai,pehi,dādei,pehi,māhī,bar bopāi,momai,momai,pehi,pehi,momai,bopai,momai,khuṛā,māhī,māhī,momai,pehi,māhī,āī,māhī,āī,bar bopāi,momai,dādei,khuṛā,pehi,māhī
6,0.333522356578136,1.8792422212272701,1.5457198646491341,kākai,kākai,kākai bhāi,kākai bhāi,kākai bhāi,kākai bhāi,kākai,kākai,kākai,bhaiti,kƆkai,kākai bhāi,bhani,kākai,kākai,kākai bhāi,kākai,kākai bhāi,kākai,bhāi,kākai,bhani,kākai bhāi,kākai,bhani,kākai,bhaiti,kākai bhāi,kākai bhāi,kākai bhāi,kākai bhāi,kākai,kākai,kākai,kākai bhāi,kākai bhāi,kākai,bhani,kākai bhāi,bhani,bhani,kākai,kākai,kākai bhāi,kƆkai,kākai bhāi,bhāi,kākai,kākai,kākai bhāi,kākai bhāi,āī,pehi,momai,māhī,bopai,bar bopāi,momai,khuṛā,momai,āī,khuṛā,momai,dādei,māhī,bopai,dādei,bar bopāi,pehi,māhī,pehi,momai,momai,pehi,pehi,māhī,māhī,pehi,māhī
7,0.28507633509166164,1.8327422692057451,1.5476659341140835,kākai bhāi,bhāi,bhaiti,kākai,kākai bhāi,bhani,kākai,kākai,kākai bhāi,kākai,kākai bhāi,kākai,kākai bhāi,kākai bhāi,kākai,kākai bhāi,kākai,bhani,kƆkai,bhāi,kākai,kākai,kākai bhāi,bhani,kākai bhāi,kākai,bhani,kākai bhāi,kākai,kākai,kākai,kākai bhāi,bhani,kākai,kākai bhāi,bhaiti,kākai bhāi,kƆkai,kākai bhāi,kākai bhāi,kākai,bhani,kākai bhāi,kākai,kākai,kākai bhāi,kākai,kākai bhāi,kākai bhāi,kākai,kākai,pehi,pehi,momai,māhī,pehi,momai,momai,momai,māhī,māhī,āī,māhī,pehi,pehi,momai,pehi,bar bopāi,dādei,māhī,āī,māhī,khuṛā,khuṛā,bar bopāi,momai,bopai,dādei,bopai
8,0.40135057254623496,2.0247365921841847,1.6233860196379497,kākai,kƆkai,kākai,bhaiti,kākai,kākai,kākai bhāi,bhani,kākai bhāi,kākai,kākai bhāi,kākai bhāi,kākai,kākai,kākai,bhāi,kākai bhāi,bhani,bhani,kākai bhāi,kākai,kākai,kākai bhāi,bhani,kākai bhāi,kākai bhāi,kākai,kākai bhāi,kākai bhāi,kƆkai,kākai,kākai bhāi,kākai,kākai bhāi,kākai bhāi,kākai bhāi,bhani,bhāi,kākai,kākai,kākai,bhaiti,kākai,kākai,kākai bhāi,kākai bhāi,bhani,kākai bhāi,kākai bhāi,kākai,kākai,āī,bar bopāi,bar bopāi,bopai,māhī,momai,khuṛā,āī,pehi,pehi,pehi,dādei,momai,māhī,pehi,māhī,māhī,pehi,momai,pehi,māhī,khuṛā,māhī,dādei,momai,bopai,momai,momai
9,0.3748913843693529,2.0250329458018275,1.6501415614324746,kākai,kākai bhāi,bhaiti,kākai,kākai,bhāi,kākai,kākai,kākai,kākai bhāi,kākai bhāi,kākai bhāi,kākai,kākai bhāi,kākai,bhāi,kƆkai,bhani,kākai bhāi,kākai bhāi,kākai,kākai,kākai,kākai bhāi,bhani,bhani,kākai,kākai,kākai,kƆkai,kākai,bhani,kākai bhāi,kākai,kākai,kākai,kākai,kākai bhāi,kākai bhāi,kākai bhāi,kākai bhāi,kākai bhāi,kākai bhāi,kākai,kākai bhāi,bhani,kākai bhāi,bhaiti,bhani,kākai bhāi,kākai bhāi,dādei,āī,māhī,bopai,māhī,māhī,pehi,momai,momai,māhī,māhī,khuṛā,bar bopāi,bar bopāi,pehi,momai,momai,māhī,dādei,pehi,momai,bopai,pehi,khuṛā,momai,pehi,āī,pehi
