simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,mFZD,mMBD,mFZS,mMBS,mFBeS,mFByS,mFBeD,mFByD,mFZeD,mMZeS,mMZyS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZyD,mMBeS,mMByS,mMBeD,mMByD,feB,fyB,feZ,fFZD,fFZS,fFBeS,fFByS,fFByD,fMZyS,fFeZS,fFyZS,fFeZD,fFyZD,fFZeS,fFZyS,fFZyD,fFZeD,mF,mM,mFB,mFZ,mMB,mMeZ,mMyZ,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMeZ,fMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB
0,0.7046773578426682,1.6532394032063904,0.9485620453637222,cedai,tsudai,ghawidai,tsudai,cedai,tcamandai,tcamandai,panidai,ati',panidai,tidai,dedai,tsudai,gidai,tidai,ghawidai,cedai,tcamandai,tidai,ati',ghawidai,panidai,ade,tidai,cuwahondai,ghawidai,tidai,ghawidai,tcamandai,cedai,gidai,cuwahondai,ade,agi',dedai,panidai,cuwahondai,cuwahondai,tsudai,tsudai,cuwahondai,cedai,tidai,panidai,gidai,ace,asu,atsu,adje,adje,amu,amu,ace,adje,atsu,amu,ame'e,adje,amu,ate,amu,atsu,atsu,ate,adje,asu,atsu,adje,amu,atsu,ame'e
1,0.8138016509639666,1.7280884470513769,0.9142867960874103,ghawidai,tidai,panidai,ade,ade,panidai,cedai,tidai,tidai,cuwahondai,dedai,tcamandai,tsudai,ghawidai,tsudai,ghawidai,cuwahondai,ati',tcamandai,panidai,cedai,dedai,tidai,tsudai,cuwahondai,panidai,tidai,tsudai,cedai,cedai,panidai,ghawidai,tsudai,gidai,tcamandai,ati',cuwahondai,gidai,tidai,tcamandai,agi',ghawidai,gidai,cedai,cuwahondai,adje,ate,adje,ace,asu,amu,amu,ame'e,adje,amu,ace,asu,amu,atsu,amu,adje,amu,atsu,atsu,atsu,adje,ame'e,atsu,ate,adje,atsu
2,0.8997204038530614,1.7271497725888638,0.8274293687358024,panidai,tidai,cedai,ade,tidai,panidai,gidai,tsudai,panidai,ati',cedai,cuwahondai,tcamandai,ghawidai,tidai,cedai,dedai,tidai,tidai,cuwahondai,panidai,tcamandai,tsudai,gidai,agi',ghawidai,ghawidai,ade,gidai,ghawidai,tsudai,tsudai,cedai,cedai,cuwahondai,cuwahondai,ati',panidai,tidai,tcamandai,tcamandai,ghawidai,cuwahondai,dedai,tsudai,amu,adje,atsu,ate,asu,adje,ate,atsu,amu,ame'e,amu,amu,adje,atsu,ame'e,atsu,atsu,ace,asu,atsu,amu,ace,adje,amu,adje,adje
3,0.7229872536672548,1.8289287323054766,1.1059414786382218,cuwahondai,tidai,tcamandai,ati',tsudai,panidai,cuwahondai,ghawidai,cedai,ghawidai,panidai,tsudai,ade,cedai,ati',tidai,tsudai,cedai,tcamandai,cuwahondai,dedai,tidai,dedai,panidai,cuwahondai,agi',ade,cuwahondai,tsudai,tidai,tidai,cedai,gidai,gidai,tcamandai,ghawidai,panidai,tcamandai,ghawidai,panidai,tidai,gidai,ghawidai,cedai,tsudai,amu,atsu,ace,asu,amu,atsu,adje,ate,atsu,ame'e,ame'e,amu,atsu,adje,ace,amu,asu,adje,atsu,amu,amu,atsu,adje,ate,adje,adje
4,0.6843763303852631,1.58933749798344,0.9049611675981769,panidai,gidai,cuwahondai,tidai,cedai,ghawidai,tsudai,ghawidai,ati',tidai,panidai,cuwahondai,dedai,tidai,ghawidai,agi',cuwahondai,panidai,tcamandai,panidai,cedai,ghawidai,dedai,cedai,cuwahondai,cuwahondai,tidai,ade,ati',cedai,tsudai,tcamandai,tsudai,cedai,ghawidai,tcamandai,tidai,tsudai,tsudai,gidai,tcamandai,tidai,panidai,gidai,ade,amu,adje,adje,atsu,adje,atsu,atsu,ace,adje,atsu,atsu,amu,ace,adje,amu,ate,asu,asu,amu,adje,ate,ame'e,amu,amu,atsu,ame'e
5,0.8132782569078048,1.7884632328703631,0.9751849759625584,tcamandai,cuwahondai,ghawidai,cedai,gidai,cedai,ati',tcamandai,cedai,tcamandai,tsudai,cuwahondai,gidai,tidai,cuwahondai,tcamandai,ghawidai,panidai,tidai,ati',panidai,panidai,ade,gidai,tsudai,dedai,ghawidai,tidai,ghawidai,dedai,tidai,tsudai,agi',ade,tsudai,cedai,tidai,panidai,tsudai,ghawidai,cedai,cuwahondai,tidai,cuwahondai,panidai,ame'e,atsu,ate,amu,amu,atsu,ace,asu,amu,atsu,asu,ace,adje,ame'e,adje,ate,adje,amu,adje,amu,adje,adje,atsu,amu,atsu,atsu
6,0.8426944381222766,1.8080669678852168,0.9653725297629402,tcamandai,cedai,ati',tidai,tcamandai,cuwahondai,panidai,tsudai,tsudai,ghawidai,tsudai,cuwahondai,cedai,panidai,panidai,ghawidai,cuwahondai,tsudai,tidai,dedai,tcamandai,panidai,tidai,tcamandai,ghawidai,cuwahondai,tsudai,ade,cedai,ati',ghawidai,gidai,ade,cuwahondai,ghawidai,tidai,gidai,cedai,agi',cedai,panidai,gidai,tidai,tidai,dedai,asu,atsu,adje,adje,ate,asu,atsu,atsu,adje,amu,atsu,ame'e,atsu,adje,ate,ace,amu,adje,amu,amu,ame'e,amu,adje,ace,atsu,amu
7,0.7466766445842403,1.7084847120365234,0.9618080674522831,ade,cuwahondai,panidai,tcamandai,cedai,tsudai,tsudai,tidai,tidai,tidai,ghawidai,agi',gidai,dedai,gidai,ghawidai,dedai,tidai,cedai,tcamandai,gidai,ade,tcamandai,cedai,ghawidai,tsudai,ghawidai,cuwahondai,panidai,panidai,panidai,ghawidai,cedai,cedai,tidai,panidai,cuwahondai,tidai,tcamandai,cuwahondai,tsudai,ati',ati',tsudai,cuwahondai,asu,atsu,amu,ate,atsu,ame'e,ate,adje,amu,amu,atsu,atsu,atsu,amu,ace,adje,ame'e,adje,adje,asu,amu,amu,atsu,ace,adje,adje
8,0.6048634698774259,1.5631436513648291,0.9582801814874032,dedai,cedai,agi',ade,tidai,gidai,tidai,ghawidai,tsudai,panidai,tsudai,cuwahondai,gidai,panidai,ghawidai,tcamandai,tidai,tidai,ati',dedai,ghawidai,tsudai,tidai,ati',tcamandai,cuwahondai,cedai,cedai,cedai,panidai,tsudai,gidai,ade,tidai,tsudai,tcamandai,cuwahondai,ghawidai,ghawidai,tcamandai,panidai,panidai,cuwahondai,cedai,cuwahondai,adje,adje,atsu,amu,amu,adje,adje,amu,ame'e,atsu,asu,ate,atsu,asu,amu,ace,adje,atsu,ame'e,ace,ate,atsu,adje,amu,amu,atsu
9,0.6500637382022578,1.7182963916752254,1.0682326534729676,ghawidai,cedai,ade,cedai,gidai,panidai,tidai,tidai,ghawidai,ati',tsudai,panidai,cuwahondai,ghawidai,tidai,cedai,tsudai,ghawidai,cuwahondai,ade,tcamandai,cuwahondai,cuwahondai,cedai,panidai,tsudai,cuwahondai,tidai,tsudai,tsudai,cedai,tcamandai,tcamandai,agi',tidai,dedai,ati',dedai,tidai,panidai,panidai,gidai,tcamandai,gidai,ghawidai,ame'e,asu,ace,ame'e,atsu,amu,amu,adje,atsu,atsu,asu,atsu,atsu,atsu,adje,adje,adje,ace,adje,amu,adje,ate,ate,amu,amu,amu
