simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.04698076506648419,1.1338096288475135,1.0868288637810293,sestrîčna,séstra,séstra,sestrîčna,brȁt,sestrîčna,brátranəc,brȁt,brátranəc,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,brátranəc,brátranəc,sestrîčna,brátranəc,brátranəc,séstra,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,sestrîčna,sestrîčna,brȁt,brátranəc,brátranəc,brȁt,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,séstra,brátranəc,sestrîčna,brátranəc,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,séstra,brátranəc,sestrîčna,brátranəc,brátranəc,sestrîčna,séstra,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,sestrîčna,sestrîčna,sestrîčna,brátranəc,sestrîčna,sestrîčna,sestrîčna,brátranəc,sestrîčna,brȁt,sestrîčna,sestrîčna,sestrîčna,stríc,stríc,stríc,téta,téta,stríc,stríc,máti,téta,téta,stríc,stríc,stríc,téta,téta,stríc,téta,stríc,máti,óče,téta,stríc,téta,téta,téta,téta,stríc,óče
1,0.04174471544438041,1.0334683756960055,0.9917236602516251,brátranəc,sestrîčna,sestrîčna,brátranəc,sestrîčna,sestrîčna,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,brátranəc,brátranəc,brátranəc,séstra,sestrîčna,brȁt,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,brátranəc,séstra,brátranəc,séstra,séstra,sestrîčna,sestrîčna,sestrîčna,brátranəc,sestrîčna,séstra,brátranəc,sestrîčna,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,sestrîčna,sestrîčna,brátranəc,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,sestrîčna,brátranəc,brátranəc,brátranəc,brȁt,brȁt,brátranəc,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,brȁt,sestrîčna,brátranəc,brátranəc,séstra,brátranəc,brátranəc,brátranəc,brȁt,sestrîčna,brátranəc,téta,stríc,stríc,téta,stríc,stríc,máti,téta,stríc,máti,stríc,stríc,óče,téta,stríc,téta,téta,stríc,téta,téta,stríc,téta,stríc,téta,téta,téta,stríc,óče
2,0.05825650971372043,1.1014002396047478,1.0431437298910273,brátranəc,sestrîčna,brȁt,brátranəc,sestrîčna,brȁt,sestrîčna,séstra,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,séstra,brȁt,brátranəc,sestrîčna,sestrîčna,sestrîčna,séstra,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,sestrîčna,sestrîčna,sestrîčna,séstra,sestrîčna,brátranəc,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,brátranəc,brátranəc,brátranəc,brȁt,sestrîčna,sestrîčna,sestrîčna,brátranəc,sestrîčna,séstra,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,sestrîčna,brátranəc,brátranəc,brátranəc,brátranəc,séstra,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brȁt,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,stríc,téta,óče,téta,téta,stríc,stríc,téta,stríc,stríc,máti,téta,stríc,stríc,máti,stríc,téta,téta,stríc,stríc,téta,stríc,téta,téta,téta,óče,stríc,téta
3,0.06499246071467413,1.1019584773021782,1.036966016587504,brátranəc,sestrîčna,brátranəc,séstra,sestrîčna,sestrîčna,sestrîčna,sestrîčna,brátranəc,brȁt,sestrîčna,brátranəc,brátranəc,sestrîčna,séstra,brátranəc,sestrîčna,brȁt,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brȁt,sestrîčna,sestrîčna,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,brátranəc,sestrîčna,brȁt,brátranəc,brȁt,brátranəc,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,séstra,séstra,sestrîčna,brátranəc,brátranəc,brátranəc,séstra,brátranəc,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,sestrîčna,sestrîčna,sestrîčna,brátranəc,séstra,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,téta,téta,stríc,stríc,téta,stríc,téta,téta,stríc,téta,téta,stríc,stríc,máti,stríc,óče,máti,stríc,téta,téta,téta,stríc,téta,stríc,stríc,téta,stríc,óče
4,0.047418823112188146,1.081980447926408,1.0345616248142198,sestrîčna,sestrîčna,brȁt,brȁt,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,séstra,sestrîčna,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,sestrîčna,sestrîčna,sestrîčna,séstra,brátranəc,sestrîčna,sestrîčna,séstra,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,brátranəc,brȁt,séstra,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,séstra,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,sestrîčna,brátranəc,brátranəc,brátranəc,brátranəc,brátranəc,brátranəc,brȁt,sestrîčna,brátranəc,séstra,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,sestrîčna,brátranəc,brátranəc,sestrîčna,sestrîčna,sestrîčna,brátranəc,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,brȁt,stríc,stríc,máti,téta,stríc,stríc,stríc,óče,téta,téta,stríc,máti,téta,téta,téta,stríc,téta,téta,téta,téta,óče,stríc,stríc,stríc,téta,téta,stríc,stríc
5,0.02835969197894972,1.133239504874228,1.1048798128952784,séstra,sestrîčna,brátranəc,brátranəc,brátranəc,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,séstra,brátranəc,brátranəc,brȁt,brátranəc,séstra,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,séstra,brȁt,sestrîčna,sestrîčna,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,séstra,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,sestrîčna,sestrîčna,sestrîčna,brȁt,sestrîčna,brátranəc,brátranəc,séstra,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,sestrîčna,brátranəc,brȁt,brátranəc,brȁt,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,téta,stríc,máti,óče,téta,téta,stríc,stríc,stríc,téta,téta,óče,stríc,máti,téta,stríc,téta,téta,stríc,stríc,stríc,téta,stríc,téta,stríc,stríc,téta,téta
6,0.04305693972102942,1.0830864648769403,1.0400295251559109,sestrîčna,sestrîčna,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,brátranəc,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,sestrîčna,séstra,brátranəc,brátranəc,brátranəc,brátranəc,brátranəc,sestrîčna,brátranəc,séstra,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,brȁt,sestrîčna,brȁt,séstra,brátranəc,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,brȁt,sestrîčna,séstra,brátranəc,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,brátranəc,brȁt,brátranəc,sestrîčna,sestrîčna,brȁt,sestrîčna,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,séstra,brátranəc,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,brátranəc,séstra,sestrîčna,sestrîčna,sestrîčna,sestrîčna,sestrîčna,stríc,téta,téta,óče,stríc,stríc,téta,máti,téta,téta,téta,stríc,téta,stríc,stríc,téta,téta,stríc,téta,téta,óče,stríc,stríc,stríc,stríc,máti,téta,stríc
7,0.1498427164249425,1.0819804479264077,0.9321377315014652,sestrîčna,brátranəc,brátranəc,brátranəc,brátranəc,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,séstra,sestrîčna,brȁt,sestrîčna,brátranəc,brȁt,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,sestrîčna,sestrîčna,brátranəc,brȁt,sestrîčna,sestrîčna,sestrîčna,brátranəc,sestrîčna,sestrîčna,sestrîčna,séstra,sestrîčna,sestrîčna,brátranəc,séstra,brátranəc,sestrîčna,séstra,sestrîčna,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,brátranəc,séstra,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,brátranəc,brȁt,brátranəc,sestrîčna,brátranəc,sestrîčna,brȁt,sestrîčna,séstra,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,stríc,téta,stríc,stríc,téta,óče,téta,stríc,stríc,téta,téta,stríc,máti,téta,stríc,téta,stríc,stríc,stríc,téta,óče,stríc,téta,téta,téta,máti,téta,stríc
8,0.10891882371796258,1.0514213386944258,0.9425025149764632,brátranəc,sestrîčna,brátranəc,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,sestrîčna,séstra,sestrîčna,sestrîčna,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,séstra,séstra,brátranəc,sestrîčna,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,sestrîčna,sestrîčna,brátranəc,séstra,sestrîčna,brátranəc,brȁt,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,brȁt,sestrîčna,brátranəc,sestrîčna,sestrîčna,brȁt,brȁt,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,séstra,brátranəc,brátranəc,sestrîčna,brátranəc,brátranəc,brȁt,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,séstra,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,stríc,téta,stríc,stríc,téta,téta,óče,stríc,téta,stríc,stríc,óče,stríc,stríc,máti,téta,stríc,téta,stríc,téta,téta,stríc,téta,téta,máti,téta,téta,stríc
9,0.09764726856236183,1.0805042880624136,0.9828570195000518,sestrîčna,brátranəc,brátranəc,brátranəc,séstra,brátranəc,sestrîčna,séstra,brátranəc,sestrîčna,sestrîčna,sestrîčna,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,sestrîčna,sestrîčna,brátranəc,sestrîčna,sestrîčna,séstra,brátranəc,sestrîčna,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,sestrîčna,sestrîčna,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,brátranəc,brȁt,sestrîčna,séstra,brátranəc,brátranəc,brátranəc,brȁt,brátranəc,brátranəc,sestrîčna,brátranəc,brátranəc,sestrîčna,sestrîčna,brátranəc,brȁt,sestrîčna,brátranəc,sestrîčna,sestrîčna,sestrîčna,brátranəc,sestrîčna,brátranəc,brátranəc,brátranəc,brȁt,sestrîčna,brátranəc,sestrîčna,séstra,brátranəc,brátranəc,brȁt,sestrîčna,séstra,brátranəc,brátranəc,brátranəc,sestrîčna,stríc,téta,stríc,stríc,téta,stríc,stríc,téta,stríc,téta,téta,máti,máti,stríc,téta,téta,óče,stríc,stríc,téta,stríc,téta,téta,stríc,téta,stríc,óče,téta
