simulation_number,mutual_information,entropy,conditional_entropy,fyB,meB,myB,fFBS,fFZS,fMBS,fMZS,mFBS,mFZS,mMBS,fFBD,fFZD,fMBD,fMZD,mFBD,mFZD,mMBD,mMZS,mMZD,feZ,fyZ,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,fM,mM,fFeB,fFyB,fMeB,fMyB,mFeB,mFyB,mMeB,mMyB,fFeZ,fFyZ,fMeZ,fMyZ,mFeZ,mFyZ,mMeZ,mMyZ,fF,mF
0,0.13408960787572233,1.192854958575232,1.0587653506995096,cousin,cousine,cousine,cousine,cousine,schwester,cousin,cousin,cousine,cousine,cousine,cousin,cousin,cousine,cousin,cousine,cousin,cousin,cousin,cousin,cousine,cousin,cousin,cousine,cousine,cousine,cousine,cousine,cousine,cousine,cousin,cousin,cousin,cousin,cousin,cousine,cousin,cousine,schwester,cousin,cousine,cousine,cousin,cousin,cousin,cousin,cousin,bruder,cousine,cousine,cousine,cousine,cousin,cousine,cousine,cousine,cousin,cousin,cousine,cousin,cousin,cousine,cousin,cousine,cousine,schwester,bruder,cousine,cousin,cousine,cousine,cousin,cousine,cousin,cousin,schwester,cousine,bruder,cousine,cousin,cousin,cousin,cousine,cousin,cousin,onkel,tante,onkel,tante,mutter,onkel,onkel,tante,mutter,onkel,vater,vater,tante,tante,tante,onkel,onkel,tante,tante,onkel
1,0.06585382717955213,1.1403524705011352,1.074498643321583,cousine,cousin,cousin,cousine,cousine,cousine,cousin,cousin,cousin,cousine,cousin,cousine,cousine,cousine,cousin,cousin,cousin,cousine,cousine,cousin,schwester,cousin,cousine,cousine,cousin,cousin,cousin,cousin,cousine,cousin,cousin,cousin,cousine,cousine,cousin,cousin,cousine,cousine,cousin,cousin,cousin,cousine,cousin,cousine,cousine,cousin,cousin,cousine,cousin,cousin,cousine,schwester,cousine,cousin,cousin,cousine,cousin,cousine,cousine,cousine,cousine,schwester,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousin,bruder,cousin,cousin,cousine,cousine,cousine,cousine,cousine,cousine,bruder,schwester,cousine,cousine,cousin,bruder,tante,tante,tante,mutter,onkel,onkel,tante,tante,onkel,vater,tante,onkel,tante,onkel,onkel,onkel,tante,vater,mutter,onkel
2,0.07290278784715443,1.2135652713163758,1.1406624834692214,cousin,cousin,cousine,cousine,cousin,bruder,schwester,cousine,cousine,cousine,cousine,cousine,cousin,cousine,cousine,cousin,cousin,cousine,cousin,cousine,cousine,cousin,cousine,cousine,cousine,cousin,cousine,cousine,cousine,cousin,schwester,cousin,cousin,cousine,cousin,cousin,cousine,cousine,cousin,cousine,cousin,cousin,cousine,cousin,cousin,cousin,bruder,cousine,cousine,cousin,cousin,cousine,cousin,cousin,cousin,cousine,cousine,cousin,schwester,cousin,cousine,cousine,cousin,cousine,cousin,schwester,cousine,cousin,cousine,cousin,cousin,cousine,cousin,cousine,cousine,cousine,cousin,bruder,cousin,cousin,cousine,cousin,cousin,cousin,cousine,tante,mutter,tante,tante,mutter,tante,onkel,tante,vater,onkel,onkel,onkel,vater,onkel,tante,onkel,tante,onkel,tante,onkel
3,0.09645143877219331,1.192854958575232,1.0964035198030386,cousin,cousine,cousin,cousin,cousine,cousin,cousin,cousine,bruder,bruder,cousin,cousin,cousine,cousin,cousine,cousin,schwester,cousin,cousine,schwester,cousine,cousin,cousin,cousine,schwester,cousine,cousin,cousin,cousine,bruder,cousine,cousine,cousine,cousin,cousine,cousine,cousine,cousine,cousine,cousine,cousin,cousine,cousin,cousine,cousin,cousin,schwester,cousine,cousin,cousine,cousin,cousin,cousin,cousin,cousine,cousin,cousin,cousin,cousine,cousine,cousine,cousine,cousin,cousine,cousin,cousine,cousine,cousin,cousine,cousin,cousin,cousine,cousin,cousine,cousin,cousine,cousine,cousin,cousin,cousin,cousin,cousine,cousin,cousine,cousine,tante,tante,mutter,onkel,vater,tante,mutter,tante,vater,onkel,onkel,onkel,onkel,onkel,tante,tante,tante,onkel,tante,onkel
4,0.11710575786309407,1.192854958575232,1.0757492007121379,cousin,cousin,cousin,cousin,cousine,cousin,cousin,cousine,cousine,cousine,cousine,cousin,cousine,cousine,cousin,cousin,cousin,cousine,cousin,cousine,cousine,cousin,cousine,schwester,cousine,cousin,cousine,cousin,cousin,cousine,cousin,cousin,cousine,cousine,schwester,schwester,cousin,cousin,cousine,cousine,cousin,cousin,cousin,cousin,cousine,cousine,cousine,cousine,cousin,cousin,cousine,cousin,cousin,cousine,cousine,cousin,cousin,cousin,cousine,bruder,cousin,cousine,cousine,cousin,cousin,cousine,cousine,cousin,cousine,cousin,cousine,cousine,bruder,cousine,cousin,cousine,bruder,cousin,cousine,cousine,cousin,cousine,cousin,cousine,schwester,onkel,tante,tante,tante,onkel,tante,onkel,mutter,mutter,tante,onkel,onkel,tante,vater,tante,onkel,tante,vater,onkel,onkel
5,0.05887909312752493,1.2149847829974896,1.1561056898699646,cousin,cousin,bruder,cousine,schwester,cousin,cousin,cousine,schwester,cousine,schwester,cousin,cousin,cousin,cousine,cousine,cousin,cousin,cousin,cousin,cousine,cousine,cousine,cousin,cousin,cousin,cousin,cousine,cousin,cousine,cousine,cousin,cousin,cousine,cousin,cousine,cousin,cousine,cousine,cousine,cousine,cousin,cousin,cousin,cousin,cousin,cousine,cousin,cousine,cousine,cousin,cousin,cousin,cousine,cousine,cousine,cousine,cousine,cousine,cousin,cousin,cousine,cousine,cousine,cousine,cousine,cousin,cousin,cousin,cousine,cousin,cousine,bruder,cousin,cousin,schwester,cousine,cousine,cousine,bruder,cousine,cousin,cousine,cousine,cousin,onkel,tante,tante,tante,onkel,onkel,onkel,tante,tante,tante,onkel,mutter,onkel,vater,onkel,tante,onkel,tante,vater,mutter
6,0.15832690291788198,1.1907686023357982,1.0324416994179162,cousine,bruder,cousine,cousin,cousin,cousin,cousin,cousine,cousin,cousine,cousin,cousin,cousin,cousine,cousine,schwester,cousin,cousin,cousin,cousin,cousine,cousin,cousin,cousine,cousine,cousine,cousin,cousine,cousine,cousine,cousin,cousine,bruder,cousine,cousin,cousine,cousin,cousin,cousin,cousine,cousine,cousin,cousine,cousine,cousine,cousin,cousin,cousin,cousin,cousin,cousine,cousine,bruder,cousin,cousine,cousin,cousine,cousin,cousin,schwester,cousine,cousine,schwester,cousin,cousine,cousin,cousine,cousin,cousine,cousine,cousine,cousine,cousine,cousin,schwester,cousin,cousin,cousin,cousine,cousin,cousine,cousine,cousine,cousin,cousine,mutter,onkel,onkel,tante,vater,onkel,mutter,vater,onkel,onkel,tante,tante,onkel,tante,tante,tante,onkel,tante,tante,onkel
7,0.06989631875392344,1.192854958575232,1.1229586398213085,cousin,cousin,bruder,cousine,cousin,cousine,cousine,bruder,cousine,cousine,cousine,cousine,cousin,cousine,schwester,cousine,cousine,cousin,cousin,cousin,cousin,cousine,cousin,cousin,cousin,cousin,cousin,cousin,cousine,cousin,cousine,cousine,cousin,cousine,cousine,cousine,cousin,cousine,cousine,cousine,cousine,cousine,cousine,cousine,cousine,cousin,cousin,bruder,cousin,cousine,schwester,cousin,cousine,cousine,cousin,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousin,cousin,cousine,cousine,cousin,cousin,cousin,cousine,schwester,cousin,cousin,cousine,cousin,cousin,cousin,cousine,cousin,cousine,schwester,cousin,cousine,cousine,cousin,mutter,tante,onkel,tante,vater,onkel,mutter,tante,onkel,tante,onkel,tante,tante,onkel,onkel,tante,vater,onkel,tante,onkel
8,0.08632338574269971,1.1396856259428154,1.0533622402001157,cousine,cousine,cousine,cousin,cousine,cousine,cousin,cousine,cousine,cousin,cousin,cousin,cousine,cousine,cousine,cousin,cousin,cousine,cousine,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousine,cousin,cousin,bruder,cousin,bruder,cousine,cousin,cousin,cousine,cousine,cousine,cousin,cousin,cousine,cousine,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousine,schwester,cousin,cousin,cousin,cousine,cousin,cousin,cousin,schwester,bruder,cousine,cousine,cousine,schwester,cousine,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,schwester,cousin,cousine,cousin,cousine,cousin,cousine,cousine,cousin,cousine,onkel,onkel,mutter,vater,onkel,onkel,tante,onkel,onkel,vater,tante,onkel,tante,tante,tante,tante,mutter,tante,tante,onkel
9,0.08572667041461579,1.192854958575232,1.1071282881606161,cousine,cousine,cousin,cousin,cousine,cousine,cousine,cousine,cousine,cousine,cousin,cousine,cousine,cousine,cousine,cousin,cousin,cousine,cousin,cousin,cousin,schwester,cousine,cousine,cousine,cousin,cousin,cousin,cousin,cousin,cousine,cousin,cousin,cousin,cousin,cousine,cousin,cousin,cousin,cousin,cousin,cousine,cousine,cousine,cousine,cousin,schwester,cousine,bruder,cousin,cousine,cousin,cousine,cousine,cousin,cousine,cousin,cousine,cousin,cousin,cousin,cousin,cousine,cousine,cousin,cousine,cousin,cousin,bruder,cousine,cousine,schwester,cousin,cousine,cousine,bruder,cousine,cousin,cousin,cousine,cousine,cousin,cousin,cousine,schwester,tante,onkel,onkel,tante,onkel,tante,vater,tante,onkel,mutter,onkel,tante,onkel,tante,onkel,vater,tante,mutter,onkel,tante
