simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,myB,myZ,fB,fZ,fyB,fyZ,meB,meZ,feB,feZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.07684940488446679,0.8613950593517035,0.7845456544672367,sasigi,sag'veveni,sasigi,sasigi,sasigi,sasigi,sasigi,saghoni,sasigi,saghoni mokoī,saghoni,saghoni,sag'veveni,sag'veveni,sasigi,saghoni,sag'veveni,sasigi,sasigi,sasigi,sasigi,sag'veveni mokoī,sasigi mafua,saghoni,sasigi,saghoni,sag'veveni,sag'veveni,sasigi mokoī,sæŋhɔni,sasigi,saghoni,sasigi,sag'veveni,sasigi,sasigi,sasigi,sasigi,sag'veveni,sasigi,sasigi,sasigi,saghoni,sag'veveni,sasigi mokoī,saghoni,sasigi,saghoni,sasigi mafua,sasigi,sag'veveni,sasigi,sag'veveni,saghoni,sag'veveni,sag'veveni,sasigi,sasigi,saŋavæne,sag'veveni,saghoni,sasigi,sasigi,sag'veveni,sasigi,saghoni,sag'veveni,sasigi,sasigi,sasigi,sasigi,saghoni,saghoni,saghoni,sag'veveni,sag'veveni,saghoni,saghoni,sag'veveni,saghoni,saghoni,sasigi,saŋavæne,saghoni,sasigi,sæŋhɔni,sag'veveni,sasigi,sasigi,sasigi,oifā,oifā,oihoni,oihoni,oihoni,oifā,oihoni,oihoni,oifā,oihoni,oifā,oifā,oifā,oihoni,oifā,oifā,oifā,oihoni,oifā,oihoni,oihon'i,oifā,oihon'i,oihoni,oifā,oifā,oihoni,oihoni
1,0.10405881294294284,0.9095523686743985,0.8054935557314556,sasigi,sasigi,sag'veveni,sag'veveni,saghoni,sag'veveni,saghoni,sasigi,saghoni,sasigi,sasigi,saghoni,sag'veveni,sag'veveni,sasigi mokoī,sag'veveni,sasigi,saghoni,sag'veveni,sag'veveni,sag'veveni,sasigi mafua,sasigi,saŋavæne,sag'veveni,sag'veveni,saghoni,sag'veveni,sag'veveni,sag'veveni,saghoni,sasigi mokoī,saghoni,sæŋhɔni,sasigi,saghoni,saghoni,saghoni,saghoni,sasigi,sasigi,sasigi mafua,sag'veveni,sasigi,sag'veveni,sasigi,sasigi,saghoni,sasigi,sasigi,sasigi,sasigi,saghoni,sasigi,sasigi,sasigi,sasigi,sasigi,sasigi,saghoni,sasigi,saghoni,sag'veveni,saghoni,sasigi,sasigi,sasigi,sasigi,sasigi,sasigi,sag'veveni mokoī,saghoni mokoī,saghoni,sasigi,saghoni,saŋavæne,saghoni,sasigi,sag'veveni,sag'veveni,sasigi,sæŋhɔni,saghoni,sasigi,sasigi,sasigi,sasigi,sasigi,sag'veveni,sasigi,oihoni,oifā,oifā,oifā,oifā,oihon'i,oihoni,oifā,oifā,oihoni,oifā,oihoni,oihoni,oifā,oihoni,oihoni,oifā,oihoni,oihoni,oifā,oihon'i,oifā,oihoni,oifā,oifā,oifā,oihoni,oihoni
2,0.046271100597218506,0.8764288978909568,0.8301577972937383,sasigi,sag'veveni,sag'veveni,saghoni,saghoni,saghoni,saghoni,sasigi,sasigi,saghoni,sasigi,sæŋhɔni,sasigi,saghoni,saghoni,sasigi,saghoni,sasigi,sag'veveni,saŋavæne,sag'veveni,sasigi,saghoni,saghoni,saghoni,sasigi,sasigi,sasigi,sag'veveni,saghoni,sasigi,saghoni,sasigi,sag'veveni,sasigi,sæŋhɔni,sag'veveni,saghoni,sasigi,sag'veveni,sasigi,sag'veveni,sasigi,sasigi,sasigi,sag'veveni,saghoni,saŋavæne,sag'veveni,sasigi,saghoni,sag'veveni,sasigi,sag'veveni,sasigi,sasigi mokoī,sasigi,sasigi,sasigi,sag'veveni mokoī,sasigi,sag'veveni,sag'veveni,sasigi,sasigi,saghoni,saghoni,sag'veveni,sasigi,sasigi mafua,sasigi,sasigi,sasigi,sasigi,sasigi,saghoni mokoī,sag'veveni,saghoni,sasigi,sasigi mokoī,sasigi mafua,saghoni,sag'veveni,sasigi,saghoni,sasigi,sasigi,sasigi,sag'veveni,sag'veveni,oifā,oifā,oihoni,oifā,oifā,oifā,oihoni,oihoni,oifā,oifā,oifā,oihoni,oifā,oihoni,oihon'i,oifā,oihoni,oihoni,oifā,oihoni,oifā,oifā,oifā,oihoni,oihoni,oihoni,oihoni,oihon'i
3,0.08722009865023517,0.9142399661187288,0.8270198674684937,saŋavæne,sasigi,saghoni,sasigi,saghoni,saghoni,sæŋhɔni,sag'veveni,sasigi,sag'veveni,sæŋhɔni,sasigi,saghoni,sasigi,sasigi,sasigi,sasigi,sasigi,saghoni,saghoni,saghoni,sasigi,sasigi,sasigi,sasigi,saghoni,saghoni,sasigi mokoī,sag'veveni,sasigi,sasigi mafua,saghoni,sasigi,sasigi,sag'veveni,sag'veveni,saghoni,sasigi,sag'veveni,sag'veveni,saŋavæne,sasigi mokoī,sasigi,sasigi,saghoni,sasigi,sasigi,sasigi mafua,sasigi,saghoni,sasigi,sasigi,sasigi,sag'veveni,sasigi,sag'veveni mokoī,saghoni,sasigi,sasigi,saghoni,sag'veveni,sasigi,sasigi,saghoni mokoī,sasigi,sasigi,sasigi,saghoni,sag'veveni,sasigi,sag'veveni,saghoni,saghoni,saghoni,sasigi,sasigi,sasigi,sag'veveni,sasigi,sag'veveni,saghoni,sag'veveni,sag'veveni,saghoni,sag'veveni,sag'veveni,sag'veveni,sag'veveni,sasigi,sag'veveni,oihoni,oihoni,oifā,oifā,oihoni,oihoni,oihoni,oihoni,oihoni,oifā,oihoni,oifā,oihon'i,oifā,oifā,oifā,oifā,oihoni,oihon'i,oihoni,oifā,oifā,oihoni,oifā,oifā,oifā,oifā,oihoni
4,0.13970713673147805,0.9145741854074545,0.7748670486759764,saghoni,sasigi,sag'veveni,saghoni,sasigi,saghoni,saghoni,sag'veveni,sag'veveni,sasigi,sasigi mafua,sag'veveni,saghoni,sasigi,sag'veveni,sag'veveni,sasigi,saghoni,sasigi,sasigi,sag'veveni mokoī,sasigi mokoī,sasigi,saghoni,saghoni,saghoni,saghoni,saghoni mokoī,sasigi,sag'veveni,sasigi,sasigi,saghoni,sasigi,sag'veveni,saghoni,sasigi,sag'veveni,sag'veveni,sag'veveni,saghoni,sag'veveni,sasigi,saghoni,sasigi,saghoni,sæŋhɔni,sasigi,sasigi,sasigi,sasigi,sasigi,sasigi,sasigi,saghoni,sasigi,sasigi,sasigi,sag'veveni,saŋavæne,sasigi,sasigi,sasigi,sasigi,sasigi mafua,sag'veveni,sasigi mokoī,sasigi,saghoni,sasigi,saghoni,sag'veveni,sag'veveni,sag'veveni,saghoni,sag'veveni,sasigi,sæŋhɔni,sasigi,sasigi,sasigi,sasigi,saghoni,sag'veveni,sasigi,sasigi,saghoni,sasigi,sag'veveni,saŋavæne,oihoni,oihoni,oihoni,oihoni,oihon'i,oifā,oihoni,oihoni,oihoni,oifā,oifā,oifā,oihoni,oifā,oihoni,oifā,oifā,oihoni,oifā,oifā,oihoni,oifā,oifā,oifā,oifā,oifā,oihon'i,oihoni
5,0.05900884044763255,0.912567654669802,0.8535588142221695,sasigi,saghoni,saghoni,sag'veveni,sasigi,sasigi,sag'veveni,sasigi mokoī,sasigi,saghoni,sasigi,sag'veveni,saghoni,sasigi,sasigi,sasigi,saghoni,sasigi,sag'veveni,saŋavæne,sag'veveni,saghoni,sasigi,sag'veveni,sæŋhɔni,sag'veveni,sasigi,saghoni mokoī,sasigi,sag'veveni,saghoni,saghoni,sasigi,sasigi,sasigi,sasigi,sasigi,saghoni,sasigi,sasigi mokoī,sasigi,saghoni,sag'veveni,sasigi,sasigi,sasigi,sasigi mafua,sasigi,saghoni,sasigi,saghoni,sasigi,sasigi,sasigi mafua,sasigi,sag'veveni,sag'veveni,sasigi,sag'veveni,saghoni,saghoni,sasigi,sasigi,sag'veveni,sasigi,sasigi,sag'veveni,saghoni,sag'veveni,sag'veveni mokoī,sasigi,sag'veveni,sag'veveni,sasigi,sasigi,sasigi,saghoni,saghoni,sag'veveni,saghoni,saghoni,saghoni,sag'veveni,sasigi,saghoni,sasigi,saŋavæne,sasigi,sæŋhɔni,sag'veveni,oihoni,oifā,oihon'i,oifā,oifā,oifā,oifā,oifā,oihoni,oifā,oifā,oihon'i,oifā,oihoni,oihoni,oifā,oihoni,oihoni,oifā,oihoni,oihoni,oifā,oihoni,oifā,oihoni,oihoni,oifā,oihoni
6,0.1490082746656185,0.9024908097716757,0.7534825351060572,sasigi,saghoni,saghoni,sasigi,saghoni,sag'veveni,sasigi,sag'veveni,sag'veveni,sag'veveni,sasigi,sag'veveni mokoī,sasigi mokoī,sag'veveni,sasigi,sag'veveni,sæŋhɔni,sasigi,saghoni,sag'veveni,sasigi,sag'veveni,saghoni,sasigi,sasigi,sasigi,saghoni,sasigi,saghoni,sasigi,saŋavæne,sasigi,saghoni,sasigi,saghoni,sag'veveni,sag'veveni,sag'veveni,sasigi,sasigi,sasigi,sasigi,sæŋhɔni,saghoni mokoī,sasigi mafua,saghoni,sag'veveni,saghoni,saŋavæne,sasigi mafua,sasigi,sasigi,saghoni,sasigi,sasigi,saghoni,sag'veveni,saghoni,sag'veveni,saghoni,saghoni,sag'veveni,saghoni,sasigi,sasigi,sasigi,sasigi,sasigi,sag'veveni,sasigi,sasigi,sasigi,sasigi,sasigi,sasigi,sasigi,sag'veveni,saghoni,sag'veveni,sasigi,sag'veveni,saghoni,sasigi mokoī,sasigi,sasigi,saghoni,saghoni,sag'veveni,sasigi,sasigi,oifā,oifā,oifā,oihoni,oifā,oihon'i,oihon'i,oifā,oihoni,oihoni,oifā,oihoni,oihoni,oifā,oihoni,oihoni,oifā,oihoni,oifā,oifā,oihoni,oifā,oifā,oifā,oifā,oihoni,oihoni,oihoni
7,0.06760895575894899,0.8430639366979347,0.7754549809389857,sasigi,sasigi,sag'veveni,sasigi,sasigi,sæŋhɔni,saghoni,sasigi,saghoni,saghoni,sasigi,saghoni,saghoni,sasigi,sasigi,sasigi,sag'veveni,saghoni,saghoni,sasigi mafua,sasigi,saghoni mokoī,sag'veveni,sag'veveni,sasigi,saghoni,sasigi,sag'veveni mokoī,sasigi,sag'veveni,sasigi,sasigi,sag'veveni,sasigi,sasigi,sasigi,sasigi,sasigi,sasigi,sasigi mokoī,sasigi,sag'veveni,sag'veveni,sag'veveni,sag'veveni,sag'veveni,sag'veveni,sag'veveni,sasigi,sasigi,sag'veveni,sag'veveni,sasigi,saghoni,sag'veveni,sasigi,sasigi,sasigi,sasigi,saghoni,sasigi,saghoni,saŋavæne,sasigi,saŋavæne,saghoni,sasigi,saghoni,saghoni,sasigi,sæŋhɔni,saghoni,sasigi,saghoni,sasigi,saghoni,sasigi mokoī,sasigi,sag'veveni,sasigi,saghoni,sag'veveni,sasigi,sag'veveni,saghoni,sag'veveni,saghoni,sasigi mafua,saghoni,sasigi,oifā,oifā,oihoni,oifā,oifā,oifā,oifā,oifā,oihoni,oihoni,oifā,oihoni,oifā,oihoni,oifā,oifā,oifā,oihoni,oihoni,oifā,oihoni,oihoni,oihoni,oihoni,oifā,oihon'i,oihon'i,oihoni
8,0.11095102443333682,0.95237319648991,0.8414221720565732,sasigi,sag'veveni,sasigi,sasigi,sag'veveni,sasigi,saghoni,sag'veveni mokoī,sasigi,sasigi,sasigi,sasigi,sasigi,sag'veveni,sag'veveni,sasigi mafua,saghoni,sasigi,sag'veveni,sag'veveni,sasigi,sasigi,sasigi,sæŋhɔni,sag'veveni,sag'veveni,saghoni,sag'veveni,sag'veveni,sasigi,saghoni,sæŋhɔni,sasigi,sag'veveni,saghoni,saghoni,saghoni,sasigi,saghoni,sag'veveni,saghoni,saghoni,sasigi,sasigi,sasigi,sasigi,saghoni,saghoni,sasigi,sag'veveni,sasigi,sasigi,saghoni,saghoni mokoī,saghoni,sasigi,saghoni,sag'veveni,sasigi mokoī,saghoni,saghoni,sag'veveni,saghoni,sasigi,sag'veveni,sasigi,sag'veveni,sasigi,saŋavæne,sasigi,sag'veveni,sasigi,sasigi mokoī,sag'veveni,sasigi mafua,saghoni,sasigi,sasigi,sasigi,saghoni,saghoni,sasigi,sasigi,sasigi,sasigi,sasigi,sasigi,sag'veveni,sasigi,saŋavæne,oihoni,oifā,oifā,oifā,oifā,oifā,oifā,oihoni,oihoni,oifā,oifā,oihoni,oihoni,oihoni,oihoni,oifā,oihoni,oihon'i,oihon'i,oihoni,oifā,oifā,oifā,oihoni,oihoni,oihoni,oifā,oifā
9,0.08541412215715427,0.9051852293680358,0.8197711072108815,sasigi,sasigi,sasigi,sag'veveni,saghoni,sasigi,sasigi,sasigi,sag'veveni,saghoni,sag'veveni,saghoni,sag'veveni,sasigi,sag'veveni,saghoni,sasigi,sasigi,sasigi,sag'veveni,saghoni mokoī,sasigi,sag'veveni,sag'veveni,saghoni,sasigi,saghoni,sasigi,sasigi,sag'veveni,sasigi,sasigi,saghoni,sag'veveni,sag'veveni,sasigi,sag'veveni,sag'veveni mokoī,sasigi mafua,saghoni,sasigi,sag'veveni,sæŋhɔni,sasigi,saghoni,sag'veveni,saghoni,saŋavæne,saghoni,sasigi,sasigi,saghoni,saŋavæne,sag'veveni,sag'veveni,sasigi,saghoni,sag'veveni,sag'veveni,saghoni,sasigi,saghoni,sasigi,saghoni,sasigi,sasigi,saghoni,sasigi,sasigi,sasigi mokoī,sasigi,sasigi,sasigi mokoī,sasigi,saghoni,saghoni,sasigi,sasigi,sasigi,sasigi,sag'veveni,sag'veveni,sasigi,sæŋhɔni,sasigi,sasigi mafua,saghoni,saghoni,sasigi,sasigi,oihoni,oihoni,oifā,oifā,oihoni,oifā,oifā,oihoni,oihoni,oifā,oihon'i,oifā,oifā,oihoni,oihoni,oihoni,oihon'i,oifā,oifā,oifā,oifā,oihoni,oifā,oihoni,oifā,oihoni,oifā,oihoni
