simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mFZ,mMZ,fFZ,fMZ
0,0.17256117954801087,1.83892355420578,1.6663623746577692,maguât,maguât,maguât,maguât,maguât,vapaci,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,cochiguat,maguât,maguât,maguât,maguât,viniwa,maguât,vonigua,maguât,maguât,cotziguat,viniwa,maguât,maguât,cotziguat,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vonigua,vapaci,maguât,maguât,maguât,maguât,maguât,cutziguat,mas,aiguat,deri-,deri-,tepó,deguat,teviriguat,cutziguat,cumuguat,taiguat,deri-,deri-,cumuguat,deri-,teviriguat,deri-,deri-,deri-,mas,tepó,deguat,deri-,deri-
1,0.2339977055005622,1.8296680795851195,1.5956703740845573,maguât,maguât,maguât,vonigua,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,cotziguat,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,viniwa,maguât,maguât,cochiguat,vonigua,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vapaci,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,viniwa,vapaci,maguât,maguât,cotziguat,maguât,maguât,mas,deri-,cumuguat,teviriguat,deguat,deri-,aiguat,deri-,deri-,mas,deri-,deguat,cutziguat,tepó,cumuguat,deri-,deri-,tepó,cutziguat,deri-,deri-,taiguat,deri-,teviriguat
2,0.19604520459217412,1.8358353400153382,1.639790135423164,maguât,maguât,maguât,maguât,cotziguat,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vapaci,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vapaci,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,cotziguat,maguât,cochiguat,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vonigua,maguât,viniwa,maguât,maguât,maguât,maguât,maguât,maguât,viniwa,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vonigua,maguât,maguât,mas,deri-,deri-,taiguat,tepó,deri-,cumuguat,teviriguat,deri-,deri-,aiguat,mas,deri-,teviriguat,deri-,deri-,cumuguat,cutziguat,deguat,deguat,deri-,cutziguat,deri-,tepó
3,0.21395699915385813,1.8108580929253257,1.5969010937714676,maguât,maguât,maguât,maguât,viniwa,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vonigua,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,cotziguat,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,viniwa,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vapaci,maguât,maguât,maguât,maguât,maguât,maguât,cochiguat,maguât,maguât,cotziguat,maguât,maguât,maguât,maguât,maguât,maguât,vonigua,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vapaci,maguât,maguât,maguât,maguât,maguât,maguât,deri-,deri-,deri-,taiguat,deguat,deri-,deri-,deri-,teviriguat,tepó,cutziguat,deguat,teviriguat,cumuguat,mas,mas,cumuguat,cutziguat,deri-,deri-,tepó,aiguat,deri-,deri-
4,0.1649908345547888,1.8922683518149717,1.7272775172601829,maguât,maguât,maguât,vapaci,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vapaci,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,viniwa,maguât,maguât,maguât,maguât,cotziguat,maguât,cochiguat,maguât,maguât,maguât,maguât,viniwa,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,cotziguat,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vonigua,vonigua,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,deri-,deri-,deguat,mas,deri-,teviriguat,tepó,deri-,aiguat,teviriguat,deri-,mas,deri-,deri-,deri-,deri-,tepó,cutziguat,cumuguat,cumuguat,taiguat,deri-,cutziguat,deguat
5,0.14332132290876243,1.8204160828067588,1.6770947598979964,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vonigua,maguât,maguât,maguât,maguât,maguât,vapaci,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vonigua,maguât,maguât,maguât,viniwa,maguât,maguât,maguât,cotziguat,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,cotziguat,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,viniwa,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,cochiguat,maguât,maguât,maguât,maguât,maguât,maguât,vapaci,maguât,maguât,deri-,mas,deri-,deri-,aiguat,teviriguat,deguat,cutziguat,deri-,deri-,cutziguat,taiguat,tepó,deguat,cumuguat,tepó,deri-,mas,deri-,deri-,deri-,cumuguat,deri-,teviriguat
6,0.18443636948778952,1.9712929133526522,1.7868565438648627,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vonigua,maguât,maguât,maguât,cotziguat,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,cochiguat,maguât,vapaci,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,viniwa,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vonigua,cotziguat,maguât,maguât,vapaci,maguât,maguât,maguât,maguât,maguât,viniwa,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,deri-,cutziguat,deri-,deri-,deri-,deri-,deri-,aiguat,deri-,cumuguat,tepó,teviriguat,deguat,deri-,cumuguat,mas,deri-,teviriguat,deguat,deri-,tepó,taiguat,mas,cutziguat
7,0.18277312783147037,1.9267512268821467,1.7439780990506764,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,viniwa,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vapaci,maguât,maguât,viniwa,maguât,maguât,maguât,maguât,cotziguat,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,cochiguat,vonigua,maguât,maguât,vapaci,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,cotziguat,maguât,vonigua,maguât,cutziguat,deguat,deguat,deri-,deri-,deri-,cutziguat,deri-,deri-,deri-,cumuguat,teviriguat,cumuguat,teviriguat,taiguat,deri-,deri-,tepó,mas,deri-,deri-,aiguat,mas,tepó
8,0.14048969017856017,1.7372139357318401,1.59672424555328,maguât,vapaci,maguât,maguât,maguât,vonigua,maguât,maguât,maguât,maguât,maguât,viniwa,maguât,maguât,maguât,maguât,maguât,maguât,viniwa,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,cotziguat,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,vapaci,maguât,maguât,maguât,maguât,maguât,maguât,cochiguat,maguât,vonigua,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,cotziguat,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,deri-,taiguat,mas,deri-,mas,cumuguat,deguat,deri-,cutziguat,tepó,teviriguat,deri-,deri-,deguat,deri-,deri-,cutziguat,cumuguat,aiguat,tepó,teviriguat,deri-,deri-,deri-
9,0.3439191372667558,1.7938273803016247,1.4499082430348689,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,cotziguat,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,viniwa,maguât,maguât,maguât,maguât,viniwa,maguât,maguât,vonigua,maguât,maguât,vapaci,maguât,maguât,vapaci,cotziguat,maguât,maguât,maguât,maguât,maguât,cochiguat,maguât,maguât,maguât,maguât,maguât,vonigua,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,maguât,deguat,teviriguat,deri-,cumuguat,teviriguat,tepó,mas,cumuguat,cutziguat,cutziguat,deri-,deri-,aiguat,deri-,taiguat,mas,deri-,deri-,deri-,tepó,deri-,deguat,deri-,deri-
