simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.011819800194922125,1.6323445093995512,1.620524709204629,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,kahka,pee-yũkwe,yũũkwe,ney,kahka,pee-yũkwe,pee-c̷uhc̷,pee-c̷uhc̷,kahka,ney,pee-c̷uhc̷,pee-c̷uhc̷,pee-c̷uhc̷,mama,pee-yũkwe,yũũkwe,kahka,kahka,pee-yũkwe,pee-yũkwe,pee-c̷uhc̷,mama,kahka,pee-yũkwe,yũũkwe,yũũkwe,yũũkwe,yũũkwe
1,0.012760650955435215,1.6886289645154666,1.6758683135600314,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,pee-yũkwe,ney,mama,kahka,pee-c̷uhc̷,kahka,yũũkwe,kahka,pee-c̷uhc̷,yũũkwe,pee-yũkwe,pee-c̷uhc̷,pee-yũkwe,pee-c̷uhc̷,pee-c̷uhc̷,pee-c̷uhc̷,kahka,pee-yũkwe,yũũkwe,pee-yũkwe,kahka,mama,ney,kahka,yũũkwe,pee-yũkwe,yũũkwe,yũũkwe
2,0.010970166348030164,1.6349204117254952,1.623950245377465,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,pee-c̷uhc̷,pee-c̷uhc̷,yũũkwe,yũũkwe,kahka,pee-c̷uhc̷,yũũkwe,ney,pee-yũkwe,ney,yũũkwe,mama,kahka,yũũkwe,kahka,pee-yũkwe,pee-c̷uhc̷,kahka,pee-yũkwe,pee-c̷uhc̷,mama,pee-yũkwe,pee-yũkwe,kahka,pee-yũkwe,yũũkwe,kahka,pee-c̷uhc̷
3,0.02008568250705345,1.693701861135375,1.6736161786283215,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,mama,pee-c̷uhc̷,yũũkwe,pee-yũkwe,pee-yũkwe,mama,yũũkwe,pee-yũkwe,pee-yũkwe,yũũkwe,pee-yũkwe,pee-c̷uhc̷,ney,pee-c̷uhc̷,kahka,kahka,yũũkwe,pee-yũkwe,yũũkwe,pee-c̷uhc̷,ney,kahka,kahka,pee-c̷uhc̷,yũũkwe,kahka,pee-c̷uhc̷,kahka
4,0.022739567893777846,1.679266385943865,1.6565268180500872,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,mama,pee-c̷uhc̷,yũũkwe,pee-yũkwe,pee-c̷uhc̷,kahka,pee-yũkwe,ney,pee-yũkwe,pee-yũkwe,pee-yũkwe,yũũkwe,kahka,yũũkwe,pee-c̷uhc̷,kahka,yũũkwe,kahka,pee-yũkwe,pee-c̷uhc̷,yũũkwe,kahka,pee-c̷uhc̷,mama,yũũkwe,pee-c̷uhc̷,ney,kahka
5,0.012435690348150619,1.6890205776351404,1.6765848872869897,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,pee-c̷uhc̷,kahka,pee-c̷uhc̷,pee-yũkwe,kahka,pee-yũkwe,yũũkwe,mama,yũũkwe,kahka,kahka,yũũkwe,yũũkwe,ney,pee-c̷uhc̷,mama,pee-c̷uhc̷,yũũkwe,ney,pee-yũkwe,pee-yũkwe,pee-yũkwe,kahka,pee-yũkwe,yũũkwe,pee-c̷uhc̷,kahka,pee-c̷uhc̷
6,0.01344908692213731,1.6890205776351404,1.675571490713003,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,pee-c̷uhc̷,pee-yũkwe,pee-yũkwe,pee-c̷uhc̷,yũũkwe,yũũkwe,yũũkwe,yũũkwe,kahka,kahka,kahka,yũũkwe,mama,yũũkwe,pee-yũkwe,ney,kahka,pee-yũkwe,mama,pee-c̷uhc̷,kahka,pee-c̷uhc̷,pee-yũkwe,ney,pee-yũkwe,pee-c̷uhc̷,kahka,pee-c̷uhc̷
7,0.013449086922137976,1.6744505270723038,1.6610014401501658,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yũũkwe,pee-c̷uhc̷,pee-c̷uhc̷,pee-yũkwe,kahka,ney,yũũkwe,pee-yũkwe,pee-yũkwe,kahka,pee-c̷uhc̷,yũũkwe,ney,kahka,pee-yũkwe,yũũkwe,yũũkwe,pee-c̷uhc̷,kahka,pee-c̷uhc̷,kahka,kahka,yũũkwe,mama,mama,pee-c̷uhc̷,pee-yũkwe,pee-yũkwe
8,0.015012928783911805,1.6744172684808794,1.6594043396969675,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,pee-yũkwe,kahka,pee-c̷uhc̷,kahka,pee-c̷uhc̷,yũũkwe,mama,yũũkwe,pee-c̷uhc̷,pee-yũkwe,kahka,kahka,pee-c̷uhc̷,ney,pee-yũkwe,pee-yũkwe,kahka,kahka,yũũkwe,mama,yũũkwe,pee-yũkwe,yũũkwe,pee-c̷uhc̷,pee-yũkwe,yũũkwe,ney,pee-c̷uhc̷
9,0.015451708206671633,1.6874307255604828,1.6719790173538112,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,yakh-thẽʔh,kahka,yũũkwe,pee-yũkwe,yũũkwe,ney,pee-c̷uhc̷,ney,pee-yũkwe,pee-c̷uhc̷,yũũkwe,pee-c̷uhc̷,kahka,mama,pee-c̷uhc̷,kahka,mama,pee-c̷uhc̷,pee-c̷uhc̷,pee-yũkwe,pee-yũkwe,yũũkwe,kahka,kahka,yũũkwe,pee-yũkwe,pee-yũkwe,yũũkwe,kahka
