simulation_number,mutual_information,entropy,conditional_entropy,meB,feB,mFBeS,fFBeS,mFZeS,fFZeS,mMBeS,fMBeS,mMZeS,mFZyD,mMByD,meZ,feZ,mFBeD,fFBeD,mFZeD,mMBeD,fMBeD,mMZeD,myB,fyB,mFByS,fFByS,mFZyS,fFZyS,mMByS,fMByS,mMZyS,fMZyS,mFByD,fFZyD,fMZyD,myZ,fyZ,fFByD,fMByD,mMZyD,fFZeD,fMZeD,fF,mFeB,mFyB,fFeB,fFyB,mMeB,mMyB,fMeB,fMyB,mFeZ,mFyZ,fFeZ,fFyZ,mMeZ,mMyZ,fMeZ,fMyZ,mM,fM
0,0.24633656603446108,1.0986122886681096,0.8522757226336485,saʼ-chǎ,saʼ-che,saʼ-chithʼ,saʼ-che,saʼ-che,sa-cheʼ,saʼ-chǎ,saʼ-che,"sa-chith, sit-shith",saʼ-chithʼ,sa-chith,saʼ-chǎ,sa-chithʼ,sa-chithʼ,soonʼ-da-ga,saʼ-chǎ,soonʼ-da-ga,sa-chithʼ,soonʼ-da-ga,"sa-chith, sit-shith",soonʼ-da-ga,sa-chith,soonʼ-da-ga,saʼ-che,saʼ-chǎ,soonʼ-da-ga,saʼ-chǎ,saʼ-chǎ,soonʼ-da-ga,saʼ-chǎ,saʼ-che,saʼ-che,soonʼ-da-ga,saʼ-chǎ,sa-cheʼ,saʼ-chǎ,soonʼ-da-ga,saʼ-che,sa-chith,säʼ-kiʼ,soo-eʼ,säʼ-kiʼ,soo-eʼ,na-ainghʼ,te-anghʼ,na-ainghʼ,säʼ-kiʼ,na-ainghʼ,säʼ-kiʼ,na-ainghʼ,"en-naʼ, na-aingh",te-anghʼ,te-anghʼ,soo-eʼ,"en-naʼ, na-aingh",te-͡anghʼ,soo-eʼ,te-anghʼ
1,0.03206710047338679,0.6365141682948128,0.604447067821426,saʼ-che,saʼ-che,sa-chith,saʼ-chithʼ,soonʼ-da-ga,saʼ-chǎ,saʼ-che,sa-chithʼ,soonʼ-da-ga,sa-chithʼ,saʼ-chǎ,soonʼ-da-ga,soonʼ-da-ga,soonʼ-da-ga,soonʼ-da-ga,saʼ-chǎ,"sa-chith, sit-shith",sa-chith,"sa-chith, sit-shith",soonʼ-da-ga,saʼ-che,saʼ-chǎ,saʼ-chǎ,saʼ-chithʼ,sa-cheʼ,saʼ-che,saʼ-che,saʼ-chǎ,sa-chithʼ,saʼ-chǎ,saʼ-chǎ,saʼ-che,soonʼ-da-ga,sa-cheʼ,saʼ-chǎ,soonʼ-da-ga,saʼ-chǎ,sa-chith,saʼ-che,soo-eʼ,säʼ-kiʼ,te-anghʼ,soo-eʼ,na-ainghʼ,säʼ-kiʼ,"en-naʼ, na-aingh","en-naʼ, na-aingh",säʼ-kiʼ,te-anghʼ,soo-eʼ,säʼ-kiʼ,te-anghʼ,te-anghʼ,na-ainghʼ,na-ainghʼ,na-ainghʼ,soo-eʼ,te-͡anghʼ
2,0.3560926403742892,1.0986122886681096,0.7425196482938203,soonʼ-da-ga,sa-cheʼ,sa-chithʼ,sa-chith,soonʼ-da-ga,saʼ-chǎ,sa-chithʼ,saʼ-che,soonʼ-da-ga,saʼ-che,sa-chith,saʼ-chǎ,sa-cheʼ,saʼ-che,saʼ-chǎ,"sa-chith, sit-shith",sa-chithʼ,saʼ-chǎ,saʼ-che,soonʼ-da-ga,saʼ-chithʼ,saʼ-chǎ,saʼ-chǎ,saʼ-chithʼ,saʼ-chǎ,saʼ-che,saʼ-chǎ,saʼ-chǎ,"sa-chith, sit-shith",saʼ-chǎ,saʼ-che,soonʼ-da-ga,soonʼ-da-ga,soonʼ-da-ga,saʼ-che,soonʼ-da-ga,sa-chith,soonʼ-da-ga,saʼ-che,"en-naʼ, na-aingh","en-naʼ, na-aingh",te-anghʼ,säʼ-kiʼ,na-ainghʼ,soo-eʼ,na-ainghʼ,soo-eʼ,säʼ-kiʼ,te-anghʼ,na-ainghʼ,säʼ-kiʼ,soo-eʼ,te-anghʼ,na-ainghʼ,te-anghʼ,te-͡anghʼ,soo-eʼ,säʼ-kiʼ
3,0.1591285420737032,0.6365141682948128,0.4773856262211096,soonʼ-da-ga,saʼ-chithʼ,"sa-chith, sit-shith",saʼ-chǎ,saʼ-chǎ,saʼ-che,soonʼ-da-ga,saʼ-che,soonʼ-da-ga,sa-chith,saʼ-che,saʼ-chithʼ,soonʼ-da-ga,saʼ-chǎ,saʼ-chǎ,saʼ-chǎ,"sa-chith, sit-shith",soonʼ-da-ga,saʼ-chǎ,sa-cheʼ,soonʼ-da-ga,sa-chith,soonʼ-da-ga,saʼ-che,saʼ-chǎ,saʼ-che,saʼ-chǎ,sa-cheʼ,saʼ-che,soonʼ-da-ga,saʼ-che,saʼ-chǎ,soonʼ-da-ga,sa-chithʼ,saʼ-che,sa-chithʼ,sa-chith,sa-chithʼ,saʼ-chǎ,na-ainghʼ,säʼ-kiʼ,na-ainghʼ,soo-eʼ,te-͡anghʼ,soo-eʼ,"en-naʼ, na-aingh",soo-eʼ,te-anghʼ,säʼ-kiʼ,säʼ-kiʼ,"en-naʼ, na-aingh",te-anghʼ,te-anghʼ,säʼ-kiʼ,na-ainghʼ,soo-eʼ,te-anghʼ,na-ainghʼ
4,0.39727964929324067,1.0986122886681096,0.7013326393748689,soonʼ-da-ga,saʼ-chithʼ,saʼ-chǎ,sa-chithʼ,sa-cheʼ,saʼ-chǎ,saʼ-chithʼ,sa-cheʼ,soonʼ-da-ga,saʼ-chǎ,soonʼ-da-ga,saʼ-chǎ,soonʼ-da-ga,saʼ-chǎ,saʼ-che,saʼ-che,sa-chith,soonʼ-da-ga,saʼ-che,sa-chith,soonʼ-da-ga,sa-chith,sa-chithʼ,soonʼ-da-ga,"sa-chith, sit-shith",saʼ-che,saʼ-chǎ,saʼ-chǎ,saʼ-chǎ,saʼ-che,sa-chithʼ,saʼ-che,saʼ-chǎ,soonʼ-da-ga,soonʼ-da-ga,saʼ-che,saʼ-chǎ,"sa-chith, sit-shith",saʼ-che,te-anghʼ,säʼ-kiʼ,soo-eʼ,"en-naʼ, na-aingh",te-anghʼ,na-ainghʼ,te-anghʼ,te-anghʼ,na-ainghʼ,soo-eʼ,te-͡anghʼ,"en-naʼ, na-aingh",säʼ-kiʼ,na-ainghʼ,säʼ-kiʼ,soo-eʼ,säʼ-kiʼ,soo-eʼ,na-ainghʼ
5,0.10975607433982792,1.0986122886681096,0.9888562143282816,saʼ-che,saʼ-che,soonʼ-da-ga,saʼ-che,soonʼ-da-ga,saʼ-che,saʼ-chǎ,saʼ-che,sa-cheʼ,sa-chith,saʼ-che,soonʼ-da-ga,sa-chithʼ,sa-chith,"sa-chith, sit-shith",saʼ-chǎ,soonʼ-da-ga,saʼ-che,soonʼ-da-ga,sa-cheʼ,saʼ-che,soonʼ-da-ga,saʼ-chǎ,saʼ-chithʼ,saʼ-chǎ,sa-chithʼ,soonʼ-da-ga,sa-chith,soonʼ-da-ga,saʼ-chǎ,saʼ-chǎ,"sa-chith, sit-shith",sa-chithʼ,soonʼ-da-ga,saʼ-chithʼ,saʼ-chǎ,saʼ-chǎ,saʼ-chǎ,saʼ-chǎ,te-anghʼ,te-anghʼ,"en-naʼ, na-aingh","en-naʼ, na-aingh",na-ainghʼ,säʼ-kiʼ,soo-eʼ,na-ainghʼ,soo-eʼ,te-anghʼ,säʼ-kiʼ,säʼ-kiʼ,soo-eʼ,te-͡anghʼ,na-ainghʼ,soo-eʼ,te-anghʼ,na-ainghʼ,säʼ-kiʼ
6,0.10249552980857068,0.6365141682948128,0.5340186384862421,saʼ-che,saʼ-chǎ,saʼ-che,sa-cheʼ,soonʼ-da-ga,sa-chithʼ,sa-chith,saʼ-chǎ,saʼ-chǎ,soonʼ-da-ga,"sa-chith, sit-shith",saʼ-che,saʼ-chǎ,saʼ-chǎ,saʼ-chithʼ,sa-chithʼ,soonʼ-da-ga,saʼ-che,saʼ-chǎ,sa-cheʼ,saʼ-che,soonʼ-da-ga,sa-chith,saʼ-che,soonʼ-da-ga,saʼ-chithʼ,"sa-chith, sit-shith",saʼ-chǎ,soonʼ-da-ga,soonʼ-da-ga,saʼ-che,sa-chithʼ,sa-chith,saʼ-chǎ,saʼ-che,soonʼ-da-ga,soonʼ-da-ga,saʼ-chǎ,saʼ-chǎ,soo-eʼ,te-anghʼ,na-ainghʼ,"en-naʼ, na-aingh",soo-eʼ,te-anghʼ,säʼ-kiʼ,säʼ-kiʼ,na-ainghʼ,säʼ-kiʼ,na-ainghʼ,säʼ-kiʼ,na-ainghʼ,te-͡anghʼ,"en-naʼ, na-aingh",te-anghʼ,soo-eʼ,soo-eʼ,te-anghʼ
7,0.23815110721953758,1.0986122886681096,0.860461181448572,soonʼ-da-ga,soonʼ-da-ga,saʼ-che,soonʼ-da-ga,saʼ-chithʼ,saʼ-chǎ,sa-cheʼ,sa-chithʼ,sa-chithʼ,saʼ-chithʼ,saʼ-che,soonʼ-da-ga,sa-chithʼ,saʼ-che,soonʼ-da-ga,saʼ-che,sa-chith,saʼ-chǎ,saʼ-che,soonʼ-da-ga,soonʼ-da-ga,saʼ-chǎ,sa-chith,"sa-chith, sit-shith",saʼ-che,soonʼ-da-ga,saʼ-chǎ,saʼ-chǎ,saʼ-che,saʼ-chǎ,saʼ-che,"sa-chith, sit-shith",sa-cheʼ,saʼ-chǎ,saʼ-chǎ,soonʼ-da-ga,saʼ-chǎ,saʼ-chǎ,sa-chith,"en-naʼ, na-aingh",säʼ-kiʼ,säʼ-kiʼ,te-anghʼ,säʼ-kiʼ,te-anghʼ,na-ainghʼ,na-ainghʼ,te-anghʼ,soo-eʼ,soo-eʼ,te-͡anghʼ,"en-naʼ, na-aingh",te-anghʼ,soo-eʼ,na-ainghʼ,na-ainghʼ,säʼ-kiʼ,soo-eʼ
8,0.08143956820726195,0.6365141682948128,0.5550746000875508,soonʼ-da-ga,saʼ-chǎ,saʼ-che,soonʼ-da-ga,saʼ-chǎ,saʼ-chǎ,sa-chith,saʼ-chǎ,saʼ-che,sa-chithʼ,saʼ-che,saʼ-che,saʼ-che,saʼ-chǎ,saʼ-che,"sa-chith, sit-shith",saʼ-chǎ,soonʼ-da-ga,saʼ-chǎ,sa-chith,soonʼ-da-ga,soonʼ-da-ga,saʼ-chǎ,saʼ-chǎ,saʼ-chǎ,saʼ-che,soonʼ-da-ga,soonʼ-da-ga,saʼ-chithʼ,"sa-chith, sit-shith",saʼ-che,sa-chithʼ,sa-chithʼ,soonʼ-da-ga,soonʼ-da-ga,sa-chith,saʼ-chithʼ,sa-cheʼ,sa-cheʼ,te-͡anghʼ,soo-eʼ,te-anghʼ,"en-naʼ, na-aingh",säʼ-kiʼ,na-ainghʼ,na-ainghʼ,soo-eʼ,na-ainghʼ,säʼ-kiʼ,te-anghʼ,te-anghʼ,soo-eʼ,te-anghʼ,na-ainghʼ,soo-eʼ,"en-naʼ, na-aingh",säʼ-kiʼ,säʼ-kiʼ
9,0.14759163056671099,0.6365141682948128,0.4889225377281018,soonʼ-da-ga,sa-chith,saʼ-che,soonʼ-da-ga,saʼ-chǎ,sa-chithʼ,sa-chith,saʼ-chǎ,soonʼ-da-ga,sa-cheʼ,"sa-chith, sit-shith",saʼ-chǎ,saʼ-chǎ,sa-chithʼ,saʼ-chithʼ,saʼ-chithʼ,saʼ-che,saʼ-chǎ,sa-cheʼ,saʼ-chǎ,soonʼ-da-ga,sa-chith,soonʼ-da-ga,"sa-chith, sit-shith",saʼ-chǎ,saʼ-chǎ,saʼ-che,saʼ-chǎ,saʼ-che,saʼ-che,sa-chithʼ,saʼ-che,saʼ-chǎ,soonʼ-da-ga,soonʼ-da-ga,soonʼ-da-ga,soonʼ-da-ga,saʼ-che,saʼ-che,te-anghʼ,na-ainghʼ,na-ainghʼ,soo-eʼ,soo-eʼ,soo-eʼ,te-anghʼ,te-anghʼ,te-͡anghʼ,"en-naʼ, na-aingh","en-naʼ, na-aingh",säʼ-kiʼ,soo-eʼ,na-ainghʼ,säʼ-kiʼ,säʼ-kiʼ,säʼ-kiʼ,na-ainghʼ,te-anghʼ
