simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFBD,fMZD,fFBS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeBD,fMeBS,fMyBS,fMeZS,fMyZS,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMBeS,fMByS,fMZyS,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.26435382210383374,1.5598046677215065,1.2954508456176728,majtï,zoakyp,pakaj,majtï,majtï,kyptï,kyptï,opip,opip,kyptï,kyptï,pakaj,zoakyp,zoakyp,matkyp,matkyp,opip,opip,matkyp,terit,terit,pakaj,kyptï,zoakyp,koko,matkyp,zoakyp,majtï,terit,kyptï,koko,zoakyp,matkyp,majtï,koko,majtï,matkyp,zoakyp,matkyp,majtï,zoakyp,koko,majtï,majtï,terit,majtï,koko,kyptï,matkyp,matkyp,kyptï,matkyp,matkyp,matkyp,kyptï,majtï,kyptï,pakaj,opip,terit,zoakyp,kyptï,zoakyp,majtï,zoakyp,pakaj,matkyp,zoakyp,kyptï,gaj,gaj,pyyp,zobyi,zobyi,pyyp,terit,pyyp,gaj,gaj,zobyj,pyyp,pyyp,gaj,zobyj,zobyi,terit,gaj,gaj,zobyj,pyyp,gaj,terit,pyyp,pyyp,terit,terit,terit
1,0.3589643910764102,1.536604417628487,1.1776400265520768,majtï,opip,matkyp,majtï,zoakyp,majtï,kyptï,koko,matkyp,matkyp,zoakyp,matkyp,terit,terit,opip,terit,opip,kyptï,zoakyp,matkyp,opip,zoakyp,matkyp,matkyp,zoakyp,kyptï,kyptï,terit,koko,kyptï,koko,majtï,majtï,koko,matkyp,majtï,kyptï,opip,majtï,majtï,pakaj,koko,pakaj,zoakyp,pakaj,matkyp,matkyp,majtï,pakaj,majtï,kyptï,majtï,zoakyp,zoakyp,majtï,kyptï,zoakyp,matkyp,kyptï,zoakyp,matkyp,zoakyp,terit,kyptï,matkyp,pakaj,kyptï,kyptï,zoakyp,pyyp,gaj,zobyi,gaj,gaj,terit,zobyj,pyyp,terit,pyyp,pyyp,gaj,gaj,pyyp,gaj,terit,zobyj,terit,pyyp,zobyi,zobyi,gaj,terit,terit,pyyp,gaj,zobyj,pyyp
2,0.2378029687440757,1.573901267912009,1.3360982991679333,matkyp,opip,kyptï,majtï,koko,matkyp,majtï,koko,pakaj,zoakyp,kyptï,pakaj,kyptï,zoakyp,majtï,matkyp,opip,kyptï,kyptï,terit,zoakyp,pakaj,opip,pakaj,matkyp,matkyp,matkyp,kyptï,kyptï,opip,kyptï,zoakyp,zoakyp,matkyp,matkyp,majtï,terit,majtï,koko,zoakyp,matkyp,majtï,matkyp,terit,majtï,matkyp,terit,terit,kyptï,zoakyp,pakaj,zoakyp,zoakyp,majtï,koko,opip,matkyp,zoakyp,kyptï,zoakyp,majtï,koko,kyptï,majtï,zoakyp,majtï,matkyp,majtï,kyptï,pyyp,gaj,zobyi,pyyp,pyyp,zobyj,gaj,pyyp,gaj,zobyi,gaj,gaj,terit,zobyj,terit,zobyj,zobyi,pyyp,terit,pyyp,terit,pyyp,terit,gaj,gaj,gaj,pyyp,terit
3,0.24132450947965456,1.5775280490041026,1.336203539524448,koko,pakaj,koko,matkyp,terit,majtï,zoakyp,kyptï,pakaj,majtï,zoakyp,matkyp,matkyp,majtï,kyptï,koko,matkyp,koko,zoakyp,zoakyp,kyptï,majtï,kyptï,majtï,zoakyp,koko,matkyp,majtï,matkyp,matkyp,matkyp,opip,terit,kyptï,matkyp,pakaj,zoakyp,majtï,kyptï,matkyp,opip,terit,pakaj,majtï,kyptï,kyptï,zoakyp,matkyp,kyptï,zoakyp,majtï,terit,opip,matkyp,kyptï,zoakyp,zoakyp,opip,majtï,opip,majtï,kyptï,majtï,zoakyp,pakaj,zoakyp,matkyp,kyptï,terit,zobyj,zobyj,gaj,gaj,terit,pyyp,terit,pyyp,pyyp,zobyj,gaj,terit,gaj,terit,zobyi,pyyp,zobyi,gaj,pyyp,gaj,pyyp,terit,pyyp,gaj,terit,zobyi,pyyp,gaj
4,0.28478818285534535,1.5352058021631814,1.250417619307836,opip,kyptï,majtï,kyptï,kyptï,zoakyp,kyptï,kyptï,matkyp,opip,koko,opip,zoakyp,matkyp,matkyp,koko,kyptï,zoakyp,majtï,pakaj,majtï,kyptï,matkyp,pakaj,kyptï,majtï,kyptï,matkyp,zoakyp,matkyp,koko,terit,terit,matkyp,majtï,matkyp,terit,kyptï,majtï,matkyp,zoakyp,koko,zoakyp,kyptï,pakaj,kyptï,matkyp,matkyp,zoakyp,opip,zoakyp,opip,majtï,zoakyp,majtï,koko,terit,majtï,zoakyp,majtï,terit,zoakyp,pakaj,zoakyp,majtï,matkyp,matkyp,majtï,pakaj,gaj,gaj,gaj,gaj,pyyp,pyyp,gaj,gaj,gaj,terit,terit,zobyj,terit,pyyp,terit,zobyj,zobyj,gaj,pyyp,zobyi,pyyp,terit,terit,pyyp,pyyp,zobyi,zobyi,pyyp
5,0.3042802402001157,1.5222026356067546,1.217922395406639,kyptï,majtï,majtï,kyptï,zoakyp,zoakyp,matkyp,matkyp,kyptï,matkyp,matkyp,pakaj,kyptï,majtï,terit,matkyp,majtï,kyptï,majtï,majtï,koko,kyptï,zoakyp,matkyp,kyptï,zoakyp,zoakyp,opip,terit,majtï,koko,kyptï,zoakyp,opip,matkyp,matkyp,kyptï,zoakyp,zoakyp,matkyp,matkyp,kyptï,zoakyp,kyptï,matkyp,majtï,pakaj,zoakyp,terit,majtï,zoakyp,koko,terit,majtï,pakaj,terit,matkyp,kyptï,matkyp,opip,majtï,pakaj,zoakyp,koko,koko,majtï,opip,opip,pakaj,gaj,terit,pyyp,zobyj,gaj,terit,zobyj,pyyp,gaj,pyyp,zobyi,gaj,gaj,terit,pyyp,zobyi,terit,pyyp,pyyp,zobyi,pyyp,pyyp,gaj,gaj,terit,gaj,zobyj,terit
6,0.18678266696877177,1.4326875559299932,1.2459048889612214,terit,majtï,kyptï,zoakyp,opip,zoakyp,matkyp,zoakyp,pakaj,matkyp,opip,majtï,zoakyp,koko,matkyp,zoakyp,majtï,majtï,pakaj,kyptï,majtï,kyptï,kyptï,majtï,kyptï,matkyp,pakaj,majtï,pakaj,matkyp,zoakyp,kyptï,zoakyp,terit,opip,kyptï,kyptï,matkyp,majtï,zoakyp,matkyp,koko,matkyp,majtï,kyptï,zoakyp,terit,majtï,koko,zoakyp,opip,zoakyp,kyptï,pakaj,matkyp,matkyp,koko,opip,matkyp,kyptï,majtï,terit,kyptï,matkyp,matkyp,majtï,koko,zoakyp,terit,pyyp,terit,gaj,gaj,zobyj,pyyp,gaj,gaj,pyyp,pyyp,gaj,pyyp,zobyj,zobyi,terit,pyyp,pyyp,pyyp,terit,gaj,gaj,zobyi,zobyi,zobyj,gaj,terit,terit,terit
7,0.19978341893278206,1.4268216498227804,1.2270382308899983,matkyp,kyptï,pakaj,kyptï,majtï,kyptï,terit,majtï,pakaj,zoakyp,matkyp,terit,majtï,koko,terit,kyptï,matkyp,opip,koko,majtï,opip,opip,pakaj,zoakyp,zoakyp,matkyp,zoakyp,zoakyp,kyptï,pakaj,majtï,matkyp,kyptï,opip,zoakyp,kyptï,majtï,kyptï,matkyp,zoakyp,matkyp,zoakyp,opip,kyptï,kyptï,majtï,koko,matkyp,matkyp,terit,matkyp,zoakyp,zoakyp,matkyp,majtï,kyptï,zoakyp,matkyp,majtï,pakaj,terit,matkyp,zoakyp,majtï,kyptï,koko,koko,majtï,majtï,pyyp,zobyi,pyyp,gaj,gaj,pyyp,zobyj,terit,gaj,terit,terit,pyyp,zobyj,gaj,gaj,pyyp,zobyi,terit,zobyi,pyyp,gaj,gaj,terit,zobyj,gaj,pyyp,pyyp,terit
8,0.28361572189817585,1.528836816769539,1.2452210948713631,matkyp,matkyp,zoakyp,matkyp,matkyp,kyptï,matkyp,zoakyp,zoakyp,pakaj,majtï,koko,matkyp,zoakyp,kyptï,kyptï,terit,terit,matkyp,matkyp,koko,matkyp,kyptï,opip,zoakyp,koko,pakaj,kyptï,koko,majtï,majtï,zoakyp,zoakyp,majtï,majtï,zoakyp,matkyp,majtï,zoakyp,kyptï,kyptï,kyptï,majtï,majtï,majtï,terit,majtï,zoakyp,matkyp,matkyp,kyptï,opip,opip,majtï,kyptï,terit,majtï,zoakyp,opip,matkyp,zoakyp,pakaj,pakaj,terit,opip,pakaj,kyptï,kyptï,koko,gaj,gaj,terit,pyyp,pyyp,zobyi,terit,zobyj,pyyp,terit,gaj,terit,pyyp,gaj,gaj,terit,zobyi,zobyj,zobyi,pyyp,gaj,pyyp,gaj,pyyp,pyyp,zobyj,terit,gaj
9,0.21398958137880886,1.486094802240072,1.272105220861263,terit,matkyp,kyptï,kyptï,opip,terit,matkyp,majtï,kyptï,zoakyp,zoakyp,pakaj,opip,zoakyp,matkyp,majtï,majtï,zoakyp,kyptï,koko,zoakyp,majtï,pakaj,majtï,koko,majtï,zoakyp,majtï,kyptï,terit,matkyp,koko,kyptï,zoakyp,matkyp,matkyp,matkyp,majtï,zoakyp,pakaj,koko,kyptï,matkyp,zoakyp,opip,kyptï,kyptï,terit,majtï,majtï,opip,opip,kyptï,zoakyp,matkyp,pakaj,matkyp,majtï,majtï,matkyp,matkyp,kyptï,pakaj,koko,zoakyp,matkyp,terit,kyptï,zoakyp,gaj,pyyp,terit,gaj,pyyp,zobyi,gaj,zobyi,pyyp,gaj,terit,gaj,zobyj,pyyp,terit,pyyp,gaj,zobyj,zobyj,pyyp,terit,gaj,gaj,terit,pyyp,terit,zobyi,pyyp
