simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.4848660531119159,0.9799711820833054,0.4951051289713895,"ka'e azi, doa",li ana,"ka'e azi, doa","ka'e azi, doa, li ana",ka'e,li ana,azi,na,"ka'e azi, doa","ka'e azi, doa",na,"ka'e azi, doa",weta,na,"ka'e azi, doa, li ana","ka'e azi, doa, li ana",na,"ka'e azi, doa, li ana","ka'e azi, doa","ka'e, doa",weta,na,weta,"azi, doa","ka'e azi, doa",azi,na,weta,weta,na,weta,weta,"ka'e azi, doa",weta,"ka'e azi, doa","ka'e azi, doa","ka'e azi, doa, li ana","ka'e azi, doa, li ana","ame, ema, ema ta'a ka'e",mame,ta'u,ta'u,mame,"ame, ema, ema dhadhi","ame, ema, ema ta'a ka'e","ine, ine ta'a azi","ine, ine dhadhi",ta'u,"ame, ema, ema dhadhi",mame,mame,"ine, ine ta'a azi","ame, ema, ema ta'a azi","ame, ema, ema ta'a azi","ine, ine dhadhi",ta'u,"ine, ine ta'a ka'e","ine, ine ta'a ka'e"
1,0.242433026555958,1.034601232910181,0.792168206354223,na,azi,"ka'e azi, doa","ka'e azi, doa",na,weta,"ka'e azi, doa, li ana",weta,"ka'e azi, doa, li ana",ka'e,weta,"ka'e azi, doa, li ana",na,"ka'e azi, doa","ka'e, doa","azi, doa",na,"ka'e azi, doa",weta,"ka'e azi, doa",weta,"ka'e azi, doa","ka'e azi, doa, li ana",azi,weta,"ka'e azi, doa","ka'e azi, doa, li ana",li ana,weta,na,na,"ka'e azi, doa","ka'e azi, doa",li ana,weta,"ka'e azi, doa","ka'e azi, doa, li ana",na,ta'u,"ine, ine ta'a ka'e","ame, ema, ema ta'a ka'e",ta'u,mame,"ine, ine dhadhi","ine, ine dhadhi","ame, ema, ema dhadhi",mame,"ame, ema, ema dhadhi",mame,"ine, ine ta'a ka'e","ame, ema, ema ta'a azi","ame, ema, ema ta'a ka'e","ame, ema, ema ta'a azi",mame,ta'u,"ine, ine ta'a azi","ine, ine ta'a azi",ta'u
2,0.2120742666998533,0.9799711820833054,0.7678969153834521,weta,na,weta,ka'e,"ka'e azi, doa",weta,"ka'e azi, doa",azi,"ka'e azi, doa, li ana","ka'e azi, doa",weta,"ka'e azi, doa",li ana,na,na,"ka'e azi, doa, li ana","ka'e azi, doa","azi, doa",weta,weta,azi,"ka'e, doa","ka'e azi, doa","ka'e azi, doa, li ana","ka'e azi, doa","ka'e azi, doa, li ana",na,"ka'e azi, doa","ka'e azi, doa, li ana",na,"ka'e azi, doa",na,na,"ka'e azi, doa",li ana,weta,"ka'e azi, doa, li ana",weta,mame,"ine, ine ta'a azi","ame, ema, ema dhadhi","ame, ema, ema dhadhi",ta'u,"ine, ine ta'a ka'e","ine, ine ta'a ka'e","ame, ema, ema ta'a ka'e",mame,"ame, ema, ema ta'a azi",ta'u,ta'u,"ine, ine ta'a azi","ine, ine dhadhi","ame, ema, ema ta'a ka'e","ame, ema, ema ta'a azi",mame,"ine, ine dhadhi",ta'u,mame
3,0.14341200076168037,1.0346012329101812,0.8911892321485009,na,"ka'e azi, doa","azi, doa",azi,weta,na,azi,"ka'e azi, doa",weta,na,"ka'e azi, doa",ka'e,"ka'e azi, doa, li ana","ka'e azi, doa, li ana",weta,na,"ka'e, doa",weta,"ka'e azi, doa","ka'e azi, doa","ka'e azi, doa","ka'e azi, doa",weta,na,weta,weta,na,"ka'e azi, doa","ka'e azi, doa",na,"ka'e azi, doa, li ana","ka'e azi, doa",li ana,weta,"ka'e azi, doa, li ana","ka'e azi, doa, li ana","ka'e azi, doa, li ana",li ana,"ame, ema, ema ta'a azi","ine, ine ta'a ka'e","ame, ema, ema ta'a azi","ine, ine ta'a azi","ine, ine ta'a ka'e","ine, ine dhadhi","ame, ema, ema dhadhi",ta'u,ta'u,mame,"ine, ine dhadhi",mame,ta'u,mame,"ame, ema, ema dhadhi","ame, ema, ema ta'a ka'e","ame, ema, ema ta'a ka'e",mame,ta'u,"ine, ine ta'a azi"
4,0.4848660531119162,1.376055285260417,0.8911892321485009,azi,"ka'e azi, doa","ka'e azi, doa","ka'e azi, doa, li ana",weta,"ka'e azi, doa","ka'e azi, doa, li ana","ka'e azi, doa",azi,"ka'e azi, doa, li ana",na,"ka'e azi, doa, li ana","ka'e azi, doa","azi, doa",weta,"ka'e, doa",weta,na,li ana,"ka'e azi, doa","ka'e azi, doa","ka'e azi, doa",weta,weta,li ana,na,weta,"ka'e azi, doa, li ana",weta,na,ka'e,na,"ka'e azi, doa","ka'e azi, doa",na,"ka'e azi, doa, li ana",na,weta,ta'u,"ine, ine ta'a ka'e","ame, ema, ema dhadhi","ine, ine ta'a azi","ame, ema, ema ta'a azi","ame, ema, ema ta'a ka'e",mame,ta'u,ta'u,"ine, ine ta'a ka'e",mame,mame,"ine, ine dhadhi",ta'u,"ine, ine dhadhi",mame,"ame, ema, ema dhadhi","ine, ine ta'a azi","ame, ema, ema ta'a ka'e","ame, ema, ema ta'a azi"
5,0.4848660531119162,1.376055285260417,0.8911892321485009,azi,"ka'e azi, doa",weta,weta,ka'e,"ka'e azi, doa","ka'e azi, doa, li ana","ka'e azi, doa, li ana",weta,weta,na,"ka'e azi, doa, li ana",azi,weta,na,"ka'e azi, doa",na,li ana,"azi, doa","ka'e azi, doa","ka'e azi, doa, li ana",na,"ka'e azi, doa",na,"ka'e azi, doa","ka'e azi, doa, li ana",na,"ka'e azi, doa",weta,na,weta,"ka'e azi, doa",weta,"ka'e azi, doa","ka'e, doa",li ana,"ka'e azi, doa, li ana","ka'e azi, doa",ta'u,"ine, ine ta'a ka'e","ame, ema, ema ta'a azi","ame, ema, ema dhadhi",ta'u,"ine, ine ta'a azi",ta'u,mame,mame,"ame, ema, ema dhadhi",ta'u,"ame, ema, ema ta'a ka'e","ine, ine dhadhi","ine, ine ta'a azi","ame, ema, ema ta'a azi",mame,"ame, ema, ema ta'a ka'e",mame,"ine, ine dhadhi","ine, ine ta'a ka'e"
6,0.2120742666998534,1.376055285260417,1.1639810185605637,na,"ka'e azi, doa",li ana,"ka'e azi, doa, li ana","ka'e azi, doa","ka'e azi, doa","ka'e azi, doa, li ana",weta,na,ka'e,weta,weta,na,"ka'e azi, doa","ka'e azi, doa, li ana",na,weta,"ka'e azi, doa",na,"ka'e azi, doa, li ana",na,na,"ka'e azi, doa","azi, doa","ka'e azi, doa, li ana",azi,"ka'e azi, doa",weta,"ka'e, doa",weta,"ka'e azi, doa","ka'e azi, doa","ka'e azi, doa",weta,"ka'e azi, doa, li ana",azi,weta,li ana,"ame, ema, ema ta'a ka'e","ame, ema, ema ta'a azi","ame, ema, ema dhadhi",ta'u,"ine, ine dhadhi","ine, ine ta'a ka'e","ine, ine ta'a azi","ame, ema, ema ta'a ka'e",ta'u,ta'u,ta'u,"ame, ema, ema dhadhi",mame,"ame, ema, ema ta'a azi","ine, ine ta'a ka'e","ine, ine dhadhi",mame,mame,mame,"ine, ine ta'a azi"
7,0.484866053111916,1.0789922078775833,0.5941261547656673,"ka'e azi, doa",azi,weta,"ka'e azi, doa, li ana",na,"ka'e azi, doa",weta,"ka'e azi, doa, li ana",weta,"ka'e azi, doa",li ana,weta,azi,na,"ka'e azi, doa","ka'e azi, doa",na,weta,"azi, doa",na,"ka'e azi, doa, li ana",ka'e,"ka'e azi, doa",weta,"ka'e azi, doa, li ana","ka'e azi, doa, li ana","ka'e azi, doa","ka'e azi, doa",weta,na,na,li ana,"ka'e azi, doa","ka'e, doa","ka'e azi, doa",weta,na,"ka'e azi, doa, li ana",ta'u,ta'u,"ine, ine ta'a ka'e","ame, ema, ema ta'a azi",mame,"ine, ine dhadhi","ine, ine ta'a azi","ame, ema, ema ta'a ka'e","ame, ema, ema dhadhi",mame,"ame, ema, ema ta'a ka'e",ta'u,mame,"ame, ema, ema dhadhi",ta'u,mame,"ine, ine ta'a ka'e","ame, ema, ema ta'a azi","ine, ine ta'a azi","ine, ine dhadhi"
8,0.4848660531119162,1.376055285260417,0.8911892321485009,na,"ka'e azi, doa",weta,"ka'e azi, doa, li ana","ka'e azi, doa, li ana",na,"ka'e azi, doa",ka'e,weta,na,li ana,na,"ka'e azi, doa","ka'e azi, doa, li ana",na,"ka'e azi, doa",na,"ka'e azi, doa","ka'e azi, doa, li ana","ka'e azi, doa","ka'e azi, doa",weta,"ka'e azi, doa, li ana","ka'e azi, doa","ka'e azi, doa",weta,weta,weta,azi,"azi, doa",weta,na,"ka'e, doa",li ana,weta,"ka'e azi, doa, li ana","ka'e azi, doa",azi,"ine, ine ta'a ka'e","ame, ema, ema ta'a azi","ame, ema, ema dhadhi",mame,"ine, ine ta'a azi",ta'u,ta'u,"ame, ema, ema dhadhi",mame,"ine, ine dhadhi",ta'u,"ine, ine ta'a ka'e",ta'u,mame,"ame, ema, ema ta'a ka'e","ame, ema, ema ta'a azi","ame, ema, ema ta'a ka'e","ine, ine ta'a azi","ine, ine dhadhi",mame
9,0.6829081047004718,1.0789922078775833,0.3960841031771115,li ana,na,"ka'e azi, doa","ka'e azi, doa, li ana","ka'e azi, doa, li ana",weta,"azi, doa",azi,li ana,weta,weta,na,"ka'e azi, doa",na,"ka'e azi, doa",na,ka'e,weta,"ka'e, doa","ka'e azi, doa",na,"ka'e azi, doa, li ana","ka'e azi, doa, li ana","ka'e azi, doa, li ana","ka'e azi, doa",weta,weta,na,"ka'e azi, doa",weta,azi,"ka'e azi, doa, li ana",na,"ka'e azi, doa","ka'e azi, doa","ka'e azi, doa",weta,"ka'e azi, doa",mame,mame,"ine, ine dhadhi","ame, ema, ema ta'a azi","ame, ema, ema ta'a azi","ine, ine ta'a ka'e","ine, ine dhadhi","ame, ema, ema ta'a ka'e",ta'u,"ame, ema, ema ta'a ka'e",ta'u,"ine, ine ta'a azi","ame, ema, ema dhadhi",mame,ta'u,ta'u,"ine, ine ta'a azi","ame, ema, ema dhadhi",mame,"ine, ine ta'a ka'e"
