simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,mMBD,mMBS,mMeBS,mMyBS,mMeBD,mMyBD,mMBeS,mMByS,mMBeD,mMByD,fB,feZ,fyZ,fMBD,fMBS,fMeBS,fMyBS,fMeBD,fMyBD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFZ,mMB,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.20031006645013516,1.283854286603223,1.0835442201530878,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,muuna,muuna,mwihwa,mkulu,mwihwa,mwihwa,mwihwa,mkulu,lumbu,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mame sangazi,mame mdodo,tate,mame mkulu,tate,tate mkulu,mame,tate mkulu,mtumba,mame,mame sangazi,mtumba,mame sangazi,mame mdodo,mame sangazi,mtumba,mtumba,tate mdodo,mtumba,tate mdodo,mame mkulu,mtumba,mame sangazi,mame sangazi
1,0.17849363589329537,1.2319424231690936,1.0534487872757983,mwihwa,mwihwa,mwihwa,mwihwa,mkulu,mwihwa,muuna,mwihwa,muuna,mwihwa,mwihwa,lumbu,mwihwa,mwihwa,mwihwa,mkulu,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mame sangazi,mame,mame sangazi,tate mdodo,tate mkulu,mame,mame sangazi,tate mkulu,mame mdodo,mame mdodo,mtumba,mtumba,tate mdodo,tate,mame sangazi,mtumba,mame sangazi,mame mkulu,tate,mame mkulu,mtumba,mame sangazi,mtumba,mtumba
2,0.3620749228243827,1.7574645609683963,1.3953896381440136,mwihwa,lumbu,mwihwa,mwihwa,mkulu,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,muuna,mwihwa,mwihwa,mkulu,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,muuna,mtumba,mame mkulu,tate mdodo,tate,mtumba,tate,tate mkulu,mtumba,mtumba,mame sangazi,mame mdodo,mame sangazi,tate mkulu,mame mkulu,mtumba,mame sangazi,mame,mame sangazi,mame mdodo,tate mdodo,mtumba,mame sangazi,mame sangazi,mame
3,0.3408819385617552,1.7859500057860627,1.4450680672243075,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,lumbu,mwihwa,mwihwa,mwihwa,mwihwa,mkulu,muuna,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,muuna,mkulu,mtumba,mame sangazi,mame sangazi,mame sangazi,mame mdodo,mame sangazi,mame,mtumba,mtumba,mame mkulu,mame mdodo,tate,mame,tate mdodo,tate mkulu,mame mkulu,mtumba,mame sangazi,mtumba,tate,mtumba,tate mkulu,tate mdodo,mame sangazi
4,0.2983432365272425,1.8731944097492714,1.574851173222029,mwihwa,mwihwa,mwihwa,muuna,mwihwa,mwihwa,mwihwa,mwihwa,lumbu,mwihwa,mwihwa,mwihwa,mwihwa,muuna,mkulu,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mkulu,mwihwa,mame mdodo,mame sangazi,mtumba,tate mkulu,tate mdodo,tate mdodo,mtumba,mame mkulu,mame sangazi,mame sangazi,mame mkulu,mtumba,tate,mame sangazi,mtumba,tate,mame sangazi,tate mkulu,mame mdodo,mame sangazi,mtumba,mtumba,mame,mame
5,0.15194675229512056,1.3112224449516008,1.1592756926564802,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mkulu,lumbu,mwihwa,mwihwa,muuna,mwihwa,mwihwa,mkulu,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,muuna,mame sangazi,mame sangazi,mame mdodo,mame sangazi,mtumba,mame mkulu,tate mdodo,tate mdodo,tate mkulu,mtumba,mame sangazi,mame,tate mkulu,mame sangazi,tate,mtumba,mame,mtumba,mame mdodo,tate,mame sangazi,mtumba,mame mkulu,mtumba
6,0.22453873742072172,1.4863284725129418,1.26178973509222,mwihwa,mwihwa,mwihwa,mwihwa,muuna,mwihwa,mwihwa,mwihwa,muuna,mwihwa,mwihwa,mwihwa,mwihwa,mkulu,mwihwa,lumbu,mwihwa,mkulu,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mame sangazi,mame sangazi,tate mdodo,tate mdodo,tate mkulu,mtumba,mtumba,tate mkulu,mtumba,tate,mtumba,mame sangazi,mame mdodo,mtumba,mame mdodo,mame mkulu,mame sangazi,mame,mame sangazi,tate,mame,mtumba,mame sangazi,mame mkulu
7,0.38414021764329886,1.8414824010362687,1.4573421833929698,mwihwa,mwihwa,mwihwa,mwihwa,lumbu,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mkulu,muuna,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,muuna,mwihwa,mkulu,mwihwa,mwihwa,mwihwa,mwihwa,tate mdodo,mtumba,mame sangazi,tate,tate mkulu,mtumba,mame,mame mkulu,mtumba,mtumba,mame sangazi,mame mkulu,tate mkulu,mame,mame sangazi,tate,mame mdodo,mame sangazi,mame sangazi,mtumba,tate mdodo,mtumba,mame sangazi,mame mdodo
8,0.20151804236754134,1.4514887320646908,1.2499706896971494,mkulu,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,muuna,mwihwa,mwihwa,lumbu,mwihwa,mkulu,mwihwa,mwihwa,mwihwa,mwihwa,muuna,mame mkulu,tate,mtumba,mtumba,mame sangazi,tate mkulu,mame sangazi,mtumba,mame mdodo,mame sangazi,mame,tate mdodo,mame mkulu,mtumba,mame sangazi,mtumba,tate,mame,mame mdodo,mame sangazi,tate mdodo,tate mkulu,mtumba,mame sangazi
9,0.4766607727623997,1.5432247202507188,1.066563947488319,muuna,mwihwa,mwihwa,mwihwa,mwihwa,mkulu,mwihwa,mkulu,mwihwa,lumbu,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,muuna,mwihwa,mwihwa,mwihwa,mwihwa,mwihwa,mame sangazi,mame sangazi,mtumba,mame mdodo,mame sangazi,tate mdodo,tate mdodo,mame,tate,mame,mame sangazi,mame mkulu,mtumba,mame sangazi,tate,mtumba,mame mkulu,mtumba,mame mdodo,mtumba,mame sangazi,mtumba,tate mkulu,tate mkulu
